META; english/non-league/national-league/hartlepool-v-barrow; 2017-09-30 22:22:01 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 6/5; ; ; ; 23/20; ; 6/5; ; ; ; ; ; ; ; ; 6/5; ; ; 15/13; ; ; ; ; 6/5; 23/20; ; 8/13; ; 
Hartlepool; 21/20; 6/5; ; 1; 11/10; 9/8; 11/10; 11/10; 8/7; ; 11/10; ; ; 11/10; ; 11/10; 11/10; ; 21/20; 6/5; ; 8/7; 11/10; 11/10; 21/20; ; 20/21; ; 
Draw; 12/5; 12/5; ; 12/5; 23/10; 11/5; 12/5; 11/5; 23/10; ; 11/5; ; ; 9/4; ; 23/10; 11/5; ; 40/17; 119/50; ; 23/10; 23/10; 23/10; 12/5; ; 21/10; ; 
Barrow; 5/2; 2; ; 2; 23/10; 21/10; 12/5; 21/10; 28/13; ; 11/5; ; ; 9/4; ; 9/4; 21/10; ; 12/5; 66/25; ; 28/13; 5/2; 23/10; 49/20; ; 19/10; ; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-01 18:22:20 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 21/20; 23/20; 21/20; 1; 21/20; 9/8; 11/10; 1; 8/7; 21/20; 21/20; 21/20; ; 1; 11/10; 21/20; 11/10; ; 11/10; 53/50; 21/20; 8/7; 11/10; 11/10; 21/20; ; 10/11; ; 
Draw; 12/5; 23/10; 11/5; 12/5; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 2; 43/20; ; 9/4; 23/10; 9/4; 11/5; ; 40/17; 62/25; 9/4; 23/10; 23/10; 23/10; 12/5; ; 21/10; ; 
Barrow; 5/2; 12/5; 5/2; 2; 5/2; 21/10; 13/5; 11/5; 28/13; 5/2; 5/2; 49/20; ; 12/5; 12/5; 12/5; 21/10; ; 23/10; 59/20; 9/4; 28/13; 5/2; 12/5; 49/20; ; 21/10; ; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-01 22:22:09 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 21/20; 23/20; 21/20; 1; 21/20; 9/8; 21/20; 1; 8/7; 21/20; 1; 21/20; ; 1; 21/20; 21/20; 11/10; ; 11/10; 28/25; 21/20; 8/7; 11/10; 11/10; 21/20; ; 1; ; 
Draw; 12/5; 23/10; 9/4; 12/5; 9/4; 11/5; 23/10; 11/5; 23/10; 9/4; 11/5; 11/5; ; 11/5; 23/10; 23/10; 11/5; ; 40/17; 62/25; 9/4; 23/10; 23/10; 23/10; 12/5; ; 11/5; ; 
Barrow; 5/2; 12/5; 12/5; 2; 5/2; 21/10; 27/10; 12/5; 28/13; 12/5; 23/10; 49/20; ; 5/2; 13/5; 23/10; 21/10; ; 23/10; 69/25; 9/4; 28/13; 5/2; 12/5; 49/20; ; 23/10; ; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-02 02:21:59 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 21/20; 1; 1; 1; 21/20; 9/8; 1; 1; 8/7; 1; 20/21; 1; ; 1; 1; 1; 11/10; ; 21/20; 107/100; 66/67; 8/7; 21/20; 21/20; 1; ; 1; ; 
Draw; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 11/5; 23/10; 23/10; 11/5; 11/5; ; 11/5; 12/5; 23/10; 11/5; ; 12/5; 63/25; 9/4; 23/10; 12/5; 23/10; 12/5; ; 11/5; ; 
Barrow; 5/2; 14/5; 13/5; 2; 5/2; 21/10; 11/4; 12/5; 28/13; 13/5; 13/5; 13/5; ; 5/2; 13/5; 5/2; 21/10; ; 12/5; 72/25; 27/11; 28/13; 13/5; 5/2; 13/5; ; 12/5; ; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-02 10:22:28 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 19/20; 1; 1; 1; 1; 21/20; 1; 10/11; 24/23; 1; 20/21; 1; ; 20/21; 1; 19/20; 21/20; 24/23; 19/20; 51/50; 66/67; 24/23; 1; 1; 1; ; 20/21; ; 
Draw; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 11/5; 11/5; ; 23/10; 12/5; 23/10; 9/4; ; 27/11; 13/5; 9/4; 23/10; 12/5; 12/5; 12/5; ; 23/10; ; 
Barrow; 14/5; 14/5; 13/5; 5/2; 13/5; 11/5; 11/4; 5/2; 40/17; 13/5; 13/5; 13/5; ; 5/2; 13/5; 13/5; 11/5; 40/17; 45/17; 59/20; 27/11; 40/17; 13/5; 13/5; 27/10; ; 13/5; ; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-02 18:22:45 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 1; 21/20; 21/20; 1; 1; 21/20; 21/20; 10/11; 24/23; 21/20; 1; 21/20; ; 20/21; 21/20; 1; 21/20; 1; 109/100; 21/20; 24/23; 21/20; 21/20; 21/20; ; 21/20; 1; 
Draw; 5/2; 23/10; 21/10; 23/10; 9/4; 9/4; 11/5; 11/5; 23/10; 21/10; 2; 43/20; ; 11/5; 9/4; 9/4; 9/4; 23/10; 62/25; 9/4; 23/10; 12/5; 12/5; 12/5; ; 9/4; 2; 
Barrow; 13/5; 13/5; 5/2; 14/5; 13/5; 11/5; 5/2; 5/2; 40/17; 5/2; 5/2; 5/2; ; 13/5; 13/5; 5/2; 11/5; 13/5; 143/50; 9/4; 40/17; 13/5; 13/5; 27/10; ; 11/4; 12/5; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-02 22:23:09 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 1; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 1; 24/23; 11/10; 1; 21/20; ; 1; 23/20; 1; 21/20; 21/20; 11/10; 13/12; 24/23; 11/10; 11/10; 11/10; ; 11/10; 10/9; 
Draw; 5/2; 23/10; 21/10; 23/10; 9/4; 9/4; 23/10; 11/5; 23/10; 21/10; 11/5; 43/20; ; 11/5; 11/5; 9/4; 9/4; 23/10; 5/2; 12/5; 23/10; 23/10; 23/10; 47/20; ; 21/10; 2; 
Barrow; 13/5; 13/5; 12/5; 14/5; 5/2; 11/5; 5/2; 12/5; 40/17; 12/5; 23/10; 5/2; ; 12/5; 12/5; 5/2; 11/5; 5/2; 139/50; 12/5; 40/17; 5/2; 5/2; 13/5; ; 5/2; 12/5; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-03 02:22:52 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 24/23; 21/20; 1; 21/20; ; 1; 21/20; 1; 21/20; 1; 107/100; 13/12; 24/23; 11/10; 21/20; 11/10; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 21/10; 23/10; 9/4; 9/4; 23/10; 11/5; 23/10; 21/10; 21/10; 43/20; ; 11/5; 9/4; 9/4; 9/4; 23/10; 63/25; 12/5; 23/10; 23/10; 12/5; 47/20; ; 23/10; 21/10; 
Barrow; 12/5; 13/5; 5/2; 14/5; 5/2; 11/5; 5/2; 12/5; 40/17; 5/2; 12/5; 5/2; ; 12/5; 13/5; 5/2; 11/5; 28/11; 72/25; 12/5; 40/17; 5/2; 13/5; 13/5; ; 13/5; 5/2; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-03 10:23:15 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 21/20; 21/20; 21/20; 1; 1; 21/20; 21/20; 10/11; 24/23; 21/20; 20/21; 21/20; ; 20/21; 21/20; 1; 21/20; 21/20; 11/10; 12/11; ; 11/10; 21/20; 11/10; ; 21/20; 21/20; 
Draw; 12/5; 23/10; 21/10; 23/10; 9/4; 9/4; 11/5; 11/5; 23/10; 21/10; 2; 21/10; ; 9/4; 9/4; 11/5; 9/4; 9/4; 121/50; 12/5; ; 23/10; 23/10; 47/20; ; 23/10; 11/5; 
Barrow; 5/2; 11/4; 13/5; 14/5; 5/2; 11/5; 13/5; 5/2; 40/17; 13/5; 11/4; 5/2; ; 5/2; 13/5; 13/5; 11/5; 28/11; 72/25; 40/17; ; 5/2; 27/10; 13/5; ; 14/5; 13/5; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-03 14:23:24 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 11/10; 21/20; 15/13; 23/20; 23/20; 43/40; 11/10; 1; 11/10; 23/20; 11/10; 23/20; ; 21/20; 6/5; 11/10; 21/20; 15/13; 123/100; 22/19; 11/10; 11/10; 23/20; 23/20; ; 6/5; 23/20; 
Draw; 23/10; 23/10; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 21/10; 2; 41/20; ; 21/10; 11/5; 21/10; 11/5; 11/5; 119/50; 40/17; 11/5; 9/4; 9/4; 23/10; ; 9/4; 11/5; 
Barrow; 5/2; 13/5; 12/5; 23/10; 12/5; 11/5; 12/5; 12/5; 40/17; 12/5; 12/5; 47/20; ; 12/5; 23/10; 12/5; 11/5; 40/17; 64/25; 9/4; 40/17; 5/2; 5/2; 5/2; ; 12/5; 12/5; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-03 18:23:08 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Hartlepool; 11/10; 6/5; 15/13; 23/20; 23/20; 43/40; 11/10; 1; 11/10; 23/20; 11/10; 23/20; ; 21/20; 6/5; 11/10; 21/20; 15/13; 59/50; 7/6; 11/10; 11/10; 6/5; 23/20; ; 23/20; 23/20; 
Draw; 23/10; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 21/10; 21/10; 41/20; ; 21/10; 11/5; 21/10; 11/5; 9/4; 61/25; 40/17; 11/5; 9/4; 9/4; 23/10; ; 23/10; 9/4; 
Barrow; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 12/5; 12/5; 40/17; 12/5; 11/5; 23/10; ; 12/5; 23/10; 12/5; 11/5; 40/17; 131/50; 11/5; 40/17; 5/2; 12/5; 5/2; ; 12/5; 12/5; 
META; english/non-league/national-league/hartlepool-v-barrow; 2017-10-03 22:23:07 GMT+3; 2017-10-03 19:45; In Play; Xlenovo
Hartlepool; 13/8; 11/8; 7/5; 23/20; 5/4; 4/3; 1; 7/5; 10/7; 5/4; ; 11/8; ; ; 6/4; 5/4; 23/17; ; ; ; ; ; 31/20; 7/4; ; ; 13/8; 
Draw; 6/4; 6/4; 28/17; 21/10; 7/4; 31/20; 21/10; 11/8; 28/17; 15/8; ; 9/5; ; ; 8/5; 8/5; 6/4; ; ; ; ; ; 6/4; 29/20; ; ; 6/4; 
Barrow; 5/2; 5/2; 12/5; 23/10; 3; 12/5; 5/2; 13/5; 5/2; 12/5; ; 23/10; ; ; 11/5; 11/4; 12/5; ; ; ; ; ; 5/2; 49/20; ; ; 5/2; 
