META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-17 22:21:09 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 1; ; ; 10/11; 109/100; ; 20/21; ; ; ; 20/21; ; ; ; ; 19/20; ; ; ; ; ; 1; 19/20; ; ; 8/11; ; 
AFC Fylde; 3/4; 3/4; 3/4; 4/5; 4/5; 3/4; 3/4; ; 4/5; 3/4; 4/5; 3/4; ; 4/5; 4/5; 8/11; 10/13; 3/4; 11/14; 4/5; ; 3/4; 10/13; 10/13; ; 4/5; 4/5; 
Draw; 14/5; 11/4; 5/2; 5/2; 57/20; 5/2; 13/5; ; 45/17; 5/2; 5/2; 9/4; ; 12/5; 13/5; 5/2; 45/17; 13/5; 27/10; 45/17; ; 27/10; 53/20; 45/17; ; 13/5; ; 
Guiseley; 10/3; 18/5; 13/4; 16/5; 15/4; 16/5; 10/3; ; 29/10; 10/3; 16/5; 16/5; ; 16/5; 16/5; 16/5; 33/10; 31/10; 31/10; 29/10; ; 7/2; 10/3; 57/17; ; 10/3; 3; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-20 18:22:41 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 3/4; ; 3/4; 81/100; 8/11; 3/4; ; 4/5; 3/4; 8/11; 3/4; ; 3/4; 4/5; 8/11; 10/13; 7/9; 11/14; 4/5; ; 3/4; 3/4; ; ; 8/11; ; 
Draw; 14/5; 13/5; ; 5/2; 139/50; 5/2; 13/5; ; 45/17; 5/2; 5/2; 23/10; ; 49/20; 13/5; 12/5; 13/5; 5/2; 27/10; 45/17; ; 27/10; 53/20; ; ; 11/4; 11/4; 
Guiseley; 10/3; 15/4; ; 7/2; 19/5; 18/5; 7/2; ; 29/10; 10/3; 18/5; 16/5; ; 10/3; 16/5; 10/3; 57/17; 16/5; 31/10; 29/10; ; 18/5; 7/2; 17/5; ; 7/2; ; 
META; english/non-league/national-league/guiseley-v-afc-fylde; 2018-02-20 22:22:29 GMT+2; 2018-02-20 19:45; In Play; Xlenovo
AFC Fylde; 20/21; 10/11; 4/5; 17/20; 43/50; 6/10; ; ; ; ; 5/6; 4/5; ; 9/10; 5/6; 10/11; 4/5; 9/10; 24/23; ; ; 37/40; 19/20; 4/5; ; ; ; 
Draw; 2; 15/8; 21/10; 19/10; 57/25; 27/10; ; ; ; ; 11/5; 15/8; ; 39/20; 19/10; 15/8; 28/13; 9/5; 29/16; ; ; 15/8; 2; 11/5; ; ; ; 
Guiseley; 7/2; 7/2; 19/5; 15/4; 39/10; 4; ; ; ; ; 4; 7/2; ; 15/4; 15/4; 7/2; 18/5; 17/5; 56/19; ; ; 18/5; 15/4; 37/10; ; ; ; 
