META; english/non-league/national-league/halifax-v-wrexham; 2017-09-30 22:21:58 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 6/5; ; ; ; 23/20; ; 23/20; ; ; ; ; ; ; ; ; 11/10; ; ; 15/13; ; ; ; ; 6/5; ; ; ; ; 
Wrexham; 11/5; ; ; ; 9/4; ; 23/10; ; ; ; ; ; ; ; ; 21/10; ; ; 28/13; ; ; ; ; 11/5; ; ; ; ; 
Draw; 12/5; ; ; ; 23/10; ; 12/5; ; ; ; ; ; ; ; ; 9/4; ; ; 40/17; ; ; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-01 02:22:46 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 6/5; 6/5; ; ; 23/20; ; 6/5; 11/10; ; ; ; ; ; ; ; 11/10; ; ; 15/13; ; ; ; ; 6/5; 23/20; ; ; ; 
Draw; 12/5; 21/10; 2; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 2; 15/8; 2; ; 21/10; 21/10; 2; 21/10; 28/13; 59/25; 23/10; 11/5; 11/5; 85/40; 9/4; ; ; 19/10; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-03 10:23:13 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 13/10; 7/5; 23/17; 13/10; 7/5; 13/10; 11/8; 5/4; 13/10; 27/20; 13/10; 27/20; ; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 15/11; ; 13/10; 7/5; 7/5; ; ; 27/20; 
Wrexham; 2; 21/10; 21/10; 11/5; 2; 37/20; 21/10; 15/8; 39/19; 21/10; 2; 41/20; ; 2; 11/5; 2; 24/13; 28/13; 113/50; 2; ; 85/40; 85/40; 11/5; ; ; 21/10; 
Draw; 12/5; 2; 2; 11/5; 21/10; 21/10; 21/10; 2; 21/10; 2; 19/10; 2; ; 2; 21/10; 2; 21/10; 21/10; 59/25; 28/13; ; 85/40; 21/10; 21/10; ; ; 2; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-03 14:23:22 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 7/5; 7/5; 7/5; 13/10; 7/5; 13/10; 7/5; 5/4; 23/17; 7/5; 11/8; 11/8; ; 13/10; 7/5; 13/10; 13/10; 23/17; 37/25; 7/5; 23/17; 7/5; 29/20; 7/5; ; ; 11/8; 
Wrexham; 2; 21/10; 2; 11/5; 21/10; 37/20; 21/10; 15/8; 37/19; 2; 2; 41/20; ; 2; 2; 2; 24/13; 39/19; 111/50; 2; 37/19; 2; 2; 11/5; ; ; 2; 
Draw; 9/4; 2; 19/10; 11/5; 2; 21/10; 21/10; 2; 21/10; 19/10; 15/8; 39/20; ; 2; 21/10; 2; 21/10; 39/19; 11/5; 21/10; 21/10; 2; 21/10; 21/10; ; ; 21/10; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-03 18:23:06 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Halifax; 7/5; 6/4; 23/17; 13/10; 7/5; 13/10; 7/5; 13/10; 23/17; 27/20; 13/10; 27/20; ; 13/10; 7/5; 11/8; 13/10; 23/17; 143/100; 39/29; 23/17; 7/5; 7/5; 7/5; ; ; 7/5; 
Draw; 9/4; 2; 19/10; 11/5; 2; 21/10; 2; 15/8; 21/10; 19/10; 15/8; 39/20; ; 2; 21/10; 2; 21/10; 39/19; 111/50; 28/13; 21/10; 2; 21/10; 21/10; ; ; 21/10; 
Wrexham; 2; 2; 21/10; 11/5; 2; 37/20; 21/10; 2; 37/19; 21/10; 21/10; 21/10; ; 2; 2; 2; 24/13; 21/10; 23/10; 21/10; 37/19; 2; 85/40; 11/5; ; ; 21/10; 
META; english/non-league/national-league/halifax-v-wrexham; 2017-10-03 22:23:04 GMT+3; 2017-10-03 19:45; In Play; Xlenovo
Halifax; 15/8; 15/8; 28/17; ; 15/8; 17/10; 7/5; 7/4; 24/13; 33/20; ; 9/5; ; ; 9/5; 9/5; 28/17; 23/17; ; ; ; ; 19/10; 2; ; ; 19/10; 
Draw; 13/8; 11/8; 28/15; ; 13/8; 7/5; 9/5; 13/10; 6/4; 7/4; ; 33/20; ; ; 6/4; 6/4; 7/5; 21/10; ; ; ; ; 7/5; 29/20; ; ; 13/8; 
Wrexham; 21/10; 2; 7/4; ; 2; 2; 2; 9/4; 37/19; 15/8; ; 15/8; ; ; 19/10; 2; 21/10; 37/19; ; ; ; ; 21/10; 21/10; ; ; 21/10; 
