META; english/non-league/national-league/macclesfield-v-dover; 2017-08-20 02:21:41 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dover; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-20 10:21:45 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dover; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-20 14:21:53 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; ; ; 21/20; 19/20; 11/10; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-24 10:24:27 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 13/10; 13/10; 27/20; 6/5; 13/10; 11/10; 11/8; 6/5; 23/18; 23/17; 27/20; 5/4; 27/20; 11/8; 5/4; 13/10; 11/10; 5/4; 23/17; 29/20; 23/17; 23/18; ; 13/10; 11/8; ; 13/10; 13/10; 
Dover; 21/10; 2; 39/20; 11/5; 2; 11/5; 2; 21/10; 2; 28/15; 15/8; 15/8; 2; 19/10; 21/10; 19/10; 11/5; 2; 37/19; 52/25; 17/10; 2; ; 2; 2; ; 2; 19/10; 
Draw; 23/10; 9/4; 43/20; 11/5; 11/5; 21/10; 23/10; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 21/10; ; 9/4; 121/50; 23/10; 11/5; ; 23/10; 9/4; ; 9/4; 2; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-24 14:24:57 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 13/10; 13/10; 27/20; 6/5; 13/10; 11/10; 11/8; 6/5; 23/18; 23/17; 27/20; 5/4; 27/20; 11/8; 5/4; 13/10; 11/10; 5/4; 23/17; 29/20; 23/17; 23/18; ; 13/10; 11/8; ; 27/20; 13/10; 
Dover; 21/10; 2; 39/20; 11/5; 2; 11/5; 2; 21/10; 2; 28/15; 15/8; 15/8; 2; 19/10; 21/10; 19/10; 11/5; 2; 37/19; 52/25; 17/10; 2; ; 2; 2; ; 2; 19/10; 
Draw; 23/10; 9/4; 43/20; 11/5; 11/5; 21/10; 23/10; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 21/10; ; 9/4; 121/50; 23/10; 11/5; ; 23/10; 9/4; ; 9/4; 2; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-24 18:26:14 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 13/10; 13/10; 7/5; 13/10; 7/5; 11/10; 29/20; 6/5; 23/18; 7/5; 7/5; 13/10; 27/20; 7/5; 7/5; 13/10; 11/10; 5/4; 23/17; 149/100; 7/5; 23/18; ; 13/10; 11/8; ; 11/8; 7/5; 
