META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-12 22:23:10 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-13 02:22:26 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 4/7; 8/13; ; 1/2; 8/15; ; 11/20; ; ; ; ; ; 11/20; ; ; 4/7; ; ; 5/9; ; ; ; ; ; 4/7; ; ; ; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-13 18:22:36 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 11/20; 4/6; 8/13; 8/13; 4/7; 1/2; 8/13; 8/15; 6/11; 3/5; 6/10; 4/7; 8/13; ; 8/13; 4/7; ; ; ; 63/100; ; 6/11; ; 4/7; 4/7; ; ; ; 
Draw; 10/3; 11/4; 27/10; 13/5; 3; 3; 29/10; 3; 31/10; 27/10; 27/10; 5/2; 3; ; 3; 3; ; ; ; 63/20; ; 31/10; ; 3; 3; ; ; ; 
Guiseley; 17/4; 19/5; 17/4; 9/2; 21/5; 4; 9/2; 4; 39/10; 17/4; 17/4; 4; 4; ; 4; 9/2; ; ; ; 49/10; ; 39/10; ; 17/4; 9/2; ; ; ; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-13 22:22:27 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 11/20; 8/13; 6/10; 8/13; 4/7; 1/2; 3/5; 8/15; 6/11; 3/5; 6/10; 4/7; 8/13; ; 8/13; 4/7; ; ; 5/9; 63/100; 4/7; 6/11; ; 4/7; 4/7; ; ; ; 
Draw; 10/3; 11/4; 27/10; 13/5; 29/10; 3; 29/10; 11/4; 31/10; 27/10; 27/10; 5/2; 29/10; ; 3; 29/10; ; ; 56/19; 63/20; 37/13; 31/10; ; 14/5; 3; ; ; ; 
Guiseley; 17/4; 4; 9/2; 9/2; 21/5; 4; 9/2; 9/2; 39/10; 9/2; 9/2; 4; 17/4; ; 4; 9/2; ; ; 50/11; 49/10; 39/10; 39/10; ; 17/4; 9/2; ; ; ; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-14 02:22:10 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 8/13; 8/13; 6/10; 8/13; 4/7; 1/2; 3/5; 8/15; 6/11; 3/5; 6/10; 4/7; 8/13; ; 8/13; 8/13; ; ; 4/7; 63/100; 4/7; 6/11; ; 4/7; 4/7; ; ; 4/7; 
Draw; 3; 11/4; 27/10; 13/5; 29/10; 3; 29/10; 11/4; 31/10; 27/10; 27/10; 5/2; 29/10; ; 3; 14/5; ; ; 29/10; 63/20; 37/13; 31/10; ; 14/5; 3; ; ; 13/5; 
Guiseley; 4; 4; 9/2; 9/2; 21/5; 4; 9/2; 9/2; 39/10; 9/2; 9/2; 4; 17/4; ; 4; 9/2; ; ; 9/2; 49/10; 39/10; 39/10; ; 17/4; 9/2; ; ; 22/5; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-14 10:22:09 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 8/13; 8/13; 8/13; 8/13; 4/7; 1/2; 3/5; 8/15; 6/11; 3/5; 6/10; 4/7; 8/13; ; 8/13; 8/13; 3/5; ; 11/18; 63/100; 4/7; 6/11; ; 4/7; 4/7; ; ; 4/7; 
Draw; 3; 11/4; 27/10; 13/5; 29/10; 3; 29/10; 11/4; 31/10; 27/10; 27/10; 13/5; 29/10; ; 3; 14/5; 27/10; ; 56/19; 63/20; 37/13; 31/10; ; 14/5; 3; ; ; 13/5; 
Guiseley; 4; 4; 17/4; 9/2; 21/5; 4; 9/2; 9/2; 39/10; 9/2; 9/2; 4; 17/4; ; 4; 9/2; 15/4; ; 77/19; 49/10; 39/10; 39/10; ; 17/4; 9/2; ; ; 22/5; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-14 14:22:44 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 4/6; 8/13; 4/6; 8/13; 8/13; 1/2; 13/20; 8/15; 6/11; 11/18; 8/13; 8/13; 4/6; 13/20; 13/20; 8/13; 3/5; ; 11/17; 69/100; 5/8; 6/11; ; 4/7; 8/13; ; ; 4/7; 
Draw; 3; 11/4; 13/5; 13/5; 11/4; 3; 14/5; 11/4; 31/10; 13/5; 13/5; 13/5; 14/5; 5/2; 11/4; 14/5; 27/10; ; 29/10; 31/10; 11/4; 31/10; ; 14/5; 3; ; ; 5/2; 
Guiseley; 15/4; 4; 4; 9/2; 21/5; 4; 21/5; 9/2; 39/10; 4; 4; 15/4; 4; 18/5; 4; 9/2; 15/4; ; 15/4; 43/10; 7/2; 39/10; ; 17/4; 4; ; ; 21/5; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-14 18:22:49 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 4/6; 8/13; 4/6; 8/13; 8/13; 1/2; 13/20; 8/15; 6/11; 11/18; 8/13; 8/13; 4/6; 13/20; 13/20; 8/13; 3/5; ; 11/17; 33/50; 4/6; 6/11; ; 8/13; 8/13; ; ; 4/7; 
Draw; 3; 11/4; 13/5; 13/5; 11/4; 3; 14/5; 11/4; 31/10; 13/5; 13/5; 13/5; 14/5; 5/2; 11/4; 14/5; 27/10; ; 29/10; 149/50; 29/10; 31/10; ; 14/5; 11/4; ; ; 5/2; 
Guiseley; 15/4; 4; 19/5; 9/2; 21/5; 4; 21/5; 9/2; 39/10; 4; 4; 15/4; 4; 18/5; 4; 9/2; 15/4; ; 15/4; 24/5; 37/10; 39/10; ; 4; 9/2; ; ; 21/5; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-14 22:22:55 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 4/6; 4/6; 4/6; 8/13; 8/13; 1/2; 13/20; 8/15; 7/12; 11/18; 8/13; 8/13; 4/6; 4/6; ; 8/13; 3/5; 7/12; ; 33/50; 4/6; 7/12; ; 8/13; 8/13; ; ; 4/7; 
Draw; 3; 13/5; 13/5; 13/5; 11/4; 3; 14/5; 11/4; 56/19; 13/5; 13/5; 13/5; 14/5; 27/10; ; 27/10; 27/10; 56/19; ; 149/50; 29/10; 56/19; ; 14/5; 11/4; ; ; 5/2; 
Guiseley; 15/4; 19/5; 19/5; 9/2; 21/5; 4; 21/5; 9/2; 39/10; 4; 4; 15/4; 4; 4; ; 4; 15/4; ; ; 24/5; 37/10; 39/10; ; 4; 9/2; ; ; 21/5; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-15 02:22:41 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 4/6; 4/6; 4/6; 8/13; 8/13; 1/2; 4/6; 8/15; 7/12; 11/18; 8/13; 8/13; 4/6; 4/6; 13/20; 8/13; 3/5; 7/12; 11/17; 33/50; 4/6; 7/12; ; 8/13; 8/13; ; ; 4/7; 
Draw; 3; 13/5; 13/5; 13/5; 11/4; 3; 14/5; 11/4; 56/19; 13/5; 13/5; 13/5; 14/5; 27/10; 11/4; 27/10; 27/10; 56/19; 37/13; 149/50; 29/10; 56/19; ; 14/5; 11/4; ; ; 5/2; 
Guiseley; 15/4; 19/5; 19/5; 9/2; 21/5; 4; 4; 9/2; 39/10; 4; 4; 15/4; 4; 4; 4; 4; 15/4; ; 15/4; 24/5; 37/10; 39/10; ; 4; 9/2; ; ; 21/5; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-15 10:22:51 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 8/13; 4/6; 13/20; 8/13; 3/5; 1/2; 13/20; 8/15; 7/12; 11/18; 8/13; 6/10; 13/20; 13/20; 8/13; 8/13; 3/5; 7/12; 8/13; 16/25; 5/8; 7/12; ; 8/13; 8/13; ; ; 4/7; 
Draw; 3; 13/5; 13/5; 13/5; 11/4; 3; 14/5; 11/4; 56/19; 27/10; 27/10; 5/2; 14/5; 14/5; 14/5; 27/10; 27/10; 56/19; 29/10; 61/20; 56/19; 56/19; ; 14/5; 11/4; ; ; 13/5; 
Guiseley; 4; 19/5; 4; 9/2; 21/5; 4; 17/4; 9/2; 39/10; 21/5; 21/5; 4; 4; 4; 17/4; 4; 15/4; ; 39/10; 49/10; 39/10; 39/10; ; 4; 9/2; ; ; 23/5; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-15 14:22:54 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 8/13; 8/13; 13/20; 8/13; 3/5; 1/2; 13/20; 8/15; 7/12; 11/18; 8/13; 6/10; 13/20; 13/20; 8/13; 8/13; 3/5; 7/12; 8/13; 16/25; 5/8; 7/12; ; 8/13; 8/13; ; ; 4/7; 
Draw; 3; 13/5; 13/5; 13/5; 14/5; 3; 14/5; 11/4; 56/19; 13/5; 13/5; 5/2; 14/5; 29/10; 14/5; 27/10; 27/10; 56/19; 29/10; 31/10; 56/19; 56/19; ; 14/5; 11/4; ; ; 14/5; 
Guiseley; 4; 4; 4; 9/2; 21/5; 4; 17/4; 9/2; 39/10; 21/5; 21/5; 4; 4; 4; 17/4; 4; 15/4; ; 75/19; 24/5; 39/10; 39/10; ; 17/4; 9/2; ; ; 23/5; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-15 18:22:51 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 4/7; 3/5; 6/10; 8/13; 4/7; 1/2; 3/5; 8/15; 7/12; 4/7; 6/10; 4/7; 8/13; 6/10; 3/5; 4/7; 3/5; 7/12; 10/17; 63/100; 10/17; 7/12; ; 4/7; 4/7; ; ; 4/7; 
Draw; 16/5; 11/4; 27/10; 13/5; 14/5; 3; 3; 11/4; 56/19; 27/10; 27/10; 11/4; 57/20; 29/10; 14/5; 14/5; 27/10; 56/19; 56/19; 31/10; 58/19; 56/19; ; 14/5; 3; ; ; 14/5; 
Guiseley; 17/4; 17/4; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 39/10; 9/2; 17/4; 4; 17/4; 9/2; 9/2; 9/2; 15/4; ; 41/10; 5; 41/10; 39/10; ; 17/4; 9/2; ; ; 24/5; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-15 22:22:51 GMT+3; 2017-08-15 19:45; In Play; Xlenovo
Tranmere; 4/5; 8/11; ; 4/7; 4/9; ; 3/4; 4/6; 17/35; ; ; 2/5; 4/5; ; ; ; 13/18; 11/18; ; ; ; 17/35; ; ; 8/15; ; ; 8/15; 
Draw; 11/5; 2; ; 5/2; 10/3; ; 19/10; 9/5; 16/5; ; ; 3; 39/20; ; ; ; 7/4; 45/17; ; ; ; 29/10; ; ; 11/4; ; ; 14/5; 
Guiseley; 9/2; 9/2; ; 24/5; 6; ; 5; 5; 9/2; ; ; 5; 5; ; ; ; 5; ; ; ; ; 9/2; ; ; 9/2; ; ; 29/5; 
