META; english/non-league/national-league/wrexham-v-barrow; 2017-12-27 18:24:46 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-28 14:25:04 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 13/15; ; ; 9/10; 9/10; ; 9/10; 10/11; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 40/17; ; ; 23/10; 12/5; ; 12/5; 40/17; ; ; ; 
Barrow; 3; ; ; ; ; ; ; ; 37/13; ; ; ; ; ; ; ; ; 29/10; ; ; 37/13; 3; ; 3; 56/19; ; ; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-28 18:24:59 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 13/15; ; ; 9/10; 9/10; ; 9/10; 10/11; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 40/17; ; ; 23/10; 12/5; ; 12/5; 40/17; ; ; ; 
Barrow; 3; ; ; ; ; ; ; ; 37/13; ; ; ; ; ; ; ; ; 29/10; ; ; 37/13; 3; ; 3; 56/19; ; ; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-28 22:24:57 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 13/15; ; ; 9/10; 9/10; 10/11; 9/10; 10/11; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 40/17; ; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; ; ; 
Barrow; 3; ; ; ; ; ; ; ; 37/13; ; ; ; ; ; ; ; ; 29/10; ; ; 37/13; 3; 31/10; 3; 56/19; ; ; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-29 02:24:49 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 13/15; ; ; 9/10; 9/10; 10/11; 9/10; 10/11; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 40/17; ; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; ; ; 
Barrow; 3; ; ; ; ; ; ; ; 37/13; ; ; ; ; ; ; ; ; 29/10; ; ; 37/13; 3; 31/10; 3; 56/19; ; ; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-29 10:24:51 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; ; 9/10; ; 9/10; ; 10/11; 5/6; ; 9/10; ; ; 11/13; 13/15; 11/13; ; 9/10; 9/10; 37/40; 9/10; 10/11; ; ; ; 
Draw; 12/5; ; ; ; ; ; 23/10; ; 23/10; ; 23/10; 12/5; ; 47/20; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 23/10; 12/5; 40/17; ; ; ; 
Barrow; 3; ; ; ; ; ; 29/10; ; 37/13; ; 3; 11/4; ; 14/5; ; ; 11/4; 29/10; 11/4; ; 37/13; 3; 16/5; 3; 56/19; ; ; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-29 18:24:59 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; 17/20; 10/11; ; 9/10; ; 10/11; 5/6; ; 17/20; ; ; 11/13; 10/11; 11/13; ; 9/10; 9/10; 10/11; 9/10; 10/11; ; 4/5; ; 
Draw; 12/5; ; ; ; ; 23/10; 23/10; ; 23/10; ; 12/5; 12/5; ; 12/5; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; ; 
Barrow; 3; ; ; ; ; 29/10; 29/10; ; 37/13; ; 29/10; 11/4; ; 14/5; ; ; 11/4; 56/19; 11/4; ; 37/13; 3; 31/10; 3; 3; ; 13/5; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-29 22:25:01 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; 17/20; 10/11; ; 9/10; ; 10/11; 5/6; ; 17/20; ; ; 11/13; 10/11; 11/13; ; 9/10; 9/10; 10/11; 9/10; 10/11; ; 8/11; ; 
Draw; 12/5; ; ; ; ; 23/10; 23/10; ; 23/10; ; 23/10; 12/5; ; 47/20; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 12/5; 12/5; 12/5; ; 21/10; ; 
Barrow; 3; ; ; ; ; 29/10; 29/10; ; 37/13; ; 29/10; 11/4; ; 14/5; ; ; 11/4; 56/19; 11/4; ; 37/13; 3; 31/10; 3; 3; ; 13/5; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-30 02:24:54 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; 17/20; 10/11; ; 9/10; ; 10/11; 5/6; ; 17/20; ; ; 11/13; 10/11; 11/13; ; 9/10; 9/10; 10/11; 9/10; 10/11; ; 8/11; ; 
Draw; 12/5; ; ; ; ; 23/10; 23/10; ; 23/10; ; 23/10; 12/5; ; 12/5; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 12/5; 12/5; 12/5; ; 9/4; ; 
Barrow; 3; ; ; ; ; 29/10; 29/10; ; 37/13; ; 29/10; 11/4; ; 14/5; ; ; 11/4; 56/19; 11/4; ; 37/13; 3; 31/10; 3; 3; ; 13/5; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-30 10:24:51 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; 17/20; 10/11; ; 9/10; ; 10/11; 5/6; ; 17/20; ; ; 11/13; 10/11; 11/13; ; 9/10; 9/10; 10/11; 9/10; 10/11; ; 8/11; ; 
Draw; 12/5; ; ; ; ; 23/10; 23/10; ; 23/10; ; 23/10; 12/5; ; 47/20; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 12/5; 12/5; 12/5; ; 9/4; ; 
Barrow; 3; ; ; ; ; 29/10; 29/10; ; 37/13; ; 29/10; 11/4; ; 14/5; ; ; 11/4; 56/19; 11/4; ; 37/13; 3; 31/10; 3; 3; ; 13/5; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-30 14:25:33 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; 10/11; ; 17/20; 10/11; ; 9/10; ; 10/11; 5/6; ; 9/10; ; ; 11/13; 10/11; 11/13; ; 9/10; 9/10; 10/11; 9/10; 10/11; ; 8/11; ; 
Draw; 12/5; ; ; 23/10; ; 23/10; 23/10; ; 23/10; ; 23/10; 12/5; ; 47/20; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 12/5; 12/5; 12/5; ; 9/4; ; 
Barrow; 3; ; ; 14/5; ; 29/10; 29/10; ; 37/13; ; 29/10; 11/4; ; 11/4; ; ; 11/4; 56/19; 11/4; ; 37/13; 3; 31/10; 3; 3; ; 13/5; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-30 18:24:49 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 3/4; ; 4/5; 10/11; 9/10; 4/5; 17/20; ; 9/10; 4/5; 5/6; 3/4; ; 4/5; 5/6; 4/5; 7/9; 5/6; 7/9; 10/13; 9/10; 4/5; 4/5; 4/5; 5/6; ; 8/11; ; 
Draw; 5/2; ; 23/10; 23/10; 63/25; 12/5; 23/10; ; 23/10; 23/10; 23/10; 11/5; ; 23/10; 5/2; 9/4; 11/5; 12/5; 11/5; 12/5; 23/10; 5/2; 5/2; 49/20; 12/5; ; 11/5; ; 
Barrow; 15/4; ; 7/2; 14/5; 73/20; 3; 16/5; ; 37/13; 7/2; 10/3; 7/2; ; 17/5; 16/5; 16/5; 13/4; 57/17; 13/4; 31/10; 37/13; 7/2; 18/5; 7/2; 57/17; ; 14/5; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-30 22:23:05 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 4/5; 11/10; 10/11; 10/11; 19/20; 5/6; 20/21; ; 9/10; 10/11; 17/20; 20/23; ; 9/10; 10/11; 17/20; 7/9; 10/11; 7/9; 10/11; 9/10; 9/10; 9/10; 9/10; 10/11; ; 5/6; ; 
Draw; 12/5; 12/5; 11/5; 23/10; 13/5; 12/5; 23/10; ; 23/10; 11/5; 9/4; 21/10; ; 11/5; 12/5; 9/4; 11/5; 23/10; 11/5; 40/17; 23/10; 12/5; 12/5; 47/20; 40/17; ; 11/5; ; 
Barrow; 18/5; 11/5; 3; 14/5; 13/4; 16/5; 14/5; ; 37/13; 3; 16/5; 3; ; 3; 3; 3; 13/4; 58/19; 13/4; 3; 37/13; 3; 16/5; 3; 31/10; ; 14/5; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-31 02:23:06 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 4/5; 11/10; 10/11; 10/11; 19/20; 5/6; 10/11; ; 9/10; 10/11; 17/20; 20/23; ; 9/10; 10/11; 17/20; 7/9; 10/11; 7/9; 10/11; 9/10; 9/10; 20/23; 9/10; 10/11; ; 5/6; ; 
Draw; 12/5; 12/5; 11/5; 23/10; 13/5; 12/5; 23/10; ; 23/10; 11/5; 9/4; 21/10; ; 11/5; 12/5; 9/4; 11/5; 23/10; 11/5; 40/17; 23/10; 12/5; 12/5; 47/20; 23/10; ; 23/10; ; 
Barrow; 18/5; 11/5; 3; 14/5; 13/4; 16/5; 14/5; ; 37/13; 3; 16/5; 3; ; 31/10; 3; 3; 13/4; 3; 13/4; 3; 37/13; 3; 10/3; 3; 58/19; ; 14/5; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-31 10:23:09 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 4/5; 4/5; 13/15; 17/20; 19/20; 5/6; 17/20; ; 9/10; 20/23; 17/20; 4/5; ; 9/10; 10/11; 5/6; 7/9; 10/11; 7/9; 10/11; 9/10; 9/10; 20/23; 9/10; 10/11; ; 9/10; 5/6; 
Draw; 12/5; 12/5; 11/5; 11/5; 13/5; 12/5; 23/10; ; 23/10; 11/5; 23/10; 9/4; ; 11/5; 12/5; 9/4; 11/5; 23/10; 11/5; 40/17; 23/10; 12/5; 12/5; 47/20; 23/10; ; 23/10; 21/10; 
Barrow; 18/5; 11/4; 3; 16/5; 13/4; 16/5; 16/5; ; 37/13; 3; 16/5; 3; ; 31/10; 3; 3; 13/4; 3; 13/4; 3; 37/13; 3; 10/3; 16/5; 58/19; ; 14/5; 3; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-31 14:23:42 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; 17/20; 19/20; 10/11; 49/50; 5/6; 9/10; ; 9/10; 19/20; 10/11; 20/23; ; 19/20; 19/20; 10/11; 7/9; 10/11; 7/9; 39/40; 9/10; 9/10; 20/21; 9/10; 10/11; ; 10/11; 5/6; 
Draw; 23/10; 12/5; 11/5; 23/10; 5/2; 12/5; 23/10; ; 23/10; 11/5; 23/10; 21/10; ; 43/20; 12/5; 11/5; 11/5; 23/10; 11/5; 40/17; 23/10; 12/5; 12/5; 47/20; 40/17; ; 23/10; 21/10; 
Barrow; 16/5; 10/3; 29/10; 10/3; 13/4; 16/5; 3; ; 37/13; 29/10; 3; 14/5; ; 14/5; 14/5; 14/5; 13/4; 3; 13/4; 11/4; 37/13; 3; 29/10; 3; 3; ; 3; 3; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-31 18:23:21 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; 17/20; 19/20; 10/11; 26/25; 5/6; 20/21; ; 9/10; 19/20; 19/20; 20/21; ; 19/20; 19/20; 10/11; 7/9; 19/20; 7/9; 39/40; 9/10; 1; 20/21; 19/20; 19/20; ; 20/21; 10/11; 
Draw; 23/10; 12/5; 21/10; 23/10; 123/ 50; 12/5; 23/10; ; 23/10; 21/10; 9/4; 21/10; ; 43/20; 12/5; 21/10; 11/5; 23/10; 11/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; ; 21/10; 2; 
Barrow; 16/5; 10/3; 29/10; 10/3; 61/20; 16/5; 3; ; 37/13; 29/10; 29/10; 11/4; ; 29/10; 14/5; 14/5; 13/4; 37/13; 13/4; 14/5; 37/13; 14/5; 3; 59/20; 29/10; ; 14/5; 14/5; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-31 22:23:18 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; 1; 19/20; 10/11; 26/25; 9/10; 20/21; ; 9/10; 19/20; 10/11; 20/21; ; 19/20; 19/20; 10/11; 13/15; 19/20; 13/15; 39/40; 9/10; 1; 20/21; 19/20; 19/20; ; 20/21; 10/11; 
Draw; 23/10; 9/4; 21/10; 23/10; 123/ 50; 12/5; 23/10; ; 23/10; 21/10; 11/5; 21/10; ; 43/20; 12/5; 21/10; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; ; 9/4; 2; 
Barrow; 16/5; 3; 29/10; 10/3; 61/20; 29/10; 29/10; ; 37/13; 29/10; 31/10; 11/4; ; 29/10; 14/5; 14/5; 11/4; 37/13; 11/4; 14/5; 37/13; 14/5; 31/10; 59/20; 29/10; ; 3; 14/5; 
META; english/non-league/national-league/wrexham-v-barrow; 2018-01-01 02:23:16 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; 1; 19/20; 10/11; 101/ 100; 9/10; 20/21; ; 9/10; 19/20; 10/11; 20/21; ; 19/20; 19/20; 10/11; 13/15; 19/20; 13/15; 39/40; 9/10; 1; 20/21; 19/20; 19/20; ; 20/21; 10/11; 
Draw; 23/10; 9/4; 21/10; 23/10; 62/25; 12/5; 23/10; ; 23/10; 21/10; 11/5; 21/10; ; 43/20; 12/5; 21/10; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; ; 9/4; 2; 
Barrow; 16/5; 3; 29/10; 10/3; 63/20; 29/10; 3; ; 37/13; 29/10; 31/10; 11/4; ; 29/10; 14/5; 14/5; 11/4; 29/10; 11/4; 14/5; 37/13; 14/5; 31/10; 59/20; 56/19; ; 3; 14/5; 
META; english/non-league/national-league/wrexham-v-barrow; 2018-01-01 10:23:26 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 1; 23/20; 21/20; 23/20; 11/10; 19/20; 21/20; ; 9/10; 21/20; 1; 1; ; 21/20; 21/20; 10/11; 13/15; 1; 13/15; 13/12; 9/10; 21/20; 21/20; 1; 1; ; 1; 21/20; 
Draw; 23/10; 11/5; 21/10; 11/5; 121/ 50; 12/5; 9/4; ; 23/10; 21/10; 11/5; 2; ; 21/10; 9/4; 21/10; 9/4; 9/4; 9/4; 9/4; 23/10; 23/10; 9/4; 9/4; 9/4; ; 11/5; 11/5; 
Barrow; 14/5; 13/5; 13/5; 13/5; 29/10; 11/4; 11/4; ; 37/13; 13/5; 11/4; 5/2; ; 13/5; 13/5; 14/5; 11/4; 27/10; 11/4; 28/11; 37/13; 14/5; 11/4; 14/5; 27/10; ; 14/5; 14/5; 
META; english/non-league/national-league/wrexham-v-barrow; 2018-01-01 14:24:25 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 21/20; 21/20; 21/20; 1; 11/10; 1; 21/20; ; 13/12; 21/20; 1; 21/20; ; 21/20; 21/20; 10/11; 13/15; 1; 13/15; 13/12; 13/12; 11/10; 21/20; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 9/4; 11/5; 2; 11/5; 119/ 50; 12/5; 11/5; ; 21/10; 2; 11/5; 2; ; 41/20; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 21/10; 11/5; 9/4; 11/5; 9/4; ; 11/5; 11/5; 
Barrow; 11/4; 29/10; 13/5; 13/5; 147/ 50; 13/5; 11/4; ; 5/2; 13/5; 11/4; 5/2; ; 27/10; 13/5; 14/5; 11/4; 27/10; 11/4; 13/5; 5/2; 11/4; 14/5; 27/10; 11/4; ; 14/5; 14/5; 
