META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-24 02:24:30 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 8/15; ; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; ; 1/2; 1/2; ; ; ; 1/2; 1/2; 1/2; 1/2; 8/15; ; 1/2; 8/15; 1/2; 1/2; ; ; ; 
Draw; 10/3; 3; ; 14/5; 16/5; 3; 10/3; 3; 31/10; ; 11/4; 29/10; ; ; ; 3; 31/10; 31/10; 16/5; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; ; ; 
Solihull Moors; 9/2; 5; ; 5; 5; 4; 21/4; 9/2; 22/5; ; 9/2; 5; ; ; ; 5; 4; 22/5; 9/2; 57/10; ; 22/5; 19/4; 9/2; 19/4; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-26 22:24:34 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 8/15; ; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; ; 1/2; 1/2; ; ; ; 1/2; 1/2; 1/2; 1/2; 53/100; ; 1/2; 8/15; 1/2; 1/2; ; ; ; 
Draw; 10/3; 3; ; 14/5; 16/5; 3; 10/3; 3; 31/10; ; 11/4; 29/10; ; ; ; 3; 31/10; 31/10; 16/5; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; ; ; 
Solihull Moors; 9/2; 5; ; 5; 5; 4; 21/4; 9/2; 22/5; ; 9/2; 5; ; ; ; 5; 4; 22/5; 9/2; 29/5; ; 22/5; 19/4; 9/2; 19/4; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-27 02:23:03 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 8/15; ; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; ; 1/2; 1/2; ; ; ; 1/2; 1/2; 1/2; 1/2; 53/100; ; 1/2; 8/15; 1/2; 1/2; ; ; ; 
Draw; 10/3; 3; ; 14/5; 16/5; 3; 10/3; 3; 31/10; ; 11/4; 29/10; ; ; ; 3; 31/10; 31/10; 16/5; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; ; ; 
Solihull Moors; 9/2; 5; ; 5; 5; 4; 21/4; 9/2; 22/5; ; 9/2; 5; ; ; ; 5; 4; 22/5; 9/2; 29/5; ; 22/5; 19/4; 9/2; 19/4; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-27 10:23:10 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 8/15; ; 1/2; 1/2; 1/2; 8/15; 4/9; 1/2; ; 1/2; 1/2; ; ; ; 1/2; 1/2; 1/2; 1/2; 53/100; ; 1/2; 8/15; 1/2; 1/2; ; ; ; 
Draw; 10/3; 3; ; 14/5; 31/10; 3; 31/10; 3; 31/10; ; 11/4; 29/10; ; ; ; 3; 31/10; 31/10; 16/5; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; ; ; 
Solihull Moors; 9/2; 5; ; 5; 5; 4; 5; 9/2; 22/5; ; 9/2; 5; ; ; ; 5; 4; 22/5; 50/11; 29/5; ; 22/5; 19/4; 9/2; 19/4; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-27 14:24:27 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 8/15; ; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; ; 1/2; 1/2; ; ; ; 1/2; 1/2; 1/2; 1/2; 53/100; ; 1/2; 8/15; 1/2; 1/2; ; 1/50; ; 
Draw; 10/3; 3; ; 14/5; 31/10; 3; 10/3; 3; 31/10; ; 11/4; 29/10; ; ; ; 3; 31/10; 31/10; 16/5; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; 2/9; ; 
Solihull Moors; 9/2; 5; ; 5; 5; 4; 21/4; 9/2; 22/5; ; 9/2; 5; ; ; ; 5; 4; 22/5; 9/2; 29/5; ; 22/5; 19/4; 9/2; 19/4; ; 1/50; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-27 18:22:24 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 8/15; ; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; ; 1/2; 1/2; ; ; ; 1/2; 1/2; 1/2; 18/35; 53/100; ; 1/2; 8/15; 1/2; 1/2; ; 1/9; ; 
Draw; 10/3; 3; ; 14/5; 31/10; 3; 16/5; 3; 31/10; ; 3; 29/10; ; ; ; 3; 31/10; 31/10; 13/4; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; 21/10; ; 
Solihull Moors; 9/2; 5; ; 5; 5; 4; 11/2; 9/2; 22/5; ; 9/2; 5; ; ; ; 5; 4; 22/5; 50/11; 29/5; ; 22/5; 19/4; 9/2; 19/4; ; 1/9; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-27 22:23:11 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 8/15; ; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; ; 1/2; 1/2; ; ; ; 1/2; 1/2; 1/2; 18/35; 53/100; ; 1/2; 8/15; 1/2; 1/2; ; 1/9; ; 
Draw; 10/3; 3; ; 14/5; 31/10; 3; 10/3; 3; 31/10; ; 3; 29/10; ; ; ; 3; 31/10; 31/10; 16/5; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; 21/10; ; 
Solihull Moors; 9/2; 5; ; 5; 5; 4; 21/4; 9/2; 22/5; ; 9/2; 5; ; ; ; 5; 4; 22/5; 79/17; 29/5; ; 22/5; 19/4; 5; 19/4; ; 1/9; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-28 02:23:04 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 8/15; ; 1/2; 1/2; 1/2; 8/15; 4/9; 1/2; ; 1/2; 1/2; ; 4/9; ; 1/2; 1/2; 1/2; 18/35; 53/100; ; 1/2; 8/15; 1/2; 1/2; ; ; ; 
Draw; 10/3; 3; ; 14/5; 31/10; 3; 31/10; 3; 31/10; ; 11/4; 29/10; ; 3; ; 3; 31/10; 31/10; 13/4; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; ; ; 
Solihull Moors; 9/2; 5; ; 5; 5; 4; 5; 9/2; 22/5; ; 5; 5; ; 9/2; ; 5; 4; 22/5; 50/11; 29/5; ; 22/5; 19/4; 5; 19/4; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-28 10:23:03 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 8/15; ; 1/2; 1/2; 1/2; 8/15; 4/9; 1/2; ; 4/9; 1/2; ; 4/9; ; 1/2; 1/2; 1/2; 18/35; 53/100; ; 1/2; 8/15; 1/2; 1/2; ; 1/9; ; 
Draw; 10/3; 3; ; 14/5; 31/10; 3; 31/10; 3; 31/10; ; 3; 29/10; ; 3; ; 3; 31/10; 31/10; 13/4; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; 21/10; ; 
Solihull Moors; 9/2; 5; ; 5; 5; 4; 5; 9/2; 22/5; ; 5; 5; ; 9/2; ; 5; 4; 22/5; 23/5; 29/5; ; 22/5; 19/4; 9/2; 19/4; ; 1/9; ; 
