AFC Fylde; 7/10; 3/4; 7/10; 4/5; 8/11; 7/10; 8/11; ; 4/6; 7/10; 8/11; 4/6; ; 8/11; 8/11; 7/10; 13/18; 9/13; 3/4; 14/19; 4/6; ; 7/10; 8/11; 9/13; ; 8/11; 8/11; 
Draw; 3; 11/4; 11/4; 13/5; 13/5; 27/10; 14/5; ; 37/13; 11/4; 11/4; 13/5; ; 27/10; 11/4; 13/5; 13/5; 37/13; 61/20; 3; 37/13; ; 3; 14/5; 37/13; ; 14/5; ; 
Guiseley; 10/3; 16/5; 10/3; 3; 3; 16/5; 7/2; ; 33/10; 10/3; 10/3; 10/3; ; 16/5; 7/2; 16/5; 3; 7/2; 77/20; 58/19; 33/10; ; 7/2; 10/3; 39/11; ; 10/3; 10/3; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-21 18:24:33 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 13/20; 8/11; 4/6; 3/4; 8/11; 4/6; 7/10; ; 4/6; 4/6; 4/6; 4/6; ; 4/6; 7/10; 4/6; 13/18; 4/6; 73/100; 4/6; 4/6; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 
Draw; 3; 11/4; 11/4; 13/5; 13/5; 27/10; 14/5; ; 37/13; 11/4; 11/4; 13/5; ; 27/10; 14/5; 13/5; 13/5; 37/13; 63/20; 58/19; 37/13; ; 3; 57/20; 29/10; ; 14/5; ; 
Guiseley; 15/4; 10/3; 7/2; 10/3; 3; 7/2; 7/2; ; 33/10; 7/2; 7/2; 10/3; ; 7/2; 7/2; 10/3; 3; 62/17; 77/20; 38/11; 33/10; ; 18/5; 7/2; 62/17; ; 7/2; 7/2; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-21 22:24:22 GMT+2; 2017-11-21 19:45; In Play; Xlenovo
AFC Fylde; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Guiseley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-06 22:21:40 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-07 02:21:28 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-07 10:21:28 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-07 14:26:03 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-07 18:22:59 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-07 22:23:35 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/11; 8/11; ; ; ; ; ; ; ; ; 8/11; ; ; ; ; 7/10; ; ; ; ; ; ; 8/11; ; ; ; ; ; 
Draw; 13/5; 13/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; 13/5; ; ; ; ; ; 
Guiseley; 15/4; 7/2; ; ; ; ; ; ; ; ; 19/5; ; ; ; ; 7/2; ; ; ; ; ; ; 4; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-08 02:23:32 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/11; 8/11; ; ; ; ; ; ; ; ; 8/11; ; ; ; ; 7/10; ; ; ; ; ; ; 8/11; ; ; ; ; ; 
Draw; 13/5; 13/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; 13/5; ; ; ; ; ; 
Guiseley; 15/4; 7/2; ; ; ; ; ; ; ; ; 19/5; ; ; ; ; 7/2; ; ; ; ; ; ; 4; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-08 10:22:24 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/11; 8/11; ; ; ; ; ; ; ; ; 8/11; ; ; ; ; 7/10; 7/10; ; 7/10; ; ; ; 8/11; 7/10; ; ; ; ; 
Draw; 13/5; 13/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 5/2; 12/5; ; 12/5; ; ; ; 13/5; 27/10; ; ; ; ; 
Guiseley; 15/4; 7/2; ; ; ; ; ; ; ; ; 19/5; ; ; ; ; 7/2; 15/4; ; 15/4; ; ; ; 4; 15/4; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-08 14:24:19 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/11; 3/4; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; 7/10; 7/10; ; 7/10; ; ; ; 8/11; 7/10; ; ; ; ; 
Draw; 13/5; 11/4; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; 5/2; 12/5; ; 12/5; ; ; ; 27/10; 27/10; ; ; ; ; 
Guiseley; 15/4; 10/3; ; ; ; ; ; ; ; ; 19/5; ; ; ; ; 7/2; 15/4; ; 15/4; ; ; ; 15/4; 15/4; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-08 18:24:40 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/11; 3/4; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; 7/10; 7/10; ; 7/10; ; ; ; 8/11; 7/10; ; ; ; ; 
Draw; 13/5; 11/4; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; 5/2; 12/5; ; 12/5; ; ; ; 27/10; 27/10; ; ; ; ; 
Guiseley; 15/4; 10/3; ; ; ; ; ; ; ; ; 19/5; ; ; ; ; 7/2; 15/4; ; 15/4; ; ; ; 15/4; 15/4; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-08 22:23:29 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/11; 3/4; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; 7/10; 7/10; ; 7/10; ; ; ; 8/11; 7/10; ; ; ; ; 
Draw; 13/5; 11/4; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; 5/2; 12/5; ; 12/5; ; ; ; 27/10; 27/10; ; ; ; ; 
Guiseley; 15/4; 10/3; ; ; ; ; ; ; ; ; 19/5; ; ; ; ; 7/2; 15/4; ; 15/4; ; ; ; 15/4; 15/4; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-09 02:22:39 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
