META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-27 18:24:24 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Draw; 5/2; ; 23/10; 12/5; 5/2; 23/10; 12/5; ; 12/5; 23/10; 12/5; 21/10; ; 23/10; 12/5; 23/10; 12/5; 27/11; 12/5; 5/2; 12/5; ; 5/2; 49/20; 27/11; ; 2; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-30 22:22:42 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 5/4; 5/4; 13/10; 23/20; 38/25; 6/5; 13/10; ; 15/13; 13/10; 13/10; 5/4; ; 13/10; 5/4; 5/4; 15/13; 13/10; 15/13; 23/18; 15/13; ; 11/8; 13/10; 13/10; ; 11/10; ; 
AFC Fylde; 2; 19/10; 28/15; 2; 101/ 50; 19/10; 19/10; ; 39/19; 15/8; 19/10; 19/10; ; 15/8; 2; 15/8; 24/13; 19/10; 24/13; 28/15; 39/19; ; 19/10; 19/10; 37/19; ; 19/10; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; ; 12/5; 9/4; 23/10; 21/10; ; 9/4; 12/5; 9/4; 12/5; 40/17; 12/5; 28/11; 12/5; ; 5/2; 12/5; 12/5; ; 9/4; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-31 02:22:43 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 5/4; 5/4; 13/10; 23/20; 38/25; 6/5; 13/10; ; 15/13; 13/10; 13/10; 5/4; ; 13/10; 5/4; 5/4; 15/13; 13/10; 15/13; 23/18; 15/13; ; 11/8; 13/10; 13/10; ; 11/10; ; 
AFC Fylde; 2; 19/10; 28/15; 2; 101/ 50; 19/10; 19/10; ; 39/19; 15/8; 19/10; 19/10; ; 15/8; 2; 15/8; 24/13; 19/10; 24/13; 28/15; 39/19; ; 19/10; 19/10; 19/10; ; 9/5; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; ; 12/5; 9/4; 23/10; 21/10; ; 9/4; 12/5; 9/4; 12/5; 40/17; 12/5; 28/11; 12/5; ; 5/2; 12/5; 12/5; ; 23/10; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-31 10:22:46 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 5/4; 5/4; 13/10; 23/20; 38/25; 6/5; 13/10; ; 16/13; 13/10; 13/10; 13/10; ; 13/10; 5/4; 5/4; 15/13; 13/10; 15/13; 23/18; 16/13; ; 11/8; 13/10; 13/10; ; 6/5; 5/4; 
AFC Fylde; 2; 19/10; 28/15; 2; 101/ 50; 19/10; 19/10; ; 37/19; 15/8; 19/10; 15/8; ; 15/8; 2; 15/8; 24/13; 19/10; 24/13; 28/15; 37/19; ; 19/10; 19/10; 19/10; ; 7/4; 19/10; 
Draw; 5/2; 12/5; 9/4; 12/5; 47/20; 9/4; 12/5; ; 23/10; 9/4; 23/10; 21/10; ; 9/4; 12/5; 9/4; 12/5; 40/17; 12/5; 28/11; 23/10; ; 5/2; 12/5; 40/17; ; 23/10; 21/10; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-31 14:23:18 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 5/4; 13/10; 27/20; 6/5; 5/4; ; 16/13; 5/4; 5/4; 6/5; ; 13/10; 5/4; 5/4; 15/13; 5/4; 15/13; 9/7; 16/13; ; 5/4; 13/10; 5/4; ; 5/4; 6/5; 
AFC Fylde; 2; 19/10; 19/10; 2; 54/25; 19/10; 2; ; 37/19; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 24/13; 37/19; 24/13; 19/10; 37/19; ; 21/10; 39/20; 2; ; 19/10; 19/10; 
Draw; 5/2; 12/5; 9/4; 12/5; 63/25; 9/4; 23/10; ; 23/10; 9/4; 23/10; 11/5; ; 9/4; 12/5; 9/4; 12/5; 40/17; 12/5; 27/11; 23/10; ; 5/2; 12/5; 12/5; ; 23/10; 21/10; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-31 18:22:58 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; 13/10; 6/5; 13/10; 32/25; 6/5; 6/5; ; 16/13; 6/5; 6/5; 23/20; ; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 17/14; 16/13; ; 6/5; 6/5; 6/5; ; 6/5; 23/20; 
AFC Fylde; 21/10; 19/10; 2; 2; 23/10; 19/10; 21/10; ; 37/19; 2; 21/10; 2; ; 41/20; 21/10; 2; 24/13; 39/19; 24/13; 39/19; 37/19; ; 85/40; 21/10; 39/19; ; 2; 19/10; 
Draw; 5/2; 12/5; 9/4; 12/5; 63/25; 9/4; 12/5; ; 23/10; 9/4; 23/10; 11/5; ; 9/4; 23/10; 9/4; 12/5; 40/17; 12/5; 27/11; 23/10; ; 5/2; 12/5; 12/5; ; 23/10; 21/10; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-31 22:22:55 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; 6/5; 6/5; 5/4; 129/ 100; 6/5; 6/5; ; 16/13; 6/5; 6/5; 23/20; ; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 17/14; 16/13; ; 6/5; 6/5; 6/5; ; 6/5; 23/20; 
AFC Fylde; 21/10; 11/5; 2; 21/10; 113/ 50; 19/10; 21/10; ; 37/19; 2; 21/10; 2; ; 41/20; 21/10; 2; 24/13; 39/19; 24/13; 39/19; 37/19; ; 85/40; 21/10; 39/19; ; 2; 19/10; 
Draw; 5/2; 12/5; 9/4; 12/5; 127/ 50; 9/4; 12/5; ; 23/10; 9/4; 23/10; 11/5; ; 9/4; 23/10; 9/4; 12/5; 40/17; 12/5; 27/11; 23/10; ; 5/2; 12/5; 12/5; ; 23/10; 21/10; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2018-01-01 02:22:53 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; 6/5; 6/5; 5/4; 32/25; 6/5; 6/5; ; 16/13; 6/5; 6/5; 23/20; ; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 17/14; 16/13; ; 6/5; 6/5; 6/5; ; 6/5; 23/20; 
AFC Fylde; 21/10; 11/5; 2; 21/10; 57/25; 19/10; 21/10; ; 37/19; 2; 21/10; 2; ; 41/20; 21/10; 2; 24/13; 39/19; 24/13; 39/19; 37/19; ; 85/40; 21/10; 21/10; ; 21/10; 2; 
Draw; 5/2; 12/5; 9/4; 12/5; 127/ 50; 9/4; 12/5; ; 23/10; 9/4; 23/10; 11/5; ; 9/4; 23/10; 9/4; 12/5; 40/17; 12/5; 27/11; 23/10; ; 5/2; 12/5; 12/5; ; 23/10; 21/10; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2018-01-01 10:23:03 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; 5/4; 5/4; 5/4; 67/50; 6/5; 5/4; ; 16/13; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; 15/13; 5/4; 15/13; 16/13; 16/13; ; 5/4; 5/4; 5/4; ; 5/4; 6/5; 
AFC Fylde; 21/10; 21/10; 2; 21/10; 54/25; 19/10; 2; ; 37/19; 2; 21/10; 2; ; 2; 21/10; 2; 24/13; 2; 24/13; 57/29; 37/19; ; 21/10; 2; 39/19; ; 21/10; 21/10; 
Draw; 5/2; 12/5; 9/4; 12/5; 127/ 50; 9/4; 12/5; ; 23/10; 9/4; 23/10; 21/10; ; 9/4; 23/10; 9/4; 12/5; 40/17; 12/5; 5/2; 23/10; ; 12/5; 12/5; 12/5; ; 23/10; 23/10; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2018-01-01 14:23:56 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 5/4; 5/4; 5/4; 6/5; 67/50; 6/5; 5/4; ; 16/13; 5/4; 5/4; 5/4; ; 5/4; 13/10; 6/5; 15/13; 5/4; 15/13; 24/19; 16/13; ; 13/10; 5/4; 5/4; ; 5/4; 13/10; 
AFC Fylde; 2; 21/10; 19/10; 2; 43/20; 19/10; 2; ; 37/19; 19/10; 2; 19/10; ; 39/20; 2; 2; 24/13; 2; 24/13; 23/12; 37/19; ; 2; 2; 2; ; 2; 2; 
Draw; 5/2; 12/5; 9/4; 23/10; 64/25; 9/4; 12/5; ; 23/10; 9/4; 23/10; 21/10; ; 9/4; 23/10; 9/4; 12/5; 12/5; 12/5; 5/2; 23/10; ; 12/5; 12/5; 12/5; ; 12/5; 23/10; 
