META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-10 18:24:54 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Draw; 5/2; 12/5; 9/4; ; 12/5; 11/5; 5/2; 12/5; 12/5; ; ; 23/10; 5/2; ; ; 12/5; 9/4; ; 12/5; 66/25; ; 12/5; ; 5/2; 5/2; ; 9/4; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-13 18:23:16 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 31/21; ; ; 29/20; 6/4; ; ; 16/11; 16/11; ; 16/11; 41/25; ; 31/21; ; 6/4; 6/4; ; 13/10; ; 
Aldershot; 13/8; 15/8; 33/20; 8/5; 13/8; 31/20; 17/10; 6/4; 17/11; ; ; 8/5; 13/8; ; ; 8/5; 17/11; ; 17/11; 169/100; ; 17/11; ; 13/8; 13/8; ; 7/5; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 11/5; 5/2; 12/5; 12/5; ; ; 11/5; 5/2; ; ; 12/5; 9/4; ; 12/5; 66/25; ; 12/5; ; 5/2; 5/2; ; 9/4; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-13 22:23:17 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 31/21; ; ; 29/20; 6/4; ; 6/4; 16/11; 16/11; ; 6/4; 41/25; ; 31/21; ; 6/4; 6/4; ; 13/10; ; 
Aldershot; 13/8; 15/8; 33/20; 8/5; 8/5; 31/20; 17/10; 6/4; 17/11; ; ; 8/5; 13/8; ; 13/8; 8/5; 17/11; ; 8/5; 169/100; ; 17/11; ; 13/8; 13/8; ; 7/5; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 11/5; 5/2; 12/5; 12/5; ; ; 11/5; 5/2; ; 5/2; 12/5; 9/4; ; 27/11; 66/25; ; 12/5; ; 5/2; 5/2; ; 9/4; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-14 02:22:54 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 31/20; 6/4; 31/21; ; ; 29/20; 6/4; ; 6/4; 16/11; 16/11; ; 6/4; 41/25; ; 31/21; ; 6/4; 6/4; ; 13/10; ; 
Aldershot; 13/8; 15/8; 33/20; 8/5; 13/8; 31/20; 17/10; 6/4; 17/11; ; ; 8/5; 13/8; ; 13/8; 8/5; 17/11; ; 8/5; 169/100; ; 17/11; ; 13/8; 13/8; ; 7/5; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 12/5; 12/5; ; ; 11/5; 5/2; ; 5/2; 12/5; 9/4; ; 27/11; 66/25; ; 12/5; ; 5/2; 5/2; ; 9/4; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-14 10:23:11 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 31/20; 6/4; 31/21; ; ; 29/20; 6/4; ; 6/4; 16/11; 16/11; ; 6/4; 41/25; ; 31/21; ; 6/4; 6/4; ; 13/10; ; 
Aldershot; 13/8; 15/8; 33/20; 8/5; 13/8; 31/20; 17/10; 6/4; 17/11; ; ; 8/5; 13/8; ; 13/8; 8/5; 17/11; ; 8/5; 169/100; ; 17/11; ; 13/8; 13/8; ; 7/5; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 12/5; 12/5; ; ; 11/5; 5/2; ; 5/2; 12/5; 9/4; ; 27/11; 66/25; ; 12/5; ; 5/2; 5/2; ; 19/10; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-14 14:23:21 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 31/21; ; ; 29/20; 6/4; ; 6/4; 16/11; 16/11; ; 6/4; 41/25; ; 31/21; ; 6/4; 6/4; ; 13/10; ; 
Aldershot; 13/8; 15/8; 33/20; 8/5; 8/5; 31/20; 17/10; 6/4; 17/11; ; ; 8/5; 13/8; ; 13/8; 8/5; 17/11; ; 8/5; 169/100; ; 17/11; ; 13/8; 13/8; ; 7/5; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 12/5; 11/5; 5/2; 12/5; 12/5; ; ; 11/5; 5/2; ; 5/2; 12/5; 9/4; ; 27/11; 66/25; ; 12/5; ; 5/2; 5/2; ; 21/10; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-14 18:23:12 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 31/21; ; ; 29/20; 6/4; ; 6/4; 16/11; 16/11; ; 6/4; 41/25; ; 31/21; ; 6/4; 6/4; ; 13/10; ; 
Aldershot; 13/8; 15/8; 33/20; 8/5; 8/5; 31/20; 17/10; 6/4; 17/11; ; ; 8/5; 13/8; ; 13/8; 8/5; 17/11; ; 8/5; 169/100; ; 17/11; ; 13/8; 13/8; ; 7/5; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 11/5; 5/2; 12/5; 12/5; ; ; 11/5; 5/2; ; 5/2; 12/5; 9/4; ; 27/11; 66/25; ; 12/5; ; 5/2; 5/2; ; 19/10; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-14 22:23:25 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 31/21; ; ; 29/20; 6/4; 7/5; 6/4; 16/11; 16/11; ; 6/4; 41/25; ; 31/21; ; 6/4; 6/4; ; 17/10; ; 
Aldershot; 13/8; 15/8; 33/20; 8/5; 8/5; 31/20; 17/10; 6/4; 17/11; ; ; 31/20; 13/8; 8/5; 13/8; 8/5; 17/11; ; 8/5; 169/100; ; 17/11; ; 13/8; 13/8; ; 27/20; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 11/5; 12/5; 12/5; 12/5; ; ; 11/5; 5/2; 9/4; 5/2; 12/5; 9/4; ; 27/11; 66/25; ; 12/5; ; 5/2; 5/2; ; 23/10; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-15 02:22:36 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 31/21; ; ; 6/4; 6/4; 7/5; 6/4; 16/11; 16/11; ; 6/4; 41/25; ; 31/21; ; 6/4; 6/4; ; 11/8; ; 
Aldershot; 13/8; 15/8; 33/20; 8/5; 8/5; 31/20; 17/10; 6/4; 17/11; ; ; 8/5; 13/8; 8/5; 13/8; 8/5; 17/11; ; 8/5; 169/100; ; 17/11; ; 13/8; 13/8; ; 13/8; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 11/5; 5/2; 12/5; 12/5; ; ; 21/10; 5/2; 23/10; 5/2; 12/5; 9/4; ; 27/11; 66/25; ; 12/5; ; 5/2; 5/2; ; 9/4; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-15 10:22:11 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 31/21; ; ; 11/8; 6/4; 7/5; 6/4; 16/11; 16/11; ; 6/4; 33/20; ; 31/21; ; 6/4; 6/4; ; 17/10; ; 
Aldershot; 13/8; 15/8; 33/20; 8/5; 8/5; 31/20; 17/10; 6/4; 17/11; ; ; 8/5; 13/8; 8/5; 13/8; 8/5; 17/11; ; 8/5; 42/25; ; 17/11; ; 13/8; 13/8; ; 6/4; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 11/5; 12/5; 12/5; 12/5; ; ; 9/4; 5/2; 9/4; 5/2; 12/5; 9/4; ; 27/11; 66/25; ; 12/5; ; 5/2; 5/2; ; 9/4; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-15 14:22:27 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 31/21; ; ; 29/20; 6/4; 7/5; 6/4; 16/11; 16/11; ; 6/4; 33/20; ; 31/21; ; 6/4; 6/4; ; 5/4; ; 
Aldershot; 13/8; 15/8; 33/20; 8/5; 13/8; 31/20; 17/10; 6/4; 17/11; ; ; 8/5; 13/8; 8/5; 13/8; 8/5; 17/11; ; 8/5; 42/25; ; 17/11; ; 13/8; 13/8; ; 17/10; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 23/10; 11/5; 5/2; 12/5; 12/5; ; ; 21/10; 5/2; 23/10; 5/2; 12/5; 9/4; ; 27/11; 66/25; ; 12/5; ; 5/2; 5/2; ; 9/4; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-15 18:22:39 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 13/10; 7/5; 7/5; 6/4; 7/5; 29/20; 7/5; 6/4; 31/21; ; 11/8; 13/10; 6/4; 13/10; 11/8; 11/8; 16/11; ; 7/5; 37/25; 23/18; 31/21; ; 7/5; 7/5; ; 13/10; 23/20; 
Aldershot; 9/5; 15/8; 9/5; 9/5; 7/4; 31/20; 19/10; 6/4; 17/11; ; 9/5; 9/5; 13/8; 7/4; 15/8; 7/4; 17/11; ; 7/4; 51/25; 22/13; 17/11; ; 9/5; 7/4; ; 9/5; 7/5; 
Draw; 13/5; 12/5; 9/4; 23/10; 23/10; 11/5; 12/5; 12/5; 12/5; ; 11/5; 11/5; 5/2; 13/5; 23/10; 23/10; 9/4; ; 12/5; 121/50; 27/11; 12/5; ; 5/2; 12/5; ; 23/10; 19/10; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-15 22:23:41 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 13/10; 7/5; 7/5; 6/4; 29/20; 29/20; 7/5; 6/4; 31/21; 16/11; 27/20; 13/10; 7/5; 7/5; 11/8; 7/5; 16/11; ; 23/17; 31/20; 9/7; 31/21; ; 7/5; 7/5; ; 7/5; 23/20; 
Aldershot; 9/5; 19/10; 37/20; 9/5; 7/4; 31/20; 19/10; 6/4; 17/11; 9/5; 15/8; 9/5; 19/10; 9/5; 15/8; 7/4; 17/11; ; 24/13; 191/100; 12/7; 17/11; ; 9/5; 7/4; ; 9/5; 7/5; 
Draw; 13/5; 23/10; 11/5; 23/10; 9/4; 11/5; 12/5; 12/5; 12/5; 21/10; 11/5; 11/5; 49/20; 23/10; 23/10; 9/4; 9/4; ; 12/5; 49/20; 12/5; 12/5; ; 23/10; 12/5; ; 21/10; 19/10; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-16 02:24:24 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 13/10; 7/5; 7/5; 6/4; 7/5; 29/20; 29/20; 6/4; 31/21; 16/11; 29/20; 11/8; 29/20; 7/5; 11/8; 7/5; 16/11; ; 16/11; 31/20; 23/17; 31/21; ; 7/5; 7/5; ; 7/5; 11/8; 
Aldershot; 9/5; 19/10; 37/20; 9/5; 9/5; 8/5; 15/8; 6/4; 17/11; 9/5; 9/5; 17/10; 19/10; 9/5; 15/8; 7/4; 8/5; ; 7/4; 191/100; 25/14; 17/11; ; 9/5; 15/8; ; 9/5; 19/10; 
Draw; 13/5; 23/10; 11/5; 23/10; 9/4; 11/5; 23/10; 12/5; 12/5; 21/10; 21/10; 21/10; 47/20; 23/10; 23/10; 11/5; 11/5; ; 9/4; 49/20; 5/2; 12/5; ; 23/10; 9/4; ; 11/5; 2; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-16 10:23:09 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 13/10; 6/4; 29/20; 6/4; 7/5; 29/20; 29/20; 6/4; 31/21; 16/11; 29/20; 11/8; 29/20; 29/20; 6/4; 7/5; 16/11; ; 16/11; 31/20; 7/5; 31/21; ; 7/5; 6/4; ; 7/5; 7/5; 
Aldershot; 9/5; 9/5; 9/5; 9/5; 9/5; 8/5; 9/5; 6/4; 17/11; 9/5; 7/4; 17/10; 19/10; 9/5; 7/4; 7/4; 8/5; ; 7/4; 191/100; 24/13; 17/11; ; 9/5; 7/4; ; 9/5; 9/5; 
Draw; 13/5; 23/10; 43/20; 23/10; 9/4; 11/5; 23/10; 12/5; 12/5; 21/10; 21/10; 21/10; 47/20; 23/10; 9/4; 11/5; 11/5; ; 23/10; 49/20; 23/10; 12/5; ; 23/10; 9/4; ; 23/10; 2; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-16 14:24:30 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 13/10; 6/4; 29/20; 6/4; 29/20; ; 6/4; 6/4; 31/21; 16/11; 29/20; 11/8; 29/20; 29/20; 6/4; 7/5; 16/11; ; 16/11; 79/50; 7/5; 31/21; ; 7/5; 6/4; ; 6/4; 7/5; 
Aldershot; 9/5; 9/5; 9/5; 9/5; 7/4; ; 9/5; 6/4; 17/11; 7/4; 7/4; 17/10; 19/10; 9/5; 7/4; 7/4; 8/5; ; 7/4; 15/8; 24/13; 17/11; ; 9/5; 7/4; ; 19/10; 9/5; 
Draw; 13/5; 23/10; 43/20; 23/10; 9/4; ; 23/10; 12/5; 12/5; 21/10; 21/10; 21/10; 47/20; 23/10; 9/4; 11/5; 11/5; ; 23/10; 49/20; 23/10; 12/5; ; 23/10; 9/4; ; 11/5; 2; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-16 18:24:31 GMT+3; 2017-09-16 15:00; In Play; Xlenovo
Gateshead; 7/4; 15/8; ; 19/10; ; ; 19/10; ; ; ; 17/10; 6/4; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aldershot; 15/8; 2; ; 19/10; ; ; 21/10; ; ; ; 8/5; 13/8; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/4; 11/8; ; 7/5; ; ; 7/5; ; ; ; 21/10; 2; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
