META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-10 22:20:34 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; 13/10; 5/4; ; ; 4/7; ; 
Barrow; 19/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; 15/8; 15/8; ; ; 5/6; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; 13/5; 13/5; ; ; 11/10; ; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-11 02:20:58 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; 6/5; ; ; ; ; ; 5/4; 5/4; ; ; 4/6; ; 
Barrow; 12/5; 2; 23/10; 23/10; 13/5; 9/4; ; ; 37/19; 23/10; 23/10; 21/10; ; 9/4; 23/10; 11/5; 23/10; 11/5; 11/5; 37/19; 12/5; 23/10; 47/20; 40/17; ; 23/10; 11/5; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-13 10:22:20 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 23/20; 6/5; 15/13; 6/5; 119/100; 11/10; ; ; 11/10; 23/20; 23/20; 11/10; ; 6/5; 23/20; 11/10; 15/13; 11/10; 7/6; 11/10; 11/10; 6/5; 23/20; 15/13; ; 23/20; 6/5; 
Draw; 23/10; 12/5; 21/10; 23/10; 62/25; 11/5; ; ; 11/5; 21/10; 11/5; 21/10; ; 43/20; 23/10; 11/5; 9/4; 23/10; 27/11; 11/5; 23/10; 23/10; 9/4; 9/4; ; 11/5; 23/10; 
Barrow; 12/5; 9/4; 9/4; 23/10; 51/20; 9/4; ; ; 12/5; 9/4; 23/10; 21/10; ; 11/5; 23/10; 11/5; 23/10; 11/5; 21/10; 12/5; 12/5; 12/5; 47/20; 23/10; ; 23/10; 12/5; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-13 14:22:17 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 21/20; 6/5; 15/13; 11/10; 113/100; 21/20; ; ; 11/10; 11/10; 11/10; 11/10; ; 23/20; 11/10; 11/10; 11/10; 11/10; 10/9; 11/10; 11/10; 11/10; 23/20; 11/10; ; 10/9; 6/5; 
Draw; 23/10; 12/5; 21/10; 21/10; 5/2; 11/5; ; ; 11/5; 21/10; 11/5; 21/10; ; 43/20; 23/10; 21/10; 9/4; 23/10; 27/11; 11/5; 23/10; 23/10; 9/4; 9/4; ; 9/4; 23/10; 
Barrow; 13/5; 9/4; 23/10; 12/5; 27/10; 12/5; ; ; 12/5; 12/5; 12/5; 9/4; ; 23/10; 12/5; 23/10; 27/11; 11/5; 9/4; 12/5; 5/2; 5/2; 47/20; 27/11; ; 12/5; 12/5; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-13 18:22:13 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 21/20; 11/10; 15/13; 11/10; 113/100; 21/20; ; ; 11/10; 23/20; 11/10; 11/10; ; 23/20; 11/10; 21/20; 11/10; 11/10; 22/19; 11/10; 11/10; 23/20; 23/20; 11/10; ; 23/20; 23/20; 
Draw; 23/10; 23/10; 21/10; 21/10; 5/2; 11/5; ; ; 11/5; 21/10; 11/5; 21/10; ; 43/20; 23/10; 21/10; 9/4; 23/10; 27/11; 11/5; 23/10; 23/10; 9/4; 23/10; ; 9/4; 23/10; 
Barrow; 13/5; 5/2; 23/10; 12/5; 27/10; 12/5; ; ; 12/5; 23/10; 12/5; 9/4; ; 23/10; 12/5; 12/5; 27/11; 11/5; 28/13; 12/5; 5/2; 12/5; 47/20; 27/11; ; 12/5; 12/5; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-13 22:22:04 GMT+2; 2018-02-13 19:45; In Play; Xlenovo
Barrow; 8/13; 4/7; 11/18; 8/13; 8/11; ; ; ; ; 8/13; 8/13; 6/10; ; ; 13/20; 4/7; 7/11; 3/5; 11/17; ; ; 13/20; ; 7/11; ; ; ; 
Draw; 13/5; 5/2; 12/5; 12/5; 14/5; ; ; ; ; 12/5; 11/4; 9/4; ; ; 12/5; 5/2; 5/2; 23/10; 23/10; ; ; 5/2; ; 5/2; ; ; ; 
Sutton Utd; 5; 5; 19/4; 9/2; 39/10; ; ; ; ; 9/2; 5; 9/2; ; ; 4; 5; 43/10; 9/2; 21/5; ; ; 17/4; ; 74/17; ; ; ; 
