META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-06 22:21:33 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 3/4; 4/5; 8/11; 5/6; 3/4; ; ; 3/4; 4/5; 4/5; 3/4; ; 4/5; 4/5; 8/11; 7/9; 10/13; 7/9; 4/5; 3/4; ; 4/5; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 11/4; 14/5; 5/2; 5/2; 71/25; 5/2; ; ; 5/2; 5/2; 13/5; 23/10; ; 5/2; 13/5; 5/2; 5/2; 45/17; 5/2; 28/11; 5/2; ; 11/4; 53/20; 45/17; ; 13/5; 23/10; 
Chester; 7/2; 10/3; 3; 10/3; 71/20; 16/5; ; ; 33/10; 3; 16/5; 16/5; ; 31/10; 16/5; 16/5; 31/10; 33/10; 31/10; 14/5; 33/10; ; 10/3; 10/3; 33/10; ; 3; 27/10; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-07 22:23:25 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 3/4; 4/5; 8/11; 21/25; 8/11; ; ; 3/4; 4/5; 4/5; 3/4; ; 4/5; 4/5; 8/11; 7/9; 10/13; 7/9; 4/5; 3/4; ; 3/4; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 11/4; 14/5; 13/5; 5/2; 72/25; 27/10; ; ; 5/2; 13/5; 13/5; 23/10; ; 5/2; 13/5; 5/2; 5/2; 27/10; 5/2; 28/11; 5/2; ; 14/5; 53/20; 27/10; ; 13/5; 12/5; 
Chester; 7/2; 10/3; 3; 10/3; 69/20; 31/10; ; ; 33/10; 3; 31/10; 16/5; ; 31/10; 16/5; 3; 31/10; 13/4; 31/10; 14/5; 33/10; ; 33/10; 10/3; 13/4; ; 3; 3; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-08 02:23:15 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 3/4; 4/5; 8/11; 21/25; 3/4; ; ; 14/19; 4/5; 4/5; 3/4; ; 4/5; 4/5; 8/11; 7/9; 10/13; 7/9; 4/5; 14/19; ; 4/5; 10/13; 10/13; ; 4/5; 8/11; 
Draw; 11/4; 14/5; 13/5; 5/2; 72/25; 5/2; ; ; 27/10; 13/5; 13/5; 23/10; ; 5/2; 13/5; 5/2; 5/2; 27/10; 5/2; 28/11; 27/10; ; 11/4; 53/20; 11/4; ; 13/5; 12/5; 
Chester; 7/2; 10/3; 3; 10/3; 69/20; 16/5; ; ; 31/10; 3; 16/5; 16/5; ; 31/10; 16/5; 3; 31/10; 16/5; 31/10; 14/5; 31/10; ; 16/5; 10/3; 13/4; ; 3; 3; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-08 10:22:15 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 3/4; 4/5; 8/11; 21/25; 3/4; ; ; 14/19; 4/5; 4/5; 3/4; ; 4/5; 4/5; 8/11; 7/9; 10/13; 7/9; 4/5; 14/19; ; 4/5; 10/13; 10/13; ; 4/5; 8/11; 
Draw; 11/4; 14/5; 13/5; 5/2; 72/25; 5/2; ; ; 27/10; 13/5; 13/5; 23/10; ; 5/2; 13/5; 5/2; 5/2; 27/10; 5/2; 28/11; 27/10; ; 14/5; 53/20; 11/4; ; 11/4; 12/5; 
Chester; 7/2; 10/3; 3; 10/3; 69/20; 16/5; ; ; 31/10; 3; 16/5; 16/5; ; 31/10; 16/5; 3; 31/10; 16/5; 31/10; 14/5; 31/10; ; 16/5; 10/3; 13/4; ; 3; 3; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-08 14:24:07 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 4/5; 4/5; 4/5; 21/25; 3/4; 3/4; ; 14/19; 4/5; 4/5; 3/4; ; 4/5; 4/5; 8/11; 7/9; 10/13; 7/9; 4/5; 14/19; ; 4/5; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 11/4; 14/5; 13/5; 5/2; 72/25; 5/2; 13/5; ; 27/10; 13/5; 13/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 27/10; 5/2; 14/5; 27/10; ; 14/5; 53/20; 11/4; ; ; ; 
Chester; 7/2; 3; 3; 7/2; 69/20; 16/5; 16/5; ; 31/10; 3; 31/10; 3; ; 31/10; 16/5; 3; 31/10; 16/5; 31/10; 3; 31/10; ; 16/5; 10/3; 13/4; ; 7/2; 10/3; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-08 18:24:30 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 4/5; 3/4; 4/5; 21/25; 3/4; 3/4; ; 14/19; 3/4; 4/5; 3/4; ; 4/5; 4/5; 8/11; 7/9; 10/13; 7/9; 4/5; 14/19; ; 4/5; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 11/4; 14/5; 13/5; 5/2; 72/25; 5/2; 11/4; ; 27/10; 13/5; 13/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 27/10; 5/2; 14/5; 27/10; ; 14/5; 53/20; 11/4; ; ; 5/2; 
Chester; 7/2; 3; 3; 7/2; 69/20; 16/5; 16/5; ; 31/10; 3; 31/10; 3; ; 31/10; 16/5; 3; 31/10; 16/5; 31/10; 3; 31/10; ; 16/5; 10/3; 57/17; ; 7/2; 10/3; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-08 22:23:19 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 4/5; 4/5; 4/5; 21/25; 3/4; 3/4; ; 14/19; 4/5; 4/5; 8/11; ; 4/5; 4/5; 8/11; 7/9; 10/13; 7/9; 9/11; 14/19; ; 4/5; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 11/4; 14/5; 13/5; 5/2; 72/25; 5/2; 11/4; ; 27/10; 13/5; 13/5; 13/5; ; 5/2; 13/5; 5/2; 5/2; 27/10; 5/2; 11/4; 27/10; ; 14/5; 53/20; 11/4; ; ; 13/5; 
Chester; 7/2; 3; 3; 7/2; 69/20; 16/5; 16/5; ; 31/10; 3; 31/10; 3; ; 3; 16/5; 3; 31/10; 16/5; 31/10; 29/10; 31/10; ; 31/10; 10/3; 57/17; ; 7/2; 3; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-09 02:22:29 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 4/5; 4/5; 4/5; 21/25; 3/4; 3/4; ; 14/19; 4/5; 4/5; 8/11; ; 4/5; 4/5; 8/11; 7/9; 10/13; 7/9; 9/11; 14/19; ; 4/5; 10/13; 14/19; ; 8/11; 8/11; 
Draw; 11/4; 14/5; 13/5; 5/2; 72/25; 5/2; 11/4; ; 27/10; 13/5; 13/5; 13/5; ; 5/2; 13/5; 5/2; 5/2; 27/10; 5/2; 11/4; 27/10; ; 14/5; 53/20; 11/4; ; ; 5/2; 
Chester; 7/2; 3; 3; 7/2; 69/20; 16/5; 16/5; ; 31/10; 3; 31/10; 3; ; 3; 16/5; 3; 31/10; 16/5; 31/10; 29/10; 31/10; ; 31/10; 10/3; 57/17; ; 7/2; 3; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-09 10:22:49 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 4/5; 4/5; 4/5; 81/100; 3/4; 3/4; ; 3/4; 4/5; 4/5; 3/4; ; 4/5; 4/5; 8/11; 7/9; 14/19; 7/9; 5/6; 3/4; ; 4/5; 10/13; 14/19; ; 5/6; 4/5; 
Draw; 11/4; 29/10; 13/5; 5/2; 149/50; 13/5; 11/4; ; 45/17; 13/5; 13/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 11/4; 5/2; 11/4; 45/17; ; 14/5; 11/4; 14/5; ; 13/5; 13/5; 
Chester; 7/2; 3; 3; 7/2; 7/2; 31/10; 16/5; ; 31/10; 3; 31/10; 3; ; 31/10; 16/5; 3; 31/10; 13/4; 31/10; 29/10; 31/10; ; 31/10; 16/5; 33/10; ; 7/2; 3; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-09 14:22:40 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 1/2; 4/7; 8/15; 6/10; 4/7; 1/2; 8/15; ; 6/11; 8/15; 4/7; 8/15; ; 4/7; 11/20; 8/15; 4/7; 17/35; 4/7; 1/2; 6/11; ; 1/2; 8/15; 1/2; ; 4/7; 4/7; 
Draw; 10/3; 16/5; 3; 3; 69/20; 3; 16/5; ; 31/10; 3; 29/10; 14/5; ; 14/5; 16/5; 14/5; 14/5; 41/13; 14/5; 13/4; 31/10; ; 10/3; 16/5; 16/5; ; 3; 3; 
Chester; 5; 9/2; 9/2; 9/2; 51/10; 4; 19/4; ; 4; 9/2; 9/2; 4; ; 17/4; 17/4; 4; 17/4; 51/10; 17/4; 24/5; 4; ; 5; 9/2; 67/13; ; 23/5; 24/5; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-09 18:22:29 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 11/20; 4/7; 4/7; 4/7; 59/100; 1/2; 8/15; ; 6/11; 4/7; 8/15; 11/20; ; 4/7; 4/7; 8/15; 4/7; 10/21; 4/7; 4/7; 6/11; ; 4/7; 11/20; 17/35; ; 4/7; 4/7; 
Draw; 16/5; 16/5; 3; 16/5; 17/5; 31/10; 16/5; ; 31/10; 29/10; 31/10; 14/5; ; 29/10; 3; 14/5; 14/5; 16/5; 14/5; 16/5; 31/10; ; 16/5; 16/5; 13/4; ; 3; 3; 
Chester; 9/2; 9/2; 17/4; 9/2; 49/10; 4; 19/4; ; 4; 21/5; 9/2; 4; ; 4; 9/2; 4; 17/4; 26/5; 17/4; 41/10; 4; ; 22/5; 17/4; 21/4; ; 24/5; 23/5; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-09 22:22:25 GMT+2; 2018-01-09 19:45; In Play; Xlenovo
AFC Fylde; 8/11; 8/11; 3/4; 3/4; 79/100; ; 4/5; 8/13; 13/18; 3/4; 8/11; 4/5; ; 3/4; 4/5; 8/11; 7/9; 5/7; 7/9; 4/5; 13/18; ; 3/4; 4/5; 5/7; ; 8/15; ; 
Draw; 21/10; 2; 21/10; 2; 127/50; ; 21/10; 11/5; 11/5; 2; 11/5; 21/10; ; 2; 19/10; 2; 24/13; 39/19; 24/13; 23/12; 11/5; ; 2; 21/10; 39/19; ; 10/3; ; 
Chester; 5; 9/2; 17/4; 9/2; 77/20; ; 7/2; 9/2; 41/10; 9/2; 5; 7/2; ; 9/2; 4; 9/2; 4; 24/5; 4; 75/19; 41/10; ; 19/4; 9/2; 63/13; ; 24/5; ; 
