META; english/non-league/national-league/maidstone-v-chester; 2017-10-22 18:24:40 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; ; ; ; ; 13/20; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 11/4; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 
Chester; 4; ; ; ; ; ; 4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-22 22:25:03 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; ; ; ; ; 5/8; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; 13/20; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 11/4; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; 
Chester; 4; ; ; ; ; ; 4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-23 02:24:01 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; ; ; ; ; 5/8; 8/15; ; ; 8/13; 8/13; ; ; ; 8/13; ; ; ; ; ; ; 8/13; 13/20; ; ; ; ; 
Chester; 10/3; 19/5; 17/5; 16/5; 7/2; 7/2; 10/3; 7/2; 31/10; 17/5; 7/2; 16/5; ; ; ; 10/3; 18/5; 41/13; 19/5; 56/19; 31/10; 7/2; 18/5; 7/2; 16/5; ; 3; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-25 22:24:24 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 3/4; 8/11; 8/11; 4/6; 13/20; 8/11; 3/4; 4/6; 3/4; 8/11; 8/11; 7/10; ; 8/11; 8/11; 8/11; 8/13; 14/19; 77/100; 10/13; 3/4; 8/11; 8/11; 7/10; 10/13; ; 4/6; ; 
Draw; 11/4; 11/4; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 9/4; ; 5/2; 11/4; 5/2; 13/5; 45/17; 71/25; 27/10; 13/5; 13/5; 11/4; 27/10; 27/10; ; 12/5; ; 
Chester; 10/3; 10/3; 7/2; 16/5; 7/2; 10/3; 10/3; 7/2; 31/10; 7/2; 7/2; 15/4; ; 17/5; 7/2; 7/2; 18/5; 57/17; 4; 13/4; 31/10; 7/2; 18/5; 15/4; 57/17; ; 14/5; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-26 02:22:56 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 3/4; 8/11; 8/11; 4/6; 13/20; 8/11; 3/4; 4/6; 3/4; 8/11; 8/11; 7/10; ; 8/11; 8/11; 8/11; 8/13; 14/19; 77/100; 10/13; 3/4; 8/11; 8/11; 7/10; 10/13; ; 4/6; ; 
Draw; 11/4; 11/4; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 9/4; ; 5/2; 11/4; 5/2; 13/5; 45/17; 71/25; 27/10; 13/5; 13/5; 11/4; 27/10; 27/10; ; 12/5; ; 
Chester; 10/3; 10/3; 7/2; 16/5; 7/2; 10/3; 10/3; 7/2; 31/10; 7/2; 7/2; 15/4; ; 17/5; 7/2; 7/2; 18/5; 57/17; 4; 13/4; 31/10; 7/2; 18/5; 15/4; 57/17; ; 14/5; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-26 10:23:16 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 3/4; 8/11; 8/11; 7/10; 13/20; 7/10; 8/11; 4/6; 3/4; 8/11; 8/11; 7/10; ; 8/11; 8/11; 8/11; 8/13; 14/19; 39/50; 10/13; 3/4; 8/11; 8/11; 7/10; 10/13; ; 8/15; ; 
Draw; 11/4; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 11/4; 9/4; ; 5/2; 11/4; 13/5; 13/5; 45/17; 141/50; 27/10; 13/5; 13/5; 11/4; 27/10; 27/10; ; 12/5; ; 
Chester; 10/3; 10/3; 7/2; 7/2; 7/2; 17/5; 10/3; 10/3; 31/10; 7/2; 10/3; 15/4; ; 17/5; 7/2; 10/3; 18/5; 57/17; 79/20; 13/4; 31/10; 7/2; 18/5; 15/4; 57/17; ; 2/9; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-26 14:23:41 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 3/4; 8/11; 8/11; 7/10; 13/20; 7/10; 3/4; 4/6; 3/4; 8/11; 8/11; 7/10; ; 8/11; 8/11; 8/11; 8/13; 14/19; 77/100; 10/13; 3/4; 8/11; 8/11; 7/10; 10/13; ; 4/7; ; 
Draw; 11/4; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 9/4; ; 5/2; 11/4; 5/2; 13/5; 45/17; 143/50; 27/10; 13/5; 13/5; 11/4; 27/10; 45/17; ; 5/2; ; 
Chester; 10/3; 10/3; 7/2; 7/2; 7/2; 17/5; 10/3; 10/3; 31/10; 7/2; 7/2; 15/4; ; 17/5; 7/2; 7/2; 18/5; 57/17; 79/20; 13/4; 31/10; 7/2; 18/5; 15/4; 17/5; ; 14/5; ; 
