META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-15 02:24:59 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Solihull Moors; 13/5; 21/10; 11/5; 9/4; 23/10; 9/4; 11/5; 23/10; 23/10; 11/5; 11/5; ; ; ; 12/5; 9/4; 9/4; 9/4; 61/25; 2; 23/10; 23/10; 23/10; 47/20; 23/10; ; ; 9/4; 
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 9/4; ; ; ; 23/10; 12/5; 23/10; 12/5; 53/20; 27/11; 40/17; 5/2; 5/2; 5/2; 12/5; ; ; 11/5; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-18 02:23:07 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 6/5; 11/10; 21/20; 21/20; 41/40; 11/10; 10/11; 24/23; 11/10; 21/20; ; ; 1; 11/10; 21/20; 1; 21/20; 117/100; 12/11; 24/23; 11/10; 23/20; 21/20; 21/20; ; 10/11; 10/9; 
Solihull Moors; 13/5; 21/10; 11/5; 9/4; 23/10; 9/4; 11/5; 23/10; 23/10; 11/5; 11/5; ; ; 23/10; 12/5; 9/4; 9/4; 9/4; 61/25; 2; 23/10; 23/10; 23/10; 47/20; 23/10; ; 2; 9/4; 
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 9/4; ; ; 12/5; 23/10; 12/5; 23/10; 12/5; 53/20; 27/11; 40/17; 5/2; 12/5; 5/2; 27/11; ; 9/4; 11/5; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-18 11:42:50 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 6/5; 11/10; 21/20; 21/20; 41/40; 11/10; 10/11; 24/23; 11/10; 21/20; ; ; 1; 11/10; 21/20; 1; 21/20; 117/100; 12/11; 24/23; 11/10; 11/10; 21/20; 21/20; ; 10/11; 10/9; 
Solihull Moors; 13/5; 21/10; 11/5; 9/4; 12/5; 9/4; 11/5; 23/10; 23/10; 11/5; 11/5; ; ; 23/10; 12/5; 9/4; 9/4; 9/4; 61/25; 2; 23/10; 23/10; 23/10; 47/20; 23/10; ; 2; 9/4; 
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 9/4; ; ; 12/5; 23/10; 12/5; 23/10; 12/5; 53/20; 27/11; 40/17; 5/2; 5/2; 5/2; 27/11; ; 23/10; 11/5; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-18 14:23:20 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 6/5; 11/10; 21/20; 21/20; 41/40; 11/10; 10/11; 24/23; 11/10; 21/20; ; ; 1; 11/10; 21/20; 1; 21/20; 117/100; 12/11; 24/23; 11/10; 11/10; 21/20; 21/20; ; 20/21; 10/9; 
Solihull Moors; 13/5; 21/10; 11/5; 9/4; 23/10; 9/4; 11/5; 23/10; 23/10; 11/5; 11/5; ; ; 23/10; 12/5; 9/4; 9/4; 9/4; 61/25; 2; 23/10; 23/10; 23/10; 47/20; 23/10; ; 2; 9/4; 
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 9/4; ; ; 12/5; 23/10; 12/5; 23/10; 12/5; 53/20; 27/11; 40/17; 5/2; 5/2; 5/2; 27/11; ; 11/5; 11/5; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-18 18:23:36 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 21/20; 21/20; 41/40; 11/10; 10/11; 24/23; 11/10; 21/20; ; ; 1; 11/10; 21/20; 1; 21/20; 117/100; 12/11; 24/23; 11/10; 11/10; 21/20; 11/10; ; 20/21; 10/9; 
Solihull Moors; 13/5; 9/4; 11/5; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 11/5; 11/5; ; ; 23/10; 12/5; 9/4; 9/4; 23/10; 61/25; 2; 23/10; 23/10; 23/10; 47/20; 23/10; ; 2; 9/4; 
Draw; 5/2; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 9/4; ; ; 12/5; 23/10; 12/5; 23/10; 27/11; 53/20; 27/11; 40/17; 5/2; 5/2; 5/2; 27/11; ; 11/5; 11/5; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-18 22:23:54 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 21/20; 21/20; 41/40; 11/10; 10/11; 24/23; 11/10; 21/20; ; ; ; 11/10; 21/20; 1; 21/20; 117/100; 10/9; 24/23; 11/10; 11/10; 21/20; 11/10; ; ; 10/9; 
Solihull Moors; 13/5; 9/4; 11/5; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 11/5; 11/5; ; ; ; 12/5; 9/4; 9/4; 23/10; 61/25; 9/4; 23/10; 23/10; 23/10; 47/20; 23/10; ; ; 9/4; 
Draw; 5/2; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 9/4; ; ; ; 23/10; 12/5; 23/10; 27/11; 53/20; 5/2; 40/17; 5/2; 5/2; 5/2; 27/11; ; ; 11/5; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-19 02:23:33 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 21/20; 21/20; 41/40; 11/10; 10/11; 24/23; 11/10; 21/20; ; ; ; 11/10; 21/20; 1; 21/20; 117/100; 10/9; 24/23; 11/10; 11/10; 21/20; 11/10; ; ; 10/9; 
Solihull Moors; 13/5; 9/4; 11/5; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 11/5; 11/5; ; ; ; 12/5; 9/4; 9/4; 23/10; 61/25; 9/4; 23/10; 23/10; 23/10; 47/20; 23/10; ; ; 9/4; 
