META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-10 18:24:51 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Ebbsfleet United; 2; ; ; ; 19/10; ; 2; ; 15/8; ; ; 15/8; 2; ; ; 19/10; ; ; 19/10; ; ; 15/8; ; 2; 2; ; 11/8; ; 
Draw; 5/2; ; ; ; 12/5; ; 12/5; ; 27/11; ; ; 9/4; 5/2; ; ; 12/5; ; ; 27/11; ; ; 27/11; ; 5/2; 5/2; ; 17/10; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-12 10:24:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; ; ; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; ; 6/5; 6/5; ; 6/5; ; ; 5/4; ; 5/4; 5/4; ; 8/11; ; 
Ebbsfleet United; 2; ; ; ; 19/10; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; ; ; 19/10; 9/5; ; 19/10; ; ; 15/8; ; 2; 2; ; 7/5; ; 
Draw; 5/2; ; ; ; 12/5; 23/10; 5/2; 12/5; 27/11; ; ; 12/5; 5/2; ; ; 12/5; 23/10; ; 27/11; ; ; 27/11; ; 5/2; 5/2; ; 2; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-12 14:25:00 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; ; ; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; ; 6/5; 6/5; ; 6/5; ; ; 5/4; ; 5/4; 5/4; ; 8/11; ; 
Ebbsfleet United; 2; ; ; ; 19/10; 9/5; 2; 15/8; 15/8; ; ; 15/8; 2; ; ; 19/10; 9/5; ; 19/10; ; ; 15/8; ; 2; 2; ; 7/5; ; 
Draw; 5/2; ; ; ; 12/5; 23/10; 5/2; 12/5; 27/11; ; ; 23/10; 5/2; ; ; 12/5; 23/10; ; 27/11; ; ; 27/11; ; 5/2; 5/2; ; 2; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-12 18:25:07 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; 6/5; ; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; ; 6/5; 6/5; ; 6/5; ; ; 5/4; ; 5/4; 5/4; ; 8/11; ; 
Ebbsfleet United; 2; ; 39/20; ; 19/10; 9/5; 2; 15/8; 15/8; ; ; 15/8; 2; ; ; 19/10; 9/5; ; 19/10; ; ; 15/8; ; 2; 2; ; 7/5; ; 
Draw; 5/2; ; 12/5; ; 12/5; 23/10; 5/2; 12/5; 27/11; ; ; 23/10; 5/2; ; ; 12/5; 23/10; ; 27/11; ; ; 27/11; ; 5/2; 5/2; ; 2; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-12 22:24:58 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; 6/5; ; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; ; 6/5; 6/5; ; 6/5; ; ; 5/4; ; 5/4; 5/4; ; 5/6; ; 
Ebbsfleet United; 2; ; 39/20; ; 19/10; 9/5; 2; 15/8; 15/8; ; ; 15/8; 2; ; ; 19/10; 9/5; ; 19/10; ; ; 15/8; ; 2; 2; ; 17/10; ; 
Draw; 5/2; ; 12/5; ; 12/5; 23/10; 5/2; 12/5; 27/11; ; ; 23/10; 5/2; ; ; 12/5; 23/10; ; 27/11; ; ; 27/11; ; 5/2; 5/2; ; 11/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-13 02:22:38 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 6/5; ; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; ; 6/5; 6/5; ; 6/5; ; ; 5/4; ; 5/4; 5/4; ; 5/6; ; 
Ebbsfleet United; 2; 9/5; 39/20; ; 19/10; 9/5; 2; 15/8; 15/8; ; ; 15/8; 2; ; ; 19/10; 9/5; ; 19/10; ; ; 15/8; ; 2; 2; ; 9/5; ; 
Draw; 5/2; 12/5; 12/5; ; 12/5; 23/10; 5/2; 12/5; 27/11; ; ; 23/10; 5/2; ; ; 12/5; 23/10; ; 27/11; ; ; 27/11; ; 5/2; 5/2; ; 11/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-13 10:23:04 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 6/5; ; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; ; 6/5; 6/5; ; 6/5; ; ; 5/4; ; 5/4; 5/4; ; 10/11; ; 
Ebbsfleet United; 2; 9/5; 39/20; ; 19/10; 9/5; 2; 15/8; 15/8; ; ; 15/8; 2; ; ; 19/10; 9/5; ; 19/10; ; ; 15/8; ; 2; 2; ; 9/5; ; 
Draw; 5/2; 12/5; 12/5; ; 12/5; 23/10; 5/2; 12/5; 27/11; ; ; 23/10; 5/2; ; ; 12/5; 23/10; ; 27/11; ; ; 27/11; ; 5/2; 5/2; ; 11/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-13 14:23:52 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 6/5; ; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; ; 6/5; 6/5; ; 6/5; 33/25; ; 5/4; ; 5/4; 5/4; ; 21/20; ; 
Ebbsfleet United; 2; 9/5; 39/20; ; 19/10; 9/5; 2; 15/8; 15/8; ; ; 15/8; 2; ; ; 19/10; 9/5; ; 19/10; 107/50; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 12/5; 12/5; ; 12/5; 23/10; 5/2; 12/5; 27/11; ; ; 23/10; 5/2; ; ; 12/5; 23/10; ; 27/11; 131/50; ; 27/11; ; 5/2; 5/2; ; 11/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-13 18:23:13 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 5/4; 6/5; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; ; 6/5; 6/5; ; 6/5; 33/25; ; 5/4; ; 5/4; 5/4; ; 21/20; ; 
Ebbsfleet United; 2; 19/10; 39/20; 19/10; 19/10; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; ; ; 19/10; 9/5; ; 19/10; 107/50; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 13/5; 12/5; 27/11; ; ; 12/5; 5/2; ; ; 12/5; 23/10; ; 27/11; 131/50; ; 27/11; ; 5/2; 5/2; ; 11/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-13 22:23:14 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 6/5; 6/5; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; 5/4; 6/5; 6/5; ; 5/4; 33/25; ; 5/4; ; 5/4; 5/4; ; 21/20; ; 
Ebbsfleet United; 2; 19/10; 39/20; 19/10; 19/10; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; ; 2; 19/10; 9/5; ; 37/19; 107/50; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 13/5; 12/5; 27/11; ; ; 12/5; 5/2; ; 12/5; 12/5; 23/10; ; 27/11; 131/50; ; 27/11; ; 5/2; 5/2; ; 11/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-14 02:22:52 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 5/4; 6/5; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; 5/4; 6/5; 6/5; ; 5/4; 33/25; ; 5/4; ; 5/4; 5/4; ; 10/9; ; 
Ebbsfleet United; 2; 19/10; 39/20; 19/10; 19/10; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; ; 2; 19/10; 9/5; ; 37/19; 107/50; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 5/2; 12/5; 27/11; ; ; 12/5; 5/2; ; 12/5; 12/5; 23/10; ; 27/11; 131/50; ; 27/11; ; 5/2; 5/2; ; 23/10; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-14 10:23:08 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 5/4; 6/5; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; 5/4; 6/5; 6/5; ; 5/4; 33/25; ; 5/4; ; 5/4; 5/4; ; 10/9; ; 
Ebbsfleet United; 2; 19/10; 39/20; 19/10; 19/10; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; ; 2; 19/10; 9/5; ; 19/10; 107/50; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 5/2; 12/5; 27/11; ; ; 12/5; 5/2; ; 12/5; 12/5; 23/10; ; 27/11; 131/50; ; 27/11; ; 5/2; 5/2; ; 19/10; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-14 14:23:18 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 5/4; 6/5; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; 5/4; 6/5; 6/5; ; 5/4; 33/25; ; 5/4; ; 5/4; 5/4; ; 23/20; ; 
Ebbsfleet United; 2; 19/10; 39/20; 19/10; 19/10; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; ; 2; 19/10; 9/5; ; 19/10; 107/50; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 13/5; 12/5; 27/11; ; ; 12/5; 5/2; ; 12/5; 12/5; 23/10; ; 27/11; 131/50; ; 27/11; ; 5/2; 5/2; ; 19/10; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-14 18:23:09 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 5/4; 6/5; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; ; 5/4; 5/4; 6/5; ; 5/4; 67/50; ; 5/4; ; 5/4; 5/4; ; 23/20; ; 
Ebbsfleet United; 2; 19/10; 39/20; 19/10; 19/10; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; ; 2; 15/8; 9/5; ; 19/10; 21/10; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 13/5; 12/5; 27/11; ; ; 12/5; 5/2; ; 12/5; 12/5; 23/10; ; 27/11; 131/50; ; 27/11; ; 5/2; 5/2; ; 19/10; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-14 22:23:23 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 5/4; 6/5; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; 23/20; 5/4; 5/4; 6/5; ; 5/4; 67/50; ; 5/4; ; 5/4; 5/4; ; 23/20; ; 
Ebbsfleet United; 2; 19/10; 39/20; 19/10; 19/10; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; 9/5; 2; 15/8; 9/5; ; 19/10; 21/10; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 13/5; 12/5; 27/11; ; ; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; ; 27/11; 131/50; ; 27/11; ; 5/2; 5/2; ; 12/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-15 02:22:33 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 6/5; 6/5; 6/5; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; 23/20; 5/4; 6/5; 6/5; ; 5/4; 67/50; ; 5/4; ; 5/4; 5/4; ; 23/20; ; 
Ebbsfleet United; 2; 19/10; 39/20; 19/10; 2; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; 9/5; 2; 19/10; 9/5; ; 19/10; 21/10; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 13/5; 12/5; 27/11; ; ; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; ; 27/11; 131/50; ; 27/11; ; 5/2; 5/2; ; 5/2; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-15 10:22:08 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 5/4; 6/5; 5/4; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; 23/20; 5/4; 5/4; 6/5; ; 5/4; 133/100; ; 5/4; ; 5/4; 5/4; ; 23/20; ; 
Ebbsfleet United; 2; 19/10; 39/20; 19/10; 19/10; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; 9/5; 2; 15/8; 9/5; ; 37/19; 21/10; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 13/5; 12/5; 27/11; ; ; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; ; 27/11; 53/20; ; 27/11; ; 5/2; 5/2; ; 5/2; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-15 14:22:25 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; 13/10; 6/5; 6/5; 6/5; 61/50; 5/4; 6/5; 5/4; ; ; 6/5; 5/4; 23/20; 5/4; 6/5; 6/5; ; 5/4; 34/25; ; 5/4; ; 5/4; 5/4; ; 23/20; ; 
Ebbsfleet United; 2; 19/10; 39/20; 19/10; 2; 9/5; 2; 15/8; 15/8; ; ; 9/5; 2; 9/5; 2; 19/10; 9/5; ; 19/10; 51/25; ; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 13/5; 12/5; 27/11; ; ; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; ; 27/11; 133/50; ; 27/11; ; 5/2; 5/2; ; 11/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-15 18:22:37 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 6/5; 13/10; 5/4; 5/4; 6/5; 61/50; 13/10; 6/5; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; ; 5/4; 7/5; 7/6; 5/4; ; 5/4; 5/4; ; 23/20; 20/21; 
Ebbsfleet United; 21/10; 19/10; 39/20; 21/10; 2; 19/10; 21/10; 15/8; 15/8; ; 19/10; 15/8; 2; 19/10; 2; 19/10; 19/10; ; 2; 85/40; 25/14; 15/8; ; 2; 2; ; 19/10; ; 
Draw; 5/2; 13/5; 47/20; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; ; 23/10; 23/10; 5/2; 13/5; 12/5; 12/5; 11/5; ; 12/5; 123/50; 28/11; 27/11; ; 5/2; 12/5; ; 23/10; 19/10; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-15 22:23:38 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 6/5; 5/4; 6/5; 5/4; 6/5; 61/50; 13/10; 6/5; 5/4; 6/5; 5/4; 6/5; 13/10; 6/5; 6/5; 6/5; 6/5; ; 5/4; 127/100; 19/17; 5/4; ; 13/10; 5/4; ; 6/5; 20/21; 
Ebbsfleet United; 21/10; 2; 21/10; 21/10; 2; 19/10; 21/10; 15/8; 15/8; 21/10; 2; 15/8; 21/10; 21/10; 21/10; 2; 19/10; ; 2; 56/25; 27/14; 15/8; ; 2; 2; ; 21/10; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; 9/4; 9/4; 23/10; 49/20; 12/5; 12/5; 23/10; 11/5; ; 12/5; 131/50; 5/2; 27/11; ; 12/5; 12/5; ; 23/10; 19/10; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-16 02:24:22 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 6/5; 5/4; 6/5; 5/4; 6/5; 61/50; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; ; 15/13; 127/100; 7/6; 5/4; ; 5/4; 6/5; ; 6/5; 5/4; 
Ebbsfleet United; 21/10; 2; 21/10; 21/10; 21/10; 19/10; 85/40; 15/8; 15/8; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 39/19; 19/10; ; 21/10; 56/25; 39/19; 15/8; ; 85/40; 2; ; 21/10; 19/10; 
Draw; 5/2; 12/5; 23/10; 12/5; 23/10; 11/5; 5/2; 12/5; 27/11; 9/4; 9/4; 21/10; 49/20; 12/5; 12/5; 23/10; 11/5; ; 12/5; 131/50; 28/11; 27/11; ; 12/5; 12/5; ; 23/10; 21/10; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-16 10:23:07 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 11/8; 7/5; 11/8; 5/4; 7/5; 61/50; 7/5; 6/5; 5/4; 6/5; 27/20; 13/10; 5/4; 11/8; 11/8; 13/10; 6/5; ; 23/17; 36/25; 26/19; 5/4; ; 7/5; 11/8; ; 11/8; 6/5; 
Ebbsfleet United; 9/5; 19/10; 37/20; 21/10; 15/8; 19/10; 15/8; 15/8; 15/8; 21/10; 9/5; 9/5; 21/10; 9/5; 9/5; 15/8; 19/10; ; 24/13; 197/100; 20/11; 15/8; ; 15/8; 15/8; ; 19/10; 21/10; 
Draw; 5/2; 12/5; 9/4; 12/5; 9/4; 11/5; 12/5; 12/5; 27/11; 9/4; 11/5; 21/10; 49/20; 12/5; 12/5; 23/10; 11/5; ; 40/17; 129/50; 12/5; 27/11; ; 23/10; 12/5; ; 23/10; 23/10; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-16 14:24:28 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 11/8; 11/8; 13/10; 11/8; 5/4; ; 11/8; 6/5; 5/4; 13/10; 13/10; 5/4; 11/8; 13/10; 5/4; 5/4; 6/5; ; 5/4; 34/25; 9/7; 5/4; ; 13/10; 11/8; ; 27/20; 6/5; 
Ebbsfleet United; 9/5; 2; 39/20; 21/10; 21/10; ; 2; 15/8; 15/8; 2; 2; 19/10; 39/20; 21/10; 21/10; 19/10; 19/10; ; 37/19; 52/25; 2; 15/8; ; 2; 2; ; 21/10; 21/10; 
Draw; 5/2; 23/10; 11/5; 21/10; 11/5; ; 23/10; 12/5; 27/11; 21/10; 21/10; 21/10; 12/5; 9/4; 23/10; 11/5; 11/5; ; 12/5; 13/5; 40/17; 27/11; ; 23/10; 9/4; ; 9/4; 23/10; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-16 18:24:29 GMT+3; 2017-09-16 15:00; In Play; Xlenovo
Tranmere; 15/8; 7/4; ; 7/4; 11/8; ; 15/8; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ebbsfleet United; 21/10; 9/4; ; 21/10; 15/8; ; 11/5; ; ; ; 9/5; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 8/5; 11/8; ; 7/5; 12/5; ; 7/5; ; ; ; 2; ; ; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
