META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-18 14:23:00 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Draw; 5/2; 12/5; ; 12/5; ; 23/10; 12/5; ; 12/5; 21/10; 23/10; 11/5; ; 21/10; ; 23/10; 40/17; 23/10; ; 12/5; 12/5; 23/10; 12/5; 12/5; ; 7/4; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-20 22:22:52 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 7/5; 23/17; 13/10; ; 11/8; 11/8; ; 23/17; 7/5; 7/5; 13/10; ; 27/20; ; 13/10; ; 23/17; 23/17; 23/17; 7/5; 11/8; 11/8; 23/17; ; 1; ; 
Hartlepool; 9/5; 9/5; 19/10; 13/8; ; 17/10; 7/4; ; 17/10; 9/5; 9/5; 15/8; ; 19/10; ; 7/4; 17/10; 7/4; 15/8; 17/10; 15/8; 2; 9/5; 7/4; ; 13/8; ; 
Draw; 5/2; 12/5; 11/5; 12/5; ; 23/10; 23/10; ; 12/5; 21/10; 23/10; 21/10; ; 43/20; ; 9/4; 23/10; 23/10; 40/17; 12/5; 23/10; 23/10; 12/5; 40/17; ; 7/4; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-21 02:21:50 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 7/5; 23/17; 13/10; ; 13/10; 11/8; ; 4/3; ; 7/5; 11/8; ; 27/20; ; 13/10; 23/17; 23/17; 23/17; 4/3; 7/5; 11/8; 11/8; 23/17; ; 1; ; 
Hartlepool; 9/5; 9/5; 28/15; 13/8; ; 9/5; 7/4; ; 24/13; ; 15/8; 15/8; ; 15/8; ; 7/4; 17/10; 7/4; 15/8; 24/13; 15/8; 2; 9/5; 7/4; ; 13/8; ; 
Draw; 5/2; 12/5; 11/5; 12/5; ; 9/4; 23/10; ; 9/4; ; 11/5; 2; ; 43/20; ; 9/4; 9/4; 23/10; 40/17; 9/4; 23/10; 23/10; 12/5; 23/10; ; 13/8; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-21 10:21:42 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 7/5; 23/17; 29/20; 29/20; 13/10; 11/8; ; 4/3; ; 7/5; 11/8; ; 27/20; 11/8; 13/10; 23/17; 23/17; 23/17; 4/3; 7/5; 11/8; 11/8; 23/17; ; 1; ; 
Hartlepool; 9/5; 9/5; 28/15; 19/10; 97/50; 9/5; 7/4; ; 24/13; ; 15/8; 15/8; ; 19/10; 15/8; 9/5; 9/5; 7/4; 15/8; 24/13; 15/8; 2; 9/5; 9/5; ; 11/8; ; 
Draw; 5/2; 12/5; 11/5; 9/4; 13/5; 9/4; 9/4; ; 9/4; ; 9/4; 2; ; 43/20; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 23/10; 23/10; 12/5; 23/10; ; 7/4; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-21 14:21:48 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; 13/10; 11/8; ; 4/3; ; 13/10; 13/10; ; 27/20; 11/8; 13/10; 13/10; 23/17; 23/17; 4/3; 7/5; 11/8; 27/20; ; ; 21/20; ; 
Hartlepool; 9/5; 2; 28/15; 19/10; 101/50; 9/5; 15/8; ; 24/13; ; 19/10; 15/8; ; 19/10; 15/8; 9/5; 24/13; 7/4; 15/8; 24/13; 2; 2; 39/20; 19/10; ; 13/8; ; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; 9/4; 11/5; ; 9/4; ; 9/4; 21/10; ; 43/20; 23/10; 11/5; 9/4; 23/10; 40/17; 9/4; 23/10; 23/10; 23/10; 9/4; ; 7/4; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-21 18:21:45 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; 13/10; 11/8; ; 4/3; ; 7/5; 13/10; ; 27/20; 11/8; 13/10; 13/10; 23/17; 23/17; 4/3; 7/5; 11/8; 27/20; ; ; 1; ; 
Hartlepool; 9/5; 2; 28/15; 19/10; 101/50; 9/5; 15/8; ; 24/13; ; 15/8; 15/8; ; 19/10; 15/8; 9/5; 24/13; 7/4; 15/8; 24/13; 2; 2; 39/20; 19/10; ; 11/8; ; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; 9/4; 9/4; ; 9/4; ; 9/4; 21/10; ; 43/20; 23/10; 11/5; 9/4; 23/10; 40/17; 9/4; 23/10; 23/10; 23/10; 9/4; ; 7/4; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-21 22:21:47 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; 13/10; 11/8; ; 4/3; ; 7/5; 13/10; ; 27/20; 11/8; 13/10; 23/17; 23/17; 23/17; 4/3; 7/5; 11/8; 27/20; ; ; 6/5; 27/20; 
Hartlepool; 9/5; 2; 28/15; 19/10; 101/50; 9/5; 15/8; ; 24/13; ; 19/10; 15/8; ; 19/10; 15/8; 9/5; 19/10; 7/4; 15/8; 24/13; 2; 2; 39/20; 19/10; ; 13/8; 13/8; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; 9/4; 9/4; ; 9/4; ; 11/5; 21/10; ; 43/20; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 23/10; 23/10; 23/10; 23/10; ; 19/10; 2; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-22 02:21:28 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; 13/10; 11/8; ; 4/3; ; 7/5; 13/10; ; 27/20; 11/8; 13/10; 23/17; 23/17; 23/17; 4/3; 7/5; 11/8; 27/20; ; ; 5/4; 27/20; 
Hartlepool; 9/5; 2; 28/15; 19/10; 101/50; 9/5; 15/8; ; 24/13; ; 19/10; 15/8; ; 19/10; 15/8; 9/5; 19/10; 7/4; 15/8; 24/13; 2; 2; 39/20; 19/10; ; 9/5; 13/8; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; 9/4; 9/4; ; 9/4; ; 11/5; 21/10; ; 43/20; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 23/10; 23/10; 23/10; 23/10; ; 2; 2; 
