META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-09-30 22:21:45 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; ; ; ; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; 5/4; 6/5; ; 4/6; ; 
Dagenham & Redbridge; ; ; ; ; 2; ; 21/10; ; ; ; ; ; ; ; ; 19/10; ; ; 37/19; ; ; ; ; 2; 2; ; 1; ; 
Draw; 5/2; 12/5; ; 23/10; 23/10; 23/10; 5/2; 23/10; 12/5; ; 12/5; ; ; 23/10; ; 23/10; 23/10; ; 27/11; 5/2; ; 12/5; 12/5; 12/5; 12/5; ; 21/10; ; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-01 18:22:08 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 23/20; 6/5; ; 11/8; 5/4; 117/100; 5/4; 6/5; 6/5; ; 23/20; 5/4; ; 11/10; 6/5; 6/5; 15/13; ; 6/5; 133/100; 16/13; 6/5; 5/4; 6/5; 6/5; ; 23/20; ; 
Dagenham & Redbridge; 11/5; 12/5; ; 6/4; 2; 19/10; 85/40; 15/8; 37/19; ; 2; 2; ; 2; 21/10; 2; 19/10; ; 21/10; 11/5; 29/16; 37/19; 2; 21/10; 21/10; ; 17/10; ; 
Draw; 5/2; 23/10; ; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; ; 21/10; 9/4; ; 11/5; 12/5; 23/10; 23/10; ; 12/5; 63/25; 12/5; 12/5; 12/5; 23/10; 12/5; ; 23/10; ; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-01 22:21:56 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 23/20; 6/5; ; 11/8; 5/4; 117/100; 5/4; 6/5; 6/5; ; 6/5; 5/4; ; 11/10; 5/4; 6/5; 15/13; ; 5/4; 34/25; 16/13; 6/5; 5/4; 5/4; 6/5; ; 6/5; ; 
Dagenham & Redbridge; 11/5; 12/5; ; 6/4; 2; 19/10; 21/10; 15/8; 37/19; ; 19/10; 39/20; ; 2; 21/10; 2; 19/10; ; 39/19; 111/50; 29/16; 37/19; 2; 2; 21/10; ; 19/10; ; 
Draw; 5/2; 23/10; ; 23/10; 23/10; 23/10; 12/5; 11/5; 12/5; ; 9/4; 9/4; ; 11/5; 23/10; 23/10; 23/10; ; 40/17; 61/25; 12/5; 12/5; 12/5; 23/10; 12/5; ; 11/5; ; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-02 02:21:47 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 23/20; 13/10; ; 11/8; 5/4; 117/100; 5/4; 6/5; 6/5; ; 6/5; 5/4; ; 11/10; 5/4; 5/4; 15/13; ; 5/4; 34/25; 16/13; 6/5; 5/4; 5/4; 6/5; ; 6/5; ; 
Dagenham & Redbridge; 11/5; 2; ; 6/4; 2; 19/10; 21/10; 15/8; 37/19; ; 19/10; 39/20; ; 2; 21/10; 19/10; 19/10; ; 39/19; 111/50; 29/16; 37/19; 2; 2; 21/10; ; 19/10; ; 
Draw; 5/2; 12/5; ; 23/10; 23/10; 23/10; 12/5; 11/5; 12/5; ; 9/4; 9/4; ; 11/5; 23/10; 23/10; 23/10; ; 40/17; 61/25; 12/5; 12/5; 12/5; 23/10; 12/5; ; 11/5; ; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-02 10:22:16 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 23/20; 13/10; ; 6/5; 5/4; 117/100; 5/4; 6/5; 6/5; ; 6/5; 5/4; ; 11/10; 5/4; 6/5; 15/13; ; 6/5; 67/50; 16/13; 6/5; 5/4; 5/4; 6/5; ; 5/4; ; 
Dagenham & Redbridge; 11/5; 2; ; 2; 2; 19/10; 21/10; 15/8; 37/19; ; 19/10; 39/20; ; 2; 21/10; 2; 19/10; ; 39/19; 11/5; 29/16; 37/19; 2; 2; 21/10; ; 2; ; 
Draw; 5/2; 12/5; ; 23/10; 23/10; 23/10; 12/5; 11/5; 12/5; ; 9/4; 9/4; ; 11/5; 23/10; 23/10; 23/10; ; 40/17; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; ; 9/4; ; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-02 18:22:33 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 11/8; 13/10; ; 7/5; 7/5; 117/100; 7/5; 5/4; 6/5; ; 11/8; 11/8; ; 13/10; 7/5; 13/10; 15/13; 7/5; 77/50; 23/17; 6/5; 7/5; 7/5; 29/20; ; 7/5; 7/5; 
Dagenham & Redbridge; 9/5; 19/10; ; 17/10; 15/8; 19/10; 7/4; 9/5; 37/19; ; 7/4; 7/4; ; 9/5; 7/4; 9/5; 19/10; 7/4; 15/8; 19/12; 37/19; 9/5; 9/5; 15/8; ; 7/4; 7/4; 
Draw; 5/2; 5/2; ; 23/10; 9/4; 23/10; 23/10; 11/5; 12/5; ; 21/10; 9/4; ; 9/4; 12/5; 23/10; 23/10; 40/17; 63/25; 5/2; 12/5; 12/5; 5/2; 47/20; ; 23/10; 21/10; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-02 22:22:57 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 11/8; 13/10; ; 7/5; 7/5; 117/100; 6/4; 13/10; 11/8; ; 11/8; 11/8; ; 13/10; 7/5; 13/10; 15/13; 7/5; 77/50; 7/5; 11/8; 7/5; 7/5; 29/20; ; 7/5; 7/5; 
Dagenham & Redbridge; 9/5; 19/10; ; 17/10; 9/5; 19/10; 7/4; 17/10; 28/17; ; 17/10; 7/4; ; 17/10; 7/4; 9/5; 19/10; 7/4; 15/8; 17/10; 28/17; 9/5; 9/5; 15/8; ; 9/5; 7/4; 
Draw; 5/2; 5/2; ; 23/10; 9/4; 23/10; 23/10; 23/10; 12/5; ; 11/5; 9/4; ; 23/10; 12/5; 23/10; 23/10; 40/17; 63/25; 5/2; 12/5; 12/5; 5/2; 47/20; ; 9/4; 2; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-03 02:22:39 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 11/8; 7/5; ; 7/5; 7/5; 117/100; 6/4; 13/10; 11/8; ; 11/8; 11/8; ; 13/10; 7/5; 11/8; 15/13; 7/5; 39/25; 7/5; 11/8; 7/5; 7/5; 29/20; ; 7/5; 7/5; 
Dagenham & Redbridge; 9/5; 15/8; ; 17/10; 9/5; 19/10; 7/4; 17/10; 28/17; ; 17/10; 7/4; ; 17/10; 7/4; 7/4; 19/10; 7/4; 37/20; 17/10; 28/17; 9/5; 9/5; 15/8; ; 7/4; 7/4; 
Draw; 5/2; 12/5; ; 23/10; 9/4; 23/10; 23/10; 23/10; 12/5; ; 11/5; 9/4; ; 23/10; 12/5; 23/10; 23/10; 40/17; 63/25; 5/2; 12/5; 12/5; 5/2; 47/20; ; 23/10; 21/10; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-03 10:23:03 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 11/8; 7/5; ; 29/20; 7/5; 117/100; 6/4; 13/10; 10/7; ; 11/8; 11/8; ; 11/8; 7/5; 11/8; 15/13; 16/11; 77/50; 52/35; ; 7/5; 6/4; 6/4; ; 7/5; 7/5; 
Dagenham & Redbridge; 9/5; 17/10; ; 9/5; 17/10; 37/20; 17/10; 17/10; 7/4; ; 17/10; 7/4; ; 17/10; 7/4; 7/4; 24/13; 17/10; 37/20; 29/18; ; 7/4; 17/10; 9/5; ; 7/4; 7/4; 
Draw; 5/2; 12/5; ; 12/5; 12/5; 12/5; 23/10; 11/5; 11/5; ; 11/5; 23/10; ; 9/4; 12/5; 23/10; 12/5; 40/17; 64/25; 27/11; ; 12/5; 5/2; 47/20; ; 12/5; 23/10; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-03 14:23:12 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 29/20; 7/5; 16/11; 6/4; 29/20; 117/100; 6/4; 7/5; 10/7; 29/20; 7/5; 29/20; ; 6/4; 7/5; 7/5; 15/13; 16/11; 153/100; 52/35; 10/7; 7/5; 6/4; 6/4; ; 7/5; 7/5; 
Dagenham & Redbridge; 17/10; 17/10; 28/17; 13/8; 17/10; 37/20; 17/10; 13/8; 7/4; 33/20; 8/5; 33/20; ; 17/10; 17/10; 17/10; 24/13; 28/17; 91/50; 29/18; 7/4; 7/4; 17/10; 9/5; ; 7/4; 7/4; 
Draw; 5/2; 12/5; 23/10; 9/4; 23/10; 12/5; 23/10; 11/5; 11/5; 23/10; 9/4; 23/10; ; 9/4; 5/2; 23/10; 12/5; 12/5; 131/50; 5/2; 11/5; 12/5; 5/2; 47/20; ; 12/5; 23/10; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-03 18:22:55 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 29/20; 6/4; 16/11; 6/4; 29/20; 117/100; 6/4; 7/5; 10/7; 29/20; 29/20; 6/4; ; 6/4; 7/5; 7/5; 15/13; 16/11; 77/50; 6/4; 10/7; 6/4; 6/4; 6/4; ; 7/5; 7/5; 
Dagenham & Redbridge; 17/10; 17/10; 13/8; 13/8; 17/10; 37/20; 17/10; 13/8; 7/4; 13/8; 8/5; 8/5; ; 17/10; 17/10; 8/5; 24/13; 28/17; 181/100; 8/5; 7/4; 13/8; 17/10; 7/4; ; 9/5; 7/4; 
Draw; 5/2; 5/2; 23/10; 9/4; 23/10; 12/5; 12/5; 11/5; 11/5; 23/10; 21/10; 23/10; ; 9/4; 5/2; 23/10; 12/5; 12/5; 131/50; 5/2; 11/5; 12/5; 5/2; 49/20; ; 12/5; 12/5; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-03 22:22:54 GMT+3; 2017-10-03 19:45; In Play; Xlenovo
Aldershot; 4/9; 4/9; 13/8; ; 13/8; 38/100; 6/4; 2/5; 8/15; 33/20; ; 8/15; ; ; 1/2; 4/9; 4/11; 6/4; ; ; ; ; 9/20; 4/9; ; ; 4/9; 
Draw; 3; 14/5; 21/10; ; 9/4; 3; 9/4; 11/4; 27/10; 2; ; 14/5; ; ; 14/5; 3; 3; 9/4; ; ; ; ; 3; 16/5; ; ; 3; 
Dagenham & Redbridge; 7; 13/2; 8/5; ; 7/4; 23/4; 8/5; 6; 21/4; 33/20; ; 19/4; ; ; 5; 11/2; 6; 8/5; ; ; ; ; 6; 7; ; ; 31/5; 
