META; english/non-league/national-league/torquay-v-bromley; 2018-01-13 22:21:46 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
META; english/non-league/national-league/torquay-v-bromley; 2018-01-16 10:23:36 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 6/4; 13/8; ; 8/5; 42/25; 6/4; 6/4; ; 11/8; ; 6/4; 6/4; ; ; 13/8; 6/4; 23/17; 6/4; 23/17; 16/11; 11/8; 13/8; 8/5; 8/5; 17/11; ; 11/8; ; 
Bromley; 17/10; 13/8; ; 8/5; 44/25; 13/8; 13/8; ; 17/10; ; 17/10; 13/8; ; ; 13/8; 8/5; 9/5; 8/5; 9/5; 20/13; 17/10; 13/8; 17/10; 13/8; 28/17; ; 6/4; ; 
Draw; 12/5; 23/10; ; 21/10; 49/20; 11/5; 11/5; ; 40/17; ; 11/5; 2; ; ; 9/4; 21/10; 9/4; 9/4; 9/4; 40/17; 40/17; 23/10; 23/10; 23/10; 9/4; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-16 14:26:52 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 6/4; 13/8; 16/11; 8/5; 39/25; 7/5; 6/4; ; 11/8; 29/20; 6/4; 7/5; ; 29/20; 6/4; 7/5; 23/17; 16/11; 23/17; 26/19; 11/8; 6/4; 6/4; 6/4; 16/11; ; 11/8; 13/10; 
Bromley; 17/10; 13/8; 7/4; 8/5; 19/10; 17/10; 17/10; ; 17/10; 7/4; 7/4; 13/8; ; 17/10; 7/4; 8/5; 9/5; 17/10; 9/5; 18/11; 17/10; 9/5; 7/4; 7/4; 17/10; ; 6/4; 8/5; 
Draw; 12/5; 12/5; 11/5; 21/10; 49/20; 11/5; 11/5; ; 40/17; 11/5; 11/5; 11/5; ; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 40/17; 40/17; 23/10; 23/10; 23/10; 23/10; ; 21/10; 2; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-16 18:25:57 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 7/5; 6/4; 16/11; 8/5; 39/25; 7/5; 7/5; ; 11/8; 29/20; 6/4; 7/5; ; 29/20; 6/4; 7/5; 23/17; 7/5; 23/17; 4/3; 11/8; 6/4; 6/4; 6/4; 16/11; ; 11/8; ; 
Bromley; 9/5; 9/5; 7/4; 8/5; 19/10; 17/10; 7/4; ; 17/10; 7/4; 7/4; 13/8; ; 7/4; 7/4; 17/10; 9/5; 17/10; 9/5; 22/13; 17/10; 9/5; 9/5; 7/4; 7/4; ; 6/4; 7/5; 
Draw; 12/5; 23/10; 11/5; 21/10; 49/20; 11/5; 11/5; ; 40/17; 11/5; 11/5; 11/5; ; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 40/17; 40/17; 23/10; 23/10; 23/10; 23/10; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-16 22:24:32 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
