META; english/non-league/national-league/bromley-v-afc-fylde; 2017-12-31 18:23:26 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; ; ; ; 6/5; ; 11/10; ; 11/10; ; 23/20; 23/20; ; ; ; 11/10; 11/10; 15/13; 11/10; ; 11/10; ; 6/5; ; 15/13; ; ; ; 
AFC Fylde; 2; ; ; ; 5/2; ; 11/5; ; 28/13; ; 11/5; 21/10; ; ; ; 21/10; 2; 21/10; 2; ; 28/13; ; 9/4; ; 21/10; ; ; ; 
Draw; 23/10; ; ; ; 5/2; ; 23/10; ; 40/17; ; 23/10; 21/10; ; ; ; 9/4; 23/10; 12/5; 23/10; ; 40/17; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-01 22:21:11 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; ; ; ; 6/5; ; 11/10; ; 11/10; ; 23/20; 23/20; ; ; ; 11/10; 11/10; 15/13; 11/10; ; 11/10; ; 6/5; ; 15/13; ; 8/11; ; 
AFC Fylde; 2; ; ; ; 5/2; ; 11/5; ; 28/13; ; 11/5; 21/10; ; ; ; 21/10; 2; 21/10; 2; ; 28/13; ; 9/4; ; 21/10; ; 11/8; ; 
Draw; 23/10; ; ; ; 5/2; ; 23/10; ; 40/17; ; 23/10; 21/10; ; ; ; 9/4; 23/10; 12/5; 23/10; ; 40/17; ; 12/5; ; 12/5; ; 9/5; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-02 02:21:20 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; 13/10; ; ; 32/25; ; 6/5; ; 11/10; ; 23/20; 23/20; ; ; ; 11/10; 11/10; 15/13; 11/10; ; 11/10; ; 6/5; ; 15/13; ; 20/21; ; 
AFC Fylde; 2; 19/10; ; ; 9/4; ; 2; ; 28/13; ; 21/10; 19/10; ; ; ; 2; 2; 21/10; 2; ; 28/13; ; 11/5; ; 21/10; ; 15/8; ; 
Draw; 23/10; 12/5; ; ; 129/ 50; 23/10; 23/10; ; 40/17; ; 12/5; 23/10; ; ; ; 23/10; 23/10; 12/5; 23/10; ; 40/17; ; 12/5; ; 12/5; ; 21/10; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-02 10:21:16 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; 13/10; ; ; 32/25; ; 6/5; ; 11/10; ; 23/20; 23/20; ; ; ; 11/10; 11/10; 15/13; 11/10; ; 11/10; ; 6/5; ; 15/13; ; 20/21; ; 
AFC Fylde; 2; 19/10; ; ; 9/4; ; 2; ; 28/13; ; 21/10; 19/10; ; ; ; 2; 2; 21/10; 2; ; 28/13; ; 11/5; ; 21/10; ; 15/8; ; 
Draw; 23/10; 12/5; ; ; 129/ 50; 23/10; 12/5; ; 12/5; ; 12/5; 23/10; ; ; ; 23/10; 23/10; 12/5; 23/10; ; 12/5; ; 12/5; ; 12/5; ; 21/10; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-02 14:21:19 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; 13/10; ; 23/20; 32/25; ; 6/5; ; 11/10; ; 23/20; 23/20; ; 6/5; ; 11/10; 11/10; 15/13; 11/10; ; 11/10; ; 6/5; 6/5; 15/13; ; 20/21; ; 
AFC Fylde; 2; 19/10; ; 21/10; 9/4; ; 2; ; 28/13; ; 21/10; 19/10; ; 41/20; ; 2; 2; 21/10; 2; ; 28/13; ; 85/40; 21/10; 21/10; ; 15/8; ; 
Draw; 23/10; 5/2; ; 12/5; 129/50; 23/10; 12/5; ; 12/5; ; 12/5; 23/10; ; 23/10; ; 23/10; 23/10; 12/5; 23/10; ; 12/5; ; 5/2; 49/20; 12/5; ; 21/10; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-02 18:21:27 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; 13/10; ; 23/20; 32/25; ; 6/5; ; 11/10; ; 6/5; 23/20; ; 6/5; ; 11/10; 11/10; 15/13; 11/10; ; 11/10; ; 6/5; 6/5; 15/13; ; 20/21; ; 
AFC Fylde; 2; 19/10; ; 21/10; 9/4; ; 2; ; 28/13; ; 21/10; 19/10; ; 41/20; ; 2; 2; 21/10; 2; ; 28/13; ; 85/40; 21/10; 21/10; ; 15/8; ; 
Draw; 23/10; 5/2; ; 12/5; 129/50; 23/10; 12/5; ; 12/5; ; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 12/5; 23/10; ; 12/5; ; 5/2; 49/20; 12/5; ; 21/10; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-02 22:21:16 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; 13/10; ; 23/20; 32/25; ; 6/5; ; 11/10; ; 6/5; 23/20; ; 6/5; ; 11/10; 11/10; 15/13; 11/10; ; 11/10; ; 6/5; 6/5; 15/13; ; 20/21; ; 
AFC Fylde; 2; 19/10; ; 21/10; 9/4; ; 2; ; 28/13; ; 21/10; 19/10; ; 41/20; ; 2; 2; 21/10; 2; ; 28/13; ; 85/40; 21/10; 21/10; ; 15/8; ; 
Draw; 23/10; 5/2; ; 12/5; 129/50; 23/10; 12/5; ; 12/5; ; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 12/5; 23/10; ; 12/5; ; 5/2; 49/20; 12/5; ; 21/10; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-03 02:20:51 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; 13/10; ; 23/20; 32/25; ; 6/5; ; 11/10; ; 6/5; 23/20; ; 6/5; ; 11/10; 11/10; 15/13; 11/10; ; 11/10; ; 6/5; 6/5; 15/13; ; 20/21; ; 
AFC Fylde; 2; 19/10; ; 21/10; 9/4; ; 2; ; 28/13; ; 21/10; 19/10; ; 41/20; ; 2; 2; 21/10; 2; ; 28/13; ; 85/40; 21/10; 21/10; ; 15/8; ; 
Draw; 23/10; 5/2; ; 12/5; 129/50; 23/10; 12/5; ; 12/5; ; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 12/5; 23/10; ; 12/5; ; 5/2; 49/20; 12/5; ; 21/10; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-03 10:21:03 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; 13/10; ; 23/20; 32/25; ; 6/5; ; 11/10; ; 23/20; 23/20; ; 6/5; ; 11/10; 11/10; 15/13; 11/10; ; 11/10; ; 6/5; 6/5; 15/13; ; 20/21; ; 
AFC Fylde; 2; 19/10; ; 21/10; 9/4; ; 2; ; 28/13; ; 21/10; 19/10; ; 41/20; ; 2; 2; 21/10; 2; ; 28/13; ; 85/40; 21/10; 21/10; ; 15/8; ; 
Draw; 23/10; 5/2; ; 12/5; 129/50; 23/10; 12/5; ; 12/5; ; 12/5; 23/10; ; 23/10; ; 23/10; 23/10; 12/5; 23/10; ; 12/5; ; 5/2; 49/20; 12/5; ; 21/10; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-03 14:21:24 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 5/4; 13/10; 13/10; 23/20; 11/8; 23/20; 6/5; ; 6/5; 13/10; 5/4; 6/5; ; 13/10; 13/10; 6/5; 11/10; 5/4; 11/10; 11/9; 6/5; ; 13/10; 13/10; 5/4; ; 1; ; 
AFC Fylde; 21/10; 19/10; 28/15; 21/10; 107/50; 2; 19/10; ; 24/13; 19/10; 19/10; 9/5; ; 37/20; 19/10; 19/10; 2; 19/10; 2; 31/18; 24/13; ; 19/10; 39/20; 37/19; ; 9/5; ; 
Draw; 12/5; 5/2; 23/10; 12/5; 5/2; 23/10; 12/5; ; 28/11; 11/5; 12/5; 23/10; ; 47/20; 12/5; 23/10; 23/10; 40/17; 23/10; 28/11; 28/11; ; 5/2; 12/5; 12/5; ; 21/10; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-03 18:21:33 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/5; 5/4; 6/5; 6/5; 13/10; 23/20; 6/5; ; 6/5; 6/5; 6/5; 6/5; ; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; ; 5/4; 5/4; 6/5; ; 23/20; 6/5; 
AFC Fylde; 11/5; 2; 19/10; 15/8; 54/25; 19/10; 2; ; 24/13; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 19/10; 37/19; 19/10; 19/11; 24/13; ; 2; 39/20; 2; ; 19/10; 19/10; 
Draw; 12/5; 13/5; 12/5; 5/2; 53/20; 12/5; 12/5; ; 28/11; 12/5; 12/5; 11/5; ; 12/5; 23/10; 12/5; 9/4; 40/17; 9/4; 13/5; 28/11; ; 13/5; 5/2; 40/17; ; 12/5; 2; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-03 22:21:28 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/5; 5/4; 6/5; 6/5; 13/10; 23/20; 6/5; ; 6/5; 6/5; 6/5; 6/5; ; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; ; 5/4; 5/4; 6/5; ; 23/20; 6/5; 
AFC Fylde; 11/5; 2; 19/10; 15/8; 54/25; 19/10; 2; ; 24/13; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 19/10; 2; 19/10; 19/11; 24/13; ; 2; 39/20; 2; ; 19/10; 19/10; 
Draw; 12/5; 13/5; 12/5; 5/2; 53/20; 12/5; 12/5; ; 28/11; 12/5; 12/5; 11/5; ; 12/5; 23/10; 12/5; 9/4; 27/11; 9/4; 13/5; 28/11; ; 13/5; 5/2; 5/2; ; 12/5; 2; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-04 02:21:30 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/5; 5/4; 6/5; 6/5; 13/10; 11/10; 6/5; ; 6/5; 6/5; 6/5; 6/5; ; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; ; 5/4; 5/4; 6/5; ; 23/20; 6/5; 
AFC Fylde; 11/5; 2; 19/10; 15/8; 54/25; 19/10; 2; ; 24/13; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 19/10; 2; 19/10; 19/11; 24/13; ; 2; 39/20; 2; ; 19/10; 19/10; 
Draw; 12/5; 13/5; 12/5; 5/2; 53/20; 5/2; 12/5; ; 28/11; 12/5; 12/5; 11/5; ; 12/5; 23/10; 12/5; 9/4; 27/11; 9/4; 13/5; 28/11; ; 13/5; 5/2; 5/2; ; 12/5; 2; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-04 10:21:37 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/5; 5/4; 6/5; 6/5; 13/10; 11/10; 6/5; ; 6/5; 6/5; 6/5; 6/5; ; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; ; 5/4; 5/4; 6/5; ; 23/20; 6/5; 
AFC Fylde; 11/5; 2; 19/10; 15/8; 54/25; 19/10; 2; ; 24/13; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 19/10; 2; 19/10; 19/11; 24/13; ; 2; 39/20; 2; ; 19/10; 19/10; 
Draw; 12/5; 13/5; 12/5; 5/2; 53/20; 5/2; 12/5; ; 28/11; 12/5; 12/5; 11/5; ; 12/5; 23/10; 12/5; 9/4; 27/11; 9/4; 13/5; 28/11; ; 13/5; 5/2; 5/2; ; 12/5; 2; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-04 14:21:53 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/5; 5/4; 6/5; 6/5; 13/10; 11/10; 6/5; ; 6/5; 6/5; 6/5; 6/5; ; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; ; 5/4; 5/4; 6/5; ; 23/20; 6/5; 
AFC Fylde; 11/5; 2; 19/10; 15/8; 54/25; 19/10; 2; ; 24/13; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 19/10; 2; 19/10; 19/11; 24/13; ; 2; 39/20; 2; ; 19/10; 19/10; 
Draw; 12/5; 13/5; 12/5; 5/2; 53/20; 5/2; 12/5; ; 28/11; 12/5; 12/5; 11/5; ; 12/5; 23/10; 12/5; 9/4; 27/11; 9/4; 13/5; 28/11; ; 13/5; 5/2; 5/2; ; 12/5; 9/4; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-04 18:21:44 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/5; 5/4; 6/5; 6/5; 13/10; 23/20; 6/5; ; 6/5; 6/5; 6/5; 6/5; ; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 5/4; 6/5; ; 5/4; 5/4; 6/5; ; 23/20; 6/5; 
AFC Fylde; 11/5; 2; 19/10; 15/8; 107/50; 19/10; 2; ; 24/13; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 19/10; 2; 19/10; 19/10; 24/13; ; 2; 39/20; 2; ; 19/10; 19/10; 
Draw; 12/5; 13/5; 12/5; 5/2; 67/25; 12/5; 12/5; ; 28/11; 12/5; 12/5; 11/5; ; 12/5; 23/10; 12/5; 9/4; 5/2; 9/4; 13/5; 28/11; ; 13/5; 5/2; 5/2; ; 12/5; 9/4; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-04 22:21:54 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/5; 5/4; 6/5; 6/5; 13/10; 23/20; 6/5; ; 6/5; 6/5; 6/5; 6/5; ; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 5/4; 6/5; ; 5/4; 5/4; 6/5; ; 6/5; 6/5; 
AFC Fylde; 11/5; 2; 19/10; 15/8; 107/50; 19/10; 2; ; 24/13; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 19/10; 2; 19/10; 19/10; 24/13; ; 2; 39/20; 2; ; 19/10; 2; 
Draw; 12/5; 13/5; 12/5; 5/2; 67/25; 12/5; 12/5; ; 28/11; 12/5; 12/5; 11/5; ; 12/5; 23/10; 12/5; 9/4; 5/2; 9/4; 13/5; 28/11; ; 13/5; 5/2; 5/2; ; 12/5; 23/10; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-05 02:21:38 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/5; 5/4; 6/5; 6/5; 13/10; 23/20; 6/5; ; 6/5; 6/5; 6/5; 6/5; ; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 5/4; 6/5; ; 5/4; 5/4; 6/5; ; 6/5; 6/5; 
AFC Fylde; 11/5; 2; 19/10; 15/8; 107/50; 19/10; 2; ; 24/13; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 19/10; 2; 19/10; 19/10; 24/13; ; 2; 39/20; 2; ; 19/10; 19/10; 
Draw; 12/5; 13/5; 12/5; 5/2; 67/25; 12/5; 12/5; ; 28/11; 12/5; 12/5; 11/5; ; 12/5; 23/10; 12/5; 9/4; 5/2; 9/4; 13/5; 28/11; ; 13/5; 5/2; 5/2; ; 5/2; 23/10; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-05 10:21:32 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/5; 5/4; 6/5; 6/5; 13/10; 23/20; 6/5; ; 5/4; 6/5; 6/5; 6/5; ; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 5/4; 5/4; ; 5/4; 5/4; 6/5; ; 6/5; 6/5; 
AFC Fylde; 11/5; 2; 19/10; 15/8; 107/50; 19/10; 2; ; 15/8; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 19/10; 37/19; 19/10; 19/10; 15/8; ; 2; 39/20; 2; ; 19/10; 19/10; 
Draw; 12/5; 13/5; 12/5; 5/2; 67/25; 12/5; 12/5; ; 27/11; 12/5; 12/5; 11/5; ; 12/5; 23/10; 12/5; 9/4; 27/11; 9/4; 13/5; 27/11; ; 13/5; 5/2; 5/2; ; 12/5; 9/4; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-05 14:23:22 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/5; 5/4; 13/10; 6/5; 69/50; 6/5; 5/4; ; 5/4; 13/10; 5/4; 5/4; ; 5/4; 11/8; 6/5; 6/5; 5/4; 6/5; 14/11; 5/4; ; 13/10; 13/10; 13/10; ; 5/4; 13/10; 
AFC Fylde; 11/5; 2; 9/5; 21/10; 2; 15/8; 19/10; ; 15/8; 9/5; 19/10; 9/5; ; 9/5; 9/5; 15/8; 19/10; 19/10; 19/10; 9/5; 15/8; ; 15/8; 19/10; 19/10; ; 19/10; 19/10; 
Draw; 12/5; 13/5; 12/5; 5/2; 67/25; 12/5; 12/5; ; 27/11; 12/5; 12/5; 9/4; ; 12/5; 12/5; 12/5; 9/4; 27/11; 9/4; 45/17; 27/11; ; 13/5; 5/2; 5/2; ; 12/5; 12/5; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-05 18:25:19 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/4; 13/10; 7/5; 29/20; 77/50; 11/8; 7/5; ; 31/21; 7/5; 7/5; 11/8; ; 7/5; 7/5; 11/8; 16/11; 16/11; 16/11; 10/7; 31/21; ; 6/4; 29/20; 16/11; ; 7/5; 7/5; 
AFC Fylde; 17/10; 19/10; 13/8; 8/5; 179/100; 17/10; 17/10; ; 31/21; 13/8; 17/10; 31/20; ; 13/8; 17/10; 8/5; 8/5; 28/17; 8/5; 8/5; 31/21; ; 13/8; 33/20; 28/17; ; 7/4; 7/4; 
Draw; 12/5; 13/5; 12/5; 12/5; 133/50; 12/5; 5/2; ; 28/11; 12/5; 12/5; 12/5; ; 12/5; 5/2; 12/5; 11/5; 27/11; 11/5; 45/17; 28/11; ; 13/5; 5/2; 5/2; ; 23/10; 9/4; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-05 22:24:31 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/4; 6/4; 7/5; 29/20; 77/50; 11/8; 7/5; ; 31/21; 7/5; 7/5; 11/8; ; 7/5; 7/5; 7/5; 16/11; 16/11; 16/11; 10/7; 31/21; ; 6/4; 29/20; 16/11; ; 7/5; 7/5; 
AFC Fylde; 17/10; 13/8; 13/8; 8/5; 179/100; 17/10; 17/10; ; 31/21; 13/8; 17/10; 31/20; ; 13/8; 17/10; 8/5; 8/5; 28/17; 8/5; 8/5; 31/21; ; 13/8; 33/20; 28/17; ; 7/4; 17/10; 
Draw; 12/5; 13/5; 12/5; 12/5; 133/50; 12/5; 5/2; ; 28/11; 12/5; 12/5; 12/5; ; 12/5; 5/2; 23/10; 11/5; 27/11; 11/5; 45/17; 28/11; ; 13/5; 5/2; 5/2; ; 23/10; 21/10; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-06 02:22:08 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/4; 6/4; 7/5; 29/20; 77/50; 11/8; 6/4; ; 31/21; 7/5; 7/5; 11/8; ; 7/5; 7/5; 7/5; 16/11; 16/11; 16/11; 10/7; 31/21; ; 6/4; 29/20; 16/11; ; 7/5; 7/5; 
AFC Fylde; 17/10; 13/8; 13/8; 8/5; 179/100; 17/10; 17/10; ; 31/21; 13/8; 17/10; 31/20; ; 13/8; 17/10; 8/5; 8/5; 28/17; 8/5; 8/5; 31/21; ; 13/8; 33/20; 28/17; ; 7/4; 7/4; 
Draw; 12/5; 13/5; 12/5; 12/5; 133/50; 12/5; 5/2; ; 28/11; 12/5; 12/5; 12/5; ; 12/5; 5/2; 23/10; 11/5; 27/11; 11/5; 45/17; 28/11; ; 13/5; 5/2; 5/2; ; 23/10; 11/5; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-06 10:22:44 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/4; 6/4; 16/11; 29/20; 159/100; 6/4; 6/4; ; 7/5; 29/20; 29/20; 7/5; ; 29/20; 7/5; 7/5; 16/11; 16/11; 16/11; 22/15; 7/5; ; 6/4; 29/20; 6/4; ; 6/4; 7/5; 
AFC Fylde; 17/10; 13/8; 8/5; 8/5; 173/100; 8/5; 13/8; ; 8/5; 8/5; 13/8; 31/20; ; 8/5; 17/10; 6/4; 8/5; 8/5; 8/5; 14/9; 8/5; ; 13/8; 33/20; 28/17; ; 13/8; 13/8; 
Draw; 12/5; 13/5; 12/5; 12/5; 133/50; 12/5; 5/2; ; 28/11; 12/5; 12/5; 23/10; ; 12/5; 5/2; 12/5; 11/5; 27/11; 11/5; 45/17; 28/11; ; 13/5; 5/2; 5/2; ; 5/2; 23/10; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-06 14:24:07 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 6/4; 6/4; 6/4; 6/4; 169/100; 29/20; 6/4; ; 11/8; 6/4; 6/4; 6/4; ; 6/4; 6/4; 7/5; 16/11; 17/11; 16/11; 19/13; 11/8; ; 6/4; 31/20; 17/11; ; 13/8; 13/8; 
AFC Fylde; 17/10; 13/8; 6/4; 13/8; 163/100; 6/4; 8/5; ; 28/17; 6/4; 8/5; 29/20; ; 6/4; 8/5; 6/4; 8/5; 17/11; 8/5; 17/11; 28/17; ; 13/8; 31/20; 17/11; ; 13/8; ; 
Draw; 12/5; 13/5; 12/5; 13/5; 133/50; 12/5; 5/2; ; 12/5; 12/5; 12/5; 9/4; ; 12/5; 5/2; 12/5; 11/5; 5/2; 11/5; 45/17; 12/5; ; 13/5; 5/2; 5/2; ; 5/2; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-06 18:22:32 GMT+2; 2018-01-06 15:00; In Play; Xlenovo
AFC Fylde; 2/5; 1/2; 2/5; 1/3; 41/25; ; 1/2; 2/5; 4/9; 4/9; 1/2; 2/5; ; 2/5; 2/5; ; 2/5; 6/13; 4/11; 3/8; 4/9; ; 2/5; 2/5; 6/13; ; ; ; 
Draw; 3; 3; 14/5; 16/5; 139/50; ; 11/4; 5/2; 45/17; 14/5; 11/4; 13/5; ; 14/5; 11/4; ; 5/2; 37/13; 13/5; 29/10; 45/17; ; 29/10; 29/10; 37/13; ; ; ; 
Bromley; 9; 6; 8; 9; 147/100; ; 5; 15/2; 8; 6; 8; 15/2; ; 8; 15/2; ; 8; 6; 9; 79/10; 8; ; 9; 11; 6; ; ; ; 
