META; english/non-league/national-league/chester-v-woking; 2017-09-30 22:21:51 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; ; ; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; 5/4; ; ; 6/5; ; ; ; ; 5/4; 6/5; ; 8/11; ; 
Draw; 5/2; 13/5; 12/5; 5/2; 12/5; 23/10; 13/5; 23/10; 12/5; 12/5; 23/10; 47/20; ; 23/10; 12/5; 12/5; 23/10; ; 27/11; 69/25; 5/2; 12/5; 5/2; 12/5; 49/20; ; 12/5; ; 
META; english/non-league/national-league/chester-v-woking; 2017-10-02 18:22:38 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 5/4; 13/10; 5/4; 6/5; 6/5; 117/100; 5/4; 11/10; 6/5; 5/4; 6/5; 5/4; ; 6/5; 5/4; 6/5; 15/13; 5/4; 129/100; 5/4; 6/5; 5/4; 5/4; 5/4; ; 5/4; 5/4; 
Woking; 2; 19/10; 28/15; 23/10; 2; 19/10; 2; 15/8; 37/19; 15/8; 9/5; 15/8; ; 19/10; 2; 19/10; 19/10; 37/19; 107/50; 17/10; 37/19; 2; 2; 2; ; 2; 19/10; 
Draw; 5/2; 13/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 47/20; ; 23/10; 12/5; 12/5; 23/10; 27/11; 27/10; 5/2; 12/5; 5/2; 13/5; 49/20; ; 12/5; 9/4; 
META; english/non-league/national-league/chester-v-woking; 2017-10-02 22:23:01 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 5/4; 13/10; 13/10; 13/10; 13/10; 117/100; 13/10; 6/5; 6/5; 13/10; 5/4; 13/10; ; 5/4; 11/8; 5/4; 15/13; 13/10; 131/100; 13/10; 6/5; 13/10; 13/10; 5/4; ; 13/10; 13/10; 
Woking; 2; 19/10; 9/5; 7/4; 15/8; 19/10; 19/10; 9/5; 37/19; 9/5; 7/4; 37/20; ; 15/8; 9/5; 15/8; 19/10; 19/10; 52/25; 9/5; 37/19; 15/8; 15/8; 2; ; 19/10; 9/5; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 47/20; ; 23/10; 12/5; 12/5; 23/10; 27/11; 137/50; 28/11; 12/5; 12/5; 13/5; 49/20; ; 12/5; 11/5; 
META; english/non-league/national-league/chester-v-woking; 2017-10-03 02:22:44 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 5/4; 13/10; 13/10; 13/10; 13/10; 117/100; 13/10; 6/5; 6/5; 13/10; 5/4; 13/10; ; 5/4; 11/8; 5/4; 15/13; 5/4; 13/10; 13/10; 6/5; 13/10; 11/8; 5/4; ; 13/10; 13/10; 
Woking; 2; 19/10; 9/5; 7/4; 19/10; 19/10; 19/10; 9/5; 37/19; 9/5; 7/4; 37/20; ; 15/8; 9/5; 15/8; 19/10; 19/10; 85/40; 9/5; 37/19; 15/8; 15/8; 2; ; 19/10; 9/5; 
Draw; 5/2; 5/2; 12/5; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 47/20; ; 23/10; 12/5; 12/5; 23/10; 27/11; 27/10; 28/11; 12/5; 12/5; 5/2; 49/20; ; 12/5; 9/4; 
META; english/non-league/national-league/chester-v-woking; 2017-10-03 10:23:08 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 13/10; 13/10; 13/10; 13/10; 13/10; 117/100; 11/8; 6/5; 23/18; 13/10; 5/4; 13/10; ; 6/5; 11/8; 13/10; 15/13; 13/10; 67/50; 23/17; ; 13/10; 11/8; 11/8; ; 13/10; 13/10; 
Woking; 15/8; 19/10; 9/5; 15/8; 15/8; 19/10; 15/8; 9/5; 37/19; 9/5; 7/4; 9/5; ; 9/5; 9/5; 9/5; 19/10; 24/13; 103/50; 7/4; ; 15/8; 15/8; 39/20; ; 19/10; 9/5; 
Draw; 5/2; 13/5; 12/5; 5/2; 12/5; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 12/5; ; 12/5; 12/5; 12/5; 23/10; 27/11; 67/25; 28/11; ; 5/2; 5/2; 49/20; ; 5/2; 12/5; 
META; english/non-league/national-league/chester-v-woking; 2017-10-03 14:23:16 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 6/5; 13/10; 6/5; 13/10; 5/4; 117/100; 5/4; 6/5; 23/18; 6/5; 23/20; 6/5; ; 6/5; 6/5; 5/4; 15/13; 6/5; 32/25; 17/14; 23/18; 5/4; 5/4; 5/4; ; 5/4; 5/4; 
Woking; 2; 19/10; 19/10; 15/8; 19/10; 19/10; 2; 9/5; 37/19; 19/10; 19/10; 39/20; ; 15/8; 21/10; 15/8; 19/10; 2; 109/50; 23/12; 37/19; 2; 2; 2; ; 19/10; 19/10; 
Draw; 13/5; 13/5; 12/5; 5/2; 12/5; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 12/5; ; 12/5; 12/5; 12/5; 23/10; 27/11; 67/25; 45/17; 9/4; 5/2; 13/5; 13/5; ; 5/2; 5/2; 
META; english/non-league/national-league/chester-v-woking; 2017-10-03 18:23:00 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 6/5; 5/4; 6/5; 13/10; 6/5; 117/100; 5/4; 11/10; 23/18; 6/5; 6/5; 5/4; ; 6/5; 6/5; 6/5; 15/13; 6/5; 33/25; 21/17; 23/18; 5/4; 5/4; 5/4; ; 5/4; 5/4; 
Woking; 2; 2; 19/10; 15/8; 2; 7/4; 2; 15/8; 37/19; 19/10; 9/5; 15/8; ; 15/8; 21/10; 19/10; 7/4; 2; 52/25; 24/13; 37/19; 2; 2; 2; ; 19/10; 19/10; 
Draw; 13/5; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; ; 12/5; 12/5; 12/5; 5/2; 27/11; 27/10; 45/17; 9/4; 5/2; 13/5; 13/5; ; 13/5; 13/5; 
META; english/non-league/national-league/chester-v-woking; 2017-10-03 22:22:59 GMT+3; 2017-10-03 19:45; In Play; Xlenovo
Woking; 4/6; 4/7; 21/10; 13/20; 8/13; 11/20; 21/10; 4/6; 7/11; 3/4; ; 3/4; ; ; 4/6; 4/6; 6/11; 28/13; ; ; ; ; 13/20; 13/20; ; ; 4/6; 
Draw; 3; 11/4; 9/4; 13/5; 3; 13/5; 5/2; 23/10; 37/13; 27/10; ; 13/5; ; ; 13/5; 11/4; 11/4; 45/17; ; ; ; ; 13/5; 11/4; ; ; 11/4; 
Chester; 4; 9/2; 6/5; 19/5; 4; 4; 1; 7/2; 39/10; 3; ; 16/5; ; ; 7/2; 7/2; 9/2; 1; ; ; ; ; 4; 9/2; ; ; 4; 
