Bromley; 14/5; 5/2; 5/2; 3; 141/ 50; 13/5; 13/5; ; 45/17; 5/2; 13/5; 12/5; ; 5/2; 5/2; 5/2; 14/5; 28/11; 14/5; 27/11; 45/17; 13/5; 27/10; 53/20; 13/5; ; 14/5; 27/10; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-25 18:24:02 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 19/20; 1; 10/11; 53/50; 19/20; 1; ; 19/20; 1; 1; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 24/23; 19/20; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 23/10; 23/10; 23/10; 5/2; 13/5; 23/10; 12/5; ; 23/10; 23/10; 23/10; 12/5; ; 23/10; 5/2; 23/10; 9/4; 27/11; 9/4; 27/11; 23/10; 12/5; 12/5; 12/5; 27/11; ; 23/10; 11/5; 
Bromley; 14/5; 5/2; 5/2; 3; 141/ 50; 13/5; 13/5; ; 45/17; 5/2; 13/5; 12/5; ; 5/2; 5/2; 5/2; 14/5; 28/11; 14/5; 27/11; 45/17; 13/5; 27/10; 53/20; 13/5; ; 14/5; 27/10; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-25 22:24:07 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 19/20; 1; 10/11; 53/50; 19/20; 1; ; 19/20; 1; 1; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 24/23; 19/20; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 23/10; 23/10; 23/10; 5/2; 13/5; 23/10; 12/5; ; 23/10; 23/10; 23/10; 12/5; ; 23/10; 5/2; 23/10; 9/4; 12/5; 9/4; 27/11; 23/10; 12/5; 12/5; 12/5; 27/11; ; 23/10; 9/4; 
Bromley; 14/5; 5/2; 5/2; 3; 141/ 50; 13/5; 13/5; ; 45/17; 5/2; 13/5; 12/5; ; 5/2; 5/2; 5/2; 14/5; 28/11; 14/5; 27/11; 45/17; 13/5; 27/10; 53/20; 13/5; ; 14/5; 27/10; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-26 02:24:06 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 19/20; 1; 10/11; 53/50; 19/20; 1; ; 19/20; 1; 21/20; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 42/41; 19/20; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 23/10; 23/10; 23/10; 5/2; 13/5; 23/10; 12/5; ; 23/10; 23/10; 23/10; 12/5; ; 23/10; 5/2; 23/10; 9/4; 12/5; 9/4; 27/11; 23/10; 12/5; 12/5; 12/5; 27/11; ; 23/10; 11/5; 
Bromley; 14/5; 5/2; 5/2; 3; 141/ 50; 13/5; 13/5; ; 45/17; 5/2; 5/2; 12/5; ; 5/2; 5/2; 5/2; 14/5; 28/11; 14/5; 27/11; 45/17; 13/5; 11/4; 53/20; 13/5; ; 5/2; 27/10; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-26 10:24:25 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 19/20; 1; 21/20; 21/20; 19/20; 1; ; 1; 1; 20/21; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 24/23; 1; 1; 1; 1; 1; ; 1; 1; 
Draw; 23/10; 23/10; 23/10; 12/5; 66/25; 23/10; 12/5; ; 23/10; 23/10; 12/5; 12/5; ; 23/10; 5/2; 23/10; 9/4; 12/5; 9/4; 13/5; 23/10; 12/5; 5/2; 12/5; 27/11; ; 12/5; 23/10; 
Bromley; 14/5; 5/2; 5/2; 13/5; 14/5; 13/5; 13/5; ; 5/2; 5/2; 13/5; 12/5; ; 49/20; 5/2; 5/2; 14/5; 28/11; 14/5; 23/10; 5/2; 13/5; 13/5; 53/20; 13/5; ; 13/5; 27/10; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-26 14:26:09 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 10/11; 10/11; 10/11; 10/11; 23/25; 10/11; 9/10; ; 11/13; 10/11; 10/11; 20/23; ; 10/11; 10/11; 10/11; 11/13; 13/15; 11/13; 15/16; 11/13; 9/10; 10/11; 17/20; 13/15; ; 20/21; 20/21; 
Draw; 12/5; 12/5; 23/10; 23/10; 67/25; 23/10; 5/2; ; 12/5; 23/10; 12/5; 12/5; ; 23/10; 12/5; 23/10; 9/4; 5/2; 9/4; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; ; 5/2; 5/2; 
Bromley; 3; 14/5; 14/5; 11/4; 33/10; 27/10; 3; ; 56/19; 14/5; 14/5; 13/5; ; 11/4; 3; 11/4; 14/5; 56/19; 14/5; 13/5; 56/19; 3; 29/10; 3; 3; ; 3; 3; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-26 18:24:02 GMT+2; 2017-12-26 15:00; In Play; Xlenovo
Ebbsfleet United; 1/4; 2/7; 3/10; 1/4; 33/ 100; 10/11; 2/7; 2/9; 5/19; 2/7; 2/7; 2/7; ; ; 1/4; ; 2/9; 4/13; 1/5; 3/13; ; ; 1/4; ; 2/7; ; ; 1/4; 
Draw; 15/4; 4; 10/3; 7/2; 37/10; 23/10; 7/2; 10/3; 7/2; 7/2; 7/2; 7/2; ; ; 7/2; ; 17/5; 16/5; 7/2; 18/5; ; ; 18/5; ; 33/10; ; ; 4; 
Bromley; 18; 14; 12; 14; 11; 27/10; 11; 14; 14; 16; 16; 14; ; ; 12; ; 15; 10; 17; 13; ; ; 16; ; 23/2; ; ; 16; 
