Draw; 13/5; 3; 29/10; 3; 3; 3; 3; 4; 3; 16/5; 14/5; 14/5; 14/5; 59/20; 14/5; 3; ; 16/5; 16/5; 3; 3; 16/5; 37/13; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 5; 6; 7; 11/2; 13/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 6; 11/2; ; 6; 11/2; 6; 57/10; 61/10; 22/5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-28 20:15:37 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 6/11; 10/21; 8/15; 18/35; 5/9; 7/12; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 3; 3; 3; 3; 4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 58/19; 16/5; 37/13; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 5; 6; 7; 11/2; 13/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 11/2; 61/10; 22/5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-29 00:15:34 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 6/11; 10/21; 8/15; 18/35; 5/9; 7/12; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 3; 3; 3; 3; 4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 58/19; 16/5; 37/13; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 5; 6; 7; 11/2; 13/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 11/2; 61/10; 22/5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-29 04:15:31 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 6/11; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 6/11; 10/21; 8/15; 18/35; 5/9; 7/12; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 58/19; 16/5; 37/13; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 11/2; 61/10; 22/5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-29 08:15:32 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 6/11; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 6/11; 10/21; 8/15; 18/35; 5/9; 7/12; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; 16/5; 37/13; ; ; 3; ; 
FC Copenhagen; 11/2; 5; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 11/2; 61/10; 22/5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-29 12:15:34 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 6/11; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 6/11; 10/21; 8/15; 18/35; 6/11; 7/12; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; 33/10; 37/13; ; ; 3; ; 
FC Copenhagen; 11/2; 5; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 11/2; 6; 22/5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-29 16:15:34 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/21; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 11/21; 10/21; 1/2; 18/35; 6/11; 7/12; ; ; ; ; 
Draw; 13/5; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; 33/10; 37/13; ; ; ; ; 
FC Copenhagen; 11/2; 5; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 11/2; 6; 22/5; ; ; ; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-29 20:15:36 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/21; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 11/21; 10/21; 1/2; 18/35; 6/11; 7/12; ; ; ; ; 
Draw; 13/5; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; 33/10; 37/13; ; ; ; ; 
FC Copenhagen; 11/2; 5; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 11/2; 6; 22/5; ; ; ; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-30 00:15:31 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 1/2; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/21; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 11/21; 10/21; 1/2; 18/35; 6/11; 7/12; ; ; ; ; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; 33/10; 37/13; ; ; ; ; 
