Draw; 12/5; 85/40; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 28/13; 11/5; 28/13; 40/17; 12/5; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-08 16:15:30 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; ; ; 
Roma; 11/5; 11/5; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; ; ; 
Draw; 12/5; 85/40; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-08 20:15:32 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; ; ; 
Roma; 11/5; 11/5; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; ; ; 
Draw; 12/5; 85/40; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-09 00:15:29 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; ; ; 
