Atletico Madrid; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 3/10; 3/10; 2/7; 3/10; ; 3/10; 1/4; 
Draw; 4; 19/5; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 15/4; 4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 4; 7/2; 
Leicester; 10; 9; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 12; 9; 10; 11; 45/4; 9; 11; 45/4; 23/2; 10; 11; 10; 11; ; 8; 39/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-19 12:15:07 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 3/10; 3/10; 2/7; 3/10; ; 2/7; 1/4; 3/10
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 15/4; 4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 12; 9; 10; 11; 45/4; 9; 11; 45/4; 23/2; 10; 11; 10; 11; ; 29/5; 41/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-19 16:15:07 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 3/10; 3/10; 2/7; 3/10; ; 2/7; 1/4; 3/10
Draw; 4; 19/5; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 15/4; 4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 12; 17/2; 10; 11; 45/4; 9; 11; 45/4; 23/2; 10; 11; 10; 11; ; 52/5; 46/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-19 20:15:08 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 3/10; 3/10; 2/7; 3/10; ; 2/7; 1/4; 3/10
Draw; 4; 19/5; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 15/4; 4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 12; 17/2; 10; 11; 45/4; 9; 11; 45/4; 23/2; 10; 11; 10; 11; ; 52/5; 46/5; 59/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-20 00:15:09 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 3/10; 3/10; 3/10; 3/10; ; 2/7; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 15/4; 4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 7/2; 21/5
