Sevilla; 1; 1; 21/20; 1; 1; 1; 1; 21/20; 21/20; ; 1; 1; 19/20; 21/20; 1; 21/20; 1; 1; 1; 1; 103/100; 66/67; 1; 1; ; 1; ; 1
Draw; 5/2; 5/2; 49/20; 23/10; 13/5; 13/5; 13/5; 5/2; 5/2; ; 23/10; 23/10; 51/20; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 53/20; 28/11; 13/5; 12/5; ; 5/2; ; 13/5
Leicester; 11/4; 13/5; 27/10; 5/2; 11/4; 12/5; 27/10; 9/4; 13/5; ; 5/2; 14/5; 11/4; 27/10; 11/4; 27/10; 27/10; 12/5; 11/4; 27/10; 3; 11/4; 11/4; 13/5; ; 27/10; ; 14/5
META; champions-league/leicester-v-sevilla; 2017-02-27 16:15:29 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 1; 1; 21/20; 1; 1; 1; 1; 21/20; 21/20; ; 1; 1; 19/20; 21/20; 1; 21/20; 1; 1; 1; 1; 103/100; 66/67; 1; 1; ; 1; ; 1
Draw; 5/2; 5/2; 49/20; 23/10; 13/5; 13/5; 13/5; 5/2; 5/2; ; 23/10; 23/10; 51/20; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 53/20; 28/11; 13/5; 12/5; ; 5/2; ; 13/5
Leicester; 11/4; 13/5; 27/10; 5/2; 11/4; 12/5; 27/10; 9/4; 13/5; ; 5/2; 14/5; 11/4; 27/10; 11/4; 27/10; 27/10; 12/5; 11/4; 27/10; 3; 11/4; 11/4; 13/5; ; 27/10; ; 14/5
META; champions-league/leicester-v-sevilla; 2017-02-27 20:15:19 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 1; 1; 21/20; 1; 1; 1; 1; 21/20; 21/20; ; 1; 1; 19/20; 21/20; 1; 21/20; 1; 1; 1; 1; 103/100; 66/67; 1; 1; ; 1; ; 1
Draw; 5/2; 5/2; 49/20; 23/10; 13/5; 13/5; 13/5; 5/2; 5/2; ; 23/10; 23/10; 51/20; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 53/20; 28/11; 13/5; 12/5; ; 5/2; ; 13/5
Leicester; 11/4; 13/5; 27/10; 5/2; 11/4; 12/5; 27/10; 9/4; 13/5; ; 5/2; 14/5; 11/4; 27/10; 11/4; 27/10; 27/10; 12/5; 11/4; 27/10; 3; 11/4; 11/4; 13/5; ; 27/10; ; 14/5
META; champions-league/leicester-v-sevilla; 2017-02-28 00:15:20 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 1; 11/10; 23/20; 1; 11/10; 1; 11/10; 21/20; 11/10; ; 11/10; 11/10; 21/20; 23/20; 23/20; 21/20; 19/20; 1; 23/20; ; 29/25; ; 15/13; 21/20; ; 23/20; ; 23/20
Draw; 5/2; 12/5; 49/20; 23/10; 13/5; 13/5; 13/5; 5/2; 5/2; ; 23/10; 5/2; 51/20; 13/5; 5/2; 13/5; 27/11; 13/5; 13/5; ; 67/25; ; 13/5; 12/5; ; 12/5; ; 13/5
Leicester; 11/4; 12/5; 47/20; 5/2; 5/2; 12/5; 12/5; 9/4; 5/2; ; 9/4; 12/5; 49/20; 12/5; 23/10; 13/5; 27/10; 12/5; 23/10; ; 63/25; ; 40/17; 12/5; ; 23/10; ; 12/5
META; champions-league/leicester-v-sevilla; 2017-02-28 04:15:21 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 11/10; 11/10; 23/20; 1; 11/10; 1; 11/10; 21/20; 11/10; ; 11/10; 11/10; 21/20; 23/20; 23/20; 11/10; 19/20; 1; 23/20; ; 29/25; 13/12; 15/13; 11/10; ; 10/9; ; 23/20
Draw; 5/2; 12/5; 49/20; 23/10; 13/5; 13/5; 13/5; 5/2; 5/2; ; 23/10; 5/2; 51/20; 13/5; 5/2; 13/5; 27/11; 13/5; 13/5; ; 67/25; 13/5; 13/5; 12/5; ; 12/5; ; 13/5
Leicester; 5/2; 12/5; 47/20; 5/2; 5/2; 12/5; 12/5; 9/4; 5/2; ; 9/4; 12/5; 12/5; 12/5; 23/10; 5/2; 27/10; 12/5; 23/10; ; 63/25; 27/11; 40/17; 23/10; ; 23/10; ; 12/5
META; champions-league/leicester-v-sevilla; 2017-02-28 08:15:20 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 11/10; 11/10; 23/20; 1; 11/10; 1; 11/10; 21/20; 11/10; ; 11/10; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 1; 23/20; 11/10; 29/25; 13/12; 15/13; 11/10; ; 10/9; ; 23/20
