META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-03 00:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 4/11; 4/11; 4/11; 4/11; ; 4/9; 3/10; ; 3/8; 4/9; ; ; ; 3/10; 2/5; 2/5; 10/29; 3/8; 4/11; 4/11; 10/29; ; ; ; ; ; 
Draw; 10/3; 10/3; 10/3; 16/5; 10/3; ; 7/2; 9/2; ; 4; 16/5; ; ; ; 11/2; 10/3; 7/2; 7/2; 4; 4; 4; 7/2; ; ; ; ; ; 
FC Santa Coloma; 11/2; 7; 6; 6; 6; ; 7; 11/2; ; 6; 13/2; ; ; ; 13/2; 7; 13/2; 91/17; 6; 25/4; 6; 91/17; ; ; ; ; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 01:45:05 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 4/11; 4/11; 4/11; 4/11; ; 4/9; 3/10; ; 3/8; 4/9; ; ; ; ; 2/5; 2/5; 10/29; 3/8; 4/11; 4/11; 10/29; ; ; ; ; ; 
Draw; 10/3; 10/3; 10/3; 16/5; 10/3; ; 7/2; 9/2; ; 4; 16/5; ; ; ; ; 10/3; 7/2; 7/2; 4; 4; 4; 7/2; ; ; ; ; ; 
FC Santa Coloma; 11/2; 7; 6; 6; 6; ; 7; 11/2; ; 6; 13/2; ; ; ; ; 7; 13/2; 91/17; 6; 25/4; 6; 91/17; ; ; ; ; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 03:45:05 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 4/11; 4/11; 4/11; 4/11; ; 4/9; 3/10; ; 3/8; 4/9; ; ; ; ; 2/5; 2/5; 10/29; 3/8; 4/11; 4/11; 10/29; ; ; ; ; ; 
Draw; 10/3; 10/3; 10/3; 16/5; 10/3; ; 7/2; 9/2; ; 4; 16/5; ; ; ; ; 10/3; 7/2; 7/2; 4; 4; 4; 7/2; ; ; ; ; ; 
FC Santa Coloma; 11/2; 7; 6; 6; 6; ; 7; 11/2; ; 6; 13/2; ; ; ; ; 7; 13/2; 91/17; 6; 25/4; 6; 91/17; ; ; ; ; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 04:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 4/11; 2/5; 4/11; 2/5; ; 4/9; 3/10; ; 3/8; 4/9; ; ; ; ; 2/5; 2/5; 10/29; 3/8; 4/11; 4/11; 10/29; ; ; ; 4/9; ; 
Draw; 10/3; 10/3; 10/3; 16/5; 10/3; ; 7/2; 9/2; ; 4; 16/5; ; ; ; ; 10/3; 7/2; 7/2; 4; 4; 4; 7/2; ; ; ; 7/2; ; 
FC Santa Coloma; 11/2; 7; 11/2; 6; 11/2; ; 7; 11/2; ; 6; 13/2; ; ; ; ; 7; 13/2; 91/17; 6; 25/4; 6; 91/17; ; ; ; 21/5; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 05:45:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 2/5; 2/5; 4/11; 2/5; ; 4/9; 3/10; ; 3/8; 4/9; ; ; ; ; 2/5; 2/5; 10/29; 3/8; 4/11; 4/11; 10/29; ; ; ; 2/5; ; 
Draw; 10/3; 16/5; 10/3; 16/5; 10/3; ; 7/2; 9/2; ; 4; 16/5; ; ; ; ; 10/3; 7/2; 7/2; 4; 4; 4; 7/2; ; ; ; 7/2; ; 
FC Santa Coloma; 11/2; 7; 11/2; 6; 11/2; ; 7; 11/2; ; 6; 13/2; ; ; ; ; 7; 13/2; 91/17; 6; 25/4; 6; 91/17; ; ; ; 21/5; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 06:16:53 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 2/5; 4/11; 4/11; 4/11; ; 4/9; 3/10; ; 3/8; 4/9; ; ; ; ; 2/5; 2/5; 1/3; 3/8; 4/11; 4/11; 1/3; ; ; ; 2/5; ; 
Draw; 10/3; 16/5; 10/3; 16/5; 10/3; ; 7/2; 9/2; ; 4; 16/5; ; ; ; ; 10/3; 7/2; 13/4; 4; 4; 4; 13/4; ; ; ; 7/2; ; 
FC Santa Coloma; 11/2; 7; 6; 6; 6; ; 7; 11/2; ; 6; 7; ; ; ; ; 7; 13/2; 25/4; 6; 25/4; 6; 25/4; ; ; ; 6; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 07:45:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 2/5; 2/5; 2/5; 2/5; ; 9/20; 4/11; ; 5/12; 10/21; ; ; ; ; 9/20; 4/9; 7/19; 5/12; 2/5; 2/5; 7/19; ; ; ; ; ; 
Draw; 10/3; 16/5; 16/5; 3; 16/5; ; 17/5; 4; ; 15/4; 3; ; ; ; ; 16/5; 7/2; 31/10; 15/4; 18/5; 7/2; 31/10; ; ; ; ; ; 
FC Santa Coloma; 11/2; 13/2; 11/2; 11/2; 11/2; ; 7; 5; ; 11/2; 6; ; ; ; ; 6; 6; 96/17; 11/2; 13/2; 11/2; 96/17; ; ; ; ; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 08:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 2/5; 2/5; 2/5; 2/5; ; 9/20; 4/11; ; 5/12; 10/21; ; ; ; ; 9/20; 4/9; 7/19; 5/12; 2/5; 2/5; 7/19; ; ; ; 4/9; ; 
Draw; 10/3; 10/3; 16/5; 3; 16/5; ; 17/5; 4; ; 15/4; 3; ; ; ; ; 16/5; 7/2; 31/10; 15/4; 18/5; 7/2; 31/10; ; ; ; 7/2; ; 
FC Santa Coloma; 11/2; 6; 11/2; 11/2; 11/2; ; 7; 5; ; 11/2; 6; ; ; ; ; 6; 6; 96/17; 11/2; 13/2; 11/2; 96/17; ; ; ; 26/5; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 09:45:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 4/9; 4/9; 4/9; 2/5; 4/9; ; 1/2; 4/11; ; 5/12; 1/2; ; ; ; ; 1/2; 4/9; 7/17; 5/12; 2/5; 2/5; 7/17; ; ; ; 4/9; ; 
Draw; 16/5; 16/5; 3; 3; 3; ; 16/5; 4; ; 15/4; 14/5; ; ; ; ; 3; 10/3; 29/10; 15/4; 18/5; 7/2; 29/10; ; ; ; 7/2; ; 
FC Santa Coloma; 5; 11/2; 11/2; 11/2; 11/2; ; 13/2; 5; ; 11/2; 6; ; ; ; ; 11/2; 6; 27/5; 11/2; 13/2; 11/2; 27/5; ; ; ; 5; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 11:45:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 4/9; 1/2; 4/9; 2/5; 4/9; 4/9; 1/2; 4/11; ; 5/11; 1/2; ; ; ; ; 1/2; 4/9; 3/8; 5/11; 5/11; 4/9; 3/8; ; ; ; 1/2; ; 
Draw; 16/5; 3; 3; 3; 3; 11/4; 16/5; 4; ; 62/17; 14/5; ; ; ; ; 3; 10/3; 56/19; 62/17; 18/5; 7/2; 56/19; ; ; ; 13/5; ; 
FC Santa Coloma; 5; 11/2; 11/2; 11/2; 11/2; 5; 13/2; 5; ; 5; 6; ; ; ; ; 11/2; 6; 96/17; 5; 5; 5; 96/17; ; ; ; 26/5; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 12:15:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 4/9; 4/9; 4/9; 2/5; 4/9; 4/9; 8/15; 4/11; ; 5/11; 1/2; ; ; ; ; 1/2; 4/9; 7/19; 5/11; 5/11; 4/9; 7/19; ; ; ; ; ; 
Draw; 16/5; 3; 3; 3; 3; 11/4; 31/10; 4; ; 62/17; 14/5; ; ; ; ; 3; 10/3; 58/19; 62/17; 15/4; 7/2; 58/19; ; ; ; ; ; 
FC Santa Coloma; 5; 6; 11/2; 11/2; 11/2; 5; 6; 5; ; 5; 6; ; ; ; ; 11/2; 6; 59/10; 5; 19/4; 5; 59/10; ; ; ; ; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 12:24:07 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 4/9; 4/9; 4/9; 2/5; 4/9; 4/9; 8/15; 4/11; ; 5/11; 1/2; ; ; ; ; 1/2; 4/9; 4/11; 5/11; 5/11; 4/9; 4/11; ; ; ; 1/2; ; 
Draw; 16/5; 3; 3; 3; 3; 11/4; 31/10; 4; ; 62/17; 14/5; ; ; ; ; 3; 10/3; 58/19; 62/17; 15/4; 7/2; 58/19; ; ; ; 14/5; ; 
FC Santa Coloma; 5; 6; 11/2; 11/2; 11/2; 5; 6; 5; ; 5; 6; ; ; ; ; 11/2; 6; 6; 5; 19/4; 5; 6; ; ; ; 14/5; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 13:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 8/15; 4/9; ; 5/11; 1/2; ; ; ; ; 1/2; 4/9; 4/11; 5/11; 5/11; 4/9; 4/11; ; ; ; ; ; 
Draw; 16/5; 3; 3; 14/5; 3; 11/4; 31/10; 16/5; ; 3; 14/5; ; ; ; ; 3; 10/3; 58/19; 3; 15/4; 3; 58/19; ; ; ; ; ; 
FC Santa Coloma; 5; 6; 11/2; 5; 11/2; 5; 6; 5; ; 13/2; 6; ; ; ; ; 11/2; 6; 6; 13/2; 19/4; 13/2; 6; ; ; ; ; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 15:45:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 8/15; 4/9; ; 5/11; 1/2; ; ; 12/25; ; 1/2; 1/2; 3/8; 5/11; 8/15; 4/9; 3/8; ; ; ; 1/2; 4/9; 
Draw; 3; 14/5; 11/4; 14/5; 11/4; 11/4; 31/10; 16/5; ; 3; 14/5; ; ; 11/4; ; 3; 3; 56/19; 3; 3; 3; 56/19; ; ; ; 14/5; 9/4; 
FC Santa Coloma; 11/2; 6; 11/2; 5; 11/2; 5; 6; 5; ; 13/2; 6; ; ; 11/2; ; 11/2; 6; 113/19; 13/2; 5; 13/2; 113/19; ; ; ; 6; 9/2; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 16:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 8/15; 4/9; ; 5/11; 1/2; ; ; 12/25; ; 1/2; 1/2; 3/8; 5/11; 8/15; 4/9; 3/8; ; ; ; ; 4/9; 
Draw; 3; 14/5; 11/4; 14/5; 11/4; 11/4; 31/10; 16/5; ; 3; 14/5; ; ; 11/4; ; 3; 3; 56/19; 3; 3; 3; 56/19; ; ; ; ; 9/4; 
FC Santa Coloma; 11/2; 6; 11/2; 5; 11/2; 5; 6; 5; ; 13/2; 6; ; ; 11/2; ; 11/2; 6; 113/19; 13/2; 5; 13/2; 113/19; ; ; ; ; 9/2; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 17:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 5/11; 1/2; ; ; 9/20; ; 1/2; 1/2; 7/18; 5/11; 8/15; 4/9; 7/18; ; ; ; 1/2; 4/9; 
Draw; 3; 14/5; 3; 14/5; 3; 11/4; 16/5; 16/5; ; 3; 3; ; ; 14/5; ; 3; 3; 37/13; 3; 3; 3; 37/13; ; ; ; 14/5; 12/5; 
FC Santa Coloma; 11/2; 6; 11/2; 5; 11/2; 5; 13/2; 5; ; 13/2; 11/2; ; ; 6; ; 11/2; 6; 76/13; 13/2; 5; 13/2; 76/13; ; ; ; 29/5; 9/2; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 18:17:11 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 5/11; 1/2; ; ; 9/20; ; 1/2; 1/2; 5/12; 5/11; 8/15; 4/9; 5/12; ; ; ; 8/15; 4/9; 
Draw; 3; 14/5; 3; 14/5; 3; 11/4; 16/5; 16/5; ; 3; 3; ; ; 14/5; ; 3; 3; 56/19; 3; 3; 3; 56/19; ; ; ; 3; 14/5; 
FC Santa Coloma; 11/2; 6; 11/2; 5; 11/2; 5; 13/2; 5; ; 13/2; 6; ; ; 6; ; 11/2; 6; 28/5; 13/2; 5; 13/2; 28/5; ; ; ; 31/5; 28/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 19:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 5/11; 1/2; ; ; 9/20; ; 1/2; 1/2; 4/9; 5/11; 8/15; 4/9; 4/9; ; ; ; ; 1/2; 
Draw; 3; 14/5; 3; 14/5; 3; 11/4; 16/5; 16/5; ; 3; 3; ; ; 14/5; ; 3; 3; 37/13; 3; 3; 3; 37/13; ; ; ; ; 14/5; 
FC Santa Coloma; 11/2; 6; 11/2; 5; 11/2; 5; 13/2; 5; ; 13/2; 11/2; ; ; 11/2; ; 11/2; 6; 53/10; 13/2; 5; 13/2; 53/10; ; ; ; ; 29/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 20:15:08 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 5/11; 1/2; ; ; 9/20; ; 1/2; 1/2; 4/9; 5/11; 8/15; 4/9; 4/9; ; ; ; ; 4/9; 
Draw; 3; 14/5; 3; 14/5; 3; 11/4; 16/5; 16/5; ; 3; 3; ; ; 14/5; ; 3; 3; 37/13; 3; 3; 3; 37/13; ; ; ; ; 14/5; 
FC Santa Coloma; 11/2; 6; 11/2; 5; 11/2; 5; 13/2; 5; ; 13/2; 11/2; ; ; 11/2; ; 11/2; 6; 53/10; 13/2; 5; 13/2; 53/10; ; ; ; ; 6; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 21:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 5/11; 1/2; ; ; 9/20; ; 1/2; 1/2; 4/9; 5/11; 8/15; 4/9; 3/7; ; ; ; 1/2; 4/9; 
Draw; 3; 14/5; 3; 14/5; 3; 11/4; 16/5; 16/5; ; 3; 3; ; ; 14/5; ; 3; 3; 37/13; 3; 3; 3; 37/13; ; ; ; 3; 14/5; 
FC Santa Coloma; 11/2; 6; 11/2; 5; 11/2; 5; 13/2; 5; ; 13/2; 11/2; ; ; 11/2; ; 11/2; 6; 91/17; 13/2; 5; 13/2; 91/17; ; ; ; 33/5; 6; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 23:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 5/11; 8/15; ; ; 9/20; ; 1/2; 1/2; 5/11; 5/11; 8/15; 4/9; 5/11; ; ; ; 1/2; 4/9; 
Draw; 3; 14/5; 11/4; 13/5; 11/4; 11/4; 16/5; 16/5; ; 3; 14/5; ; ; 14/5; ; 3; 3; 37/13; 3; 3; 3; 37/13; ; ; ; 3; 14/5; 
FC Santa Coloma; 11/2; 6; 11/2; 11/2; 11/2; 5; 13/2; 5; ; 13/2; 11/2; ; ; 11/2; ; 11/2; 6; 67/13; 13/2; 5; 13/2; 67/13; ; ; ; 31/5; 27/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 00:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 5/11; 1/2; ; ; 9/20; ; 1/2; 1/2; 2/5; 5/11; 8/15; 4/9; 2/5; ; ; ; 1/2; 4/9; 
Draw; 3; 14/5; 3; 11/4; 3; 11/4; 16/5; 16/5; ; 3; 3; ; ; 14/5; ; 3; 3; 56/19; 3; 3; 3; 56/19; ; ; ; 3; 14/5; 
FC Santa Coloma; 11/2; 6; 11/2; 11/2; 11/2; 5; 13/2; 5; ; 13/2; 6; ; ; 6; ; 11/2; 6; 113/19; 13/2; 5; 13/2; 113/19; ; ; ; 29/5; 24/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 00:24:05 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 5/11; 1/2; ; ; 9/20; ; 1/2; 1/2; 2/5; 5/11; 8/15; 4/9; 2/5; ; ; ; 1/2; 4/9; 
Draw; 3; 14/5; 3; 11/4; 3; 11/4; 16/5; 16/5; ; 3; 3; ; ; 14/5; ; 3; 3; 56/19; 3; 3; 3; 56/19; ; ; ; 3; 14/5; 
FC Santa Coloma; 11/2; 6; 11/2; 11/2; 11/2; 5; 13/2; 5; ; 13/2; 6; ; ; 6; ; 11/2; 6; 113/19; 13/2; 5; 13/2; 113/19; ; ; ; 29/5; 24/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 01:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 9/20; 4/9; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 5/11; 1/2; ; ; 9/20; ; 1/2; 1/2; 2/5; 5/11; 8/15; 4/9; 2/5; ; ; ; 1/2; 4/9; 
Draw; 3; 3; 3; 14/5; 3; 11/4; 16/5; 16/5; ; 3; 3; ; ; 14/5; ; 3; 3; 56/19; 3; 3; 3; 56/19; ; ; ; 3; 14/5; 
FC Santa Coloma; 11/2; 6; 11/2; 5; 11/2; 5; 13/2; 5; ; 13/2; 6; ; ; 6; ; 11/2; 6; 113/19; 13/2; 5; 13/2; 113/19; ; ; ; 29/5; 24/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 03:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 4/9; 1/2; 4/9; 4/9; 4/9; 4/9; 8/15; 4/9; ; 5/11; 8/15; ; ; 12/25; ; 1/2; 1/2; 5/11; 5/11; 8/15; 4/9; 5/11; ; ; ; 1/2; 4/9; 
Draw; 3; 14/5; 11/4; 11/4; 11/4; 11/4; 31/10; 16/5; ; 3; 14/5; ; ; 11/4; ; 3; 3; 14/5; 3; 3; 3; 14/5; ; ; ; 3; 14/5; 
FC Santa Coloma; 7; 6; 11/2; 11/2; 11/2; 5; 6; 5; ; 13/2; 11/2; ; ; 11/2; ; 11/2; 6; 21/4; 13/2; 5; 13/2; 21/4; ; ; ; 29/5; 24/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 04:15:08 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 4/9; 1/2; 4/9; 4/9; 4/9; 4/9; 8/15; 4/9; ; 5/11; 8/15; ; ; 12/25; ; 1/2; 1/2; 5/11; 5/11; 8/15; 4/9; 5/11; ; ; ; 1/2; 4/9; 
Draw; 3; 14/5; 11/4; 13/5; 11/4; 11/4; 31/10; 16/5; ; 3; 14/5; ; ; 11/4; ; 3; 3; 14/5; 3; 3; 3; 14/5; ; ; ; 3; 14/5; 
FC Santa Coloma; 7; 6; 11/2; 11/2; 11/2; 5; 6; 5; ; 13/2; 11/2; ; ; 11/2; ; 11/2; 6; 21/4; 13/2; 5; 13/2; 21/4; ; ; ; 29/5; 24/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 05:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 1/2; 1/2; 4/9; 1/2; 4/9; 4/9; 4/7; 4/9; ; 5/11; 8/15; ; ; 1/2; ; 8/15; 8/15; 7/15; 5/11; 8/15; 4/9; 7/15; ; ; ; 1/2; 1/2; 
Draw; 14/5; 14/5; 11/4; 13/5; 11/4; 11/4; 3; 16/5; ; 3; 14/5; ; ; 53/20; ; 14/5; 3; 11/4; 3; 3; 3; 11/4; ; ; ; 3; 14/5; 
FC Santa Coloma; 13/2; 11/2; 11/2; 5; 11/2; 5; 11/2; 5; ; 13/2; 11/2; ; ; 21/4; ; 11/2; 11/2; 53/10; 13/2; 5; 13/2; 53/10; ; ; ; 29/5; 24/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 06:17:01 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 1/2; 1/2; 4/9; 1/2; 4/9; 4/9; 4/7; 4/9; ; 5/11; 8/15; ; ; 1/2; ; 8/15; 8/15; 7/15; 5/11; 8/15; 4/9; 7/15; ; ; ; 1/2; 1/2; 
Draw; 14/5; 14/5; 11/4; 13/5; 11/4; 11/4; 3; 16/5; ; 3; 14/5; ; ; 53/20; ; 14/5; 3; 11/4; 3; 3; 3; 11/4; ; ; ; 3; 14/5; 
FC Santa Coloma; 13/2; 11/2; 11/2; 5; 11/2; 5; 11/2; 5; ; 13/2; 11/2; ; ; 21/4; ; 11/2; 11/2; 53/10; 13/2; 5; 13/2; 53/10; ; ; ; 33/5; 31/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 07:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 1/2; 1/2; 4/9; 4/9; 4/9; 4/9; 11/20; 4/9; ; 5/11; 8/15; ; ; 12/25; ; 8/15; 1/2; 7/15; 5/11; 8/15; 4/9; 7/15; ; ; ; ; 4/9; 
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 11/4; 3; 16/5; ; 3; 14/5; ; ; 53/20; ; 14/5; 3; 11/4; 3; 3; 3; 11/4; ; ; ; ; 14/5; 
FC Santa Coloma; 13/2; 11/2; 11/2; 11/2; 11/2; 5; 6; 5; ; 13/2; 11/2; ; ; 11/2; ; 11/2; 6; 21/4; 13/2; 5; 13/2; 21/4; ; ; ; ; 31/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 08:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 1/2; 1/2; 4/9; 4/9; 4/9; 4/9; 11/20; 4/9; ; 5/11; 8/15; ; ; 12/25; ; 8/15; 1/2; 7/15; 5/11; 8/15; 4/9; 7/15; ; ; ; 1/2; 4/9; 
Draw; 14/5; 14/5; 11/4; 13/5; 11/4; 11/4; 3; 16/5; ; 3; 14/5; ; ; 53/20; ; 14/5; 3; 11/4; 3; 3; 3; 11/4; ; ; ; 3; 14/5; 
FC Santa Coloma; 13/2; 11/2; 11/2; 11/2; 11/2; 5; 6; 5; ; 13/2; 11/2; ; ; 11/2; ; 11/2; 6; 21/4; 13/2; 5; 13/2; 21/4; ; ; ; 33/5; 31/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 09:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 4/9; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 5/11; 8/15; ; ; 9/20; ; 1/2; 1/2; 2/5; 5/11; 4/9; 4/9; 2/5; ; ; ; 1/2; 4/9; 
Draw; 3; 14/5; 11/4; 13/5; 11/4; 11/4; 16/5; 16/5; ; 3; 14/5; ; ; 14/5; ; 14/5; 3; 29/10; 3; 31/10; 3; 29/10; ; ; ; 3; 14/5; 
