META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-03 00:15:13 GMT+3; 2016-07-06 18:00; e70300-dr003
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 00:15:15 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/5; 13/10; 13/10; 13/10; 13/10; ; 7/5; ; 13/10; 7/5; 13/10; 13/10; 7/5; ; 11/8; 6/5; 7/5; 5/4; 7/5; 11/10; 7/5; 5/4; 32/21; ; ; 5/4; ; 
Lincoln Red Imps FC; 9/5; 15/8; 7/4; 2; 7/4; ; 7/4; ; 2; 2; 2; 15/8; 6/4; ; 19/10; 2; 15/8; 7/4; 2; 11/5; 2; 7/4; 45/23; ; ; 7/4; ; 
Draw; 13/5; 23/10; 23/10; 23/10; 23/10; ; 5/2; ; 12/5; 11/5; 23/10; 21/10; 9/4; ; 12/5; 5/2; 12/5; 11/5; 11/5; 5/2; 11/5; 11/5; 43/19; ; ; 11/5; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 04:15:09 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/5; 11/8; 13/10; 13/10; 13/10; ; 7/5; ; 13/10; 7/5; 13/10; 13/10; 7/5; ; 11/8; 6/5; 7/5; 13/10; 7/5; 11/10; 7/5; 13/10; 32/21; ; ; 5/4; ; 
Lincoln Red Imps FC; 9/5; 19/10; 9/5; 2; 9/5; ; 7/4; ; 2; 2; 2; 15/8; 6/4; ; 19/10; 2; 15/8; 17/10; 2; 11/5; 2; 17/10; 45/23; ; ; 7/4; ; 
Draw; 13/5; 9/4; 9/4; 23/10; 9/4; ; 5/2; ; 12/5; 11/5; 23/10; 21/10; 9/4; ; 12/5; 5/2; 12/5; 28/13; 11/5; 5/2; 11/5; 28/13; 43/19; ; ; 11/5; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 05:45:27 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/5; 11/8; 13/10; 13/10; 13/10; ; 7/5; ; 13/10; 7/5; 13/10; 13/10; 7/5; ; 11/8; 6/5; 7/5; 13/10; 7/5; 11/10; 7/5; 13/10; 32/21; ; ; 5/4; ; 
Lincoln Red Imps FC; 9/5; 19/10; 9/5; 2; 9/5; ; 7/4; ; 2; 2; 2; 15/8; 6/4; ; 19/10; 2; 15/8; 17/10; 2; 11/5; 2; 17/10; 45/23; ; ; 7/4; ; 
Draw; 13/5; 9/4; 9/4; 23/10; 9/4; ; 5/2; ; 12/5; 11/5; 23/10; 21/10; 9/4; ; 12/5; 5/2; 12/5; 28/13; 11/5; 5/2; 11/5; 28/13; 43/19; ; ; 11/5; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 06:17:18 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/5; 13/10; 13/10; 13/10; 13/10; ; 7/5; ; 13/10; 7/5; 13/10; 13/10; 7/5; ; 11/8; 6/5; 7/5; 13/10; 7/5; 11/10; 7/5; 13/10; 32/21; ; ; 5/4; ; 
Lincoln Red Imps FC; 9/5; 19/10; 7/4; 2; 7/4; ; 7/4; ; 2; 2; 2; 15/8; 6/4; ; 19/10; 2; 15/8; 17/10; 2; 11/5; 2; 17/10; 45/23; ; ; 7/4; ; 
Draw; 13/5; 23/10; 23/10; 23/10; 23/10; ; 5/2; ; 12/5; 11/5; 23/10; 21/10; 9/4; ; 12/5; 5/2; 12/5; 28/13; 11/5; 5/2; 11/5; 28/13; 43/19; ; ; 11/5; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 07:45:27 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/5; 11/8; 13/10; 13/10; 13/10; ; 7/5; ; 13/10; 7/5; 13/10; 13/10; 7/5; ; 11/8; 6/5; 7/5; 6/5; 7/5; 11/10; 7/5; 6/5; 32/21; ; ; ; ; 
Lincoln Red Imps FC; 9/5; 19/10; 9/5; 2; 9/5; ; 7/4; ; 2; 2; 2; 15/8; 6/4; ; 19/10; 2; 15/8; 9/5; 2; 11/5; 2; 9/5; 45/23; ; ; ; ; 
Draw; 13/5; 9/4; 9/4; 12/5; 9/4; ; 5/2; ; 12/5; 11/5; 23/10; 21/10; 9/4; ; 12/5; 5/2; 12/5; 28/13; 11/5; 5/2; 11/5; 28/13; 43/19; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 08:15:09 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/5; 11/8; 13/10; 13/10; 13/10; ; 7/5; ; 13/10; 7/5; 13/10; 13/10; 7/5; ; 11/8; 6/5; 7/5; 6/5; 7/5; 11/10; 7/5; 6/5; 32/21; ; ; 5/4; ; 
Lincoln Red Imps FC; 9/5; 19/10; 9/5; 2; 9/5; ; 7/4; ; 2; 2; 2; 15/8; 6/4; ; 19/10; 2; 15/8; 9/5; 2; 11/5; 2; 9/5; 45/23; ; ; 19/10; ; 
Draw; 13/5; 9/4; 9/4; 12/5; 9/4; ; 5/2; ; 12/5; 11/5; 23/10; 21/10; 9/4; ; 12/5; 5/2; 12/5; 28/13; 11/5; 5/2; 11/5; 28/13; 43/19; ; ; 11/5; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 09:45:26 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/5; 11/8; 13/10; 13/10; 13/10; ; 31/20; ; 13/10; 7/5; 7/5; 11/8; 7/5; ; 29/20; 7/5; 16/11; 23/17; 7/5; 7/5; 7/5; 23/17; 32/21; ; ; 6/4; ; 
Lincoln Red Imps FC; 9/5; 9/5; 7/4; 2; 7/4; ; 7/4; ; 2; 2; 15/8; 9/5; 6/4; ; 15/8; 37/20; 9/5; 28/17; 2; 7/4; 2; 28/17; 45/23; ; ; 7/4; ; 
Draw; 13/5; 23/10; 9/4; 12/5; 9/4; ; 5/2; ; 12/5; 11/5; 23/10; 21/10; 9/4; ; 12/5; 23/10; 12/5; 21/10; 11/5; 5/2; 11/5; 21/10; 43/19; ; ; 11/5; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 11:45:32 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/5; 11/8; 11/8; 7/5; 11/8; 5/4; 31/20; ; 7/5; 7/5; 7/5; 7/5; 7/5; ; 29/20; 7/5; 16/11; 23/17; 7/5; 7/5; 7/5; 23/17; 32/21; 5/4; ; 6/4; ; 
Lincoln Red Imps FC; 9/5; 9/5; 7/4; 15/8; 7/4; 17/10; 7/4; ; 15/8; 2; 15/8; 7/4; 6/4; ; 15/8; 37/20; 9/5; 28/17; 2; 7/4; 2; 28/17; 45/23; 17/10; ; 7/4; ; 
Draw; 13/5; 23/10; 9/4; 12/5; 9/4; 11/5; 5/2; ; 23/10; 11/5; 23/10; 23/10; 9/4; ; 12/5; 23/10; 12/5; 21/10; 11/5; 5/2; 11/5; 21/10; 43/19; 23/10; ; 11/5; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 12:15:10 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/5; 11/8; 11/8; 7/5; 11/8; 5/4; 6/4; ; 7/5; 7/5; 7/5; 7/5; 7/5; ; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 7/5; 23/17; 32/21; 5/4; ; ; ; 
Lincoln Red Imps FC; 9/5; 15/8; 7/4; 15/8; 7/4; 17/10; 7/4; ; 15/8; 2; 15/8; 7/4; 6/4; ; 15/8; 37/20; 9/5; 28/17; 2; 7/4; 2; 28/17; 45/23; 17/10; ; ; ; 
Draw; 13/5; 9/4; 9/4; 12/5; 9/4; 11/5; 5/2; ; 23/10; 11/5; 23/10; 23/10; 9/4; ; 12/5; 23/10; 12/5; 21/10; 11/5; 5/2; 11/5; 21/10; 43/19; 23/10; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 12:24:31 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 11/8; 11/8; 7/5; 11/8; 13/10; 6/4; ; 7/5; 7/5; 7/5; 7/5; 7/5; ; 6/4; 7/5; 16/11; 23/17; 7/5; 7/5; 7/5; 23/17; 32/21; 5/4; ; 6/4; ; 
Lincoln Red Imps FC; 13/8; 15/8; 7/4; 15/8; 7/4; 5/3; 7/4; ; 15/8; 2; 9/5; 7/4; 6/4; ; 9/5; 37/20; 9/5; 28/17; 2; 7/4; 2; 28/17; 45/23; 17/10; ; 7/4; ; 
Draw; 13/5; 9/4; 9/4; 12/5; 9/4; 11/5; 5/2; ; 23/10; 11/5; 23/10; 23/10; 9/4; ; 23/10; 23/10; 12/5; 21/10; 11/5; 5/2; 11/5; 21/10; 43/19; 23/10; ; 11/5; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 13:45:33 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 11/8; 11/8; 7/5; 11/8; 13/10; 29/20; ; 7/5; 7/5; 7/5; 7/5; 7/5; 27/20; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 7/5; 23/17; 32/21; 5/4; ; ; ; 
Lincoln Red Imps FC; 13/8; 15/8; 7/4; 15/8; 7/4; 5/3; 7/4; ; 15/8; 2; 15/8; 7/4; 6/4; 7/4; 15/8; 37/20; 9/5; 28/17; 2; 7/4; 2; 28/17; 45/23; 17/10; ; ; ; 
Draw; 13/5; 9/4; 9/4; 12/5; 9/4; 11/5; 5/2; ; 23/10; 11/5; 23/10; 23/10; 9/4; 11/5; 12/5; 23/10; 12/5; 21/10; 11/5; 5/2; 11/5; 21/10; 43/19; 23/10; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 15:45:30 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 11/8; 11/8; 29/20; 11/8; 13/10; 29/20; ; 7/5; 7/5; 7/5; 11/8; 11/8; 27/20; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 7/5; 23/17; 32/21; 5/4; ; 6/4; 13/10; 
Lincoln Red Imps FC; 13/8; 15/8; 7/4; 19/10; 7/4; 5/3; 7/4; ; 15/8; 2; 15/8; 9/5; 9/5; 7/4; 15/8; 37/20; 9/5; 28/17; 2; 7/4; 2; 28/17; 45/23; 17/10; ; 7/4; 13/8; 
Draw; 13/5; 9/4; 11/5; 23/10; 11/5; 11/5; 5/2; ; 23/10; 11/5; 23/10; 23/10; 11/5; 11/5; 12/5; 23/10; 12/5; 21/10; 11/5; 5/2; 11/5; 21/10; 43/19; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 16:15:11 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 11/8; 11/8; 29/20; 11/8; 13/10; 29/20; ; 7/5; 7/5; 7/5; 11/8; 11/8; 27/20; 7/5; 7/5; 16/11; 23/17; 7/5; 7/5; 7/5; 23/17; 32/21; 5/4; ; ; 13/10; 
Lincoln Red Imps FC; 13/8; 15/8; 7/4; 19/10; 7/4; 5/3; 7/4; ; 15/8; 2; 15/8; 9/5; 9/5; 7/4; 15/8; 37/20; 9/5; 28/17; 2; 7/4; 2; 28/17; 45/23; 17/10; ; ; 13/8; 
Draw; 13/5; 9/4; 11/5; 23/10; 11/5; 11/5; 5/2; ; 23/10; 11/5; 23/10; 23/10; 11/5; 11/5; 12/5; 23/10; 12/5; 21/10; 11/5; 5/2; 11/5; 21/10; 43/19; 23/10; ; ; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 17:45:29 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 11/8; 7/5; 29/20; 7/5; 13/10; 31/20; ; 7/5; 7/5; 7/5; 11/8; 11/8; 11/8; 6/4; 7/5; 16/11; 23/17; 7/5; 7/5; 7/5; 23/17; 13/8; 13/10; ; 6/4; 11/8; 
Lincoln Red Imps FC; 13/8; 15/8; 7/4; 19/10; 7/4; 13/8; 7/4; ; 15/8; 2; 9/5; 9/5; 9/5; 17/10; 7/4; 37/20; 9/5; 28/17; 2; 7/4; 2; 28/17; 9/5; 8/5; ; 7/4; 13/8; 
Draw; 13/5; 9/4; 11/5; 23/10; 11/5; 11/5; 5/2; ; 23/10; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 12/5; 21/10; 11/5; 5/2; 11/5; 21/10; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 18:17:39 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 7/5; 7/5; 29/20; 7/5; 13/10; 31/20; ; 6/4; 7/5; 7/5; 7/5; 11/8; 11/8; 6/4; 7/5; 16/11; 23/17; 7/5; 7/5; 7/5; 23/17; 13/8; 13/10; ; 6/4; 7/5; 
Lincoln Red Imps FC; 13/8; 9/5; 7/4; 19/10; 7/4; 13/8; 7/4; ; 9/5; 2; 9/5; 7/4; 9/5; 17/10; 7/4; 37/20; 9/5; 28/17; 2; 7/4; 2; 28/17; 9/5; 8/5; ; 9/5; 7/4; 
Draw; 13/5; 9/4; 11/5; 23/10; 11/5; 11/5; 5/2; ; 23/10; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 12/5; 21/10; 11/5; 5/2; 11/5; 21/10; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 19:45:35 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 29/20; 7/5; 31/20; 7/5; 27/20; 31/20; ; 6/4; 17/11; 6/4; 29/20; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; ; 7/5; 
Lincoln Red Imps FC; 13/8; 7/4; 13/8; 7/4; 13/8; 8/5; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 6/4; 8/5; 7/4; 8/5; 6/4; 9/5; 8/5; ; ; 6/4; 
Draw; 13/5; 9/4; 9/4; 23/10; 9/4; 9/4; 5/2; ; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; ; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 20:15:15 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 29/20; 7/5; 31/20; 7/5; 27/20; 31/20; ; 6/4; 17/11; 6/4; 29/20; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; ; 7/5; 
Lincoln Red Imps FC; 13/8; 7/4; 13/8; 7/4; 13/8; 8/5; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 6/4; 8/5; 7/4; 8/5; 6/4; 9/5; 8/5; ; ; 6/4; 
Draw; 13/5; 9/4; 9/4; 23/10; 9/4; 9/4; 5/2; ; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; ; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 21:45:33 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 29/20; 7/5; 31/20; 7/5; 27/20; 31/20; ; 6/4; 17/11; 6/4; 29/20; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 6/4; 7/5; 
Lincoln Red Imps FC; 13/8; 7/4; 13/8; 7/4; 13/8; 8/5; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 13/5; 9/4; 9/4; 23/10; 9/4; 9/4; 5/2; ; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-04 23:45:35 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 29/20; 6/4; 31/20; 6/4; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 6/4; 7/5; 
Lincoln Red Imps FC; 13/8; 7/4; 13/8; 7/4; 13/8; 8/5; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 13/5; 9/4; 11/5; 23/10; 11/5; 9/4; 5/2; ; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 00:15:09 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 29/20; 6/4; 31/20; 6/4; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 6/4; 7/5; 
Lincoln Red Imps FC; 13/8; 7/4; 13/8; 7/4; 13/8; 8/5; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 13/5; 9/4; 11/5; 23/10; 11/5; 9/4; 5/2; ; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 00:24:29 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 29/20; 6/4; 31/20; 6/4; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 6/4; 7/5; 
Lincoln Red Imps FC; 13/8; 7/4; 13/8; 7/4; 13/8; 8/5; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 13/5; 9/4; 11/5; 23/10; 11/5; 9/4; 5/2; ; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 01:45:32 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 13/10; 29/20; 6/4; 31/20; 6/4; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 6/4; 7/5; 
Lincoln Red Imps FC; 13/8; 7/4; 13/8; 7/4; 13/8; 8/5; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 13/8; 
Draw; 13/5; 9/4; 11/5; 23/10; 11/5; 9/4; 5/2; ; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 03:45:30 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 31/20; 6/4; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 7/4; 13/8; 13/8; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 23/10; 9/4; 11/5; 23/10; 11/5; 43/20; 5/2; ; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 04:15:15 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 31/20; 6/4; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 7/4; 13/8; 13/8; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 23/10; 9/4; 11/5; 23/10; 11/5; 43/20; 5/2; ; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 05:45:33 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 31/20; 6/4; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 7/4; 13/8; 13/8; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 23/10; 9/4; 11/5; 23/10; 11/5; 43/20; 5/2; ; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 06:17:20 GMT+3; 2016-07-06 18:00; e70300-dr003
