Draw; 7; 7; 15/2; ; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; ; 15/2; ; 7; 8; 8; 15/2; 29/4; 15/2; 8; 9; 41/5; 15/2; 13/2; ; ; ; 
Din Zagreb; 18; 18; 28; ; 20; 33; 25; 12; 25; 28; 33; ; 28; ; 40; 25; 97/4; 27/2; 22; 27/2; 97/4; 25; 19; 27/2; 22; ; ; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-25 20:15:32 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; ; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 1/9; 2/17; 1/11; 2/13; 1/9; 2/13; 1/11; 2/15; 1/12; 2/13; 1/8; ; ; ; 
Draw; 7; 7; 15/2; ; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 7; 17/2; 8; 15/2; 29/4; 15/2; 8; 9; 41/5; 15/2; 13/2; ; ; ; 
Din Zagreb; 18; 18; 28; ; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 40; 25; 24; 27/2; 22; 27/2; 24; 25; 19; 27/2; 22; ; ; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-26 00:15:31 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; ; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; ; ; 
Draw; 7; 7; 15/2; ; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 7; 17/2; 8; 15/2; 29/4; 15/2; 8; 9; 41/5; 15/2; 13/2; ; ; ; 
Din Zagreb; 18; 18; 28; ; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 28; 25; 47/2; 27/2; 22; 27/2; 47/2; 25; 19; 27/2; 22; ; ; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-26 04:15:31 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; ; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 1/9; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; ; ; 
Draw; 7; 7; 15/2; ; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 7; 17/2; 8; 15/2; 29/4; 15/2; 8; 9; 41/5; 15/2; 13/2; ; ; ; 
Din Zagreb; 18; 18; 28; ; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 40; 25; 47/2; 27/2; 22; 27/2; 47/2; 25; 19; 27/2; 22; ; ; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-26 08:15:30 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; ; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 1/9; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; ; ; 
Draw; 7; 7; 15/2; ; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 7; 17/2; 8; 15/2; 29/4; 15/2; 8; 9; 41/5; 15/2; 13/2; ; ; ; 
Din Zagreb; 18; 18; 28; ; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 40; 25; 47/2; 27/2; 22; 27/2; 47/2; 25; 19; 27/2; 22; ; ; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-26 12:15:38 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 2/15; 2/17; 1/10; 2/13; 1/9; 2/13; ; 2/15; 1/12; 2/13; 1/8; ; ; ; 
Draw; 7; 7; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 15/2; 17/2; 8; 15/2; 29/4; 15/2; ; 9; 41/5; 15/2; 13/2; ; ; ; 
Din Zagreb; 18; 18; 28; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 22; 25; 47/2; 27/2; 22; 27/2; ; 25; 19; 27/2; 22; ; ; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-26 16:15:37 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 2/15; 2/17; 1/10; 2/13; 1/9; 2/13; ; 2/15; 1/12; 2/13; 1/8; ; 1/16; ; 
