Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; 9; 8; 11; 33/4; 31/4; 8; 38/5; 33/4; 21/2; 17/2; 31/4; ; ; 41/5; ; 
Legia Warsaw; 20; 20; 25; 18; ; 18; 22; 18; 25; ; ; ; 25; 33; 25; 28; 79/4; 18; 19; 18; 79/4; 25; 17; 18; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-06 08:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; 1/12; 1/9; 1/9; 1/10; 1/8; 1/10; 2/15; 1/10; 2/17; 1/10; 1/8; ; ; 1/10; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; 9; 8; 11; 33/4; 31/4; 8; 38/5; 33/4; 21/2; 17/2; 31/4; ; ; 41/5; ; 
Legia Warsaw; 20; 20; 25; 18; ; 18; 22; 18; 25; ; ; ; 25; 33; 25; 28; 79/4; 18; 19; 18; 79/4; 25; 17; 18; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-06 12:15:05 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/14; 1/10; 1/10; ; 1/11; ; 1/11; 1/12; 1/9; 1/9; 1/10; 1/8; 1/10; 2/15; 1/10; 2/17; 1/10; 1/8; ; ; 1/10; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; 9; ; 17/2; 9; 8; 11; 33/4; 31/4; 8; 38/5; 33/4; 21/2; 17/2; 31/4; ; ; 41/5; ; 
Legia Warsaw; 20; 20; 25; 18; ; 18; 22; 18; 25; ; 28; ; 25; 33; 25; 28; 20; 18; 19; 18; 20; 25; 17; 18; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-06 16:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/16; 1/10; 1/10; ; 1/11; ; 1/10; 1/12; 1/9; 1/9; 1/10; 1/8; 1/10; 2/15; 1/10; 2/17; 1/10; 1/8; ; ; 1/10; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 10; 15/2; 9; ; 9; ; 8; 9; 8; 11; 17/2; 31/4; 8; 38/5; 17/2; 21/2; 17/2; 31/4; ; ; 41/5; ; 
Legia Warsaw; 20; 20; 25; 18; ; 18; 25; 18; 22; ; 28; ; 25; 33; 25; 28; 79/4; 18; 19; 18; 79/4; 25; 17; 18; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-06 20:15:05 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/16; 1/10; 1/10; ; 1/11; ; 1/10; 1/12; 1/9; 1/9; 1/10; 1/8; 1/10; 2/15; 1/10; 2/17; 1/10; 1/8; ; ; 1/9; ; 1/7
Draw; 8; 9; 17/2; 17/2; ; 13/2; 10; 15/2; 9; ; 9; ; 8; 9; 8; 11; 17/2; 31/4; 8; 38/5; 17/2; 21/2; 17/2; 31/4; ; ; 41/5; ; 46/5
Legia Warsaw; 20; 20; 25; 18; ; 18; 25; 18; 22; ; 28; ; 25; 33; 25; 28; 79/4; 18; 19; 18; 79/4; 25; 17; 18; ; ; 17; ; 20
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-07 00:15:03 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/16; 1/10; 1/10; ; 1/11; ; 1/10; 1/12; 1/9; 1/9; 1/10; 1/8; 1/10; 2/15; 1/10; 2/17; 1/10; 1/8; ; ; 1/9; ; 1/7
Draw; 8; 9; 17/2; 17/2; ; 13/2; 10; 15/2; 9; ; 9; ; 8; 9; 8; 11; 17/2; 31/4; 8; 38/5; 17/2; 21/2; 17/2; 31/4; ; ; 41/5; ; 46/5
Legia Warsaw; 20; 20; 25; 18; ; 18; 25; 18; 22; ; 28; ; 25; 33; 25; 28; 79/4; 18; 19; 18; 79/4; 25; 17; 18; ; ; 17; ; 20
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-07 04:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/16; 1/10; 1/10; ; 1/11; ; 1/10; 1/12; 1/9; 1/9; 1/10; 1/8; 1/10; 2/15; 1/10; 2/17; 1/10; 1/8; ; ; 1/9; ; 1/7
Draw; 8; 9; 17/2; 17/2; ; 13/2; 10; 15/2; 9; ; 9; ; 8; 9; 8; 11; 17/2; 31/4; 8; 38/5; 17/2; 21/2; 17/2; 31/4; ; ; 41/5; ; 46/5
Legia Warsaw; 20; 20; 25; 18; ; 18; 25; 18; 22; ; 28; ; 25; 33; 25; 28; 79/4; 18; 19; 18; 79/4; 25; 17; 18; ; ; 17; ; 20
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-07 08:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/16; 1/10; 1/10; ; 1/11; ; 1/10; 1/12; 1/9; 1/9; 1/11; 1/8; 1/10; 2/15; 1/11; 2/17; 1/10; 1/8; ; ; 1/9; ; 1/7
Draw; 8; 9; 17/2; 17/2; ; 13/2; 10; 15/2; 9; ; 9; ; 8; 9; 8; 11; 17/2; 31/4; 8; 38/5; 17/2; 21/2; 17/2; 31/4; ; ; 41/5; ; 19/2
Legia Warsaw; 20; 20; 25; 18; ; 18; 25; 18; 22; ; 28; ; 25; 33; 25; 28; 81/4; 18; 19; 18; 81/4; 25; 17; 18; ; ; 88/5; ; 20
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-07 12:15:03 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/10; ; 1/8; 1/14; 1/10; 1/10; ; 1/11; ; 1/11; 1/10; 1/9; 1/9; 1/11; 1/8; 1/10; 2/15; 1/11; 2/17; 1/10; 1/8; ; ; 1/9; ; 2/15
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; 17/2; ; 17/2; 9; 8; 11; 35/4; 31/4; 8; 38/5; 35/4; 21/2; 17/2; 31/4; ; ; 17/2; ; 49/5
Legia Warsaw; 20; 20; 22; 20; ; 18; 22; 18; 22; ; 28; ; 25; 33; 25; 28; 83/4; 18; 19; 18; 83/4; 25; 17; 18; ; ; 18; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-07 16:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/10; ; 1/8; 1/14; 1/10; 1/10; ; 1/11; ; 1/11; 1/10; 1/9; 1/9; 1/11; 1/8; 1/10; 2/15; 1/11; 2/17; 1/10; 1/8; ; ; 1/9; ; 2/15
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; 17/2; ; 17/2; 9; 8; 11; 35/4; 31/4; 8; 38/5; 35/4; 21/2; 17/2; 31/4; ; ; 17/2; ; 49/5
Legia Warsaw; 20; 20; 22; 20; ; 18; 22; 18; 22; ; 28; ; 25; 33; 25; 28; 83/4; 18; 19; 18; 83/4; 25; 17; 18; ; ; 18; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-07 20:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/10; ; 1/8; 1/14; 1/10; 1/10; ; 1/11; 1/10; 1/11; 1/10; 1/9; 1/9; 1/11; 1/8; 1/10; 2/15; 1/11; 2/17; 1/10; 1/8; ; ; 1/9; ; 2/15
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; 17/2; 17/2; 17/2; 9; 8; 11; 17/2; 31/4; 8; 38/5; 17/2; 21/2; 17/2; 31/4; ; ; 17/2; ; 49/5
Legia Warsaw; 20; 20; 22; 20; ; 18; 22; 18; 22; ; 28; 20; 25; 33; 25; 28; 83/4; 18; 19; 18; 83/4; 25; 17; 18; ; ; 18; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-08 00:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/10; ; 1/8; 1/14; 1/10; 1/10; ; 1/11; 1/10; 1/11; 1/10; 1/9; 1/9; 1/11; 1/8; 1/10; 2/15; 1/11; 2/17; 1/10; 1/8; ; ; 1/9; ; 2/15
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; 17/2; 17/2; 17/2; 9; 8; 11; 35/4; 31/4; 8; 38/5; 35/4; 21/2; 17/2; 31/4; ; ; 17/2; ; 49/5
Legia Warsaw; 20; 20; 22; 20; ; 18; 22; 18; 22; ; 28; 20; 25; 33; 25; 28; 83/4; 18; 19; 18; 83/4; 25; 17; 18; ; ; 20; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-08 04:15:05 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/10; ; 1/8; 1/14; 1/10; 1/10; ; 1/11; 1/10; 1/11; 1/10; 1/9; 1/9; 1/11; 1/8; 1/10; 2/15; 1/11; 2/17; 1/10; 1/8; ; ; 1/9; ; 2/15
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; 17/2; 17/2; 17/2; 9; 8; 11; 35/4; 31/4; 8; 38/5; 35/4; 21/2; 17/2; 31/4; ; ; 17/2; ; 49/5
Legia Warsaw; 20; 20; 22; 20; ; 18; 22; 18; 22; ; 28; 20; 25; 33; 25; 28; 83/4; 18; 19; 18; 83/4; 25; 17; 18; ; ; 20; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-08 08:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/10; ; 1/8; 1/14; 1/10; 1/10; ; 1/11; 1/10; 1/11; 1/10; 1/9; 1/9; 1/11; 1/8; 1/10; 2/15; 1/11; 2/17; 1/10; 1/8; ; ; 1/9; ; 2/15
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; 17/2; 17/2; 17/2; 9; 8; 11; 35/4; 31/4; 8; 38/5; 35/4; 21/2; 17/2; 31/4; ; ; 17/2; ; 49/5
Legia Warsaw; 20; 20; 22; 20; ; 18; 22; 18; 22; ; 28; 20; 25; 33; 25; 28; 83/4; 18; 19; 18; 83/4; 25; 17; 18; ; ; 20; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-08 12:15:05 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/10; 1/10; 1/10; ; 1/8; 1/14; 1/10; 1/10; ; 1/11; 1/10; 1/11; 1/10; 1/9; 1/9; 1/11; 1/8; 1/10; 2/15; 1/11; 2/17; 1/10; 1/8; ; ; 1/9; ; 2/15
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; 17/2; 17/2; 17/2; 9; 8; 11; 35/4; 31/4; 8; 38/5; 35/4; 21/2; 17/2; 31/4; ; ; 17/2; ; 49/5
Legia Warsaw; 20; 20; 22; 20; ; 18; 22; 18; 22; ; 28; 20; 25; 33; 25; 28; 83/4; 18; 19; 18; 83/4; 25; 17; 18; ; ; 20; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-08 16:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/10; 1/10; 1/10; ; 1/8; 1/14; 1/10; 1/10; ; 1/11; 1/10; 1/11; 1/10; 1/9; ; 1/11; 1/8; 1/10; 2/15; 1/11; 2/17; 1/11; 1/8; ; ; 1/9; ; 2/15
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; 17/2; 17/2; 17/2; 9; 8; ; 9; 31/4; 8; 38/5; 9; 21/2; 9; 31/4; ; ; 17/2; ; 49/5
