Juventus; 2/9; ; 1/4; 1/4; 1/4; 4/15; 2/9; 1/5; 1/4; 1/4; 1/4; 2/9; 2/9; ; 1/4; 1/4; 1/5; 3/13; 1/4; 2/9; 1/5; 1/4; 2/9; 3/13; 2/9; ; 1/4; ; 
Draw; 19/4; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 19/4; 19/4; 17/4; 19/5; 19/4; ; 19/4; 5; 67/13; 60/11; 19/4; 27/5; 67/13; 28/5; 24/5; 60/11; 9/2; ; 23/5; ; 
Lyon; 12; ; 12; 12; 14; 12; 12; 11; 11; 12; 12; 10; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 11; ; 64/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-24 12:15:46 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/9; ; 1/4; 1/4; 1/4; 4/15; 2/9; 1/5; 1/4; 1/4; 1/4; 2/9; 2/9; ; 1/4; 1/4; 1/5; 3/13; 1/4; 2/9; 1/5; 1/4; 2/9; 3/13; 2/9; ; 1/4; ; 
Draw; 19/4; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 19/4; 19/4; 17/4; 19/5; 19/4; ; 19/4; 5; 67/13; 60/11; 19/4; 27/5; 67/13; 28/5; 24/5; 60/11; 9/2; ; 23/5; ; 
Lyon; 12; ; 12; 12; 14; 12; 12; 11; 11; 12; 12; 10; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 11; ; 64/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-24 16:15:51 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/9; ; 1/4; 1/4; 1/4; 4/15; 2/9; 1/5; 1/4; 1/4; 1/4; 2/9; 2/9; ; 1/4; ; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 1/4; ; 
Draw; 19/4; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 19/4; 19/4; 17/4; 19/5; 19/4; ; 19/4; ; 51/10; 60/11; 19/4; 27/5; 51/10; 28/5; 24/5; 60/11; 9/2; ; 23/5; ; 
Lyon; 12; ; 12; 12; 14; 12; 12; 11; 11; 12; 12; 10; 14; ; 12; ; 25/2; 12; 19/2; 12; 25/2; 27/2; 11; 12; 11; ; 64/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-24 20:15:44 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/9; ; 1/4; 1/4; 1/4; 4/15; 2/9; 1/5; 1/4; 1/4; 1/4; 2/7; 2/9; ; 1/4; 1/4; 1/5; 3/13; 1/4; 2/9; 1/5; 1/4; 2/9; 3/13; 2/9; ; 1/4; ; 2/9
Draw; 19/4; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 19/4; 19/4; 17/4; 4; 19/4; ; 19/4; 5; 67/13; 60/11; 19/4; 27/5; 67/13; 28/5; 24/5; 60/11; 9/2; ; 23/5; ; 28/5
Lyon; 12; ; 12; 12; 14; 12; 12; 11; 11; 12; 12; 11; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 11; ; 64/5; ; 69/5
META; champions-league/juventus-v-lyon; 2016-10-25 00:15:46 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/9; 1/4; 1/4; 1/4; 1/4; 4/15; 2/9; 1/5; 1/4; 1/4; 1/4; 2/7; 2/9; ; 1/4; 1/4; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 1/4; ; 2/9
Draw; 19/4; 9/2; 9/2; 9/2; 5; 5; 19/4; 9/2; 19/4; 19/4; 17/4; 4; 19/4; ; 19/4; 5; 67/13; 60/11; 19/4; 27/5; 67/13; 28/5; 24/5; 60/11; 9/2; ; 23/5; ; 28/5
Lyon; 12; 12; 12; 12; 14; 12; 12; 11; 11; 12; 12; 11; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 11; ; 64/5; ; 69/5
META; champions-league/juventus-v-lyon; 2016-10-25 04:15:45 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/9; 1/4; 1/4; 1/4; 1/4; 4/15; 2/9; 1/5; 1/4; 1/4; 1/4; 2/7; 2/9; ; 1/4; 1/4; 1/5; 3/13; 1/4; 2/9; 1/5; 1/4; 2/9; 3/13; 2/9; ; 1/4; ; 2/9
Draw; 19/4; 9/2; 9/2; 9/2; 5; 5; 19/4; 9/2; 19/4; 19/4; 17/4; 4; 19/4; ; 19/4; 5; 26/5; 60/11; 19/4; 27/5; 26/5; 28/5; 24/5; 60/11; 9/2; ; 23/5; ; 28/5
Lyon; 12; 12; 12; 12; 14; 12; 12; 11; 11; 12; 12; 11; 14; ; 12; 14; 13; 12; 19/2; 12; 13; 27/2; 11; 12; 11; ; 64/5; ; 69/5
META; champions-league/juventus-v-lyon; 2016-10-25 08:15:46 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/9; 1/4; 1/4; 1/4; 1/4; 4/15; 2/9; 1/5; 1/4; 1/4; 1/4; 2/7; 2/9; ; 1/4; 1/4; 1/5; 3/13; 1/4; 2/9; 1/5; 1/4; 2/9; 3/13; 2/9; ; 1/4; ; 2/9
Draw; 19/4; 9/2; 9/2; 9/2; 5; 5; 19/4; 9/2; 19/4; 19/4; 17/4; 4; 19/4; ; 19/4; 5; 26/5; 60/11; 19/4; 27/5; 26/5; 28/5; 24/5; 60/11; 9/2; ; 23/5; ; 28/5
Lyon; 12; 12; 12; 12; 14; 12; 12; 11; 11; 12; 12; 11; 14; ; 12; 14; 13; 12; 19/2; 12; 13; 27/2; 11; 12; 11; ; 64/5; ; 69/5
META; champions-league/juventus-v-lyon; 2016-10-25 12:15:48 GMT+3; 2016-11-02 19:45; e70300-dr003
