Legia Warsaw; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 9/20; 2/5; 2/5; 4/11; 2/5; 1/3; 5/11; 3/7; ; 4/11; ; 2/5
Draw; 15/4; 10/3; 31/10; 7/2; 10/3; 7/2; 18/5; 10/3; 7/2; 15/4; 7/2; 16/5; 17/5; 7/2; 17/5; 10/3; 7/2; 15/4; 15/4; 7/2; 19/5; 50/13; 39/11; ; 7/2; ; 7/2
Dundalk; 15/2; 7; 13/2; 13/2; 7; 13/2; 15/2; 11/2; 7; 7; 15/2; 7; 15/2; 15/2; 7; 13/2; 15/2; 7; 7; 7; 17/2; 67/10; 61/10; ; 38/5; ; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-20 20:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 9/20; 2/5; 2/5; 4/11; 2/5; 1/3; 5/11; 3/7; ; 4/11; ; 2/5
Draw; 15/4; 10/3; 31/10; 7/2; 19/5; 7/2; 18/5; 10/3; 7/2; 15/4; 10/3; 16/5; 17/5; 7/2; 17/5; 10/3; 7/2; 15/4; 15/4; 7/2; 19/5; 50/13; 39/11; ; 7/2; ; 7/2
Dundalk; 15/2; 7; 13/2; 13/2; 15/2; 13/2; 15/2; 11/2; 7; 7; 7; 7; 15/2; 15/2; 7; 13/2; 15/2; 7; 7; 7; 17/2; 67/10; 61/10; ; 8; ; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-21 00:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 9/20; 2/5; 2/5; 4/11; 2/5; 10/29; 5/11; 3/7; ; 2/5; ; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 18/5; 7/2; 7/2; 15/4; 10/3; 16/5; 17/5; 7/2; 17/5; 10/3; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 39/11; ; 7/2; ; 7/2
Dundalk; 15/2; 7; 7; 13/2; 15/2; 13/2; 15/2; 6; 7; 7; 7; 7; 15/2; 15/2; 7; 13/2; 15/2; 7; 7; 7; 35/4; 67/10; 61/10; ; 38/5; ; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-21 04:15:04 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/11; 2/5; 10/29; 5/11; 3/7; ; 4/11; ; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 18/5; 7/2; 7/2; 15/4; 10/3; 16/5; 17/5; 7/2; 17/5; 10/3; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 39/11; ; 7/2; ; 7/2
Dundalk; 15/2; 7; 7; 13/2; 15/2; 13/2; 15/2; 6; 7; 7; 7; 7; 15/2; 15/2; 7; 7; 15/2; 7; 7; 7; 35/4; 67/10; 61/10; ; 39/5; ; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-21 08:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/11; 2/5; 10/29; 5/11; 2/5; ; 4/11; ; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 18/5; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 7/2; 17/5; 10/3; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 62/17; ; 7/2; ; 7/2
Dundalk; 15/2; 7; 7; 13/2; 15/2; 13/2; 15/2; 6; 7; 7; 8; 7; 15/2; 15/2; 7; 7; 15/2; 7; 7; 7; 35/4; 67/10; 13/2; ; 38/5; ; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-21 12:15:04 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 10/29; 5/11; 2/5; ; 4/11; ; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 18/5; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 7/2; 17/5; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 62/17; ; 7/2; ; 7/2
Dundalk; 15/2; 7; 7; 13/2; 15/2; 13/2; 15/2; 6; 7; 7; 8; 7; 15/2; 15/2; 7; 15/2; 15/2; 7; 7; 7; 35/4; 67/10; 13/2; ; 38/5; ; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-21 16:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 10/29; 5/11; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 18/5; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 7/2; 17/5; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 62/17; ; 7/2; 10/3; 7/2
Dundalk; 15/2; 7; 7; 13/2; 15/2; 13/2; 15/2; 6; 7; 7; 8; 7; 15/2; 15/2; 7; 15/2; 15/2; 7; 7; 7; 9; 67/10; 13/2; ; 39/5; 38/5; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-21 20:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; 1/3; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 2/5; 10/29; 5/11; 2/5; ; ; 4/11; 2/5
