Astra Giurgiu; 21/10; 11/5; 11/5; 12/5; 11/5; 39/20; 23/10; 21/10; 11/5; 2; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; ; 2; 11/5; 2; 9/4; 38/17; 21/10; ; 23/10; 21/10; 12/5
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-26 00:15:32 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 5/4; 5/4; 13/10; 11/8; 13/10; 6/5; 13/10; 5/4; 13/10; 13/10; 13/10; 27/20; 13/10; 27/20; 13/10; 27/20; ; 13/10; 13/10; 13/10; 13/10; 7/5; 17/13; ; 13/10; 5/4; 7/5
Astra Giurgiu; 21/10; 11/5; 11/5; 12/5; 11/5; 39/20; 23/10; 21/10; 11/5; 2; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; ; 2; 11/5; 2; 9/4; 38/17; 21/10; ; 9/4; 21/10; 12/5
Draw; 12/5; 21/10; 21/10; 19/10; 21/10; 2; 2; 21/10; 2; 11/5; 2; 2; 2; 21/10; 21/10; 21/10; ; 11/5; 21/10; 11/5; 21/10; 68/29; 9/4; ; 9/4; 2; 11/5
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-26 00:39:09 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 5/4; 13/10; 13/10; 11/8; 13/10; 6/5; 13/10; 5/4; 13/10; 13/10; 13/10; 27/20; 13/10; 27/20; 13/10; 27/20; ; 13/10; 13/10; 13/10; 13/10; 7/5; 17/13; ; ; 6/5; 7/5
Astra Giurgiu; 21/10; 9/4; 11/5; 12/5; 11/5; 39/20; 23/10; 21/10; 11/5; 2; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; ; 2; 11/5; 2; 9/4; 38/17; 21/10; ; ; 21/10; 12/5
Draw; 12/5; 2; 21/10; 19/10; 21/10; 2; 2; 21/10; 2; 11/5; 2; 2; 2; 21/10; 21/10; 21/10; ; 11/5; 21/10; 11/5; 21/10; 68/29; 9/4; ; ; 19/10; 11/5
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-26 01:45:52 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 5/4; 5/4; 13/10; 11/8; 13/10; 6/5; 13/10; 5/4; 13/10; 13/10; 13/10; 27/20; 13/10; 27/20; 13/10; 27/20; ; 13/10; 13/10; 13/10; 13/10; 7/5; 17/13; ; 13/10; 6/5; 7/5
Astra Giurgiu; 21/10; 11/5; 11/5; 12/5; 11/5; 39/20; 23/10; 21/10; 11/5; 2; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; ; 2; 11/5; 2; 9/4; 38/17; 21/10; ; 9/4; 21/10; 12/5
Draw; 12/5; 21/10; 21/10; 19/10; 21/10; 2; 2; 21/10; 2; 11/5; 2; 2; 2; 21/10; 21/10; 21/10; ; 11/5; 21/10; 11/5; 21/10; 68/29; 9/4; ; 9/4; 19/10; 11/5
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-26 03:45:58 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 5/4; 5/4; 13/10; 11/8; 13/10; 6/5; 13/10; 5/4; 13/10; 13/10; 13/10; 27/20; 13/10; 27/20; 13/10; 27/20; ; 13/10; 13/10; 13/10; 13/10; 7/5; 17/13; ; 13/10; 6/5; 7/5
Draw; 12/5; 21/10; 21/10; 19/10; 21/10; 2; 2; 21/10; 2; 11/5; 2; 2; 2; 21/10; 21/10; 21/10; ; 11/5; 21/10; 11/5; 21/10; 68/29; 9/4; ; 21/10; 19/10; 11/5
Astra Giurgiu; 21/10; 11/5; 11/5; 12/5; 11/5; 39/20; 23/10; 21/10; 11/5; 2; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; ; 2; 11/5; 2; 11/5; 38/17; 21/10; ; 9/4; 21/10; 12/5
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-26 04:15:27 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 5/4; 5/4; 13/10; 11/8; 13/10; 6/5; 13/10; 5/4; 13/10; 13/10; 13/10; 27/20; 13/10; 27/20; 13/10; 27/20; ; 13/10; 13/10; 13/10; 13/10; 7/5; 17/13; ; 13/10; 6/5; 13/10
