META; champions-league/fc-copenhagen-v-crusaders; 2016-07-15 12:15:11 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; 1/7; ; 1/7; ; ; ; 2/15; ; ; 1/8; 1/10; ; ; ; ; ; ; ; ; 2/13; ; ; 1/8; ; 
Draw; ; 13/2; 7; ; 7; ; ; ; 7; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 15/2; ; ; ; ; 
Crusaders; ; 16; 14; ; 14; ; ; ; 14; ; ; 11; 12; ; ; ; ; ; ; ; ; 35/2; ; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-17 04:15:13 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; 1/7; ; 1/7; ; ; ; 2/15; ; ; 1/8; 1/10; ; ; ; ; ; ; ; ; 2/13; ; ; ; ; 
Draw; ; 13/2; 7; ; 7; ; ; ; 7; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 15/2; ; ; 7/2; ; 
Crusaders; ; 16; 14; ; 14; ; ; ; 14; ; ; 11; 12; ; ; ; ; ; ; ; ; 35/2; ; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-17 08:15:12 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; 1/7; ; 1/7; ; ; ; 2/15; ; ; 1/8; 1/10; ; ; ; ; ; ; ; ; 2/13; ; ; 1/8; ; 
Draw; ; 13/2; 7; ; 7; ; ; ; 7; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 15/2; ; ; 7/2; ; 
Crusaders; ; 16; 14; ; 14; ; ; ; 14; ; ; 11; 12; ; ; ; ; ; ; ; ; 35/2; ; ; 57/5; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-17 12:15:19 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; 1/7; ; 1/7; ; ; ; 2/15; ; ; 1/8; 1/10; ; ; ; ; ; ; ; ; 2/13; ; ; 1/10; ; 
Draw; ; 13/2; 7; ; 7; ; ; ; 7; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 15/2; ; ; 7/2; ; 
Crusaders; ; 16; 14; ; 14; ; ; ; 14; ; ; 11; 12; ; ; ; ; ; ; ; ; 35/2; ; ; 57/5; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-17 16:15:14 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; 1/8; ; 1/8; ; 1/9; 1/10; 2/15; ; 2/13; 1/8; 1/10; ; 1/8; 1/9; ; ; 1/8; ; 1/9; 2/13; 1/9; ; ; ; 
Draw; ; 13/2; 7; ; 7; ; 15/2; 15/2; 7; ; 7; 11/2; 6; ; 15/2; 7; ; ; 7; ; 25/4; 15/2; 67/10; ; ; ; 
Crusaders; ; 18; 16; ; 16; ; 18; 17; 16; ; 18; 11; 12; ; 28; 20; ; ; 31/2; ; 27/2; 35/2; 13; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-17 20:15:19 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/8; 1/8; 1/11; 1/11; 1/10; 1/9; ; 2/15; 1/8; 1/10; ; 1/9; 1/9; ; ; 1/8; ; 1/9; 2/13; 1/8; ; ; ; 
Draw; 6; 7; 7; 7; 7; 6; 8; 15/2; 7; ; 8; 7; 6; ; 8; 7; ; ; 7; ; 27/4; 15/2; 73/10; ; ; ; 
Crusaders; 14; 18; 18; 22; 18; 16; 21; 17; 18; ; 22; 18; 12; ; 28; 20; ; ; 31/2; ; 51/4; 35/2; 15; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 00:15:16 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/8; 1/8; 1/11; 1/11; 1/10; 1/9; ; 2/15; 1/8; 1/10; ; 1/9; 1/9; ; ; 1/8; ; 1/9; 2/13; 1/8; ; ; ; 
Draw; 6; 7; 7; 7; 7; 6; 8; 15/2; 7; ; 8; 7; 6; ; 8; 7; ; ; 7; ; 7; 15/2; 73/10; ; ; ; 
Crusaders; 14; 18; 18; 22; 18; 16; 21; 17; 18; ; 22; 18; 12; ; 28; 20; ; ; 31/2; ; 13; 35/2; 15; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 03:45:17 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/8; 1/8; 1/11; 1/11; 1/10; 1/9; ; 2/15; 1/8; 1/10; ; 1/9; 1/9; ; ; 1/8; ; 1/9; 2/13; 1/8; ; ; ; 
Draw; 6; 7; 7; 7; 7; 6; 8; 15/2; 7; ; 8; 7; 6; ; 8; 7; ; ; 7; ; 7; 15/2; 73/10; ; ; ; 
Crusaders; 14; 18; 18; 22; 18; 16; 21; 17; 18; ; 22; 18; 12; ; 28; 20; ; ; 31/2; ; 13; 35/2; 15; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 04:15:14 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/8; 1/8; 1/11; 1/11; 1/10; 1/9; ; 2/15; 1/8; 1/10; ; 1/9; 1/9; ; ; 1/8; ; 1/9; 2/13; 1/8; ; 2/13; ; 
Draw; 6; 7; 7; 7; 7; 6; 8; 15/2; 7; ; 8; 7; 6; ; 8; 7; ; ; 7; ; 7; 15/2; 73/10; ; 37/5; ; 
Crusaders; 14; 18; 18; 22; 18; 16; 21; 17; 18; ; 22; 18; 12; ; 28; 20; ; ; 31/2; ; 13; 35/2; 15; ; 26; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 05:45:14 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/8; 1/8; 1/11; 1/11; 1/10; 1/9; ; 2/15; 1/8; 1/10; ; 1/9; 1/9; ; ; 1/8; ; ; 2/13; 1/8; ; ; ; 
Draw; 6; 7; 7; 7; 7; 6; 8; 15/2; 7; ; 8; 7; 6; ; 8; 7; ; ; 7; ; ; 15/2; 73/10; ; ; ; 
Crusaders; 14; 18; 18; 22; 18; 16; 21; 17; 18; ; 22; 18; 12; ; 28; 20; ; ; 31/2; ; ; 35/2; 15; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 06:22:53 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/8; 1/8; 1/11; 1/11; 1/10; 1/9; ; 2/15; 1/8; 1/10; ; 1/9; 1/9; ; ; 1/8; ; 1/9; 2/13; 1/8; ; 1/7; ; 
Draw; 6; 7; 7; 7; 7; 6; 8; 15/2; 7; ; 8; 7; 6; ; 8; 7; ; ; 7; ; 7; 15/2; 73/10; ; 37/5; ; 
Crusaders; 14; 18; 18; 22; 18; 16; 21; 17; 18; ; 22; 18; 12; ; 28; 20; ; ; 31/2; ; 13; 35/2; 15; ; 26; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 07:45:14 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/8; 1/8; 1/11; 1/11; 1/10; 1/9; ; 2/15; 1/8; 1/10; ; 1/9; 1/9; ; ; 1/8; ; 1/9; 2/13; 1/8; ; 1/7; ; 
Draw; 6; 7; 7; 7; 7; 6; 8; 15/2; 7; ; 8; 7; 6; ; 8; 7; ; ; 7; ; 7; 15/2; 73/10; ; 37/5; ; 
Crusaders; 14; 18; 18; 22; 18; 16; 21; 17; 18; ; 22; 18; 12; ; 28; 20; ; ; 31/2; ; 13; 35/2; 15; ; 24; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 08:15:15 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/8; 1/8; 1/11; 1/10; 1/10; 1/9; ; 1/7; 1/8; 1/10; ; 1/8; 1/9; ; ; 1/8; ; 1/9; 2/13; 1/8; ; ; ; 
Draw; 6; 7; 7; 7; 7; 11/2; 8; 15/2; 7; ; 15/2; 7; 6; ; 15/2; 7; ; ; 7; ; 7; 15/2; 73/10; ; ; ; 
Crusaders; 14; 18; 16; 20; 16; 1500/100; 20; 17; 18; ; 20; 18; 12; ; 25; 20; ; ; 31/2; ; 13; 35/2; 15; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 09:45:15 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/7; 1/8; 1/10; 1/10; 1/10; 1/9; ; 1/7; 1/8; 1/10; ; 1/8; 1/9; ; ; 1/8; ; 1/9; 2/13; 1/8; ; 1/7; ; 
Draw; 6; 7; 7; 13/2; 7; 11/2; 15/2; 15/2; 7; ; 7; 7; 6; ; 15/2; 7; ; ; 7; ; 27/4; 15/2; 73/10; ; 34/5; ; 
Crusaders; 14; 18; 16; 18; 16; 1500/100; 21; 17; 18; ; 20; 18; 12; ; 25; 20; ; ; 31/2; ; 27/2; 35/2; 15; ; 24; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 11:45:15 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/8; 2/13; 1/8; 1/10; 1/10; 1/10; 2/15; ; 1/7; 1/8; 1/10; 1/8; 1/8; 1/9; ; ; 1/8; ; 1/9; 1/7; 1/8; ; ; 1/12; 
Draw; 6; 13/2; 7; 13/2; 7; 11/2; 15/2; 15/2; 7; ; 15/2; 7; 6; 11/2; 15/2; 7; ; ; 7; ; 27/4; 81/10; 73/10; ; ; 31/5; 
Crusaders; 14; 18; 16; 16; 16; 1500/100; 21; 17; 16; ; 20; 16; 12; 16; 25; 20; ; ; 31/2; ; 27/2; 35/2; 15; ; ; 46/5; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 12:26:32 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/8; 1/6; 1/8; 1/10; 1/8; 1/10; 2/15; ; 1/6; 1/8; 1/10; 1/7; 1/7; 1/7; ; ; 1/8; ; 2/17; 1/7; 1/7; ; ; 1/9; 
Draw; 6; 13/2; 7; 11/2; 7; 11/2; 7; 15/2; 7; ; 13/2; 7; 6; 11/2; 7; 13/2; ; ; 7; ; 13/2; 81/10; 33/5; ; ; 28/5; 
Crusaders; 14; 16; 16; 16; 16; 12; 17; 17; 16; ; 16; 16; 12; 14; 22; 16; ; ; 31/2; ; 53/4; 35/2; 141/10; ; ; 46/5; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 13:45:15 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/7; 1/6; 2/11; 1/6; 13/100; 2/13; 1/9; 1/6; 3/19; 1/5; 1/6; 2/11; 2/13; 1/6; 1/6; ; 3/19; 1/8; 1/6; 2/17; 3/19; 1/6; ; ; 1/7; 
Draw; 6; 6; 6; 11/2; 6; 5; 13/2; 13/2; 6; 13/2; 6; 6; 5; 5; 6; 6; ; 13/2; 7; 13/2; 25/4; 81/10; 31/5; ; ; 24/5; 
Crusaders; 14; 16; 14; 14; 14; 11; 14; 16; 12; 15; 14; 14; 12; 14; 20; 14; ; 15; 29/2; 15; 53/4; 27/2; 12; ; ; 43/5; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 15:45:20 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/7; 1/7; 2/11; 1/7; 13/100; 1/7; 1/9; 1/6; 3/19; 2/11; 1/6; 2/11; 2/13; 2/13; 1/6; ; 3/19; 1/8; 1/6; 1/8; 2/13; 1/6; ; ; 2/15; 
Draw; 6; 6; 13/2; 6; 13/2; 5; 13/2; 13/2; 6; 13/2; 13/2; 6; 5; 11/2; 6; 6; ; 13/2; 7; 13/2; 25/4; 81/10; 31/5; ; ; 26/5; 
Crusaders; 14; 16; 14; 14; 14; 11; 16; 16; 12; 15; 16; 14; 12; 12; 20; 14; ; 15; 29/2; 15; 53/4; 29/2; 12; ; ; 33/2; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 16:15:15 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/7; 1/7; 2/11; 1/7; 13/100; 1/7; 1/9; 1/6; 3/19; 2/11; 1/6; 2/11; 2/13; 2/13; 1/6; ; 3/19; 1/8; 1/6; 1/8; 2/13; 1/6; ; ; 2/15; 
Draw; 6; 6; 13/2; 6; 13/2; 5; 13/2; 13/2; 6; 13/2; 13/2; 6; 5; 11/2; 6; 6; ; 13/2; 7; 13/2; 25/4; 81/10; 31/5; ; ; 26/5; 
Crusaders; 14; 16; 14; 14; 14; 11; 16; 16; 12; 15; 16; 14; 12; 12; 20; 14; ; 15; 29/2; 15; 53/4; 29/2; 12; ; ; 33/2; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 17:45:14 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 2/13; 1/7; 2/11; 1/7; 13/100; 1/7; 1/9; 1/6; 2/13; 2/11; 1/6; 2/11; 2/13; 2/13; 1/6; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 2/15; 
Draw; 6; 6; 13/2; 6; 13/2; 5; 13/2; 13/2; 6; 7; 13/2; 6; 5; 11/2; 6; 6; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 26/5; 
Crusaders; 14; 14; 14; 12; 14; 11; 16; 16; 12; 16; 16; 14; 12; 12; 20; 14; ; 16; 29/2; 16; 27/2; 29/2; 15; ; ; 46/5; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 18:24:34 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 2/13; 1/7; 2/11; 1/7; 13/100; 1/7; 1/9; 1/6; 2/13; 2/11; 1/6; 2/11; 2/13; 2/13; 1/6; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 2/15; 
Draw; 6; 6; 13/2; 6; 13/2; 5; 13/2; 13/2; 6; 7; 13/2; 6; 5; 11/2; 6; 6; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 26/5; 
Crusaders; 14; 14; 14; 12; 14; 11; 16; 16; 12; 16; 16; 14; 12; 12; 20; 14; ; 16; 29/2; 16; 27/2; 29/2; 15; ; ; 33/2; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 19:45:18 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/7; 1/7; 2/13; 1/7; 1/8; 2/15; 1/9; 2/13; 2/13; 1/6; 1/7; 2/11; 1/7; 1/7; 2/13; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 1/8; 1/7
Draw; 6; 6; 13/2; 6; 13/2; 5; 7; 13/2; 13/2; 7; 13/2; 13/2; 5; 11/2; 6; 6; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 26/5; 28/5
Crusaders; 14; 16; 16; 16; 14; 12; 16; 16; 14; 16; 16; 14; 12; 14; 18; 16; ; 16; 29/2; 16; 27/2; 29/2; 15; ; ; 33/2; 49/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 20:15:13 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/7; 1/7; 2/13; 1/7; 1/8; 2/15; 1/9; 2/13; 2/13; 1/6; 1/7; 2/11; 1/7; 1/7; 2/13; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 2/15; 1/7
Draw; 6; 6; 13/2; 6; 13/2; 5; 7; 13/2; 13/2; 7; 13/2; 13/2; 5; 11/2; 6; 6; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 26/5; 28/5
Crusaders; 14; 16; 16; 16; 16; 12; 16; 16; 14; 16; 16; 16; 12; 14; 18; 16; ; 16; 29/2; 16; 27/2; 29/2; 15; ; ; 33/2; 49/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 21:45:15 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/7; 1/7; 2/13; 1/7; 1/8; 2/15; 1/9; 2/13; 2/13; 1/6; 1/7; 2/11; 1/7; 1/7; 2/13; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 2/15; 1/7
Draw; 6; 6; 13/2; 6; 13/2; 5; 7; 13/2; 13/2; 7; 13/2; 13/2; 5; 11/2; 6; 6; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 26/5; 28/5
Crusaders; 14; 16; 16; 16; 16; 12; 16; 16; 14; 16; 16; 16; 12; 14; 18; 16; ; 16; 29/2; 16; 14; 29/2; 15; ; ; 33/2; 49/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-18 23:45:28 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/7; 1/7; 1/7; 1/9; 2/17; 1/9; 2/13; 2/13; 2/13; 1/7; 2/11; 2/15; 1/8; 1/7; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 2/15; 1/7
Draw; 6; 13/2; 13/2; 13/2; 13/2; 11/2; 7; 13/2; 13/2; 7; 7; 13/2; 5; 11/2; 13/2; 13/2; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 29/5; 31/5
Crusaders; 14; 16; 16; 18; 16; 14; 18; 16; 14; 16; 18; 16; 12; 14; 18; 16; ; 16; 29/2; 16; 57/4; 29/2; 15; ; ; 16; 52/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 00:15:19 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/7; 1/7; 1/7; 1/9; 2/17; 1/9; 2/15; 2/13; 2/13; 1/7; 2/11; 2/15; 1/8; 1/7; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 1/8; 2/11
Draw; 6; 13/2; 13/2; 13/2; 13/2; 11/2; 7; 13/2; 13/2; 7; 7; 13/2; 5; 11/2; 13/2; 13/2; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 29/5; 31/5
Crusaders; 14; 16; 16; 18; 16; 1500/100; 18; 16; 16; 16; 18; 16; 12; 14; 18; 16; ; 16; 29/2; 16; 57/4; 29/2; 15; ; ; 16; 52/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 00:35:34 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/7; 1/7; 1/7; 1/9; 2/17; 1/9; 2/15; 2/13; 2/13; 1/7; 2/11; 2/15; 1/8; 1/7; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 1/8; 2/11
Draw; 6; 13/2; 13/2; 13/2; 13/2; 11/2; 7; 13/2; 13/2; 7; 7; 13/2; 5; 11/2; 13/2; 13/2; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 29/5; 31/5
Crusaders; 14; 16; 16; 18; 16; 1500/100; 18; 16; 16; 16; 18; 16; 12; 14; 18; 16; ; 16; 29/2; 16; 57/4; 29/2; 15; ; ; 16; 52/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 01:45:13 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/7; 1/7; 1/7; 1/9; 2/17; 1/9; 2/15; 2/13; 2/13; 1/7; 2/11; 2/15; 1/8; 1/7; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 1/9; 2/11
Draw; 6; 13/2; 13/2; 13/2; 13/2; 11/2; 7; 13/2; 13/2; 7; 7; 13/2; 5; 11/2; 13/2; 13/2; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 29/5; 31/5
Crusaders; 14; 16; 16; 18; 16; 14; 18; 16; 16; 16; 18; 16; 12; 14; 18; 16; ; 16; 29/2; 16; 29/2; 29/2; 15; ; ; 16; 52/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 03:45:14 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/7; 1/7; 1/7; 1/9; 2/17; 1/9; 2/15; 2/13; 2/13; 1/7; 2/11; 2/15; 1/8; 1/7; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 1/8; 2/11
Draw; 6; 13/2; 13/2; 13/2; 13/2; 11/2; 7; 13/2; 13/2; 7; 7; 13/2; 5; 11/2; 13/2; 13/2; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 29/5; 31/5
Crusaders; 14; 16; 16; 18; 16; 14; 18; 16; 16; 16; 18; 16; 12; 14; 18; 16; ; 16; 29/2; 16; 29/2; 29/2; 15; ; ; 16; 52/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 04:15:13 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/7; 1/7; 1/7; 1/9; 2/17; 1/9; 2/15; 2/13; 2/13; 1/7; 2/11; 2/15; 1/8; 1/7; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 1/8; 2/11
Draw; 6; 13/2; 13/2; 13/2; 13/2; 11/2; 7; 13/2; 13/2; 7; 7; 13/2; 5; 11/2; 13/2; 13/2; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 29/5; 31/5
Crusaders; 14; 16; 16; 18; 16; 14; 18; 16; 16; 16; 18; 16; 12; 14; 18; 16; ; 16; 29/2; 16; 29/2; 29/2; 15; ; ; 16; 52/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 05:45:19 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/7; 1/7; 2/13; 1/7; 1/9; 1/8; 1/9; 2/15; 2/13; 1/6; 1/7; 2/11; 2/13; 1/7; 1/7; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 2/15; 1/7
Draw; 6; 6; 13/2; 13/2; 13/2; 5; 7; 13/2; 13/2; 7; 13/2; 13/2; 5; 11/2; 6; 13/2; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 6; 28/5
Crusaders; 14; 16; 16; 16; 16; 12; 17; 16; 16; 16; 18; 16; 12; 12; 18; 16; ; 16; 29/2; 16; 57/4; 29/2; 15; ; ; 15; 52/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 06:23:55 GMT+3; 2016-07-19 18:15; e70300-dr003
