Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 11/2; 13/2; 7; 13/2; 15/2; 6; 7; 7; 6; 8; 6; 7; 15/2; 13/2; 15/2; 13/2; ; 53/10; ; 36/5; 29/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 00:26:05 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 4/11; 4/9; 3/8; 10/21; 4/9; 2/5; 21/50; 4/9; 9/20; 2/5; 3/8; 5/11; 4/11; 2/5; ; 2/5; ; ; 4/9; 
Draw; 3; 3; 3; 3; 3; 14/5; 31/10; 16/5; 3; 13/4; 3; 3; 3; 3; 16/5; 16/5; 10/3; 13/4; 31/10; 3; 41/13; ; 3; ; ; 3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 11/2; 13/2; 7; 13/2; 15/2; 6; 7; 7; 6; 8; 6; 7; 15/2; 13/2; 15/2; 13/2; ; 53/10; ; ; 29/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 01:45:05 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 4/9; 3/8; 10/21; 4/9; 2/5; 21/50; 4/9; 9/20; 4/9; 3/8; 5/11; 4/11; 2/5; ; 2/5; ; ; 4/9; 
Draw; 3; 3; 3; 3; 3; 14/5; 31/10; 16/5; 3; 13/4; 3; 3; 3; 3; 16/5; 16/5; 3; 13/4; 31/10; 3; 41/13; ; 3; ; 3; 3; 
Alashkert; 13/2; 13/2; 6; 13/2; 6; 11/2; 13/2; 6; 13/2; 15/2; 6; 13/2; 7; 6; 8; 6; 7; 15/2; 13/2; 15/2; 13/2; ; 53/10; ; 29/5; 29/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 03:45:03 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 4/9; 3/8; 4/9; 4/9; 2/5; 21/50; 4/9; 9/20; 2/5; 3/8; 5/11; 4/11; 3/8; ; 2/5; ; ; 4/9; 
Draw; 3; 3; 3; 3; 3; 14/5; 31/10; 16/5; 3; 13/4; 16/5; 3; 3; 3; 3; 16/5; 10/3; 13/4; 31/10; 3; 13/4; ; 3; ; ; 3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 11/2; 13/2; 6; 13/2; 15/2; 13/2; 7; 7; 6; 8; 6; 7; 15/2; 13/2; 15/2; 27/4; ; 53/10; ; ; 6; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 04:15:03 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 4/9; 3/8; 4/9; 4/9; 2/5; 21/50; 4/9; 9/20; 2/5; 3/8; 5/11; 4/11; 3/8; ; 2/5; ; 4/9; 4/9; 
Draw; 3; 3; 3; 3; 3; 14/5; 31/10; 16/5; 3; 13/4; 16/5; 3; 3; 3; 3; 16/5; 10/3; 13/4; 31/10; 3; 16/5; ; 3; ; 3; 3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 11/2; 13/2; 6; 13/2; 15/2; 13/2; 7; 7; 6; 8; 6; 7; 15/2; 13/2; 15/2; 27/4; ; 53/10; ; 32/5; 6; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 05:45:09 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 4/9; 2/5; 4/9; 3/8; 2/5; 4/9; 2/5; 21/50; 2/5; 2/5; 2/5; 3/8; 5/11; 4/11; 4/11; ; 2/5; ; 4/9; 2/5; 
Draw; 3; 3; 3; 3; 3; 14/5; 31/10; 16/5; 3; 13/4; 16/5; 3; 3; 3; 16/5; 13/4; 10/3; 13/4; 31/10; 3; 57/17; ; 3; ; ; 3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 6; 13/2; 6; 13/2; 15/2; 7; 7; 7; 6; 8; 7; 7; 15/2; 13/2; 15/2; 7; ; 53/10; ; ; 34/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 06:19:12 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 4/9; 4/11; 4/9; 3/8; 2/5; 4/9; 2/5; 21/50; 2/5; 2/5; 2/5; 3/8; 5/11; 4/11; 4/11; ; 2/5; ; ; 2/5; 
Draw; 3; 16/5; 3; 3; 3; 14/5; 31/10; 16/5; 3; 13/4; 10/3; 3; 3; 3; 16/5; 13/4; 10/3; 13/4; 31/10; 3; 57/17; ; 3; ; ; 3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 6; 13/2; 7; 13/2; 15/2; 15/2; 7; 7; 6; 8; 7; 7; 15/2; 13/2; 15/2; 7; ; 53/10; ; ; 34/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 07:45:08 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 3/8; 2/5; 4/9; 2/5; 21/50; 2/5; 2/5; 2/5; 3/8; 5/11; 4/11; 4/11; ; 3/8; ; 2/5; 2/5; 
Draw; 3; 16/5; 3; 3; 3; 14/5; 10/3; 16/5; 3; 13/4; 10/3; 3; 3; 3; 16/5; 13/4; 10/3; 13/4; 31/10; 3; 57/17; ; 31/10; ; 10/3; 10/3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 6; 7; 7; 13/2; 15/2; 7; 7; 7; 6; 8; 7; 15/2; 15/2; 13/2; 15/2; 29/4; ; 11/2; ; 36/5; 34/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 08:15:07 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 3/8; 2/5; 4/9; 2/5; 21/50; 4/9; 2/5; 2/5; 3/8; 4/11; 4/11; 6/17; ; 3/8; ; ; 2/5; 
Draw; 3; 16/5; 3; 3; 3; 14/5; 10/3; 16/5; 3; 13/4; 10/3; 3; 3; 3; 3; 13/4; 10/3; 13/4; 10/3; 3; 17/5; ; 31/10; ; ; 10/3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 6; 7; 7; 13/2; 15/2; 7; 7; 7; 6; 8; 7; 15/2; 15/2; 33/4; 15/2; 15/2; ; 11/2; ; ; 36/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 09:45:03 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 4/11; 2/5; 4/11; 7/20; 2/5; 4/11; 4/9; 3/8; 2/5; 4/9; 2/5; 21/50; 2/5; 2/5; 2/5; 3/8; 2/5; 4/11; 10/29; ; 3/8; ; 2/5; 4/11; 
Draw; 3; 16/5; 3; 3; 3; 3; 33/10; 16/5; 10/3; 13/4; 10/3; 3; 3; 3; 17/5; 13/4; 10/3; 13/4; 13/4; 3; 17/5; ; 3; ; 10/3; 10/3; 
Alashkert; 13/2; 7; 7; 13/2; 7; 13/2; 7; 7; 13/2; 15/2; 7; 7; 7; 6; 8; 7; 15/2; 15/2; 15/2; 15/2; 15/2; ; 29/5; ; 38/5; 38/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 11:45:05 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 4/11; 4/11; 4/11; 2/5; 4/11; 3/10; 1/3; 4/11; 2/5; 3/8; 4/11; 2/5; 2/5; 4/11; 1/3; 2/5; 2/5; 3/8; 4/11; 4/11; 6/19; ; 6/19; ; 4/11; 4/11; 
Draw; 16/5; 16/5; 16/5; 3; 16/5; 3; 18/5; 16/5; 10/3; 13/4; 7/2; 16/5; 3; 16/5; 7/2; 10/3; 10/3; 13/4; 15/4; 3; 39/11; ; 33/10; ; 7/2; 10/3; 
Alashkert; 7; 8; 7; 13/2; 7; 7; 9; 7; 7; 15/2; 17/2; 7; 7; 13/2; 15/2; 7; 8; 15/2; 7; 15/2; 33/4; ; 13/2; ; 41/5; 43/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 13:02:45 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 4/11; 1/3; 1/3; 4/11; 1/3; 3/10; 1/3; 1/3; 1/3; 3/8; 7/20; 2/5; 7/20; 7/20; 1/3; 2/5; 4/11; 3/8; 4/11; 4/11; 4/13; ; 6/19; ; 4/11; 4/11; 
Draw; 16/5; 10/3; 10/3; 16/5; 10/3; 3; 7/2; 7/2; 7/2; 13/4; 7/2; 10/3; 10/3; 16/5; 7/2; 10/3; 7/2; 13/4; 15/4; 3; 39/11; ; 13/4; ; 7/2; 7/2; 
Alashkert; 7; 9; 15/2; 15/2; 15/2; 15/2; 9; 15/2; 8; 15/2; 9; 17/2; 15/2; 15/2; 15/2; 7; 17/2; 15/2; 7; 15/2; 35/4; ; 33/5; ; ; 48/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 13:45:03 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 4/11; 4/11; 1/3; 4/11; 1/3; 1/3; 4/11; 1/3; 2/5; 3/8; 4/11; 2/5; 7/20; 4/11; 4/11; 4/11; 4/11; 3/8; 4/11; 4/11; 6/19; ; 6/19; ; 2/5; 2/5; 
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 3; 10/3; 7/2; 10/3; 13/4; 10/3; 10/3; 10/3; 3; 17/5; 10/3; 7/2; 13/4; 15/4; 3; 38/11; ; 13/4; ; 7/2; 7/2; 
