META; champions-league/l-metalurgs-v-salzburg; 2016-07-17 20:15:06 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 1/3; ; ; ; ; ; 1/3; 4/11; ; ; ; 2/5; 4/11; ; ; ; ; ; ; ; 4/11; 3/8; ; ; ; ; 
Salzburg; 2/7; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/5; ; ; ; ; ; ; ; 3/11; 4/13; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 74/17; 47/10; ; ; ; ; 
L Metalurgs; 9; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 15/2; 9; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 05:45:06 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 2/7; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/5; ; ; ; ; ; ; ; ; 4/13; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; 
L Metalurgs; 9; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; ; 9; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 06:22:45 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 2/7; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/5; ; ; ; ; ; ; ; 3/11; 4/13; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 74/17; 47/10; ; ; ; ; 
L Metalurgs; 9; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 15/2; 9; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 07:45:06 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 2/7; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/5; ; ; ; ; ; ; ; 3/11; 4/13; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 74/17; 47/10; ; ; ; ; 
L Metalurgs; 9; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 15/2; 9; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 08:15:06 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 2/7; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/5; ; ; ; ; ; ; ; 3/11; 4/13; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 74/17; 47/10; ; ; ; ; 
L Metalurgs; 9; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 15/2; 9; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 09:45:07 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 2/7; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/5; ; ; ; ; ; ; ; 5/19; 4/13; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 22/5; 47/10; ; ; ; ; 
L Metalurgs; 9; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 31/4; 9; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 11:45:06 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 2/7; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/5; ; ; ; ; ; ; ; 5/19; 4/13; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 22/5; 47/10; ; ; ; ; 
L Metalurgs; 9; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 31/4; 9; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 12:26:23 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 1/4; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/14; 4/13; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 4; ; ; ; ; ; ; ; 23/5; 47/10; ; ; ; ; 
L Metalurgs; 11; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 10; ; ; ; ; ; ; ; 10; 9; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 13:45:06 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 1/4; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 2/9; 3/10; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 4; ; ; ; ; ; ; ; 50/11; 47/10; ; ; ; ; 
L Metalurgs; 11; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 10; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 15:45:12 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 1/4; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/13; 3/10; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 9/2; 47/10; ; ; ; ; 
L Metalurgs; 11; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 16:15:07 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 1/4; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/13; 3/10; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 9/2; 47/10; ; ; ; ; 
L Metalurgs; 11; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 17:45:05 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 1/4; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/13; 3/10; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 9/2; 47/10; ; ; ; ; 
L Metalurgs; 11; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 9; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 18:24:24 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 1/4; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/13; 3/10; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 9/2; 47/10; ; ; ; ; 
L Metalurgs; 11; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 9; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 19:45:09 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/13; 3/10; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 50/11; 47/10; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 20:15:05 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/13; 3/10; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 50/11; 47/10; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 21:45:05 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/13; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 50/11; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 23:45:20 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 4/17; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 9/2; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 00:15:11 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 4/17; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 9/2; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 00:35:26 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 4/17; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 9/2; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 01:45:05 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/13; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 50/11; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 03:45:06 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/13; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 50/11; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 04:15:05 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 4/17; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 9/2; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 05:45:09 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 3/13; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 50/11; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 06:23:47 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 4/17; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 49/11; ; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; ; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 07:45:09 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 4/17; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 9/2; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 37/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 08:15:10 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/4; ; ; ; ; ; ; ; 4/17; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 49/11; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 9; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 09:45:09 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 2/7; ; ; ; ; ; ; ; 1/4; 2/7; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 10/3; 4; ; ; ; ; ; ; ; 49/11; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 8; ; ; ; ; ; ; ; 35/4; 19/2; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 11:45:07 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/7; 2/7; ; ; ; ; ; ; ; 3/11; 5/18; ; ; ; ; 
Draw; ; ; ; ; ; ; 19/4; 9/2; ; ; ; 9/2; 4; ; ; ; ; ; ; ; 9/2; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 8; 8; ; ; ; ; ; ; ; 17/2; 10; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 12:15:10 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 3/10; 2/7; ; ; ; ; ; ; ; 5/19; 5/18; ; ; ; ; 
Draw; ; ; ; ; ; ; 19/4; 9/2; ; ; ; 9/2; 4; ; ; ; ; ; ; ; 23/5; 5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 17/2; 8; ; ; ; ; ; ; ; 35/4; 10; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 12:37:51 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 1/4; ; ; ; 3/10; 2/7; ; ; ; ; ; ; ; 1/4; 3/11; ; ; ; ; 
Draw; ; ; ; ; ; ; 19/4; 9/2; ; ; ; 9/2; 4; ; ; ; ; ; ; ; 47/10; 51/10; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 17/2; 8; ; ; ; ; ; ; ; 9; 10; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 13:45:09 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 1/4; 1/4; ; ; ; 2/7; 1/4; ; ; ; ; ; ; ; 3/14; 1/4; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/2; 9/2; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 5; 27/5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 17/2; ; ; ; 9; 17/2; ; ; ; ; ; ; ; 43/4; 11; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 15:45:11 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 1/4; 2/9; ; ; ; 2/7; 1/4; ; ; ; ; ; ; ; 1/4; 1/4; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; 19/4; 9/2; ; ; ; ; ; ; ; 47/10; 27/5; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 9; ; ; ; 9; 17/2; ; ; ; ; ; ; ; 9; 11; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 16:15:05 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 1/4; 2/9; ; ; ; 2/7; 1/4; ; ; ; ; ; ; ; 3/11; 5/19; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; 9/2; 9/2; ; ; ; ; ; ; ; 50/11; 51/10; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 9; ; ; ; 17/2; 17/2; ; ; ; ; ; ; ; 33/4; 11; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 17:45:05 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 1/4; 2/9; ; ; ; 2/7; 1/4; ; ; ; ; ; ; ; 4/17; 5/19; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 9/2; ; ; ; 19/4; 9/2; ; ; ; ; ; ; ; 19/4; 51/10; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 9; ; ; ; 9; 17/2; ; ; ; ; ; ; ; 37/4; 11; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 18:24:44 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; ; ; ; ; ; 2/7; 2/9; ; ; ; 2/7; 1/4; ; ; ; ; ; ; ; 1/4; 3/10; ; ; ; ; 
Draw; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 5; 9/2; ; ; ; ; ; ; ; 47/10; 9/2; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 8; 9; ; ; ; 9; 17/2; ; ; ; ; ; ; ; 9; 10; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 19:45:11 GMT+3; 2016-07-19 17:00; In Play; e70300-dr003
Salzburg; ; ; ; ; ; ; 1/40; 1/25; ; ; ; ; 1/66; ; ; ; ; ; ; ; 3/10; 1/19; ; ; ; ; 
Draw; ; ; ; ; ; ; 11; 11; ; ; ; ; 16; ; ; ; ; ; ; ; 57/17; 11; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 100; 55; ; ; ; ; 55; ; ; ; ; ; ; ; 10; 50; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-19 20:15:10 GMT+3; 2016-07-19 17:00; In Play; e70300-dr003
Salzburg; ; ; ; ; ; ; 1/33; 1/25; ; ; ; ; 1/25; ; ; ; ; ; ; ; 1/25; 1/19; ; ; ; ; 
Draw; ; ; ; ; ; ; 10; 10; ; ; ; ; 12; ; ; ; ; ; ; ; 19/2; 10; ; ; ; ; 
L Metalurgs; ; ; ; ; ; ; 110; 55; ; ; ; ; 50; ; ; ; ; ; ; ; 103/4; 60; ; ; ; ; 
