Plzen; 11/4; 11/4; 11/4; 3; 11/4; 27/10; 11/4; 11/4; 11/4; 3; 14/5; 11/5; 13/5; 29/10; 11/4; 13/5; 14/5; 3; 11/4; 3; 14/5; 37/13; 5/2; ; 14/5; ; 
META; champions-league/ludogorets-razgrad-v-plzen; 2016-08-10 12:15:30 GMT+3; 2016-08-17 19:45; e70300-dr003
Ludogorets Razgrad; 19/20; 1; 1; 1; 1; 1; 1; 10/11; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 21/20; 1; 19/20; 11/10; 21/20; ; 21/20; ; 
Draw; 5/2; 11/5; 43/20; 11/5; 23/10; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 11/5; 11/5; 47/20; 9/4; 9/4; 12/5; 12/5; 11/5; 12/5; 9/4; 27/11; 27/11; ; 2; ; 
Plzen; 11/4; 14/5; 11/4; 3; 11/4; 27/10; 11/4; 11/4; 11/4; 3; 14/5; 11/5; 13/5; 29/10; 11/4; 13/5; 14/5; 3; 11/4; 3; 14/5; 37/13; 5/2; ; 14/5; ; 
META; champions-league/ludogorets-razgrad-v-plzen; 2016-08-10 16:15:30 GMT+3; 2016-08-17 19:45; e70300-dr003
Ludogorets Razgrad; 10/11; 19/20; 19/20; 1; 1; 19/20; 20/21; 10/11; 1; 1; 1; 1; 1; 19/20; 1; 21/20; 1; 1; 21/20; 1; 19/20; 11/10; 21/20; ; 21/20; ; 
Draw; 5/2; 9/4; 43/20; 11/5; 23/10; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 11/5; 11/5; 47/20; 23/10; 9/4; 12/5; 12/5; 11/5; 12/5; 9/4; 27/11; 27/11; ; 21/10; ; 
Plzen; 3; 14/5; 14/5; 3; 11/4; 11/4; 29/10; 11/4; 14/5; 3; 14/5; 11/5; 13/5; 59/20; 11/4; 13/5; 14/5; 3; 11/4; 3; 37/13; 37/13; 5/2; ; 13/5; ; 
META; champions-league/ludogorets-razgrad-v-plzen; 2016-08-10 20:15:30 GMT+3; 2016-08-17 19:45; e70300-dr003
Ludogorets Razgrad; 19/20; 19/20; 19/20; 1; 1; 19/20; 20/21; 10/11; 1; 1; 1; 1; 1; 19/20; 1; 21/20; 1; 1; 21/20; 1; 19/20; 11/10; 21/20; ; 1; ; 
Draw; 5/2; 9/4; 43/20; 11/5; 23/10; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 11/5; 11/5; 47/20; 23/10; 9/4; 12/5; 12/5; 11/5; 12/5; 9/4; 27/11; 27/11; ; 21/10; ; 
Plzen; 14/5; 14/5; 14/5; 3; 11/4; 11/4; 29/10; 11/4; 14/5; 3; 14/5; 11/5; 13/5; 59/20; 14/5; 13/5; 14/5; 3; 11/4; 3; 37/13; 37/13; 5/2; ; 13/5; ; 
META; champions-league/ludogorets-razgrad-v-plzen; 2016-08-11 00:15:28 GMT+3; 2016-08-17 19:45; e70300-dr003
Ludogorets Razgrad; 19/20; 1; 19/20; 1; 1; 19/20; 20/21; 10/11; 1; 1; 1; 1; 1; 19/20; 1; 21/20; 1; 1; 1; 1; 19/20; 11/10; 21/20; ; 1; ; 
