Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 9/4; 12/5; ; 27/10; ; 2; 11/5; 11/5; 11/5; 23/10; ; 11/5; 27/10; 11/5; 27/10; 11/5; 13/5; 37/19; ; 19/10; ; 
META; english/championship/fulham-v-newcastle; 2016-07-06 12:19:06 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 6/5; 1; ; 13/11; ; 11/10; 6/5; 23/20; 6/5; 5/4; ; 15/13; 13/11; 15/13; 23/20; 15/13; 6/5; 15/13; ; 5/6; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 9/4; 12/5; ; 11/5; ; 2; 11/5; 11/5; 11/5; 23/10; ; 11/5; 11/5; 11/5; 11/5; 11/5; 13/5; 37/19; ; 19/10; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 12/5; 47/20; 5/2; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; ; 11/5; ; 
META; english/championship/fulham-v-newcastle; 2016-07-06 16:19:39 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 6/5; 1; ; 13/11; ; 11/10; 6/5; 23/20; 6/5; 5/4; ; 6/5; 13/11; 15/13; 23/20; 6/5; 6/5; 15/13; ; 5/6; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 9/4; 12/5; ; 11/5; ; 2; 11/5; 11/5; 11/5; 23/10; ; 28/13; 11/5; 11/5; 11/5; 28/13; 13/5; 37/19; ; 19/10; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 12/5; 47/20; 5/2; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; ; 11/5; ; 
META; english/championship/fulham-v-newcastle; 2016-07-06 20:19:39 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 6/5; 1; ; 13/11; ; 11/10; 6/5; 23/20; 6/5; 5/4; ; 6/5; 13/11; 15/13; 23/20; 6/5; 6/5; 15/13; ; 5/6; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 9/4; 12/5; ; 11/5; ; 2; 11/5; 11/5; 11/5; 23/10; ; 28/13; 11/5; 11/5; 11/5; 28/13; 13/5; 37/19; ; 19/10; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 12/5; 47/20; 5/2; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; ; 11/5; ; 
META; english/championship/fulham-v-newcastle; 2016-07-07 00:18:29 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 6/5; 11/10; ; 13/11; ; 11/10; 6/5; 23/20; 6/5; 5/4; ; 6/5; 13/11; 15/13; 23/20; 6/5; 6/5; 15/13; ; 11/10; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 9/4; 2; ; 11/5; ; 2; 11/5; 11/5; 11/5; 23/10; ; 28/13; 11/5; 11/5; 11/5; 28/13; 13/5; 37/19; ; 19/10; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 12/5; ; 23/10; ; 11/5; 12/5; 47/20; 5/2; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; ; 11/5; ; 
