Newcastle; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 4/6; 8/11; 3/4; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 11/4; 13/5; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 13/5; 13/5; 14/5
Birmingham; 15/4; 19/5; 19/5; 15/4; 4; 19/5; 15/4; 15/4; 19/5; 15/4; 4; 15/4; 15/4; 15/4; 15/4; 4; 19/5; 15/4; 7/2; 19/5; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-15 20:20:36 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 7/10; 4/6; 8/11; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; 11/4; 14/5; 13/5; 11/4; 13/5; 27/10; 11/4; 11/4; 14/5; 27/10; 13/5; 13/5; 27/10; 14/5; 14/5; 45/17; 11/4; 27/10; ; 13/5; 12/5; 14/5
Birmingham; 15/4; 19/5; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 15/4; 15/4; 15/4; 15/4; 15/4; 15/4; 4; 37/10; 15/4; 7/2; 37/10; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-16 00:25:10 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 8/11; 3/4; 3/4; 3/4; 3/4; 7/10; 4/6; 8/11; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; 11/4; 14/5; 13/5; 11/4; 13/5; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 13/5; 13/5; 14/5
Birmingham; 15/4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 15/4; 15/4; 15/4; 15/4; 15/4; 15/4; 4; 19/5; 15/4; 7/2; 19/5; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-16 04:20:10 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 8/11; 3/4; 3/4; 3/4; 3/4; 7/10; 4/6; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 14/19; ; 8/11; 14/19; 39/50; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; 11/4; 14/5; 13/5; 11/4; 5/2; 27/10; 11/4; 11/4; 14/5; 11/4; ; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 27/10; 13/5; 27/10
Birmingham; 15/4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 15/4; 15/4; 4; 15/4; 15/4; 15/4; 4; 19/5; ; 7/2; 19/5; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-16 08:20:14 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 8/11; 3/4; 3/4; 3/4; 3/4; 7/10; 4/6; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; 11/4; 14/5; 13/5; 11/4; 5/2; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 13/5; 13/5; 27/10
Birmingham; 15/4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 15/4; 15/4; 4; 15/4; 15/4; 15/4; 4; 19/5; 15/4; 7/2; 19/5; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-16 12:21:03 GMT+2; 2017-03-18 15:00; e70300-dr003
