META; english/championship/burton-v-birmingham; 2016-10-16 00:23:13 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 17/10; 13/8; 13/8; 5/3; 17/10; 6/4; 13/8; 13/8; 8/5; ; ; 13/8; 13/8; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 13/8; ; 17/10; ; 
Birmingham; 17/10; 8/5; 7/4; 7/4; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 33/20; ; ; 17/10; 7/4; ; 17/10; ; 8/5; ; 17/10; ; ; 17/10; 17/10; ; 17/10; ; 
Draw; 9/4; 9/4; 43/20; 21/10; 9/4; 9/4; 9/4; 23/10; 9/4; 11/5; 2; ; ; 11/5; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-18 16:23:12 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 17/10; 13/8; 13/8; 17/10; 17/10; 6/4; 13/8; 13/8; 8/5; 13/8; ; 13/8; 13/8; ; 28/17; ; 8/5; ; 28/17; ; ; 8/5; 13/8; ; 13/8; ; 
Birmingham; 17/10; 8/5; 7/4; 7/4; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 33/20; 7/4; ; 17/10; 7/4; ; 17/10; ; 8/5; ; 17/10; ; ; 17/10; 17/10; ; 7/4; ; 
Draw; 9/4; 9/4; 43/20; 21/10; 9/4; 9/4; 9/4; 23/10; 9/4; 11/5; 2; 11/5; ; 11/5; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-18 20:22:45 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 17/10; 13/8; 13/8; 5/3; 17/10; 8/5; 13/8; 13/8; 8/5; 13/8; ; 13/8; 13/8; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 13/8; ; 13/8; ; 
Birmingham; 17/10; 8/5; 7/4; 7/4; 7/4; 7/4; 17/10; 17/10; 7/4; 17/10; 33/20; 7/4; ; 17/10; 7/4; ; 17/10; ; 8/5; ; 17/10; ; ; 17/10; 17/10; ; 7/4; ; 
Draw; 9/4; 9/4; 43/20; 21/10; 9/4; 9/4; 9/4; 23/10; 9/4; 11/5; 2; 11/5; ; 11/5; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-19 00:20:59 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 17/10; 13/8; 13/8; 17/10; 17/10; 6/4; 13/8; 13/8; 8/5; 13/8; ; 13/8; 13/8; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 13/8; ; 17/10; ; 
Birmingham; 17/10; 8/5; 7/4; 7/4; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 33/20; 7/4; ; 17/10; 7/4; ; 28/17; ; 8/5; ; 28/17; ; ; 17/10; 17/10; ; 17/10; ; 
Draw; 9/4; 9/4; 43/20; 21/10; 9/4; 9/4; 9/4; 23/10; 9/4; 11/5; 2; 11/5; ; 11/5; 9/4; ; 28/13; ; 11/5; ; 28/13; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-19 04:20:42 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 17/10; 13/8; 13/8; 17/10; 17/10; 6/4; 13/8; 13/8; 8/5; 13/8; ; 13/8; 13/8; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 13/8; ; 7/4; ; 
Birmingham; 17/10; 8/5; 7/4; 7/4; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 33/20; 7/4; ; 17/10; 7/4; ; 28/17; ; 8/5; ; 28/17; ; ; 17/10; 17/10; ; 17/10; ; 
Draw; 9/4; 9/4; 43/20; 21/10; 9/4; 11/5; 9/4; 23/10; 9/4; 11/5; 2; 11/5; ; 11/5; 9/4; ; 28/13; ; 11/5; ; 28/13; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-19 08:20:48 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 17/10; 17/10; 13/8; 13/8; 17/10; 17/10; 6/4; 13/8; 13/8; 8/5; 13/8; ; 13/8; 13/8; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 13/8; ; 7/4; ; 
Birmingham; 17/10; 7/4; 7/4; 7/4; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 33/20; 7/4; ; 17/10; 7/4; ; 28/17; ; 8/5; ; 28/17; ; ; 17/10; 17/10; ; 17/10; ; 
Draw; 9/4; 21/10; 43/20; 21/10; 9/4; 11/5; 9/4; 23/10; 9/4; 11/5; 2; 11/5; ; 11/5; 9/4; ; 28/13; ; 11/5; ; 28/13; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-19 12:22:30 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 17/10; 17/10; 13/8; 7/4; 17/10; 13/8; 6/4; 13/8; 13/8; 8/5; 13/8; 13/8; 13/8; 13/8; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 8/5; ; 17/10; ; 
Birmingham; 17/10; 7/4; 7/4; 17/10; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 33/20; 7/4; ; 17/10; 7/4; ; 28/17; ; 8/5; ; 28/17; ; ; 17/10; 17/10; ; 7/4; ; 
Draw; 9/4; 21/10; 43/20; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 11/5; 2; 11/5; 9/4; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-19 16:22:18 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 13/8; 33/20; 13/8; 7/4; 17/10; 13/8; 6/4; 13/8; 13/8; 31/20; 13/8; 13/8; 8/5; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 8/5; ; 17/10; 13/8; 
Birmingham; 17/10; 7/4; 9/5; 17/10; 7/4; 7/4; 7/4; 6/4; 7/4; 17/10; 17/10; 7/4; ; 7/4; 7/4; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 17/10; 
Draw; 9/4; 11/5; 43/20; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 9/4; 2; 11/5; 9/4; 9/4; 9/4; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-19 20:20:47 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 6/4; 8/5; 31/20; 7/4; 17/10; 31/20; 6/4; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 6/4; ; 13/8; 13/8; 
Birmingham; 17/10; 9/5; 37/20; 9/5; 7/4; 7/4; 9/5; 6/4; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 7/4; ; 8/5; ; 7/4; ; ; 7/4; 7/4; ; 9/5; 7/4; 
Draw; 9/4; 11/5; 43/20; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 11/5; 2; 11/5; 9/4; 9/4; 9/4; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-19 23:46:11 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 6/4; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 6/4; ; 13/8; 8/5; 
Birmingham; 17/10; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 17/10; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 7/4; ; 8/5; ; 7/4; ; ; 7/4; 7/4; ; 9/5; 7/4; 
Draw; 9/4; 11/5; 43/20; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 11/5; 2; 11/5; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 00:20:27 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 6/4; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 6/4; ; 13/8; 8/5; 
Birmingham; 17/10; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 17/10; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 7/4; ; 8/5; ; 7/4; ; ; 7/4; 7/4; ; 9/5; 7/4; 
Draw; 9/4; 11/5; 43/20; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 11/5; 2; 11/5; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 00:52:30 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 6/4; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; ; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 6/4; ; 13/8; 8/5; 
Birmingham; 17/10; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 17/10; 9/5; 9/5; 7/4; ; 9/5; 9/5; 7/4; ; 7/4; ; 8/5; ; 7/4; ; ; 7/4; 7/4; ; 9/5; 7/4; 
Draw; 9/4; 11/5; 43/20; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 11/5; 2; ; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 01:46:16 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 6/4; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 6/4; ; 13/8; 8/5; 
Birmingham; 17/10; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 17/10; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 7/4; ; 8/5; ; 7/4; ; ; 7/4; 7/4; ; 9/5; 7/4; 
Draw; 9/4; 11/5; 43/20; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 11/5; 2; 11/5; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 03:46:15 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 17/10; 6/4; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 8/5; ; 13/8; 13/8; 
Birmingham; 15/8; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 7/4; ; 8/5; ; 7/4; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 11/5; 43/20; 11/5; 11/5; 11/5; 23/10; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 04:20:09 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 17/10; 6/4; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 8/5; ; 13/8; 13/8; 
Birmingham; 15/8; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 7/4; ; 8/5; ; 7/4; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 11/5; 43/20; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 05:46:08 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 17/10; 6/4; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 8/5; ; 13/8; 13/8; 
Birmingham; 15/8; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 7/4; ; 8/5; ; 7/4; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 11/5; 43/20; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 06:30:58 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 17/10; 13/8; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 8/5; ; 13/8; 13/8; 
Birmingham; 15/8; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 7/4; ; 8/5; ; 7/4; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 9/4; 43/20; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 07:46:09 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 17/10; 13/8; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 8/5; ; 13/8; 13/8; 
Birmingham; 15/8; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 7/4; ; 8/5; ; 7/4; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 9/4; 43/20; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 08:20:19 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 17/10; 13/8; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 8/5; ; 13/8; 13/8; 
Birmingham; 15/8; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; ; 8/5; ; 7/4; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 9/4; 43/20; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 09:46:12 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 17/10; 13/8; 8/5; 31/20; 7/4; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 8/5; ; 13/8; 13/8; 
Birmingham; 15/8; 9/5; 37/20; 9/5; 7/4; 7/4; 19/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; ; 8/5; ; 9/5; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 9/4; 43/20; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 11:46:15 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 17/10; 13/8; 8/5; 31/20; 8/5; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 8/5; ; 13/8; 13/8; 
