META; english/championship/derby-v-burton; 2017-02-18 12:21:38 GMT+2; 2017-05-06 12:00; e70300-dr003
Derby; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 
Burton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; 
META; english/championship/derby-v-burton; 2017-02-20 12:54:11 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 7/10; 8/11; 3/4; 7/10; 8/11; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 8/11; 13/18; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 13/5; 5/2; 5/2; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 13/5; 5/2; 5/2; 13/5; 11/4; 13/5; 28/11; 11/4; ; 13/5; 13/5; 27/10
Burton; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 7/2; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 21/5; 4; 23/5
META; english/championship/derby-v-burton; 2017-02-20 13:45:36 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 7/10; 8/11; 3/4; 7/10; 8/11; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 8/11; 13/18; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 13/5; 5/2; 5/2; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 13/5; 5/2; 5/2; 13/5; 11/4; 13/5; 28/11; 11/4; ; 13/5; 13/5; 27/10
Burton; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 7/2; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 22/5; 22/5; 23/5
META; english/championship/derby-v-burton; 2017-02-20 15:45:28 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 8/11; 8/11; 3/4; 7/10; 8/11; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 8/11; 13/18; 7/10; ; 8/11; 4/6; 4/6
