Wigan; 14/5; 23/10; ; ; 5/2; 11/4; 11/4; 12/5; 13/5; 13/5; 13/5; 5/2; 13/5; ; 13/5; ; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 29/10; ; 13/5; ; 13/5; ; 
META; english/championship/brentford-v-wigan; 2016-09-28 08:20:43 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 11/10; ; ; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; ; 1; ; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 13/12; ; 21/20; ; 1; ; 
Draw; 23/10; 23/10; ; ; 23/10; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 9/4; 12/5; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 22/9; ; 12/5; ; 5/2; ; 
Wigan; 14/5; 23/10; ; ; 5/2; 11/4; 11/4; 12/5; 11/4; 13/5; 13/5; 5/2; 13/5; ; 13/5; ; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 58/19; ; 13/5; ; 13/5; ; 
META; english/championship/brentford-v-wigan; 2016-09-28 12:21:40 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 11/10; ; 1; 11/10; 1; 1; 1; 21/20; 21/20; 1; 1; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 15/14; 28/29; 21/20; ; 1; ; 
Draw; 23/10; 23/10; ; 12/5; 23/10; 13/5; 5/2; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; ; 13/5; 5/2; 5/2; 27/11; 12/5; 23/10; 12/5; 27/11; 5/2; 5/2; 12/5; ; 5/2; ; 
Wigan; 14/5; 23/10; ; 13/5; 5/2; 27/10; 11/4; 12/5; 11/4; 13/5; 13/5; 5/2; 13/5; ; 5/2; 13/5; 11/4; 28/11; 13/5; 13/5; 13/5; 28/11; 56/19; 5/2; 5/2; ; 11/4; ; 
META; english/championship/brentford-v-wigan; 2016-09-28 16:21:19 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 21/20; 21/20; 20/21; 11/10; 1; 1; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 15/14; 1; 21/20; ; 1; 1; 
Draw; 23/10; 12/5; 49/20; 12/5; 23/10; 13/5; 13/5; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 49/20; 13/5; 5/2; 13/5; 27/11; 12/5; 23/10; 12/5; 27/11; 5/2; 13/5; 12/5; ; 5/2; 12/5; 
