META; english/championship/preston-v-newcastle; 2016-10-23 04:19:47 GMT+3; 2016-10-29 15:00; e70300-dr003
Preston; 17/4; 4; 17/4; 4; 4; 4; 21/5; 4; 17/4; 4; 7/2; 15/4; 17/4; 4; 4; 4; 41/10; 41/10; 4; 4; 41/10; 9/2; 62/17; 41/10; 4; ; 22/5; 4; 9/2
META; english/championship/preston-v-newcastle; 2016-10-27 00:21:40 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 8/13; 4/6; 7/10; 8/11; 3/4; 4/6; 7/10; 3/4; 8/11; 4/6; 7/10; 4/6; 4/6; 4/6; 8/11; 9/13; 7/10; 7/10; ; 4/6; 4/6; 8/11
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 14/5; 11/4; 5/2; 11/4; 13/5; 11/4; 13/5; 53/20; 27/10; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 14/5; 45/17; 13/5; 13/5; ; 27/10; 27/10; 11/4
Preston; 17/4; 4; 17/4; 15/4; 4; 4; 21/5; 4; 17/4; 4; 7/2; 15/4; 17/4; 4; 4; 4; 41/10; 41/10; 4; 4; 41/10; 9/2; 62/17; 41/10; 4; ; 9/2; 4; 9/2
META; english/championship/preston-v-newcastle; 2016-10-27 04:21:50 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 8/13; 4/6; 7/10; 8/11; 3/4; 4/6; 7/10; 3/4; 8/11; 4/6; 7/10; 4/6; 4/6; 4/6; 8/11; 9/13; 7/10; 7/10; ; 4/6; 4/6; 8/11
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 14/5; 11/4; 5/2; 11/4; 13/5; 11/4; 13/5; 53/20; 27/10; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 14/5; 45/17; 13/5; 13/5; ; 27/10; 27/10; 11/4
Preston; 17/4; 4; 17/4; 15/4; 4; 4; 21/5; 4; 17/4; 4; 7/2; 15/4; 17/4; 4; 4; 4; 54/13; 41/10; 4; 4; 54/13; 9/2; 62/17; 41/10; 4; ; 9/2; 4; 9/2
META; english/championship/preston-v-newcastle; 2016-10-27 08:21:46 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 8/13; 4/6; 7/10; 8/11; 3/4; 4/6; 7/10; 3/4; 8/11; 4/6; 7/10; 4/6; 4/6; 4/6; 8/11; 9/13; 7/10; 7/10; ; 4/6; 4/6; 8/11
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 14/5; 11/4; 5/2; 11/4; 13/5; 11/4; 13/5; 53/20; 27/10; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 14/5; 45/17; 13/5; 13/5; ; 27/10; 27/10; 11/4
Preston; 17/4; 4; 17/4; 15/4; 4; 4; 21/5; 4; 17/4; 4; 7/2; 15/4; 17/4; 4; 4; 4; 54/13; 41/10; 4; 4; 54/13; 9/2; 62/17; 41/10; 4; ; 9/2; 4; 9/2
META; english/championship/preston-v-newcastle; 2016-10-27 12:22:53 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 8/13; 4/6; 7/10; 8/11; 3/4; 4/6; 7/10; 3/4; 8/11; 9/13; 7/10; 4/6; 4/6; 9/13; 8/11; 9/13; 7/10; 7/10; ; 4/6; 4/6; 8/11
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 14/5; 11/4; 5/2; 11/4; 13/5; 11/4; 13/5; 53/20; 27/10; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 14/5; 45/17; 13/5; 13/5; ; 27/10; 27/10; 11/4
Preston; 17/4; 4; 17/4; 15/4; 4; 4; 21/5; 4; 17/4; 4; 7/2; 15/4; 17/4; 4; 4; 4; 77/19; 41/10; 4; 4; 77/19; 9/2; 62/17; 41/10; 4; ; 9/2; 4; 9/2
META; english/championship/preston-v-newcastle; 2016-10-27 16:22:14 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 8/13; 4/6; 8/11; 8/11; 3/4; 7/10; 8/11; 3/4; 8/11; 4/6; 7/10; 4/6; 4/6; 4/6; 8/11; 5/7; 7/10; 7/10; ; 4/6; 4/6; 8/11
Draw; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 11/4; 5/2; 11/4; 13/5; 11/4; 13/5; 27/10; 27/10; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 14/5; 45/17; 13/5; 13/5; ; 27/10; 27/10; 27/10
Preston; 17/4; 4; 4; 4; 4; 4; 4; 4; 17/4; 4; 7/2; 15/4; 17/4; 19/5; 4; 4; 77/19; 41/10; 4; 4; 77/19; 9/2; 7/2; 41/10; 4; ; 22/5; 4; 21/5
META; english/championship/preston-v-newcastle; 2016-10-27 20:22:30 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/13; 4/6; 8/11; 3/4; 7/10; 8/11; 7/10; 3/4; 8/11; 9/13; 7/10; 4/6; 4/6; 9/13; 3/4; 14/19; 7/10; 7/10; ; 4/6; 4/6; 8/11
Draw; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 11/4; 5/2; 11/4; 13/5; 13/5; 11/4; 53/20; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 11/4; 27/10; 13/5; 13/5; ; 27/10; 27/10; 27/10
Preston; 17/4; 19/5; 17/4; 4; 4; 4; 17/4; 4; 17/4; 4; 17/4; 9/2; 17/4; 4; 4; 4; 77/19; 41/10; 4; 4; 77/19; 9/2; 19/5; 41/10; 4; ; 22/5; 4; 21/5
META; english/championship/preston-v-newcastle; 2016-10-28 00:22:03 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 4/6; 4/6; 8/11; 3/4; 7/10; 8/11; 7/10; 3/4; 8/11; 5/7; 7/10; 4/6; 4/6; 9/13; 3/4; 14/19; 7/10; 7/10; ; 4/6; 4/6; 8/11
