Aston Villa; 11/8; 7/5; 31/20; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 8/5; 16/11; 6/4; 16/11; 6/4; 6/4; 41/25; 6/4; 17/11; 7/5; 8/5; ; 6/4; 6/4; 7/5
Draw; 9/4; 2; 41/20; 2; 21/10; 21/10; 85/40; 21/10; 2; 2; 19/10; 2; 2; 11/5; 2; 11/5; 39/19; 2; 2; 39/19; 52/25; 39/19; 2; 2; 39/19; ; 2; 2; 21/10
Wigan; 2; 9/4; 9/4; 11/5; 21/10; 43/20; 9/4; 21/10; 85/40; 21/10; 21/10; 21/10; 21/10; 11/5; 2; 11/5; 21/10; 2; 2; 21/10; 43/20; 21/10; 2; 21/10; 39/19; ; 21/10; 21/10; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-17 00:20:20 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 7/5; 7/5; 31/20; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 8/5; 6/4; 6/4; 16/11; 6/4; 6/4; 41/25; 6/4; 17/11; 6/4; 8/5; ; 6/4; 7/5; 7/5
Draw; 21/10; 2; 41/20; 2; 2; 21/10; 21/10; 21/10; 2; 2; 19/10; 2; 2; 21/10; 2; 2; 39/19; 2; 2; 39/19; 52/25; 39/19; 2; 21/10; 39/19; ; 2; 2; 21/10
Wigan; 21/10; 9/4; 9/4; 11/5; 11/5; 43/20; 23/10; 21/10; 11/5; 21/10; 21/10; 21/10; 11/5; 9/4; 2; 11/5; 21/10; 2; 2; 21/10; 43/20; 21/10; 2; 11/5; 39/19; ; 21/10; 21/10; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-17 00:53:40 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 7/5; 7/5; 31/20; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 8/5; 6/4; 6/4; 16/11; 6/4; 6/4; 41/25; 6/4; 17/11; 6/4; 8/5; ; 6/4; 6/4; 7/5
Draw; 21/10; 2; 41/20; 2; 2; 21/10; 21/10; 21/10; 2; 2; 19/10; 2; 2; 21/10; 2; 2; 39/19; 2; 2; 39/19; 52/25; 39/19; 2; 21/10; 39/19; ; 2; 2; 21/10
