META; english/championship/wigan-v-rotherham; 2017-04-02 04:21:37 GMT+3; ; e70300-dr003
Romelu Lukaku; 1; 1; 10/11; 1; 1; 10/11; 11/10; 1; 10/11; 10/11; 10/11; 1; 1; 1; 1; ; 21/20; 19/20; ; 21/20; 10/11; 1; 1; ; 1; ; ; 21/20; 
Theo Walcott; 500; ; ; ; ; 250; ; 100; ; ; ; ; ; 200; ; ; 500; ; ; 500; ; 150; ; ; ; ; ; 853; 
Vincent Janssen; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 400; ; ; 400; ; ; ; ; ; ; ; 853; 
Charlie Austin; 500; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; 600; ; ; 600; ; ; ; ; ; ; ; 848; 
Robert Snodgrass; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; ; ; ; ; ; ; ; ; 
Troy Deeney; 500; ; ; ; ; 125; ; 80; ; ; ; ; ; 150; ; ; 600; ; ; 600; ; 250; ; ; ; ; ; 853; 
Wayne Rooney; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; ; 250; ; ; ; ; ; 853; 
Abel Hernandez; 1000; ; ; ; ; ; ; 200; ; ; ; ; ; 150; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 853; 
Ahmed Musa; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 853; 
Andre Ayew; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 100; 1000; ; ; 1000; ; ; ; ; ; ; ; 853; 
Benik Afobe; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 853; 
Borja Gonzalez; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Christian Stuani; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Daniel Sturridge; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; 750; ; 150; ; ; ; ; ; 416; 
David Silva; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 853; 
Diafra Sakho; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 853; 
Erik Lamela; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Fabio Borini; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Gonzalez Borja Baston; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kevin Mirallas; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Lucas Perez; 750; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Marko Arnautovic; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; 750; ; ; ; ; ; ; ; 853; 
Michy Batshuayi; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; 750; ; ; ; ; ; ; ; 848; 
Nacer Chadli; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Nathan Redmond; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Riyad Mahrez; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 843; 
Ross Barkley; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; 750; ; ; ; ; ; ; ; 853; 
Saido Berahino; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 853; 
Sam Vokes; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 853; 
Shane Long; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; 843; 
Wilfried Bony; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Bafetimbi Gomis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 853; 
Bojan Krkic; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 853; 
Callum Wilson; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 843; 
Connor Wickham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; 
Dimitri Payet; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 848; 
Enner Valencia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 853; 
Graziano Pelle; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 853; 
Jonathan Walters; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 853; 
Jordan Rhodes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 848; 
Leonardo Ulloa; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 853; 
Odion Ighalo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 853; 
Willian; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 853; 
Yaya Toure; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 853; 
META; english/championship/wigan-v-rotherham; 2017-04-03 08:18:59 GMT+3; ; e70300-dr003
Liverpool; ; ; ; 7/4; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Chelsea; ; ; ; 12/5; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; 
Arsenal; ; ; ; 3; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Man City; ; ; ; 11/2; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Tottenham; ; ; ; 15/2; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; 
Crystal Palace; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; 
Everton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; 
Leicester; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; 
Southampton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; 
Bournemouth; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Hull; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Man Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Middlesbrough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Stoke; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Sunderland; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Swansea; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Watford; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
West Brom; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
West Ham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9; ; 
META; english/championship/wigan-v-rotherham; 2017-04-05 11:27:54 GMT+3; 2017-04-08 15:00; e70300-dr003
Wigan; 1/2; 8/15; 8/15; 8/15; 1/2; 8/15; 1/2; 4/9; 8/15; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 8/15; 1/2; 1/2; 4/9; 1/2; ; ; 10/21; 1/2; 1/2; ; 1/2; ; 
Draw; 31/10; 29/10; 29/10; 14/5; 3; 3; 16/5; 16/5; 3; 14/5; 14/5; 3; 3; 3; 16/5; 31/10; 58/19; 3; 3; 58/19; ; ; 31/10; 3; 16/5; ; 14/5; ; 
Rotherham; 11/2; 11/2; 6; 6; 6; 11/2; 6; 5; 11/2; 6; 11/2; 6; 6; 11/2; 6; 6; 6; 11/2; 28/5; 6; ; ; 23/4; 11/2; 23/4; ; 29/5; ; 
META; english/championship/wigan-v-rotherham; 2017-04-05 16:21:16 GMT+3; 2017-04-08 15:00; e70300-dr003
Wigan; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/9; 8/15; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 8/15; 1/2; 1/2; 4/9; 1/2; 11/20; 17/35; 10/21; 1/2; 1/2; ; 1/2; ; 8/15
Draw; 31/10; 29/10; 29/10; 14/5; 3; 16/5; 16/5; 16/5; 3; 14/5; 14/5; 3; 3; 3; 16/5; 31/10; 58/19; 3; 3; 58/19; 13/4; 31/10; 31/10; 3; 16/5; ; 14/5; ; 14/5
Rotherham; 11/2; 11/2; 6; 6; 6; 11/2; 6; 5; 11/2; 6; 11/2; 6; 6; 11/2; 6; 6; 6; 11/2; 28/5; 6; 6; 51/10; 23/4; 11/2; 23/4; ; 28/5; ; 26/5
META; english/championship/wigan-v-rotherham; 2017-04-06 11:23:51 GMT+3; 2017-04-08 15:00; e70300-dr003
Wigan; 1/2; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; 11/20; 17/35; 10/21; 1/2; 1/2; ; 4/9; 4/9; 1/2
Draw; 31/10; 3; 3; 14/5; 3; 16/5; 31/10; 3; 3; 14/5; 14/5; 3; 3; 3; 16/5; 31/10; 58/19; 3; 3; 58/19; 13/4; 31/10; 31/10; 3; 16/5; ; 3; 14/5; 3
Rotherham; 11/2; 6; 6; 6; 6; 11/2; 6; 6; 11/2; 6; 6; 11/2; 6; 6; 6; 13/2; 6; 11/2; 28/5; 6; 6; 51/10; 23/4; 11/2; 23/4; ; 6; 24/5; 13/2
META; english/championship/wigan-v-rotherham; 2017-04-06 16:06:26 GMT+3; 2017-04-08 15:00; e70300-dr003
Wigan; 1/2; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 4/9; 8/15; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 17/35; 1/2; 4/9; 17/35; 11/20; 17/35; 10/21; 1/2; 1/2; ; 1/2; 4/9; 1/2
Draw; 31/10; 3; 3; 14/5; 3; 16/5; 31/10; 3; 3; 14/5; 3; 3; ; 16/5; 16/5; 31/10; 31/10; 3; 3; 31/10; 13/4; 31/10; 31/10; 3; 16/5; ; 3; 3; 3
Rotherham; 11/2; 6; 6; 6; 6; 6; 13/2; 6; 11/2; 13/2; 6; 11/2; ; 6; 6; 13/2; 25/4; 11/2; 28/5; 25/4; 6; 51/10; 23/4; 11/2; 23/4; ; 31/5; 32/5; 34/5
META; english/championship/wigan-v-rotherham; 2017-04-06 20:06:50 GMT+3; 2017-04-08 15:00; e70300-dr003
Wigan; 1/2; 1/2; 8/15; 8/15; 1/2; 1/2; 11/20; 4/9; 1/2; 1/2; 1/2; 1/2; ; 8/15; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; 11/20; 8/15; 10/21; 1/2; 1/2; ; 1/2; 1/2; 1/2
Draw; 31/10; 3; 3; 14/5; 3; 3; 31/10; 3; 3; 14/5; 3; 3; 16/5; 16/5; 16/5; 31/10; 58/19; 3; 3; 58/19; 13/4; 56/19; 31/10; 3; 16/5; ; 3; 3; 3
Rotherham; 11/2; 6; 6; 6; 6; 6; 13/2; 6; 6; 6; 6; 11/2; ; 6; 6; 6; 6; 11/2; 28/5; 6; 6; 59/10; 23/4; 11/2; 23/4; ; 31/5; 31/5; 33/5
META; english/championship/wigan-v-rotherham; 2017-04-07 13:08:11 GMT+3; 2017-04-08 15:00; e70300-dr003
Wigan; 8/15; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; ; 8/15; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; 11/20; 8/15; 10/21; 1/2; 1/2; ; 8/15; 1/2; 1/2
Draw; 10/3; 3; 31/10; 14/5; 3; 3; 10/3; 3; 3; 14/5; 3; 14/5; 16/5; 10/3; 16/5; 31/10; 58/19; 3; 3; 58/19; 13/4; 56/19; 31/10; 3; 16/5; ; 3; 3; 3
Rotherham; 6; 11/2; 13/2; 6; 6; 6; 13/2; 6; 6; 6; 6; 6; ; 6; 6; 6; 6; 11/2; 28/5; 6; 6; 59/10; 23/4; 6; 23/4; ; 6; 31/5; 13/2
