META; english/championship/burton-v-barnsley; 2016-10-30 04:21:41 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 12/5; ; 40/17; ; 2; ; 40/17; ; ; 27/11; 11/5; ; 12/5; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-02 00:22:27 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 12/5; ; 40/17; ; 2; ; 40/17; ; ; 27/11; 11/5; ; 12/5; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-02 04:21:02 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; ; 23/20; 23/20; ; 15/13; ; 6/5; ; 15/13; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; ; 11/5; 12/5; ; 23/10; ; 2; ; 23/10; ; ; 27/11; 11/5; ; 23/10; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; ; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-02 08:21:00 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; ; 23/20; 23/20; ; 15/13; ; 6/5; ; 15/13; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; ; 11/5; 12/5; ; 23/10; ; 2; ; 23/10; ; ; 27/11; 11/5; ; 23/10; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; ; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-02 12:21:58 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 23/20; ; 15/13; ; 6/5; ; 15/13; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 12/5; ; 23/10; ; 2; ; 23/10; ; ; 27/11; 11/5; ; 23/10; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-02 16:22:36 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 23/10; 11/5; 12/5; ; 40/17; ; 2; ; 40/17; ; ; 27/11; 11/5; ; 23/10; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-02 20:23:16 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 11/10; 11/10; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 12/5; 11/5; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 9/4; ; 9/4; 12/5; ; 23/10; ; 2; ; 23/10; ; ; 27/11; 11/5; ; 12/5; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; ; 5/2; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-03 00:20:56 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 11/10; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 23/10; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 12/5; ; 23/10; ; 2; ; 23/10; ; ; 27/11; 11/5; ; 12/5; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-03 04:24:35 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 11/10; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 23/10; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 12/5; ; 23/10; ; 2; ; 23/10; ; ; 27/11; 11/5; ; 12/5; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-03 08:21:03 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 11/10; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 23/10; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 12/5; ; 23/10; ; 2; ; 23/10; ; ; 27/11; 11/5; ; 12/5; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-03 12:22:35 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 47/20; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 12/5; ; 23/10; ; 2; ; 23/10; ; ; 27/11; 11/5; ; 12/5; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-03 16:21:41 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 11/10; 6/5; 23/20; 5/4; 23/20; 23/20; 6/5; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 23/20; ; 6/5; 10/9; 
Barnsley; 11/5; 21/10; 11/5; 21/10; 12/5; 9/4; 11/5; 23/10; 23/10; 23/10; 9/4; 9/4; 9/4; 21/10; 23/10; ; 11/5; ; 9/4; ; 11/5; ; ; 27/11; 11/5; ; 11/5; 9/4; 
Draw; 12/5; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-03 20:22:19 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 13/10; 11/10; 6/5; 23/20; 6/5; 23/20; 23/20; 6/5; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 23/20; ; 6/5; 6/5; 
Barnsley; 11/5; 21/10; 11/5; 21/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 9/4; 9/4; 21/10; 23/10; ; 9/4; ; 9/4; ; 9/4; ; ; 27/11; 11/5; ; 11/5; 21/10; 
Draw; 12/5; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 49/20; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-11-04 00:20:45 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 23/20; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 23/20; 23/20; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 23/20; ; 23/20; 23/20; 
Barnsley; 11/5; 9/4; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 11/5; ; 23/10; 11/5; 
Draw; 12/5; 5/2; 49/20; 9/4; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 49/20; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 00:55:48 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 23/20; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 11/10; 23/20; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 23/20; ; 23/20; 23/20; 
Barnsley; 11/5; 9/4; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 11/5; ; 23/10; 11/5; 
Draw; 12/5; 5/2; 49/20; 9/4; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 01:45:43 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 23/20; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 11/10; 23/20; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 9/4; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 11/5; ; 23/10; 9/4; 
Draw; 12/5; 5/2; 49/20; 9/4; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 03:45:46 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 23/20; 23/20; 6/5; 6/5; 6/5; 23/20; 6/5; 11/10; 6/5; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 5/2; 9/4; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 23/10; 11/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 23/10; 9/4; 
Draw; 13/5; 5/2; 49/20; 9/4; 12/5; 5/2; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
