META; english/championship/ipswich-v-wigan; 2017-04-01 20:17:37 GMT+3; 2017-04-04 19:45; e70300-dr003
Mansfield 4-1; 40; 50; 40; 40; 40; 40; 50; 45; 50; 40; 45; 33; 45; 40; 33; 40; 79/2; 40; 37; 79/2; ; 50; 37; 40; 37; ; ; ; 
Mansfield 4-0; 40; 50; 40; 50; 40; 50; 50; 55; 50; 40; 45; 40; 55; 45; 40; 40; 163/4; 50; 38; 163/4; ; 50; 38; 40; 38; ; ; ; 
Draw 3-3; 50; 66; 55; 66; 66; 50; 70; 60; 80; 66; 60; 50; 55; 70; 50; 50; 117/2; 50; 66; 117/2; ; 80; 66; 80; 66; ; 56; 98; 
Mansfield 4-2; 50; 80; 55; 66; 66; 50; 70; 75; 80; 66; 66; 50; 60; 80; 50; 50; 117/2; 66; 66; 117/2; ; 80; 66; 80; 66; ; ; ; 
Exeter 4-1; 66; 80; 75; 80; 80; 80; 90; 100; 100; 80; 80; 66; 66; 100; 80; 66; 263/4; 125; 80; 263/4; ; 100; 80; 100; 80; ; ; ; 
Exeter 4-2; 80; 100; 85; 100; 100; 80; 125; 125; 100; 100; 100; 66; 80; 100; 80; 80; 153/2; 100; 110; 153/2; ; 140; 110; 150; 110; ; ; ; 
Mansfield 5-1; 100; 100; ; 125; 100; 100; 110; 150; 100; 100; 100; 80; 125; 100; 80; 80; 153/2; ; 100; 153/2; ; ; 100; 125; 100; ; ; ; 
Mansfield 5-0; 100; 100; ; 150; 100; 100; 110; 175; 100; 100; 100; 80; 150; 150; 100; 80; 311/4; ; 100; 311/4; ; ; 100; 150; 100; ; ; ; 
Exeter 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 4-0; 80; 100; 100; 100; 100; 100; 125; 175; 100; 100; 100; 80; 100; 150; 100; 80; 153/2; 250; 110; 153/2; ; 140; 110; 150; 110; ; ; ; 
Exeter 4-3; 150; 200; 125; 125; ; 150; 250; 200; ; 150; 125; 100; 125; 200; 150; 125; ; 250; 225; ; ; 200; 225; 250; 225; ; ; ; 
Mansfield 4-3; 125; 200; 110; 125; 125; 100; 175; 150; ; 125; 125; 80; 125; 150; 100; 100; 349/4; 250; 160; 349/4; ; 200; 160; 200; 160; ; ; ; 
Mansfield 5-2; 150; 200; ; 200; ; 150; 200; 225; ; 150; 125; 100; 150; 200; 125; 100; 92; ; 180; 92; ; ; 180; 250; 180; ; ; ; 
Draw 4-4; 400; 250; 250; 200; ; ; 350; 350; ; 275; 150; 100; 175; 300; ; 200; ; 250; 400; ; ; 200; 400; ; 400; ; ; ; 
Mansfield 5-3; 400; 250; ; ; ; ; 175; 425; ; 275; 150; 100; 175; 300; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 5-1; 250; 250; ; 250; ; 250; 300; 475; 100; 225; 150; 100; 150; 250; ; 200; ; ; 275; ; ; ; 275; 250; 275; ; ; ; 
Exeter 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 5-0; 350; 250; ; 300; ; ; 350; 500; 100; 275; 150; ; 175; 300; ; 200; ; ; 375; ; ; ; 375; ; 375; ; ; ; 
Exeter 5-2; 350; 250; ; 300; ; ; 350; 500; ; 275; 150; 100; 150; 300; ; 200; ; ; 375; ; ; ; 375; ; 375; ; ; ; 
Exeter 5-3; ; 250; ; ; ; ; 225; 500; ; 375; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 5-4; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 6-0; ; 250; ; 500; ; ; 225; 500; 100; ; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 6-1; ; 250; ; 500; ; ; 225; 500; ; 475; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 6-2; ; 250; ; 500; ; ; 225; ; ; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 7-0; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 7-1; ; ; ; ; ; ; 225; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 5-4; ; ; ; ; ; ; ; 500; ; 475; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 6-0; 350; 250; ; 300; ; ; 350; 500; 100; 275; 150; ; 200; 300; ; 200; ; ; 350; ; ; ; 350; ; 350; ; ; ; 
Mansfield 6-1; 350; 250; ; 300; ; ; 350; 500; ; 250; 150; 100; 125; 300; ; 200; ; ; 325; ; ; ; 325; 250; 325; ; ; ; 
Mansfield 6-2; ; 250; ; 500; ; ; 225; ; ; 350; 200; ; 150; 300; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 6-3; ; ; ; ; ; ; ; ; ; 500; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 7-0; ; ; ; 500; ; ; 225; 500; ; 500; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 7-1; ; ; ; 500; ; ; 225; 500; ; 500; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/ipswich-v-wigan; 2017-04-03 03:45:53 GMT+3; 2017-04-04 19:45; e70300-dr003
Ipswich; 5/4; 13/10; 27/20; 11/8; 6/5; 13/10; 11/8; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; 5/4; 23/20; 13/10; 34/25; 13/10; 15/13; 13/10; 13/11; ; 5/4; 13/10; 
Wigan; 21/10; 11/5; 23/10; 9/4; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; 21/10; 23/10; 9/4; 11/5; 9/4; 9/4; 9/4; 21/10; 9/4; 9/4; 12/5; 79/40; 9/4; 21/10; 23/10; ; 23/10; 11/5; 
Draw; 12/5; 11/5; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 9/4; 21/10; 2; 21/10; 9/4; 5/2; 9/4; 9/4; 9/4; 23/10; 12/5; 9/4; 23/10; 9/4; 12/5; 11/5; 27/11; ; 9/4; 21/10; 
META; english/championship/ipswich-v-wigan; 2017-04-03 08:18:14 GMT+3; 2017-03-31 19:00; e70300-dr003
Volendam; 29/20; 11/8; 29/20; ; 6/4; 13/10; 6/4; 7/5; 7/5; 6/4; 29/20; 6/4; 29/20; ; 6/4; 16/11; 16/11; 23/17; 7/5; 16/11; 157/100; 7/5; 16/11; 6/4; 31/21; ; 7/5; 7/5; 
Waalwijk; 7/4; 13/8; 13/8; ; 13/8; 7/4; 13/8; 13/8; 13/8; 13/8; 8/5; 13/8; 17/10; ; 6/4; 8/5; 28/17; 28/17; 8/5; 28/17; 89/50; 8/5; 8/5; 13/8; 28/17; ; 13/8; 8/5; 
Draw; 12/5; 11/5; 47/20; ; 12/5; 23/10; 5/2; 23/10; 23/10; 12/5; 23/10; 11/5; 12/5; ; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 23/10; 12/5; 12/5; 12/5; ; 12/5; 9/4; 
