META; english/championship/birmingham-v-leeds; 2017-02-26 00:20:12 GMT+2; 2017-03-03 19:45; e70300-dr003
Birmingham; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 21/10; 2; 9/4; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 11/5; 23/10; 21/10; 2; ; ; 11/5; 21/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 9/4; 9/4; 9/4; 21/10; 9/4; 11/5; 2; 11/5; 9/4; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; ; ; 9/4; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-02-28 12:20:12 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 11/8; 11/8; 13/10; 11/8; 11/8; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 27/20; 11/8; 13/10; 11/8; 13/10; 13/10; 27/20; 13/10; 69/50; 5/4; 23/17; 13/10; ; 5/4; 5/4; 
Birmingham; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 21/10; 2; 9/4; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 9/4; 11/5; 21/10; 2; 11/5; 23/10; 21/10; 2; 21/10; ; 11/5; 21/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 9/4; 23/10; 9/4; 21/10; 9/4; 11/5; 2; 11/5; 9/4; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; 9/4; 47/20; 28/13; 9/4; 11/5; ; 9/4; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-02-28 16:20:13 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 11/8; 11/8; 13/10; 11/8; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 27/20; 11/8; 13/10; 11/8; 13/10; 13/10; 27/20; 13/10; 69/50; 5/4; 23/17; 13/10; ; 5/4; 5/4; 
Birmingham; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 21/10; 2; 9/4; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 9/4; 11/5; 21/10; 2; 11/5; 23/10; 21/10; 2; 21/10; ; 11/5; 21/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 9/4; 23/10; 9/4; 21/10; 9/4; 11/5; 2; 11/5; 9/4; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; 9/4; 47/20; 28/13; 9/4; 11/5; ; 9/4; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-02-28 20:21:11 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 11/8; 11/8; 13/10; 11/8; 27/20; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 27/20; 11/8; 13/10; 7/5; 13/10; 13/10; 27/20; 13/10; 69/50; 5/4; 23/17; 13/10; ; 13/10; 13/10; 
Birmingham; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 21/10; 21/10; 9/4; 21/10; 2; 11/5; 21/10; 21/10; 11/5; 11/5; 28/13; 21/10; 2; 28/13; 23/10; 21/10; 2; 21/10; ; 11/5; 21/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 11/5; 23/10; 9/4; 11/5; 9/4; 11/5; 2; 11/5; 9/4; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; 9/4; 47/20; 28/13; 9/4; 11/5; ; 9/4; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-03-01 00:20:16 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 11/8; 11/8; 13/10; 11/8; 11/8; 11/8; 13/10; 13/10; 13/10; 27/20; 7/5; 27/20; 11/8; 13/10; 7/5; 13/10; 13/10; 27/20; 13/10; 69/50; 5/4; 23/17; 13/10; ; 27/20; 13/10; 
Birmingham; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 21/10; 21/10; 9/4; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 11/5; 23/10; 21/10; 2; 21/10; ; 21/10; 21/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 11/5; 23/10; 9/4; 11/5; 9/4; 11/5; 2; 21/10; 9/4; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; 9/4; 47/20; 28/13; 9/4; 11/5; ; 9/4; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-03-01 04:20:00 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 11/8; 11/8; 13/10; 11/8; 11/8; 11/8; 13/10; 13/10; 13/10; 27/20; 7/5; 27/20; 11/8; 13/10; 7/5; 13/10; 13/10; 27/20; 13/10; 69/50; 5/4; 23/17; 13/10; ; 27/20; 13/10; 
Birmingham; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 21/10; 21/10; 9/4; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 11/5; 23/10; 21/10; 2; 21/10; ; 21/10; 21/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 11/5; 23/10; 9/4; 11/5; 9/4; 11/5; 2; 21/10; 9/4; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; 9/4; 47/20; 28/13; 9/4; 11/5; ; 11/5; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-03-01 08:20:19 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 11/8; 11/8; 13/10; 11/8; 11/8; 11/8; 13/10; 13/10; 13/10; 27/20; 7/5; 27/20; 11/8; 13/10; 7/5; 13/10; 13/10; 27/20; 13/10; 69/50; 5/4; 23/17; 13/10; ; 27/20; 13/10; 
Birmingham; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 21/10; 21/10; 9/4; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 11/5; 23/10; 21/10; 2; 21/10; ; 21/10; 21/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 11/5; 23/10; 9/4; 11/5; 9/4; 11/5; 2; 21/10; 9/4; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; 9/4; 47/20; 28/13; 9/4; 11/5; ; 11/5; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-03-01 12:21:01 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 7/5; 11/8; 11/8; 13/10; 11/8; 11/8; 11/8; 13/10; 13/10; 13/10; 27/20; 7/5; 27/20; 11/8; 13/10; 7/5; 13/10; 13/10; 27/20; 13/10; 69/50; 5/4; 23/17; 13/10; ; 27/20; 13/10; 
Birmingham; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 21/10; 21/10; 9/4; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 11/5; 28/13; 21/10; 2; 28/13; 23/10; 21/10; 2; 21/10; ; 21/10; 21/10; 
Draw; 23/10; 11/5; 43/20; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 21/10; 2; 21/10; 9/4; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; 9/4; 47/20; 28/13; 9/4; 21/10; ; 11/5; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-03-01 16:20:17 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 7/5; 11/8; 11/8; 13/10; 11/8; 11/8; 11/8; 13/10; 13/10; 13/10; 13/10; 7/5; 27/20; 11/8; 13/10; 7/5; 13/10; 13/10; 27/20; 13/10; 69/50; 5/4; 23/17; 13/10; ; 13/10; 13/10; 11/8
Birmingham; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 21/10; 21/10; 9/4; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 11/5; 23/10; 21/10; 2; 21/10; ; 21/10; 21/10; 23/10
Draw; 23/10; 11/5; 43/20; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 21/10; 2; 21/10; 9/4; 11/5; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; 21/10; ; 11/5; 21/10; 23/10
META; english/championship/birmingham-v-leeds; 2017-03-01 20:22:03 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 7/5; 11/8; 7/5; 13/10; 7/5; 7/5; 11/8; 13/10; 13/10; 7/5; 27/20; 11/8; 27/20; 11/8; 13/10; 7/5; 23/17; 13/10; 27/20; 23/17; 69/50; 5/4; 23/17; 11/8; ; 11/8; 11/8; 7/5
Birmingham; 9/4; 21/10; 43/20; 11/5; 11/5; 43/20; 21/10; 2; 9/4; 2; 2; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 21/10; 2; 21/10; 23/10; 21/10; 2; 21/10; ; 21/10; 21/10; 11/5
Draw; 23/10; 11/5; 43/20; 11/5; 11/5; 9/4; 9/4; 9/4; 9/4; 21/10; 2; 11/5; 9/4; 11/5; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; 21/10; ; 11/5; 11/5; 23/10
META; english/championship/birmingham-v-leeds; 2017-03-02 00:20:12 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 7/5; 11/8; 7/5; 13/10; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 27/20; 11/8; 27/20; 29/20; 13/10; 7/5; 7/5; 13/10; 27/20; 7/5; 69/50; 5/4; 23/17; 11/8; ; 7/5; 27/20; 7/5
Birmingham; 9/4; 21/10; 43/20; 11/5; 11/5; 43/20; 11/5; 2; 85/40; 2; 2; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 21/10; 2; 21/10; 23/10; 21/10; 2; 21/10; ; 21/10; 2; 11/5
Draw; 23/10; 11/5; 43/20; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 21/10; 2; 11/5; 9/4; 23/10; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; 21/10; ; 11/5; 21/10; 23/10
META; english/championship/birmingham-v-leeds; 2017-03-02 00:50:54 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 7/5; 11/8; 7/5; 13/10; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 27/20; 11/8; 27/20; 29/20; 13/10; 7/5; 7/5; 13/10; 27/20; ; 69/50; 5/4; 23/17; 11/8; ; 7/5; 11/8; 7/5
Birmingham; 9/4; 21/10; 43/20; 11/5; 11/5; 43/20; 11/5; 2; 85/40; 2; 2; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 21/10; 2; ; 23/10; 21/10; 2; 21/10; ; 21/10; 2; 11/5
Draw; 23/10; 11/5; 43/20; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 21/10; 2; 11/5; 9/4; 23/10; 23/10; 23/10; 11/5; 11/5; 9/4; ; 47/20; 28/13; 9/4; 21/10; ; 11/5; 21/10; 23/10
META; english/championship/birmingham-v-leeds; 2017-03-02 01:45:15 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 7/5; 11/8; 29/20; 13/10; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 11/8; 11/8; 11/8; 29/20; 13/10; 7/5; 7/5; 13/10; 27/20; 7/5; 36/25; 5/4; 23/17; 11/8; ; 7/5; 11/8; 7/5
Birmingham; 9/4; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 85/40; 2; 2; 21/10; 2; 11/5; 11/5; 11/5; 21/10; 21/10; 2; 21/10; 11/5; 21/10; 2; 2; ; 21/10; 2; 11/5
Draw; 23/10; 11/5; 43/20; 11/5; 9/4; 9/4; 23/10; 9/4; 9/4; 21/10; 2; 11/5; 9/4; 23/10; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; 21/10; ; 11/5; 21/10; 23/10
META; english/championship/birmingham-v-leeds; 2017-03-02 03:45:15 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 29/20; 11/8; 29/20; 13/10; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 11/8; 11/8; 11/8; 29/20; 13/10; 7/5; 7/5; 13/10; 27/20; 7/5; 36/25; 5/4; 23/17; 7/5; ; 7/5; 11/8; 7/5
Birmingham; 11/5; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 85/40; 2; 2; 21/10; 2; 11/5; 11/5; 11/5; 21/10; 21/10; 2; 21/10; 11/5; 21/10; 2; 2; ; 21/10; 2; 11/5
Draw; 23/10; 11/5; 43/20; 11/5; 9/4; 9/4; 23/10; 9/4; 9/4; 21/10; 2; 11/5; 9/4; 23/10; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; 21/10; ; 11/5; 21/10; 23/10
META; english/championship/birmingham-v-leeds; 2017-03-02 04:20:07 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 29/20; 11/8; 29/20; 13/10; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 11/8; 11/8; 11/8; 29/20; 13/10; 7/5; 7/5; 13/10; 27/20; 7/5; 36/25; 5/4; 23/17; 7/5; ; 7/5; 11/8; 7/5
Birmingham; 11/5; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 85/40; 2; 2; 21/10; 2; 11/5; 11/5; 11/5; 21/10; 21/10; 2; 21/10; 11/5; 21/10; 2; 2; ; 21/10; 2; 11/5
Draw; 23/10; 11/5; 43/20; 11/5; 9/4; 9/4; 23/10; 9/4; 9/4; 21/10; 2; 11/5; 9/4; 23/10; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; 21/10; ; 11/5; 21/10; 23/10
META; english/championship/birmingham-v-leeds; 2017-03-02 05:45:19 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 29/20; 11/8; 29/20; 13/10; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 11/8; 11/8; 11/8; 29/20; 13/10; 7/5; 7/5; 13/10; 27/20; 7/5; 36/25; 5/4; 23/17; 7/5; ; 7/5; 11/8; 7/5
Birmingham; 11/5; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 85/40; 2; 2; 21/10; 2; 11/5; 11/5; 11/5; 21/10; 21/10; 2; 21/10; 11/5; 21/10; 2; 2; ; 21/10; 2; 11/5
Draw; 23/10; 11/5; 43/20; 11/5; 9/4; 9/4; 23/10; 9/4; 9/4; 21/10; 2; 11/5; 9/4; 23/10; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; 21/10; ; 11/5; 21/10; 23/10
META; english/championship/birmingham-v-leeds; 2017-03-02 06:28:10 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 29/20; 11/8; 29/20; 13/10; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 11/8; 11/8; 11/8; 29/20; 13/10; 7/5; 7/5; 13/10; 27/20; 7/5; 36/25; 5/4; 23/17; 7/5; ; 7/5; 11/8; 7/5
Birmingham; 11/5; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 85/40; 2; 2; 21/10; 2; 11/5; 11/5; 11/5; 21/10; 21/10; 2; 21/10; 11/5; 21/10; 2; 2; ; 21/10; 2; 11/5
Draw; 23/10; 11/5; 43/20; 11/5; 9/4; 9/4; 23/10; 9/4; 9/4; 21/10; 2; 11/5; 9/4; 23/10; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; 21/10; ; 11/5; 21/10; 23/10
META; english/championship/birmingham-v-leeds; 2017-03-02 07:45:19 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 29/20; 11/8; 29/20; 13/10; 7/5; 7/5; 29/20; 13/10; 7/5; 7/5; 11/8; 11/8; 11/8; 29/20; 13/10; 7/5; 7/5; 13/10; 27/20; 7/5; 36/25; 5/4; 23/17; 7/5; ; 7/5; 11/8; 7/5
