META; english/championship/aston-villa-v-qpr; 2017-04-01 20:17:15 GMT+3; ; e70300-dr003
Angela Merkel; ; 8/11; ; ; ; ; ; 8/11; 8/11; ; ; ; ; ; ; ; ; 7/10; ; ; ; ; ; ; ; ; 8/11; ; 
Any other not listed; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 
Martin Schulz; ; 6/4; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 
Frauke Petry; ; 9; ; ; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 62/5; ; 
Christian Lindner; ; 50; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37; ; 
Sigmar Gabriel; ; 66; ; ; ; ; ; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 75; ; 
Frank-Walter Steinmeier; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/championship/aston-villa-v-qpr; 2017-04-02 04:19:57 GMT+3; 2017-04-02 20:15; e70300-dr003
Lanus 1-0; 9/2; 9/2; 19/4; ; 9/2; ; 19/4; 9/2; 17/4; 9/2; 9/2; ; 17/4; ; 9/2; 9/2; 47/10; 19/4; ; 47/10; ; 43/10; 5; ; 5; ; 9/2; 23/5; 
Banfield 3-1; 40; 40; 45; ; 40; ; 45; 50; 66; 50; 50; ; 50; ; 50; 40; 163/4; 40; ; 163/4; ; 60; 45; ; 45; ; 61; 65; 
Banfield 3-2; 50; 50; 50; ; 50; ; 60; 70; 80; 50; 55; ; 66; ; 50; 50; 50; 66; ; 50; ; 80; 60; ; 60; ; 75; 79; 
Any Other Score; ; ; 33; ; ; ; ; ; 80; ; ; ; ; ; ; ; ; 28; ; ; ; 40; ; ; ; ; ; ; 
Banfield 3-0; 50; 66; 66; ; 66; ; 80; 90; 80; 80; 70; ; 80; ; 66; 50; 209/4; 66; ; 209/4; ; 80; 60; ; 60; ; 29/5; ; 
Lanus 4-2; 66; 66; 70; ; 66; ; 80; 90; 100; 75; 70; ; 75; ; 66; 66; 121/2; 100; ; 121/2; ; 110; 80; ; 80; ; ; ; 
Lanus 5-0; 66; 80; ; ; 80; ; 90; 100; 100; 80; 80; ; 125; ; 80; 66; 251/4; ; ; 251/4; ; ; 80; ; 80; ; ; ; 
Draw 3-3; 80; 80; 80; ; 80; ; 80; 125; 100; 90; 90; ; 80; ; 80; 66; 279/4; 80; ; 279/4; ; 150; 110; ; 110; ; 85; 139; 
Lanus 5-1; 80; 80; ; ; 80; ; 90; 175; 100; 90; 90; ; 125; ; 80; 80; 137/2; ; ; 137/2; ; ; 90; ; 90; ; ; ; 
Banfield 4-1; 150; 125; 150; ; 125; ; 150; 250; 100; 175; 125; ; 125; ; 150; 100; 339/4; 250; ; 339/4; ; 200; 150; ; 150; ; ; ; 
Lanus 4-3; 200; 150; 175; ; 150; ; 150; 275; ; 175; 125; ; 150; ; 200; 125; ; 250; ; ; ; 200; 250; ; 250; ; ; ; 
Lanus 5-2; 150; 150; ; ; 150; ; 150; 325; ; 175; 125; ; 150; ; 150; 100; 181/2; ; ; 181/2; ; ; 200; ; 200; ; ; ; 
Banfield 4-2; 150; 150; 175; ; 150; ; 150; 375; 100; 175; 125; ; 125; ; 200; 125; ; 250; ; ; ; 200; 225; ; 225; ; ; ; 
Banfield 4-0; 200; 150; 200; ; 150; ; 150; 425; 100; 225; 150; ; 125; ; 250; 150; ; 250; ; ; ; 200; 200; ; 200; ; ; ; 
Banfield 10-0; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 10-1; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 4-3; 350; 200; 250; ; 200; ; 150; 500; ; 250; 150; ; 175; ; ; 150; ; 250; ; ; ; 200; 400; ; 400; ; ; ; 
Banfield 5-0; ; 250; ; ; 200; ; 150; 500; 100; 500; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 5-1; ; 250; ; ; 200; ; 150; 500; 100; 425; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 5-2; ; 250; ; ; 200; ; 150; 500; ; 450; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 5-3; ; ; ; ; 200; ; 150; 500; ; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 5-4; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 6-0; ; 200; ; ; 150; ; 150; 500; 100; ; 200; ; 175; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 6-1; ; ; ; ; 200; ; 150; 500; ; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 6-2; ; ; ; ; 200; ; 150; 500; ; ; 200; ; 175; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 6-3; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 6-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 6-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 7-0; ; ; ; ; 200; ; 150; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 7-1; ; ; ; ; 200; ; 150; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 7-2; ; ; ; ; 250; ; ; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 7-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 7-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 8-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 8-1; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 8-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 8-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 9-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 9-1; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Banfield 9-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; ; ; 250; ; 200; ; 150; 500; ; 375; 200; ; 200; ; ; 150; ; 250; ; ; ; 200; 400; ; 400; ; ; ; 
Draw 5-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 10-0; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 10-1; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 11-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 5-3; ; ; ; ; 200; ; 150; 500; ; 325; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 5-4; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 6-0; 200; 200; ; ; 150; ; 150; 500; 100; 200; 150; ; 200; ; 250; 150; ; ; ; ; ; ; 250; ; 250; ; ; ; 
Lanus 6-1; 250; ; ; ; 200; ; 150; 500; ; 225; 150; ; 175; ; ; 150; ; ; ; ; ; ; 300; ; 300; ; ; ; 
Lanus 6-2; ; ; ; ; 200; ; 150; 500; ; 350; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 6-3; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 6-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 6-5; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 7-0; ; ; ; ; 200; ; 150; 500; ; 425; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 7-1; ; ; ; ; 200; ; 150; 500; ; 450; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 7-2; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 7-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 7-4; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 8-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 8-1; ; ; ; ; 250; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 8-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 8-3; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 9-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 9-1; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lanus 9-2; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/aston-villa-v-qpr; 2017-04-02 20:18:20 GMT+3; 2017-04-04 19:45; e70300-dr003
Aston Villa; 4/5; 3/4; 3/4; 5/6; 4/5; 4/5; 3/4; 5/6; 4/5; 3/4; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 10/13; ; 8/11; 10/13; 17/20; 10/13; 13/17; 4/5; 11/14; ; 8/11; 8/11; 
Draw; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 12/5; 13/5; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 5/2; 45/17; ; 5/2; 45/17; 13/5; 5/2; 28/11; 5/2; 13/5; ; 5/2; 5/2; 
QPR; 7/2; 19/5; 4; 7/2; 7/2; 37/10; 4; 7/2; 19/5; 15/4; 18/5; 15/4; 15/4; 18/5; 15/4; 7/2; 19/5; ; 7/2; 19/5; 79/20; 57/17; 37/10; 7/2; 19/5; ; 7/2; 7/2; 
META; english/championship/aston-villa-v-qpr; 2017-04-03 01:45:40 GMT+3; ; e70300-dr003
Aberdeen; 1/6; ; 1/7; ; 1/7; ; 1/7; 1/7; 1/6; ; ; 1/7; 2/15; 1/7; 1/7; ; ; 2/11; ; ; 3/20; 2/17; 2/13; ; 2/13; ; 1/8; ; 
Rangers; 4; ; 4; ; 4; ; 4; 4; 4; ; ; 4; 4; 4; 4; ; ; 7/2; ; ; 4; 4; 4; ; 4; ; 2; ; 
St Johnstone; 750; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 51; ; 
Hearts; 1000; ; ; ; ; ; ; ; ; ; ; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 38/5; ; 
Partick; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Kilmarnock; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 104; ; 
META; english/championship/aston-villa-v-qpr; 2017-04-03 03:45:39 GMT+3; 2017-04-01 18:00; e70300-dr003
Lille 1-0; 5; 9/2; 11/2; 5; 5; 470/100; 11/2; 5; 5; 5; 5; 5; 19/4; 5; 5; 9/2; 21/4; 19/4; 11/2; 21/4; ; 49/10; 11/2; 5; 11/2; ; 26/5; 27/5; 28/5
Draw 1-1; 9/2; 5; 11/2; 11/2; 5; 19/4; 11/2; 5; 5; 5; 5; 5; 5; 5; 5; 5; 57/10; 5; 6; 57/10; ; 5; 6; 5; 6; ; 26/5; 27/5; 11/2
Draw 0-0; 11/2; 11/2; 6; 6; 11/2; 5; 11/2; 6; 11/2; 11/2; 11/2; 11/2; 21/4; 6; 11/2; 11/2; 67/13; 19/4; 28/5; 67/13; ; 29/5; 23/4; ; 23/4; ; 6; 31/5; 6
Bastia 1-0; 13/2; 13/2; 7; 13/2; 7; 6; 15/2; 7; 13/2; 13/2; 13/2; 13/2; 13/2; 13/2; 13/2; 13/2; 27/4; 25/4; 7; 27/4; ; 32/5; 7; 13/2; 7; ; 34/5; 34/5; 7
Lille 2-0; 17/2; 17/2; 10; 9; 9; 17/2; 19/2; 9; 9; 9; 9; 9; 17/2; 9; 9; 17/2; 37/4; 35/4; 9; 37/4; ; 44/5; 9; 17/2; 9; ; 19/2; 48/5; 49/5
Lille 2-1; 9; 17/2; 10; 9; 9; 9; 10; 9; 9; 9; 9; 9; 8; 9; 9; 17/2; 10; 9; 19/2; 10; ; 9; 19/2; 9; 19/2; ; 10; 51/5; 52/5
Bastia 2-1; 12; 11; 12; 12; 11; 11; 13; 11; 12; 11; 12; 11; 11; 12; 11; 11; 25/2; 11; 12; 25/2; ; 12; 12; 12; 12; ; 64/5; 13; 67/5
Bastia 2-0; 14; 14; 15; 16; 14; 14; 15; 14; 14; 14; 14; 14; 14; 14; 12; 14; 29/2; 27/2; 14; 29/2; ; 15; 14; 14; 14; ; 17; 35/2; 89/5
Draw 2-2; 18; 16; 18; 20; 18; 12; 20; 17; 20; 18; 18; 16; 18; 18; 14; 16; 41/2; 35/2; 20; 41/2; ; 20; 20; 18; 20; ; 19; 19; 20
Lille 3-0; 22; 20; 22; 22; 22; 20; 25; 22; 22; 22; 22; 20; 25; 22; 20; 20; 45/2; 19; 19; 45/2; ; 25; 19; 20; 19; ; 19; 29; 
Lille 3-1; 22; 20; 22; 25; 22; 20; 25; 22; 25; 22; 22; 20; 22; 22; 20; 20; 95/4; 22; 21; 95/4; ; 25; 21; 22; 21; ; 27; 27; 28
Bastia 3-1; 33; 28; 35; 33; 33; 28; 35; 35; 40; 33; 33; 28; 30; 33; 25; 28; 33; 30; 32; 33; ; 40; 32; 33; 32; ; 45; 47; 45
Bastia 3-0; 40; 40; 40; 40; 40; 40; 45; 45; 50; 40; 45; 33; 40; 35; 33; 33; 147/4; 35; 34; 147/4; ; 45; 34; 40; 34; ; 29; 61; 
Lille 3-2; 40; 33; 40; 50; 40; 40; 45; 40; 50; 40; 40; 33; 45; 40; 33; 33; 165/4; 50; 40; 165/4; ; 50; 40; 50; 40; ; 51; 55; 54
Bastia 3-2; 40; 40; 50; 50; 50; 40; 60; 50; 66; 50; 50; 40; 45; 45; 40; 40; 189/4; 50; 55; 189/4; ; 60; 55; 50; 55; ; 61; 65; 64
Lille 4-0; 50; 50; 60; 66; 50; 50; 66; 80; 80; 50; 60; 50; 80; 70; 50; 50; 213/4; 66; 45; 213/4; ; 70; 45; 66; 45; ; ; ; 
Lille 4-1; 50; 50; 60; 66; 50; 50; 66; 75; 80; 50; 60; 50; 75; 70; 50; 50; 217/4; 66; 55; 217/4; ; 80; 55; 66; 55; ; ; ; 
Any Other Score; ; ; 60; ; ; ; ; 66; 125; ; ; ; ; ; ; ; ; 50; ; ; ; 70; ; ; ; ; ; ; 
Draw 3-3; 80; 80; 90; 100; 80; 80; 150; 100; 125; 90; 90; 66; 90; 100; 80; 80; 149/2; 125; 120; 149/2; ; 140; 120; 125; 120; ; 132; 139; 99
Bastia 4-1; 80; 80; 110; 100; 80; 80; 110; 150; 125; 100; 100; 80; 75; 100; 80; 80; 149/2; 100; 100; 149/2; ; 150; 100; 150; 100; ; ; ; 
Lille 4-2; 80; 80; 100; 100; 80; 80; 125; 125; 125; 100; 100; 66; 100; 100; 80; 80; 307/4; 150; 110; 307/4; ; 150; 110; 150; 110; ; ; ; 
Bastia 4-0; 100; 100; 125; 100; 100; 100; 110; 200; 125; 125; 100; 80; 90; 150; 100; 80; 78; 150; 100; 78; ; 170; 100; 150; 100; ; ; ; 
Bastia 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 4-2; 125; 100; 150; 125; 125; 100; 200; 200; 125; 150; 125; 80; 125; 150; 100; 100; 175/2; 250; 180; 175/2; ; 200; 180; 200; 180; ; ; ; 
Lille 5-1; 150; 125; ; 200; 150; 150; 175; 300; 125; 150; 125; 100; 175; 200; 150; 100; 92; ; 160; 92; ; ; 160; 250; 160; ; ; ; 
Lille 5-0; 150; 125; ; 200; 150; 200; 175; 325; 125; 150; 125; 100; 175; 200; 150; 100; 91; ; 140; 91; ; ; 140; 250; 140; ; ; ; 
Lille 4-3; 200; 125; 225; 150; 200; 200; 350; 300; ; 200; 150; 100; 150; 250; 200; 125; ; 250; 325; ; ; 200; 325; 250; 325; ; ; ; 
Bastia 4-3; 300; ; 250; 200; 250; 250; 400; 375; ; 225; 150; 100; 150; 250; 250; 200; ; 250; 400; ; ; 200; 400; ; 400; ; ; ; 
Lille 5-2; 300; ; ; 300; 250; ; 375; 475; ; 250; 150; 100; 150; 300; 250; 200; ; ; 350; ; ; ; 350; ; 350; ; ; ; 
Bastia 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 5-0; 400; ; ; 300; 300; ; 400; 500; 125; 325; 200; 100; 175; 300; ; 250; ; ; 400; ; ; ; 400; ; 400; ; ; ; 
Bastia 5-1; 350; ; ; 300; 250; ; 400; 500; 125; 275; 150; 100; 175; 300; ; 200; ; ; 375; ; ; ; 375; ; 375; ; ; ; 
Bastia 5-2; 500; ; ; 500; 300; ; 325; 500; ; 350; 200; ; 175; 300; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 5-3; ; ; ; ; 300; ; 325; 500; ; 475; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 5-4; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 6-0; ; ; ; 500; 300; ; 325; 500; 125; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 6-1; ; ; ; 500; 300; ; 325; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 6-2; ; ; ; 500; 300; ; 325; ; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 7-0; ; ; ; ; 300; ; 325; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 7-1; ; ; ; ; 300; ; 325; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; 1/1000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; 1/1000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bastia 9-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; ; ; 250; 200; 300; ; 400; 500; ; 400; 200; ; 200; ; ; 200; ; 250; 400; ; ; 200; 400; ; 400; ; ; ; 
Lille 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 5-3; ; ; ; ; 250; ; 325; 500; ; 400; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 5-4; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 6-0; ; ; ; 500; 250; ; 325; 500; 125; 375; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 6-1; ; ; ; 500; 250; ; 325; 500; ; 375; 200; ; 150; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 6-2; ; ; ; 500; 250; ; 325; ; ; 475; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 7-0; ; ; ; ; 300; ; 325; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 7-1; ; ; ; ; 300; ; 325; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 8-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 8-1; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lille 9-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/aston-villa-v-qpr; 2017-04-03 08:18:00 GMT+3; 2017-04-04 16:30; e70300-dr003
St Pauli; ; ; ; ; 20/21; ; ; ; ; ; ; ; 19/20; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 8/15; ; 
Draw; ; ; ; ; 23/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; 19/10; ; 
Sandhausen; ; ; ; ; 11/4; ; ; ; ; ; ; ; 57/20; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; 19/10; ; 
