META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-01-30 16:23:56 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 1; 21/20; ; 21/20; 21/20; 19/20; ; ; 10/11; 21/20; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 21/20; ; 1; 27/25; 17/16; ; 1; ; ; ; 
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 1; 27/25; 17/16; 1; 21/20; ; 1; ; 
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; ; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; ; 
Sevilla B; 3; 14/5; 14/5; 3; 3; 11/4; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; ; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 5/2; 57/17; 14/5; ; 3; ; 
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-01-31 08:23:56 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 1; 27/25; 17/16; 1; 21/20; ; 1; ; 
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; ; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; ; 
Sevilla B; 3; 14/5; 14/5; 3; 3; 11/4; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; ; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 5/2; 57/17; 14/5; ; 3; ; 
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-01-31 12:25:31 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 1; 27/25; 17/16; 1; 21/20; ; 1; ; 
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; ; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; ; 
Sevilla B; 3; 14/5; 14/5; 3; 3; 11/4; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; ; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 5/2; 57/17; 14/5; ; 3; ; 
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-01-31 16:25:34 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 1; 27/25; 17/16; 1; 21/20; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; ; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; ; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 5/2; 57/17; 14/5; ; 3; 9/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-01-31 20:27:48 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 27/25; 17/16; 1; 1; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; 13/5; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 5/2; 57/17; 14/5; ; 3; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-01 00:23:31 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 27/25; 17/16; 1; 1; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; 13/5; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 5/2; 57/17; 14/5; ; 3; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-01 04:23:35 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 27/25; 17/16; 1; 1; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; 13/5; 16/5; 3; 13/4; 11/4; 10/3; 13/4; 17/5; 5/2; 57/17; 14/5; ; 3; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-01 08:23:32 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 27/25; 17/16; 1; 1; ; 1; ; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; ; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; 13/5; 16/5; 3; 13/4; 11/4; 10/3; 13/4; 17/5; 5/2; 57/17; 14/5; ; 3; ; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-01 12:25:53 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 27/25; 1; 1; 1; ; ; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; ; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; 13/5; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 45/17; 57/17; 14/5; ; ; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-01 16:27:11 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 27/25; 1; 1; 1; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; 13/5; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 45/17; 57/17; 14/5; ; 14/5; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-01 20:27:22 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; ; 27/25; 1; 1; 1; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; ; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; 13/5; 16/5; 3; 16/5; 11/4; 10/3; ; 17/5; 45/17; 57/17; 14/5; ; 14/5; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-02 00:23:13 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 27/25; 1; 1; 1; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 11/5; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; 27/10; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 45/17; 57/17; 14/5; ; 3; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-02 04:23:33 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 27/25; 1; 1; 1; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 11/5; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; 27/10; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 45/17; 57/17; 14/5; ; 3; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-02 08:23:33 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 27/25; 30/29; 1; 1; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 11/5; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 16/5; 27/10; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 28/11; 57/17; 14/5; ; 3; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-02 12:24:49 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 27/25; 30/29; 1; 1; ; ; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 41/20; ; 15/8; 2; 2; 2; 2; 21/10; 11/5; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; ; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 10/3; 27/10; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 28/11; 57/17; 14/5; ; ; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-02 16:25:57 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 27/25; 30/29; 1; 1; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 41/20; ; 15/8; 2; 2; 2; 2; 21/10; 11/5; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 10/3; 27/10; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 28/11; 57/17; 14/5; ; 3; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-02 20:25:02 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 27/25; 30/29; 1; 1; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 41/20; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 10/3; 14/5; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 17/5; 28/11; 57/17; 14/5; ; 3; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-03 00:23:33 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 57/50; 30/29; 1; 1; ; 1; 21/20; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 103/50; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 11/4; 11/4; 10/3; 14/5; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 10/3; 28/11; 57/17; 14/5; ; 3; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-03 04:23:44 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 53/50; 21/20; 1; 21/20; ; 1; 1; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 54/25; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 14/5; 3; 3; 14/5; ; 3; 14/5; 16/5; 11/4; 11/4; 10/3; 14/5; 16/5; 3; 16/5; 11/4; 10/3; 16/5; 69/20; 5/2; 57/17; 14/5; ; 3; 11/4; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-03 08:23:34 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 21/20; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 53/50; 21/20; 1; 21/20; ; 1; 21/20; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 54/25; 39/19; 2; 2; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 29/10; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 10/3; 3; 16/5; 3; 16/5; 3; 10/3; 16/5; 69/20; 11/4; 57/17; 14/5; ; 3; 3; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-03 12:27:56 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 1; 1; 21/20; 19/20; ; 10/11; 1; 1; 21/20; 21/20; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 26/25; 24/23; 1; 1; ; 1; 21/20; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 2; ; 15/8; 2; 2; 2; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 21/10; 21/10; 11/5; 39/19; 21/10; 21/10; ; 2; 2; 21/10
Sevilla B; 3; 14/5; 29/10; 3; 3; 14/5; ; 3; 14/5; 16/5; 14/5; 11/4; 10/3; 3; 16/5; 3; 16/5; 3; 3; 16/5; 17/5; 14/5; 41/13; 14/5; ; 3; 3; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-03 16:27:39 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 1; 1; 21/20; 19/20; ; 10/11; 1; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 26/25; 42/41; 1; 1; ; 1; ; 21/20
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 15/8; 2; 2; 2; 2; 11/5; 21/10; 19/10; 2; 28/13; 21/10; 21/10; 28/13; 11/5; 28/13; 21/10; 2; ; 2; ; 11/5
Sevilla B; 3; 14/5; 3; 3; 3; 14/5; ; 3; 14/5; 16/5; 29/10; 11/4; 16/5; 3; 16/5; 3; 16/5; 3; 3; 16/5; 17/5; 11/4; 41/13; 3; ; 3; ; 10/3
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-02-03 20:29:32 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 21/20; 1; 11/10; 11/10; 21/20; 1; ; 10/11; 1; 11/10; 23/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 107/100; 22/19; 1; 23/20; ; 10/9; ; 21/20
Draw; 21/10; 2; 39/20; 2; 21/10; 2; ; 15/8; 2; 2; 19/10; 2; 21/10; 21/10; 19/10; 2; 21/10; 21/10; 21/10; 21/10; 23/10; 21/10; 21/10; 2; ; 2; ; 21/10
Sevilla B; 3; 14/5; 27/10; 11/4; 3; 13/5; ; 3; 14/5; 14/5; 13/5; 11/4; 16/5; 3; 16/5; 14/5; 16/5; 3; 3; 16/5; 31/10; 12/5; 41/13; 13/5; ; 3; ; 7/2
