META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-20 20:23:32 GMT+2; 2017-03-25 19:30; e70300-dr003
Levante; 17/10; 13/8; 33/20; 8/5; 17/10; 31/20; 9/5; ; 8/5; 17/10; 33/20; ; 17/10; ; 13/8; ; 8/5; ; ; 8/5; 46/25; 14/9; ; ; ; ; 6/4; 6/4; 
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-22 04:21:49 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 31/20; 13/8; 17/10; 6/4; 13/8; 31/20; 8/5; 13/8; 6/4; 13/8; 8/5; 8/5; 8/5; 13/8; 8/5; 46/25; 14/9; 5/3; 13/8; 17/10; ; 6/4; 6/4; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 8/5; 13/8; 15/8; 9/5; 9/5; 37/20; 9/5; 9/5; 9/5; 9/5; 24/13; 13/8; 9/5; 2; 33/19; 5/3; 9/5; 17/10; ; 13/8; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 37/19; 19/10; 2; 37/19; 19/10; 19/10; 39/19; 15/8; 39/19; ; 15/8; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-22 08:22:27 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 31/20; 13/8; 6/4; 6/4; 13/8; 31/20; 31/20; 13/8; 6/4; 13/8; 17/11; 8/5; 8/5; 13/8; 8/5; 46/25; 14/9; 5/3; 13/8; 17/10; ; 6/4; ; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 9/5; 9/5; 15/8; 9/5; 7/4; 37/20; 9/5; 9/5; 15/8; 9/5; 24/13; 13/8; 9/5; 2; 33/19; 5/3; 9/5; 17/10; ; 7/4; ; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 37/19; 19/10; 2; 37/19; 19/10; 19/10; 39/19; 15/8; 39/19; ; 15/8; ; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-22 12:41:15 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 31/20; 13/8; 6/4; 6/4; 13/8; 31/20; 31/20; 13/8; 6/4; 13/8; 17/11; 8/5; 8/5; 13/8; 8/5; 9/5; 14/9; 5/3; 13/8; 17/10; ; 6/4; 6/4; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 9/5; 9/5; 15/8; 9/5; 7/4; 37/20; 9/5; 9/5; 15/8; 9/5; 24/13; 13/8; 9/5; 51/25; 33/19; 5/3; 9/5; 17/10; ; 17/10; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 37/19; 19/10; 2; 37/19; 19/10; 19/10; 39/19; 15/8; 39/19; ; 15/8; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-23 13:28:59 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 6/4; 13/8; 6/4; 6/4; 13/8; 31/20; 8/5; 8/5; 6/4; 13/8; 17/11; 8/5; 28/17; 13/8; 8/5; 9/5; 6/4; 5/3; 13/8; 17/10; ; 6/4; 6/4; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 9/5; 9/5; 19/10; 9/5; 9/5; 15/8; 9/5; 9/5; 15/8; 24/13; 24/13; 13/8; 24/13; 51/25; 9/5; 5/3; 9/5; 17/10; ; 7/4; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 2; 2; 2; 2; 19/10; 19/10; 39/19; 9/5; 39/19; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-23 16:25:41 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 6/4; 13/8; 6/4; 6/4; 13/8; 31/20; 8/5; 8/5; 6/4; 13/8; 17/11; 8/5; 28/17; 13/8; 8/5; 9/5; 6/4; 5/3; 13/8; 17/10; ; 6/4; 6/4; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 9/5; 9/5; 19/10; 9/5; 9/5; 15/8; 9/5; 9/5; 15/8; 24/13; 24/13; 13/8; 24/13; 51/25; 9/5; 5/3; 9/5; 17/10; ; 7/4; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 2; 2; 2; 2; 19/10; 19/10; 39/19; 9/5; 39/19; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-23 20:25:06 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 6/4; 13/8; 6/4; 6/4; 13/8; 31/20; 8/5; 8/5; 6/4; 13/8; 17/11; 8/5; 28/17; 13/8; 8/5; 9/5; 6/4; 5/3; 13/8; 17/10; ; 6/4; 6/4; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 9/5; 9/5; 19/10; 9/5; 9/5; 15/8; 9/5; 9/5; 15/8; 24/13; 24/13; 13/8; 24/13; 51/25; 9/5; 5/3; 9/5; 17/10; ; 7/4; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 2; 2; 2; 2; 19/10; 19/10; 39/19; 9/5; 39/19; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-24 00:23:20 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 6/4; 13/8; 6/4; 6/4; 13/8; 6/4; 8/5; 8/5; 6/4; 13/8; 17/11; 8/5; 28/17; 13/8; 8/5; 9/5; 6/4; 5/3; 13/8; 17/10; ; 8/5; 6/4; 17/10
Levante; 2; 9/5; 37/20; 9/5; 15/8; 9/5; 2; 9/5; 9/5; 19/10; 15/8; 9/5; 15/8; 15/8; 9/5; 15/8; 24/13; 24/13; 13/8; 24/13; 51/25; 9/5; 5/3; 15/8; 17/10; ; 7/4; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 2; 2; 2; 2; 19/10; 19/10; 39/19; 15/8; 39/19; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-24 04:22:45 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 6/4; 13/8; 6/4; 6/4; 13/8; 31/20; 8/5; 8/5; 8/5; 13/8; 17/11; 28/17; 28/17; 13/8; 28/17; 9/5; 6/4; 5/3; 13/8; 17/10; ; 13/8; 6/4; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 9/5; 9/5; 19/10; 9/5; 9/5; 15/8; 15/8; 9/5; 15/8; 24/13; 24/13; 13/8; 24/13; 51/25; 9/5; 5/3; 15/8; 17/10; ; 7/4; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 2; 2; 2; 2; 19/10; 19/10; 39/19; 15/8; 39/19; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-24 08:20:37 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 6/4; 13/8; 6/4; 6/4; 13/8; 31/20; 8/5; 8/5; 8/5; 13/8; 17/11; ; 28/17; 13/8; 8/5; 9/5; 6/4; 5/3; 13/8; 17/10; ; 13/8; 6/4; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 9/5; 9/5; 19/10; 9/5; 9/5; 15/8; 15/8; 9/5; 15/8; ; 24/13; 13/8; 24/13; 51/25; 9/5; 5/3; 15/8; 17/10; ; 7/4; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; ; 2; 2; 2; 19/10; 19/10; 39/19; 15/8; 39/19; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-24 12:23:38 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 6/4; 13/8; 6/4; 6/4; 6/4; 31/20; 31/20; 8/5; 8/5; 13/8; 17/11; 17/11; 28/17; 13/8; 17/11; 163/100; 6/4; 5/3; 13/8; 17/10; ; 6/4; 6/4; 17/10
Levante; 2; 9/5; 37/20; 9/5; 15/8; 20/11; 2; 9/5; 9/5; 19/10; 9/5; 19/10; 15/8; 15/8; 9/5; 15/8; 19/10; 24/13; 13/8; 19/10; 21/10; 9/5; 5/3; 15/8; 17/10; ; 9/5; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 19/10; 2; 2; 2; 2; 2; 2; 2; 2; 21/10; 19/10; 39/19; 15/8; 39/19; ; 2; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-24 20:25:44 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 6/4; 31/20; 6/4; 8/5; 6/4; 31/20; 6/4; 6/4; 6/4; 31/20; 31/20; 31/20; 8/5; 8/5; 17/11; 17/11; 28/17; 8/5; 17/11; 13/8; 6/4; 8/5; 6/4; 8/5; ; 6/4; 7/5; 17/10
Levante; 2; 15/8; 37/20; 9/5; 19/10; 20/11; 21/10; 9/5; 9/5; 19/10; 9/5; 19/10; 39/20; 15/8; 19/10; 15/8; 19/10; 24/13; 9/5; 19/10; 103/50; 9/5; 9/5; 9/5; 9/5; ; 19/10; 9/5; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 19/10; 2; 2; 19/10; 2; 2; 2; 2; 2; 85/40; 19/10; 39/19; 2; 39/19; ; 2; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-25 00:26:52 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 8/5; 6/4; 6/4; 29/20; 8/5; 29/20; 31/20; 6/4; 6/4; ; 6/4; 31/20; 31/20; 6/4; 8/5; 6/4; 17/11; 17/11; 8/5; 17/11; 41/25; 6/4; 8/5; 6/4; 8/5; ; 6/4; 6/4; 17/10
Levante; 2; 15/8; 19/10; 2; 19/10; 20/11; 21/10; 9/5; 9/5; ; 15/8; 19/10; 39/20; 19/10; 19/10; 2; 19/10; 37/19; 9/5; 19/10; 103/50; 9/5; 9/5; 9/5; 9/5; ; 19/10; 19/10; 19/10
Draw; 15/8; 19/10; 39/20; 19/10; 2; 19/10; 2; 15/8; 15/8; ; 19/10; 19/10; 2; 2; 19/10; 15/8; 2; 2; 2; 2; 21/10; 19/10; 39/19; 2; 39/19; ; 2; 2; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-25 04:24:19 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 29/20; 6/4; 6/4; 29/20; 6/4; 29/20; 31/20; 6/4; 6/4; 6/4; 6/4; 31/20; 31/20; 6/4; 8/5; 6/4; 17/11; 17/11; 8/5; 17/11; 163/100; 6/4; 8/5; 6/4; 8/5; ; 13/8; 6/4; 17/10
Draw; 15/8; 19/10; 39/20; 19/10; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 19/10; 2; 21/10; 19/10; 15/8; 2; 2; 2; 2; 107/50; 19/10; 39/19; 2; 39/19; ; 2; 2; 2
Levante; 11/5; 19/10; 19/10; 2; 2; 20/11; 21/10; 9/5; 9/5; 19/10; 15/8; 19/10; 39/20; 19/10; 19/10; 2; 19/10; 37/19; 9/5; 19/10; 41/20; 9/5; 9/5; 15/8; 9/5; ; 19/10; 19/10; 19/10
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-25 08:26:13 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 29/20; 6/4; 6/4; 6/4; 8/5; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 31/20; 31/20; 6/4; 6/4; 6/4; 17/11; 17/11; 8/5; 17/11; 169/100; 53/35; 8/5; 6/4; 8/5; ; 13/8; 13/8; 17/10
Draw; 15/8; 19/10; 2; 19/10; 2; 19/10; 2; 15/8; 15/8; 2; 2; 19/10; 2; 21/10; 21/10; 2; 39/19; 2; 2; 39/19; 51/25; 45/23; 39/19; 2; 39/19; ; 2; 2; 2
Levante; 11/5; 15/8; 37/20; 19/10; 19/10; 20/11; 2; 9/5; 9/5; 19/10; 15/8; 19/10; 39/20; 15/8; 15/8; 15/8; 19/10; 37/19; 9/5; 19/10; 41/20; 21/11; 9/5; 15/8; 9/5; ; 19/10; 19/10; 19/10
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-25 12:24:05 GMT+2; 2017-03-25 19:30; e70300-dr003
Mallorca; 31/20; 6/4; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 31/20; 31/20; 6/4; 6/4; 17/11; 17/11; 28/17; 8/5; 17/11; 41/25; 53/35; 8/5; 6/4; 8/5; ; 13/8; 8/5; 17/10
Levante; 2; 9/5; 37/20; 19/10; 19/10; 9/5; 19/10; 9/5; 9/5; 19/10; 9/5; 9/5; 39/20; 15/8; 15/8; 15/8; 19/10; 24/13; 9/5; 19/10; 101/50; 21/11; 9/5; 9/5; 9/5; ; 19/10; 19/10; 19/10
Draw; 2; 2; 2; 19/10; 21/10; 19/10; 21/10; 15/8; 15/8; 2; 2; 2; 2; 21/10; 21/10; 2; 39/19; 2; 2; 39/19; 43/20; 45/23; 39/19; 2; 39/19; ; 2; 2; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-25 20:24:18 GMT+2; ; e70300-dr003
PSG; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; 4/7; ; ; ; 3/5; ; 3/5; ; 1/2; ; 
Monaco; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; 3; ; 3; ; 23/10; ; 
Bordeaux; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; 12; ; 12; ; 38/5; ; 
Angers; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17; ; ; ; 17; ; 17; ; 71/5; ; 
Avranches; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; 200; ; 200; ; ; ; 
Frejus; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; 200; ; 200; ; ; ; 
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-26 00:25:19 GMT+2; 2017-03-25 19:30; In Play; e70300-dr003
Mallorca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-26 04:29:07 GMT+2; ; e70300-dr003
Serena Williams; 9/4; 5/2; ; ; ; ; 9/4; 11/4; ; ; ; ; ; 11/4; 9/4; ; 11/5; ; ; 11/5; ; ; ; ; ; ; 5/2; ; 
Angelique Kerber; 11/2; 11/2; ; ; ; ; 5; 11/2; ; ; ; ; ; 11/2; 11/2; ; 5; ; ; 5; ; ; ; ; ; ; 24/5; ; 
Garbine Muguruza; 8; 8; ; ; ; ; 8; 9; ; ; ; ; ; 9; 8; ; 9; ; ; 9; ; ; ; ; ; ; ; ; 
Maria Sharapova; 8; 9; ; ; ; ; 10; 8; ; ; ; ; ; 8; 10; ; 15/2; ; ; 15/2; ; ; ; ; ; ; ; ; 
Simona Halep; 14; 12; ; ; ; ; 12; 12; ; ; ; ; ; 12; 10; ; 14; ; ; 14; ; ; ; ; ; ; 52/5; ; 
Karolina Pliskova; 10; 10; ; ; ; ; 10; 18; ; ; ; ; ; 18; 10; ; 9; ; ; 9; ; ; ; ; ; ; 66/5; ; 
Johanna Konta; 18; 14; ; ; ; ; 20; 25; ; ; ; ; ; 20; 18; ; 20; ; ; 20; ; ; ; ; ; ; 88/5; ; 
Madison Keys; 22; 22; ; ; ; ; 20; 33; ; ; ; ; ; 33; 20; ; 20; ; ; 20; ; ; ; ; ; ; 28; ; 
Elina Svitolina; 33; 25; ; ; ; ; ; 33; ; ; ; ; ; 33; 33; ; 40; ; ; 40; ; ; ; ; ; ; 25; ; 
Agnieszka Radwanska; 28; 33; ; ; ; ; 33; 40; ; ; ; ; ; 40; 25; ; 30; ; ; 30; ; ; ; ; ; ; 28; ; 
Petra Kvitova; 14; 14; ; ; ; ; 16; 25; ; ; ; ; ; 40; 14; ; 16; ; ; 16; ; ; ; ; ; ; 28; ; 
Dominika Cibulkova; 33; 40; ; ; ; ; ; 33; ; ; ; ; ; 25; 50; ; 40; ; ; 40; ; ; ; ; ; ; 22; ; 
Eugenie Bouchard; 33; 33; ; ; ; ; 50; 50; ; ; ; ; ; 50; 40; ; 30; ; ; 30; ; ; ; ; ; ; ; ; 
Venus Williams; 25; 40; ; ; ; ; 66; 40; ; ; ; ; ; 33; 33; ; 28; ; ; 28; ; ; ; ; ; ; 28; ; 
Caroline Wozniacki; 33; 40; ; ; ; ; ; 50; ; ; ; ; ; 66; 50; ; 33; ; ; 33; ; ; ; ; ; ; 43; ; 
Belinda Bencic; 33; 20; ; ; ; ; 33; 66; ; ; ; ; ; 66; ; ; 33; ; ; 33; ; ; ; ; ; ; ; ; 
Carla Suarez Navarro; 66; ; ; ; ; ; ; 66; ; ; ; ; ; 66; 50; ; 60; ; ; 60; ; ; ; ; ; ; ; ; 
Ekaterina Makarova; 50; ; ; ; ; ; ; 66; ; ; ; ; ; 50; 50; ; 50; ; ; 50; ; ; ; ; ; ; ; ; 
Lucie Safarova; 33; 40; ; ; ; ; 50; 66; ; ; ; ; ; 50; 50; ; 30; ; ; 30; ; ; ; ; ; ; ; ; 
Svetlana Kuznetsova; 66; ; ; ; ; ; ; 40; ; ; ; ; ; 33; 50; ; 70; ; ; 70; ; ; ; ; ; ; 28; ; 
A Pavlyuchenkova; 80; 80; ; ; ; ; ; 80; ; ; ; ; ; 66; ; ; 80; ; ; 80; ; ; ; ; ; ; 43; ; 
Timea Bacsinszky; 66; ; ; ; ; ; ; 80; ; ; ; ; ; 80; 50; ; 66; ; ; 66; ; ; ; ; ; ; 51; ; 
Sloane Stephens; 40; ; ; ; ; ; ; 80; ; ; ; ; ; 80; 33; ; 50; ; ; 50; ; ; ; ; ; ; ; ; 
Yulia Putintseva; ; ; ; ; ; ; ; 100; ; ; ; ; ; 80; ; ; ; ; ; ; ; ; ; ; ; ; 51; ; 
Daria Gavrilova; ; ; ; ; ; ; ; 100; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; 70; ; 
Daria Kasatkina; 40; 33; ; ; ; ; ; 100; ; ; ; ; ; 100; 50; ; 40; ; ; 40; ; ; ; ; ; ; 70; ; 
Coco Vandeweghe; ; ; ; ; ; ; 25; 80; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; 85; ; 
Monica Puig; 80; ; ; ; ; ; ; 50; ; ; ; ; ; 40; ; ; 100; ; ; 100; ; ; ; ; ; ; ; ; 
Kristina Mladenovic; 125; ; ; ; ; ; ; 100; ; ; ; ; ; 100; ; ; 100; ; ; 100; ; ; ; ; ; ; ; ; 
Kiki Bertens; ; ; ; ; ; ; ; 125; ; ; ; ; ; 125; ; ; ; ; ; ; ; ; ; ; ; ; 80; ; 
Jelena Ostapenko; 125; 80; ; ; ; ; ; 80; ; ; ; ; ; 80; ; ; 125; ; ; 125; ; ; ; ; ; ; ; ; 
Sabine Lisicki; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 125; ; ; 125; ; ; ; ; ; ; ; ; 
Caroline Garcia; 100; 100; ; ; ; ; ; 150; ; ; ; ; ; 100; 100; ; 80; ; ; 80; ; ; ; ; ; ; 70; ; 
Roberta Vinci; 150; ; ; ; ; ; ; 125; ; ; ; ; ; 125; ; ; 150; ; ; 150; ; ; ; ; ; ; 80; ; 
Sam Stosur; 100; ; ; ; ; ; ; 150; ; ; ; ; ; 150; 100; ; 80; ; ; 80; ; ; ; ; ; ; 80; ; 
Ana Konjuh; 125; 80; ; ; ; ; ; 80; ; ; ; ; ; 100; ; ; 150; ; ; 150; ; ; ; ; ; ; ; ; 
Andrea Petkovic; 150; ; ; ; ; ; ; 125; ; ; ; ; ; 125; 100; ; 125; ; ; 125; ; ; ; ; ; ; ; ; 
