Draw; 21/10; 2; 2; 21/10; 21/10; 2; 21/10; 11/5; 2; 2; 2; 2; 21/10; 2; 2; 2; 39/19; 28/13; 11/5; 21/10; 39/19; 21/10; 39/19; 28/13; 21/10; ; 2; 2; 
Almeria; 16/5; 14/5; 29/10; 14/5; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 11/4; 3; 14/5; 16/5; 3; 31/10; 31/10; 31/10; 3; 31/10; 16/5; 45/17; 31/10; 14/5; ; 3; 14/5; 
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-14 16:27:19 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; 11/10; 1; 1; 1; 1; 1; 1; 1; 1; 1; 9/8; 68/67; 1; 1; ; 21/20; 20/21; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 2; 21/10; 11/5; 2; 2; 2; 2; 21/10; 2; 2; 2; 39/19; 28/13; 11/5; 21/10; 39/19; 21/10; 39/19; 28/13; 21/10; ; 2; 2; 21/10
Almeria; 16/5; 14/5; 29/10; 14/5; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 11/4; 16/5; 14/5; 16/5; 3; 41/13; 31/10; 31/10; 3; 41/13; 16/5; 45/17; 31/10; 14/5; ; 3; 14/5; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-14 20:25:55 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; 11/10; 1; 21/20; 1; 1; 1; 1; 1; 1; 1; 9/8; 68/67; 1; 1; ; 1; 20/21; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 2; 21/10; 11/5; 2; 2; 2; 2; 21/10; 21/10; 2; 2; 39/19; 28/13; 11/5; 21/10; 39/19; 21/10; 39/19; 28/13; 21/10; ; 2; 2; 21/10
Almeria; 16/5; 14/5; 29/10; 14/5; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 11/4; 16/5; 29/10; 16/5; 3; 41/13; 31/10; 31/10; 3; 41/13; 16/5; 45/17; 31/10; 14/5; ; 3; 14/5; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-15 00:26:24 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; 11/10; 1; ; 1; 1; 1; 1; 1; 1; 1; 7/6; 68/67; 1; 1; ; ; 1; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 2; 21/10; 11/5; 2; 2; 2; 2; 21/10; ; 2; 2; 39/19; 28/13; 11/5; 21/10; 39/19; 21/10; 39/19; 28/13; 21/10; ; ; 2; 21/10
Almeria; 16/5; 14/5; 29/10; 14/5; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 11/4; 16/5; ; 16/5; 3; 41/13; 31/10; 31/10; 3; 41/13; 58/19; 45/17; 31/10; 14/5; ; ; 14/5; 10/3
