Alcorcon; 27/10; 11/4; 27/10; 13/5; 11/4; 13/5; 29/10; 13/5; 13/5; 14/5; 27/10; 11/4; 29/10; 13/5; 3; 11/4; 56/19; 3; 27/10; 3; 56/19; 16/5; 12/5; 3; 14/5; ; 14/5; 5/2; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-16 08:25:07 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; ; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 21/20; 21/20; 11/10; ; 11/10; 21/20; 23/20
Draw; 21/10; 2; 39/20; 2; 21/10; 2; 21/10; 15/8; 15/8; 19/10; 2; 2; ; 11/5; 19/10; 2; 2; 21/10; 21/10; 21/10; 2; 21/10; 2; 21/10; 2; ; 2; 19/10; 2
Alcorcon; 27/10; 11/4; 27/10; 13/5; 11/4; 13/5; 29/10; 13/5; 13/5; 14/5; 27/10; 11/4; ; 13/5; 3; 11/4; 56/19; 3; 14/5; 3; 56/19; 16/5; 12/5; 3; 14/5; ; 14/5; 5/2; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-16 12:27:13 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 21/20; 21/20; 11/10; ; 10/9; 21/20; 23/20
Draw; 21/10; 2; 39/20; 2; 21/10; 2; 21/10; 15/8; 15/8; 19/10; 2; 2; 2; 11/5; 19/10; 2; 2; 21/10; 21/10; 21/10; 2; 21/10; 2; 21/10; 2; ; 2; 2; 2
Alcorcon; 27/10; 11/4; 27/10; 13/5; 11/4; 13/5; 29/10; 13/5; 13/5; 3; 27/10; 11/4; 29/10; 13/5; 3; 11/4; 29/10; 3; 14/5; 3; 29/10; 16/5; 12/5; 3; 14/5; ; 27/10; 5/2; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-16 16:28:56 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; ; 23/20; 10/9; 21/20; 21/20; ; 10/9; 21/20; 23/20
Draw; 2; 2; 39/20; 2; 21/10; 2; 21/10; 15/8; 15/8; 19/10; 2; 2; 2; 11/5; 19/10; 2; 2; 21/10; 21/10; 21/10; ; 21/10; 2; 21/10; 2; ; 19/10; 19/10; 2
Alcorcon; 11/4; 11/4; 27/10; 13/5; 11/4; 13/5; 29/10; 13/5; 13/5; 3; 13/5; 11/4; 29/10; 13/5; 3; 14/5; 56/19; 3; 14/5; 3; ; 16/5; 23/10; 3; 14/5; ; 14/5; 5/2; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-17 00:26:19 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 23/20; 1; 21/20; 23/20; 11/10; 11/10; 11/10; ; 11/10; 11/10; 11/10; 21/20; 15/13; 21/20; 11/10; 23/20; 10/9; 21/20; 11/10; ; ; 21/20; 23/20
Draw; 2; 2; 39/20; 2; 21/10; 39/20; 21/10; 15/8; 15/8; 19/10; 2; 2; 2; ; 19/10; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 21/10; 2; ; ; 19/10; 2
Alcorcon; 11/4; 11/4; 27/10; 13/5; 11/4; 13/5; 14/5; 13/5; 13/5; 3; 13/5; 11/4; 29/10; ; 3; 11/4; 56/19; 3; 14/5; 3; 56/19; 10/3; 23/10; 3; 11/4; ; ; 5/2; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-17 04:27:04 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 23/20; 1; 21/20; 23/20; 11/10; 11/10; 11/10; ; 11/10; 11/10; 11/10; 21/20; 15/13; 21/20; 11/10; 23/20; 10/9; 21/20; 11/10; ; ; 21/20; 23/20
Draw; 21/10; 2; 39/20; 2; 21/10; 39/20; 21/10; 15/8; 15/8; 19/10; 19/10; 2; 2; ; 19/10; 2; 2; 21/10; 2; 21/10; 2; 2; 2; 21/10; 2; ; ; 19/10; 2
Alcorcon; 11/4; 11/4; 27/10; 13/5; 11/4; 13/5; 14/5; 13/5; 13/5; 3; 13/5; 11/4; 29/10; ; 3; 11/4; 56/19; 3; 14/5; 3; 56/19; 10/3; 13/5; 3; 11/4; ; ; 5/2; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-17 08:26:37 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 11/10; 21/20; 23/20; 11/10; 11/10; 21/20; 23/20; 1; 21/20; 23/20; 11/10; 11/10; 11/10; ; 11/10; 11/10; 11/10; 21/20; 15/13; 21/20; ; 23/20; 15/13; 21/20; 11/10; ; ; 23/20; 23/20
Draw; 21/10; 2; 39/20; 2; 21/10; 39/20; 21/10; 15/8; 15/8; 19/10; 19/10; 2; 2; ; 19/10; 2; 2; 21/10; 2; 21/10; ; 2; 2; 21/10; 2; ; ; 2; 2
Alcorcon; 11/4; 11/4; 13/5; 11/4; 11/4; 13/5; 14/5; 13/5; 13/5; 14/5; 13/5; 11/4; 29/10; ; 3; 11/4; 56/19; 3; 14/5; 3; ; 10/3; 5/2; 3; 11/4; ; ; 14/5; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-17 12:26:56 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 11/10; 21/20; 23/20; 11/10; 23/20; 21/20; 23/20; 1; 21/20; 23/20; 23/20; 11/10; 11/10; ; 11/10; 11/10; 11/10; 21/20; 15/13; 21/20; 11/10; 23/20; 15/13; 21/20; 11/10; ; ; 23/20; 23/20
Draw; 21/10; 2; 39/20; 2; 2; 39/20; 21/10; 15/8; 15/8; 19/10; 19/10; 2; 2; ; 19/10; 2; 2; 21/10; 2; 21/10; 2; 2; 19/10; 21/10; 15/8; ; ; 19/10; 2
Alcorcon; 11/4; 11/4; 13/5; 11/4; 11/4; 13/5; 14/5; 13/5; 13/5; 3; 13/5; 11/4; 29/10; ; 3; 11/4; 3; 3; 14/5; 3; 3; 10/3; 5/2; 3; 14/5; ; ; 14/5; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-17 16:26:29 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; 1; 11/10; 23/20; 11/10; 11/10; ; ; 6/5; 11/10; 11/10; 21/20; 15/13; ; 11/10; 23/20; 15/13; ; 11/10; ; ; 23/20; 6/5
Draw; 21/10; 2; 39/20; 2; 2; 39/20; 21/10; 15/8; 15/8; 19/10; 19/10; 2; ; ; 19/10; 2; 2; 21/10; 2; ; 2; 2; 19/10; ; 2; ; ; 19/10; 2
Alcorcon; 11/4; 13/5; 13/5; 13/5; 11/4; 13/5; 14/5; 13/5; 13/5; 14/5; 13/5; 11/4; ; ; 11/4; 11/4; 37/13; 3; 14/5; ; 37/13; 10/3; 5/2; ; 13/5; ; ; 14/5; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-17 20:25:49 GMT+2; 2016-12-17 17:00; In Play; e70300-dr003
Tenerife; 1/5; 1/5; 1/4; 1/5; ; 2/11; 1/5; 1/6; ; 2/9; ; ; 2/9; ; ; ; 5/18; 6/17; ; ; 5/18; 27/100; ; ; ; ; ; ; 
Draw; 4; 4; 18/5; 16/5; ; 18/5; 21/5; 7/2; ; 15/4; ; ; 15/4; ; ; ; 38/11; 31/10; ; ; 38/11; 39/10; ; ; ; ; ; ; 
Alcorcon; 28; 25; 15; 19; ; 22; 22; 19; ; 20; ; ; 22; ; ; ; 53/4; 10; ; ; 53/4; 35/2; ; ; ; ; ; ; 
