META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-10-31 20:26:49 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 11/8; ; 6/4; 6/4; 6/4; 6/4; 31/20; ; ; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 35/19; ; 16/11; ; ; 7/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-01 08:24:46 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 31/20; ; 7/5; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 35/19; ; 16/11; ; ; 7/5; ; 
Reus Deportiu; 2; 19/10; 19/10; 19/10; 2; 8/5; 2; ; 9/5; 2; 19/10; 7/4; 2; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 2; ; 21/10; ; ; 7/4; ; 
Draw; 2; 2; 39/20; 19/10; 2; 39/20; 21/10; ; 15/8; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; ; ; 15/8; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-01 12:25:13 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 31/20; ; 7/5; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 8/5; ; 16/11; 7/5; ; 7/5; ; 
Draw; 2; 2; 39/20; 19/10; 2; 39/20; 21/10; ; 15/8; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 2; ; 2; 2; ; 15/8; ; 
Reus Deportiu; 2; 19/10; 19/10; 19/10; 2; 8/5; 2; ; 9/5; 2; 19/10; 7/4; 2; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 9/4; ; 21/10; 15/8; ; 7/4; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-01 16:27:41 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; 7/5; 6/4; 29/20; 8/5; 6/4; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 8/5; ; 16/11; 7/5; ; 7/5; ; 
Draw; 2; 2; 39/20; 19/10; 2; 39/20; 21/10; 15/8; 15/8; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 2; ; 2; 2; ; 15/8; ; 
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 2; 19/10; 7/4; 2; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 9/4; ; 21/10; 15/8; ; 9/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-01 20:26:45 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 31/20; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 39/20; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 7/4; ; 
Draw; 2; 2; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-02 00:27:20 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 31/20; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 
Reus Deportiu; 2; 15/8; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 39/20; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 7/4; ; 
Draw; 2; 19/10; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-02 04:25:50 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 31/20; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 
Reus Deportiu; 2; 15/8; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 39/20; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 9/5; ; 
Draw; 2; 19/10; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-02 08:25:21 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; ; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 
Reus Deportiu; 2; 15/8; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; ; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 7/4; ; 
Draw; 2; 19/10; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; ; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-02 12:26:37 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; ; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 
Reus Deportiu; 2; 15/8; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; ; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 9/5; ; 
Draw; 2; 19/10; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; ; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-02 16:27:30 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; ; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 
Reus Deportiu; 2; 15/8; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; ; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 7/4; ; 
Draw; 2; 19/10; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; ; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-02 20:28:35 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 13/8
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 2; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 9/5; ; 2
Draw; 2; 2; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-03 00:24:50 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 13/8
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 2; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 7/4; ; 2
Draw; 2; 2; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-03 04:28:37 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 13/8
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 2; 19/10; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 7/4; ; 2
Draw; 2; 2; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-03 08:25:13 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 13/8
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 2; 19/10; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 7/4; ; 2
Draw; 2; 2; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-03 12:27:06 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 13/8
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 2; 19/10; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 9/5; ; 2
Draw; 2; 2; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-03 16:26:38 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 6/4; ; 7/5; ; 13/8
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 2; 19/10; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 9/5; ; 9/5; ; 2
Draw; 2; 2; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-03 20:27:31 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 7/5; ; 7/5; ; 6/4
Draw; 2; 2; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 21/10
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 2; 19/10; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 15/8; ; 9/5; ; 2
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-04 00:24:44 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 7/5; ; 7/5; ; 6/4
Draw; 2; 2; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 21/10
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 7/4; 2; 19/10; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 15/8; ; 9/5; ; 2
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-04 04:23:45 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; ; ; 16/11; 16/11; 7/5; ; 30/17; ; 16/11; 7/5; ; 7/5; ; 6/4
Draw; 2; 2; 19/10; 19/10; 2; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; 2; ; 9/5; ; 21/10
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; 8/5; 2; 15/8; 9/5; 19/10; 19/10; 19/10; 2; 19/10; 19/10; ; ; 21/10; 19/10; 21/10; ; 21/10; ; 21/10; 15/8; ; 9/5; ; 2
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-04 08:23:56 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; ; 8/5; 7/5; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; ; ; 16/11; 17/11; 7/5; ; 30/17; ; 16/11; 7/5; ; 7/5; ; 6/4
Draw; 2; 2; 19/10; 19/10; 2; ; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 2; 2; ; 19/10; ; 2; 2; ; 9/5; ; 21/10
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; ; 2; 15/8; 9/5; 19/10; 19/10; 19/10; 2; 19/10; 19/10; ; ; 21/10; 2; 21/10; ; 21/10; ; 21/10; 15/8; ; 9/5; ; 2
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-04 12:24:50 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; ; 8/5; 7/5; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; ; ; 16/11; 17/11; 7/5; ; 17/10; ; 16/11; 7/5; ; 7/5; ; 6/4
Draw; 2; 2; 19/10; 19/10; 2; ; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 2; 2; ; 2; ; 2; 2; ; 9/5; ; 21/10
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; ; 2; 15/8; 9/5; 19/10; 19/10; 19/10; 2; 19/10; 19/10; ; ; 21/10; 2; 21/10; ; 21/10; ; 21/10; 15/8; ; 9/5; ; 2
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-04 16:24:33 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; ; 8/5; 7/5; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; ; ; 16/11; 17/11; 7/5; ; 17/10; ; 16/11; 7/5; ; 7/5; ; 6/4
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; ; 2; 15/8; 9/5; 19/10; 19/10; 19/10; 2; 19/10; 19/10; ; ; 21/10; 2; 21/10; ; 21/10; ; 21/10; 15/8; ; 9/5; ; 2
Draw; 2; 2; 19/10; 19/10; 2; ; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 2; 2; ; 2; ; 2; 2; ; 19/10; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-04 20:26:45 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; ; 8/5; 7/5; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; ; ; 16/11; 17/11; 7/5; ; 28/17; ; 16/11; 7/5; ; 6/4; ; 6/4
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; ; 2; 15/8; 9/5; 19/10; 19/10; 19/10; 2; 19/10; 19/10; ; ; 21/10; 2; 21/10; ; 25/12; ; 21/10; 15/8; ; 9/5; ; 2
Draw; 2; 2; 19/10; 19/10; 2; ; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 2; 2; ; 21/10; ; 2; 2; ; 19/10; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-05 00:24:39 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; ; 8/5; 7/5; 7/5; 6/4; 6/4; 6/4; ; 29/20; 6/4; ; ; 16/11; 17/11; 7/5; ; 28/17; ; 16/11; 7/5; ; 6/4; ; 6/4
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; ; 2; 15/8; 9/5; 19/10; 19/10; 19/10; ; 19/10; 19/10; ; ; 21/10; 2; 21/10; ; 25/12; ; 21/10; 15/8; ; 19/10; ; 2
Draw; 2; 2; 19/10; 19/10; 2; ; 2; 15/8; 15/8; 2; 19/10; 2; ; 2; 21/10; ; ; 2; 2; 2; ; 21/10; ; 2; 2; ; 19/10; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-05 04:24:30 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; ; 8/5; 7/5; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; ; ; 16/11; 17/11; 7/5; ; 28/17; ; 16/11; 7/5; ; 6/4; ; 6/4
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; ; 2; 15/8; 9/5; 19/10; 19/10; 19/10; 2; 19/10; 19/10; ; ; 21/10; 2; 21/10; ; 25/12; ; 21/10; 15/8; ; 19/10; ; 2
Draw; 2; 2; 19/10; 19/10; 2; ; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 2; 2; ; 21/10; ; 2; 2; ; 19/10; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-05 08:25:06 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; ; 8/5; 7/5; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; ; ; 16/11; 17/11; 7/5; ; 28/17; ; 16/11; 7/5; ; 6/4; ; 6/4
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; ; 2; 15/8; 9/5; 19/10; 19/10; 19/10; 2; 19/10; 19/10; ; ; 21/10; 2; 21/10; ; 25/12; ; 21/10; 15/8; ; 19/10; ; 2
Draw; 2; 2; 19/10; 19/10; 2; ; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 2; 2; ; 21/10; ; 2; 2; ; 19/10; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-05 12:28:28 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 31/20; 6/4; ; 8/5; 7/5; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; ; ; 16/11; 17/11; 7/5; ; 28/17; ; 16/11; 6/4; ; 6/4; ; 6/4
Reus Deportiu; 2; 19/10; 39/20; 19/10; 2; ; 2; 15/8; 9/5; 19/10; 19/10; 19/10; 2; 19/10; 19/10; ; ; 21/10; 2; 21/10; ; 25/12; ; 21/10; 15/8; ; 19/10; ; 2
Draw; 2; 2; 19/10; 19/10; 2; ; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 2; 2; 2; ; 21/10; ; 2; 2; ; 19/10; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-05 16:26:17 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 31/20; 29/20; 8/5; 8/5; 8/5; ; 13/8; 7/5; 6/4; 13/8; 6/4; 6/4; ; 8/5; 8/5; ; ; 17/11; 17/11; 7/5; ; 28/17; ; 16/11; 13/8; ; 6/4; ; 17/10
Reus Deportiu; 19/10; 19/10; 9/5; 7/4; 15/8; ; 2; 15/8; 7/4; 9/5; 19/10; 19/10; ; 7/4; 7/4; ; ; 19/10; 2; 21/10; ; 25/12; ; 21/10; 7/4; ; 13/8; ; 15/8
Draw; 21/10; 2; 19/10; 19/10; 21/10; ; 2; 15/8; 15/8; 2; 19/10; 2; ; 2; 21/10; ; ; 39/19; 2; 2; ; 21/10; ; 2; 2; ; 19/10; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-05 20:26:42 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 31/20; 6/4; 8/5; 8/5; 8/5; ; 17/10; 7/5; 6/4; 13/8; 8/5; 6/4; 13/8; 8/5; 8/5; ; ; 17/11; 17/11; 6/4; ; 28/17; ; 17/11; 13/8; ; 13/8; ; 17/10
Reus Deportiu; 19/10; 9/5; 9/5; 9/5; 19/10; ; 19/10; 15/8; 7/4; 9/5; 9/5; 19/10; 37/20; 7/4; 7/4; ; ; 19/10; 2; 19/10; ; 25/12; ; 19/10; 7/4; ; 9/5; ; 15/8
Draw; 21/10; 2; 19/10; 2; 2; ; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 39/19; 2; 2; ; 21/10; ; 39/19; 2; ; 19/10; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-06 00:24:58 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 31/20; 13/8; 8/5; 8/5; 8/5; ; 17/10; 7/5; 6/4; 13/8; 8/5; 6/4; 13/8; 13/8; 8/5; ; ; 17/11; 17/11; 6/4; ; 28/17; ; 17/11; 13/8; ; 8/5; ; 17/10
Reus Deportiu; 19/10; 9/5; 9/5; 9/5; 19/10; ; 19/10; 15/8; 7/4; 9/5; 9/5; 19/10; 37/20; 9/5; 7/4; ; ; 19/10; 2; 19/10; ; 25/12; ; 19/10; 7/4; ; 9/5; ; 19/10
Draw; 21/10; 19/10; 19/10; 2; 2; ; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 39/19; 2; 2; ; 21/10; ; 39/19; 2; ; 19/10; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-06 04:22:28 GMT+2; 2016-11-06 19:00; e70300-dr003
Levante; 31/20; 6/4; 8/5; 31/20; 8/5; ; 17/10; 7/5; 6/4; 13/8; 8/5; 6/4; 33/20; 13/8; 8/5; ; ; 17/11; 17/11; 6/4; ; 23/13; ; 17/11; 13/8; ; 8/5; ; 17/10
Reus Deportiu; 19/10; 9/5; 9/5; 17/10; 15/8; ; 19/10; 15/8; 7/4; 9/5; 9/5; 19/10; 9/5; 9/5; 7/4; ; ; 19/10; 2; 19/10; ; 57/29; ; 19/10; 7/4; ; 9/5; ; 19/10
