META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-12 16:24:52 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 10/11; ; ; ; 1; ; ; ; ; 20/21; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 20/21; 
Draw; 9/4; ; ; ; 23/10; ; ; ; ; 9/4; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 2; 
Elche; 11/4; ; ; ; 3; ; ; ; ; 3; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 23/10; 
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-12 20:25:59 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 1; 1; ; 1; ; ; 1; 1; ; 1; ; ; 19/20; 19/20; ; ; ; 19/20; 26/25; 1; ; ; ; ; 20/21; 
Draw; 11/5; 21/10; ; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 11/5; 21/10; 21/10; ; ; 19/10; ; 21/10
Elche; 16/5; 3; ; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; 16/5; 27/10; 3; 3; 41/13; 41/13; 31/10; 3; 41/13; 17/5; 12/5; 41/13; ; ; 3; ; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-14 04:24:18 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; 1; 1; 21/20; 1; 1; 1; 19/20; 1; 1; ; 1; 1; ; ; 20/21; 20/21; 21/20
Draw; 11/5; 21/10; ; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; 39/19; 21/10; 21/10; 21/10; 39/19; ; 21/10; 21/10; ; ; 2; 2; 21/10
Elche; 16/5; 3; ; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; 16/5; 27/10; 3; 3; 41/13; 41/13; 31/10; 3; 41/13; ; 12/5; 41/13; ; ; 3; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-14 08:24:24 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; 1; 1; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; ; ; 20/21; ; 21/20
Draw; 11/5; 21/10; ; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; ; ; 2; ; 21/10
Elche; 16/5; 3; ; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; 16/5; 27/10; 3; 3; 41/13; 41/13; 31/10; 3; 41/13; 17/5; 12/5; 41/13; ; ; 3; ; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-14 12:25:42 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; ; 1; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; 19/20; ; 20/21; 20/21; 21/20
Draw; 11/5; 21/10; ; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; ; 11/5; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; ; 2; 2; 21/10
Elche; 16/5; 3; ; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; ; 27/10; 3; 3; 41/13; 41/13; 31/10; 3; 41/13; 17/5; 12/5; 41/13; 14/5; ; 3; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-14 16:26:37 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; 1; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; 1; 1; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; 19/20; ; 1; 20/21; 21/20
Draw; 11/5; 21/10; 41/20; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; ; 2; 2; 21/10
Elche; 16/5; 3; 29/10; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; 16/5; 27/10; 3; 3; 41/13; 41/13; 31/10; 3; 41/13; 17/5; 12/5; 41/13; 14/5; ; 3; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-14 20:27:32 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; 1; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; ; 1; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; 19/20; ; 1; 20/21; 21/20
Draw; 11/5; 21/10; 41/20; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; ; 11/5; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; ; 2; 2; 21/10
Elche; 16/5; 3; 29/10; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; ; 27/10; 3; 3; 41/13; 41/13; 31/10; 3; 41/13; 17/5; 12/5; 41/13; 14/5; ; 3; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-15 00:24:54 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; 1; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; ; 21/20; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; 1; ; 1; 20/21; 21/20
Draw; 11/5; 21/10; 41/20; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; ; 9/4; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; ; 2; 2; 21/10
Elche; 16/5; 3; 29/10; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; ; 11/4; 3; 3; 41/13; 41/13; 31/10; 3; 41/13; 17/5; 12/5; 41/13; 14/5; ; 3; 5/2; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-15 04:24:54 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; 1; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; 1; 21/20; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; 1; ; 1; 20/21; 21/20
Draw; 11/5; 21/10; 41/20; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; 21/10; 9/4; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; ; 2; 2; 21/10
Elche; 16/5; 3; 29/10; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; 16/5; 11/4; 3; 3; 41/13; 41/13; 31/10; 3; 41/13; 17/5; 12/5; 41/13; 14/5; ; 3; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-15 08:24:48 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; 1; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; 1; 21/20; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; 1; ; 1; 20/21; 21/20
Draw; 11/5; 21/10; 41/20; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; 21/10; 9/4; 2; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 11/5; 21/10; 21/10; 21/10; ; 2; 2; 21/10
Elche; 16/5; 3; 29/10; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; 16/5; 11/4; 3; 3; 41/13; 41/13; 31/10; 3; 41/13; 17/5; 12/5; 41/13; 14/5; ; 3; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-15 12:38:53 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; 1; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; 1; 21/20; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; 1; ; 21/20; 20/21; 21/20
Draw; 11/5; 2; 41/20; 2; 21/10; 41/20; 11/5; 2; 2; 2; 2; 2; 21/10; 9/4; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; ; 2; 2; 21/10
Elche; 16/5; 3; 29/10; 3; 10/3; 11/4; 16/5; 11/4; 14/5; 16/5; 14/5; 3; 16/5; 11/4; 3; 3; 41/13; 41/13; 31/10; 3; 41/13; 17/5; 12/5; 41/13; 14/5; ; 3; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-15 16:25:04 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 1; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 10/11; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; 1; ; 1; 1; 21/20
Draw; 11/5; 2; 2; 2; 21/10; 41/20; 85/40; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 11/5; ; 2; 2; 21/10
Elche; 3; 14/5; 14/5; 3; 3; 11/4; 31/10; 11/4; 14/5; 16/5; 11/4; 3; 3; 27/10; 3; 3; 41/13; 41/13; 31/10; 3; 31/10; 17/5; 12/5; 41/13; 14/5; ; 3; 13/5; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-15 20:25:26 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 1; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 10/11; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; 1; ; 1; 1; 21/20
Draw; 11/5; 21/10; 2; 2; 21/10; 41/20; 85/40; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 11/5; ; 2; 2; 21/10
Elche; 3; 14/5; 14/5; 3; 3; 11/4; 31/10; 11/4; 14/5; 16/5; 11/4; 3; 3; 27/10; 3; 3; 31/10; 41/13; 31/10; 3; 31/10; 17/5; 12/5; 41/13; 14/5; ; 14/5; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-16 00:24:52 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 1; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 10/11; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 21/20; 1; 1; ; 1; 1; 21/20
Draw; 11/5; 21/10; 2; 2; 21/10; 41/20; 85/40; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 11/5; ; 2; 2; 21/10
Elche; 3; 14/5; 14/5; 3; 3; 11/4; 31/10; 11/4; 14/5; 16/5; 11/4; 3; 3; 27/10; 3; 3; 31/10; 41/13; 31/10; 3; 31/10; 17/5; 23/10; 41/13; 14/5; ; 3; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-16 04:25:06 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 1; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 10/11; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 1; 1; 19/20; 1; 1; 27/25; 21/20; 1; 1; ; 1; 20/21; 21/20
Draw; 11/5; 21/10; 2; 2; 21/10; 41/20; 85/40; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 21/10; 21/10; 21/10; 11/5; ; 21/10; 2; 21/10
Elche; 3; 14/5; 14/5; 3; 3; 11/4; 31/10; 11/4; 14/5; 3; 11/4; 3; 3; 11/4; 3; 3; 31/10; 41/13; 31/10; 3; 31/10; 17/5; 23/10; 41/13; 14/5; ; 14/5; 27/10; 3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-16 08:24:56 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 1; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 11/10; 21/20; 1; 1; 1; 1; 1; 1; 27/25; 21/20; 1; 1; ; 1; 21/20; 21/20
Draw; 11/5; 21/10; 2; 2; 21/10; 41/20; 85/40; 2; 2; 2; 2; 2; ; 11/5; 2; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; ; 21/10; 21/10; 21/10
Elche; 3; 14/5; 14/5; 3; 3; 11/4; 31/10; 11/4; 14/5; 3; 27/10; 3; ; 27/10; 3; 3; 58/19; 41/13; 31/10; 3; 58/19; 17/5; 13/5; 41/13; 14/5; ; 3; 3; 3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-16 12:26:57 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 1; 1; 21/20; 21/20; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 11/10; 1; 21/20; 11/10; 21/20; 1; 1; 1; 1; 1; 1; 27/25; 21/20; 1; 1; ; 21/20; 21/20; 11/10
Draw; 11/5; 21/10; 2; 2; 21/10; 41/20; 85/40; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; ; 2; 21/10; 11/5
Elche; 3; 14/5; 11/4; 3; 3; 11/4; 31/10; 11/4; 14/5; 3; 27/10; 3; 3; 13/5; 3; 3; 31/10; 41/13; 31/10; 3; 31/10; 17/5; 13/5; 41/13; 14/5; ; 3; 3; 3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-16 16:28:43 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 1; 21/20; 21/20; 21/20; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; 1; 21/20; 11/10; 21/20; 1; 21/20; 1; 1; 1; ; 27/25; 21/20; 1; 21/20; ; 21/20; 21/20; 23/20
Draw; 11/5; 2; 2; 2; 21/10; 41/20; 85/40; 2; 2; 2; 2; 2; 21/10; 21/10; 2; 2; 39/19; 21/10; 11/5; 21/10; ; 21/10; 21/10; 21/10; 2; ; 2; 21/10; 21/10
Elche; 3; 14/5; 14/5; 14/5; 3; 11/4; 31/10; 11/4; 14/5; 3; 27/10; 3; 3; 27/10; 3; 3; 58/19; 41/13; 31/10; 3; ; 17/5; 13/5; 41/13; 14/5; ; 3; 3; 3
