META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-02 04:24:02 GMT+3; 2017-04-01 07:00; e70300-dr003
Yokohama F-Marinos; 7/5; 29/20; 29/20; 29/20; 7/5; 27/20; 7/5; 7/5; ; ; 7/5; 7/5; 29/20; ; ; 7/5; 16/11; ; 6/4; 16/11; ; 26/19; 6/4; 7/5; 6/4; ; ; 7/5; 6/4
Sutton 3-0; 25; 25; 25; 28; 25; 28; 30; 25; 28; 25; 28; 25; 33; 28; 22; 25; 49/2; 25; 23; 49/2; ; 30; 23; ; 23; ; ; 31; 
Sutton 3-2; 28; 28; 25; 33; 25; 28; 30; 25; 28; 25; 28; 25; 25; 25; 22; 25; 59/2; 25; 30; 59/2; ; 30; 30; ; 30; ; ; 29; 
Woking 3-2; 28; 33; 25; 28; 25; 28; 30; 25; 28; 25; 28; 25; 25; 25; 22; 25; 59/2; 25; 30; 59/2; ; 30; 30; ; 30; ; ; 30; 
Any Other Score; ; ; 28; ; ; ; ; 30; 40; ; ; ; ; ; ; ; ; 25; ; ; ; 30; ; ; ; ; ; ; 
Woking 4-1; 40; 50; 45; 50; 50; 50; 60; 60; 50; 50; 55; 50; 50; 45; 50; 40; 191/4; 40; 50; 191/4; ; 50; 50; ; 50; ; ; ; 
Draw 3-3; 40; 50; 45; 66; 50; 66; 55; 50; 50; 50; 50; 40; 50; 40; 40; 40; 103/2; 50; 66; 103/2; ; 60; 66; ; 66; ; ; 57; 
Sutton 4-1; 40; 50; 45; 50; 50; 50; 55; 60; 50; 50; 50; 40; 50; 45; 50; 40; 93/2; 66; 50; 93/2; ; 60; 50; ; 50; ; ; ; 
Sutton 4-0; 50; 66; 60; 66; 66; 80; 70; 90; 80; 66; 66; 50; 66; 80; 66; 50; 55; 80; 55; 55; ; 80; 55; ; 55; ; ; ; 
Woking 4-0; 50; 66; 60; 66; 66; 66; 70; 90; 80; 66; 66; 66; 66; 80; 50; 50; 225/4; 80; 60; 225/4; ; 70; 60; ; 60; ; ; ; 
Sutton 4-2; 50; 66; 60; 66; 66; 80; 70; 80; 80; 66; 66; 50; 60; 70; 50; 50; 60; 100; 75; 60; ; 90; 75; ; 75; ; ; ; 
Woking 4-2; 50; 80; 60; 66; 66; 80; 70; 80; 80; 66; 66; 50; 60; 70; 50; 50; 245/4; 100; 80; 245/4; ; 80; 80; ; 80; ; ; ; 
Woking 4-3; 100; 150; 100; 125; 100; 150; 110; 125; ; 100; 100; 100; 100; 100; 100; 100; 169/2; 150; 180; 169/2; ; 160; 180; ; 180; ; ; ; 
Sutton 4-3; 100; 150; 100; 125; 100; 150; 110; 125; ; 100; 100; 80; 100; 100; 100; 100; 333/4; 200; 160; 333/4; ; 170; 160; ; 160; ; ; ; 
Sutton 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 5-1; 100; 150; ; 200; 125; 200; 150; 225; 100; 125; 125; 100; 125; 150; 100; 100; 343/4; ; 140; 343/4; ; ; 140; ; 140; ; ; ; 
Woking 5-1; 100; 150; ; 150; ; 150; 150; 225; 100; 125; 125; 100; 125; 150; 100; 100; 87; ; 150; 87; ; ; 150; ; 150; ; ; ; 
Sutton 5-2; 150; 200; ; 200; ; ; 150; 250; ; 175; 125; 100; 150; 200; 150; 125; 191/2; ; 225; 191/2; ; ; 225; ; 225; ; ; ; 
Woking 5-2; 150; 200; ; 200; ; ; 150; 275; ; 175; 125; 100; 150; 200; 150; 125; ; ; 225; ; ; ; 225; ; 225; ; ; ; 
Sutton 5-0; 150; 200; ; 200; ; ; 150; 325; 100; 175; 125; 100; 150; 200; 200; 125; 367/4; ; 160; 367/4; ; ; 160; ; 160; ; ; ; 
Woking 5-0; 150; 200; ; 200; ; ; 150; 325; 100; 175; 125; 100; 150; 200; 150; 125; 93; ; 180; 93; ; ; 180; ; 180; ; ; ; 
Draw 4-4; 250; 250; 200; 200; ; ; 175; 275; ; 200; 150; 150; 150; 250; 200; 150; ; 250; 400; ; ; 200; 400; ; 400; ; ; ; 
Sutton 5-3; 350; 250; ; ; ; ; 175; 425; ; 250; 150; 150; 175; 250; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 5-3; 350; 250; ; ; ; ; 175; 425; ; 250; 150; 150; 175; 300; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 6-3; ; ; ; ; ; ; ; ; ; 475; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 6-3; ; ; ; ; ; ; ; ; ; 475; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 5-4; ; ; ; ; ; ; ; 500; ; 400; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 6-0; ; 250; ; 500; ; ; 225; 500; 100; 375; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 6-1; 450; 250; ; 500; ; ; 225; 500; ; 325; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 6-2; ; 250; ; 500; ; ; 225; ; ; 375; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 7-0; ; ; ; 500; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 7-1; ; ; ; 500; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 5-4; ; ; ; ; ; ; ; 500; ; 400; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 6-0; ; 250; ; 500; ; ; 225; 500; 100; 375; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 6-1; 450; 250; ; 300; ; ; 225; 500; ; 325; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 6-2; ; 250; ; 500; ; ; 225; ; ; 375; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 7-0; ; ; ; 500; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 7-1; ; ; ; 500; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-02 16:20:43 GMT+3; 2017-04-03 17:30; e70300-dr003
Rostov; 6/4; 29/20; 31/20; 6/4; ; 29/20; 29/20; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; ; 6/4; ; 6/4; ; 7/5; 6/4; 159/100; 25/18; 7/5; 7/5; 7/5; ; 7/5; 7/5; 
Draw; 2; 2; 19/10; 19/10; ; 39/20; 2; 15/8; 15/8; 19/10; 19/10; 2; 2; ; 2; ; 37/19; ; 19/10; 37/19; 21/10; 133/67; 37/19; 15/8; 37/19; ; 19/10; 19/10; 
FK Krasnodar; 2; 19/10; 39/20; 19/10; ; 15/8; 2; 15/8; 9/5; 2; 15/8; 9/5; 2; ; 15/8; ; 2; ; 21/10; 2; 54/25; 19/11; 21/10; 15/8; 21/10; ; 19/10; 19/10; 
META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-03 04:18:57 GMT+3; 2017-04-09 15:00; e70300-dr003
Elche; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; 
META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-03 08:19:35 GMT+3; 2017-03-31 17:00; e70300-dr003
Hajduk Split; 17/20; 4/5; 10/11; ; 5/6; 5/6; 20/23; 4/5; 5/6; 17/20; ; 20/23; 5/6; ; 5/6; ; 10/13; 9/10; 4/5; 10/13; ; 13/15; 4/5; 4/5; 4/5; ; 4/5; 5/6; 
Draw; 12/5; 11/5; 11/5; ; 12/5; 23/10; 12/5; 23/10; 9/4; 23/10; ; 21/10; 23/10; ; 12/5; ; 9/4; 11/5; 12/5; 9/4; ; 11/5; 12/5; 23/10; 12/5; ; 9/4; 9/4; 
Inter Zapresic; 10/3; 3; 16/5; ; 11/4; 14/5; 33/10; 3; 3; 16/5; ; 3; 16/5; ; 3; ; 41/13; 16/5; 3; 41/13; ; 45/17; 3; 16/5; 3; ; 3; 21/10; 
META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-05 11:31:24 GMT+3; 2017-04-09 15:00; e70300-dr003
Elche; 17/20; 5/6; 9/10; ; 10/11; 5/6; ; 4/5; 4/5; 17/20; 20/23; 20/23; 17/20; 17/20; 10/11; 11/13; 13/15; 11/13; 5/6; 13/15; 23/25; 7/8; 7/8; ; 9/10; ; 5/6; 5/6; 10/11
Draw; 11/5; 11/5; 43/20; ; 23/10; 43/20; ; 9/4; 11/5; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 23/10; 21/10; 11/5; ; 9/4; ; 21/10; 9/4; 23/10
Sevilla B; 15/4; 16/5; 16/5; ; 10/3; 3; ; 16/5; 3; 7/2; 16/5; 16/5; 7/2; 3; 16/5; 10/3; 17/5; 17/5; 10/3; 17/5; 77/20; 58/19; 57/17; ; 17/5; ; 3; 3; 7/2
META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-05 16:24:51 GMT+3; 2017-04-09 15:00; e70300-dr003
Elche; 17/20; 5/6; 9/10; 19/20; 10/11; 5/6; ; 4/5; 4/5; 17/20; 10/11; 20/23; 10/11; 17/20; 10/11; 10/11; 13/15; 11/13; 5/6; 13/15; 23/25; 7/8; 7/8; 17/20; 9/10; ; 5/6; 9/10; 10/11
Draw; 11/5; 11/5; 43/20; 11/5; 23/10; 43/20; ; 9/4; 11/5; 11/5; 11/5; 11/5; 23/10; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 23/10; 21/10; 11/5; 9/4; 9/4; ; 21/10; 21/10; 23/10
Sevilla B; 15/4; 16/5; 16/5; 14/5; 10/3; 16/5; ; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 3; 16/5; 16/5; 17/5; 17/5; 10/3; 17/5; 77/20; 58/19; 57/17; 16/5; 17/5; ; 3; 3; 7/2
META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-06 11:28:14 GMT+3; 2017-04-09 15:00; e70300-dr003
Elche; 17/20; 5/6; 9/10; 19/20; 10/11; 5/6; ; 4/5; 5/6; 17/20; 10/11; 20/23; 9/10; 17/20; 10/11; 11/13; 13/15; 11/13; 5/6; 13/15; 23/25; 7/8; 7/8; 17/20; 9/10; ; 5/6; 9/10; 10/11
Draw; 11/5; 11/5; 43/20; 11/5; 23/10; 43/20; ; 9/4; 85/40; 11/5; 11/5; 11/5; 23/10; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 23/10; 21/10; 11/5; 9/4; 9/4; ; 21/10; 21/10; 23/10
Sevilla B; 15/4; 16/5; 16/5; 14/5; 10/3; 16/5; ; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 3; 16/5; 10/3; 38/11; 17/5; 10/3; 38/11; 77/20; 58/19; 57/17; 16/5; 17/5; ; 3; 3; 7/2
META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-06 16:09:20 GMT+3; 2017-04-09 15:00; e70300-dr003
Elche; 17/20; 5/6; 9/10; 19/20; 10/11; 5/6; ; 4/5; 5/6; 17/20; 10/11; 20/23; 9/10; 17/20; 10/11; 11/13; 13/15; 11/13; 5/6; 13/15; 23/25; 7/8; 7/8; 17/20; 9/10; ; 5/6; 9/10; 10/11
Draw; 11/5; 11/5; 11/5; 11/5; 23/10; 43/20; ; 9/4; 85/40; 11/5; 11/5; 11/5; 23/10; 9/4; 9/4; 11/5; 28/13; 11/5; 11/5; 28/13; 23/10; 21/10; 11/5; 11/5; 9/4; ; 21/10; 21/10; 23/10
Sevilla B; 15/4; 16/5; 16/5; 14/5; 10/3; 16/5; ; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 3; 16/5; 10/3; 17/5; 17/5; 10/3; 17/5; 77/20; 58/19; 57/17; 16/5; 17/5; ; 3; 3; 7/2
META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-06 20:09:43 GMT+3; 2017-04-09 15:00; e70300-dr003
Elche; 17/20; 5/6; 9/10; ; 10/11; 5/6; ; 4/5; 5/6; 10/11; 20/23; 20/23; 9/10; 17/20; 10/11; 11/13; 10/11; 11/13; 5/6; 10/11; 23/25; 7/8; 7/8; 17/20; 9/10; ; 5/6; 5/6; 10/11
Draw; 11/5; 11/5; 11/5; ; 23/10; 43/20; ; 9/4; 85/40; 21/10; 11/5; 11/5; 23/10; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 23/10; 21/10; 11/5; 11/5; 9/4; ; 21/10; 21/10; 23/10
Sevilla B; 15/4; 16/5; 16/5; ; 10/3; 16/5; ; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 3; 16/5; 10/3; 38/11; 17/5; 10/3; 38/11; 77/20; 58/19; 57/17; 16/5; 17/5; ; 3; 3; 7/2
META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-07 13:11:51 GMT+3; 2017-04-09 15:00; e70300-dr003
Elche; 17/20; 5/6; 9/10; 19/20; 10/11; 5/6; ; 4/5; 5/6; 10/11; 10/11; 20/23; 9/10; 17/20; 10/11; 11/13; 10/11; 13/15; 5/6; 10/11; 23/25; 7/8; 7/8; 17/20; 9/10; ; 5/6; 5/6; 10/11
Draw; 11/5; 11/5; 11/5; 11/5; 23/10; 43/20; ; 9/4; 85/40; 21/10; 11/5; 11/5; 23/10; 9/4; 9/4; 11/5; 11/5; 23/10; 11/5; 11/5; 23/10; 21/10; 11/5; 9/4; 9/4; ; 21/10; 11/5; 23/10
Sevilla B; 15/4; 16/5; 16/5; 14/5; 10/3; 16/5; ; 16/5; 3; 7/2; 16/5; 16/5; 16/5; 3; 16/5; 10/3; 38/11; 7/2; 10/3; 38/11; 77/20; 58/19; 57/17; 16/5; 17/5; ; 3; 3; 7/2
