Wolfsburg; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Hamburg; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-31 04:23:14 GMT+3; 2017-04-03 18:00; e70300-dr003
Sevilla B; 23/20; 23/20; 5/4; 6/5; 6/5; 23/20; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; ; 13/10; 6/5; 6/5; 6/5; 23/20; 6/5; 5/4; 16/13; 7/6; ; 6/5; ; ; 23/20; 13/10
Draw; 21/10; 2; 2; 2; 21/10; 39/20; ; 2; 15/8; 2; 2; 2; 2; ; 2; 2; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; ; 2; ; ; 19/10; 21/10
Numancia; 13/5; 12/5; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; ; 23/10; 12/5; 27/11; 23/10; 13/5; 27/11; 14/5; 21/10; 13/5; ; 45/17; ; ; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-31 16:22:14 GMT+3; 2017-04-03 18:00; e70300-dr003
Sevilla B; 23/20; 23/20; 5/4; 6/5; 6/5; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; ; 13/10; 6/5; 6/5; 5/4; 23/20; 6/5; 5/4; 16/13; 7/6; 6/5; 6/5; ; 5/6; 10/9; 13/10
Draw; 21/10; 2; 2; 2; 21/10; 39/20; ; 2; 15/8; 2; 2; 2; 2; ; 2; 2; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; 2; 2; ; 6/4; 19/10; 21/10
Numancia; 13/5; 12/5; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; ; 23/10; 12/5; 27/11; 12/5; 13/5; 27/11; 14/5; 21/10; 13/5; 23/10; 45/17; ; 7/5; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-01 04:20:46 GMT+3; 2017-04-03 18:00; e70300-dr003
Sevilla B; 23/20; 23/20; 5/4; 6/5; 6/5; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; ; 13/10; 6/5; 5/4; 5/4; 23/20; 5/4; 5/4; 16/13; 7/6; 6/5; 6/5; ; 23/20; 6/5; 13/10
Draw; 21/10; 2; 2; 2; 21/10; 39/20; ; 2; 15/8; 2; 2; 2; 2; ; 2; 2; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; 2; 2; ; 19/10; 19/10; 21/10
Numancia; 13/5; 12/5; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; ; 23/10; 12/5; 5/2; 12/5; 13/5; 5/2; 14/5; 21/10; 13/5; 23/10; 45/17; ; 21/10; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-01 08:22:53 GMT+3; 2017-04-03 18:00; e70300-dr003
Sevilla B; 23/20; 23/20; 5/4; 6/5; 6/5; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; ; 13/10; 6/5; 5/4; 5/4; 23/20; 5/4; 5/4; 16/13; 7/6; 6/5; 6/5; ; 23/20; 6/5; 13/10
Draw; 21/10; 2; 2; 2; 21/10; 39/20; ; 2; 15/8; 2; 2; 2; 2; ; 2; 2; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; 2; 2; ; 19/10; 19/10; 21/10
Numancia; 13/5; 12/5; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; ; 23/10; 12/5; 5/2; 12/5; 13/5; 5/2; 14/5; 21/10; 13/5; 23/10; 45/17; ; 21/10; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-01 12:27:48 GMT+3; 2017-04-03 19:45; e70300-dr003
Draw 1-1; 11/2; 11/2; 7; 13/2; 6; 5; 13/2; 7; 11/2; 6; 6; 6; 6; 13/2; 6; 6; 27/4; 23/4; 6; 27/4; ; 6; 6; 11/2; 6; ; 32/5; 33/5; 
Celta Vigo 2-1; 15/2; 15/2; 8; 15/2; 15/2; 7; 8; 8; 15/2; 7; 15/2; 7; 7; 15/2; 15/2; 7; 31/4; 31/4; 15/2; 31/4; ; 77/10; 15/2; 15/2; 15/2; ; 39/5; 8; 
