META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-26 00:24:16 GMT+2; 2017-03-04 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-27 08:23:43 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; ; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Draw; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-27 12:25:21 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; ; ; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; 10/11; ; ; 10/11; ; ; ; ; ; 1/4; ; 
Draw; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; 11/5; ; ; 11/5; ; ; ; ; ; 20/21; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; 16/5; ; ; 16/5; ; ; ; ; ; 2/9; ; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-27 16:27:50 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 5/6; ; 17/20; 10/11; 4/5; ; ; ; 17/20; 20/23; ; 17/20; ; 10/11; ; 13/15; 11/13; ; 13/15; 93/100; ; ; ; ; 5/6; 5/6; 
Draw; 11/5; 21/10; ; 21/10; 11/5; 43/20; ; ; ; 11/5; 21/10; ; 11/5; ; 21/10; ; 11/5; 11/5; ; 11/5; 11/5; ; ; ; ; 2; 21/10; 
Sevilla B; 15/4; 10/3; ; 17/5; 7/2; 10/3; ; ; ; 7/2; 17/5; ; 15/4; ; 7/2; ; 33/10; 7/2; ; 33/10; 4; ; ; ; ; 3; 3; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-27 20:25:52 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 5/6; ; 17/20; 5/6; 4/5; ; ; 4/5; 17/20; 20/23; ; 17/20; ; 10/11; 11/13; 4/5; 11/13; 5/6; 4/5; 93/100; 13/15; 5/6; ; ; 5/6; 5/6; 
Draw; 11/5; 21/10; ; 21/10; 11/5; 21/10; ; ; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 39/19; ; ; 2; 21/10; 
Sevilla B; 15/4; 7/2; ; 17/5; 4; 10/3; ; ; 7/2; 4; 17/5; ; 15/4; ; 7/2; 7/2; 75/19; 7/2; 7/2; 75/19; 4; 25/8; 39/10; ; ; 7/2; 3; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-28 00:24:05 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 5/6; ; 17/20; 5/6; 4/5; ; ; 4/5; 17/20; 20/23; ; 17/20; ; 10/11; 11/13; 4/5; 11/13; 5/6; 4/5; 93/100; 13/15; 5/6; ; ; 5/6; 5/6; 
Draw; 11/5; 21/10; ; 21/10; 11/5; 21/10; ; ; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 39/19; ; ; 2; 21/10; 
Sevilla B; 15/4; 7/2; ; 17/5; 4; 10/3; ; ; 7/2; 4; 17/5; ; 15/4; ; 7/2; 7/2; 75/19; 7/2; 7/2; 75/19; 4; 25/8; 39/10; ; ; 7/2; 3; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-28 04:24:22 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; ; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; ; 17/20; ; 10/11; 4/5; 4/5; 11/13; 5/6; ; 93/100; 13/15; 5/6; ; ; 4/5; 4/5; 
Draw; 11/5; 21/10; ; 21/10; 11/5; 21/10; ; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 21/10; 11/5; 2; ; 11/5; 21/10; 39/19; ; ; 2; 11/5; 
Sevilla B; 15/4; 15/4; ; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; ; 15/4; ; 7/2; 7/2; 75/19; 7/2; 7/2; ; 4; 25/8; 39/10; ; ; 7/2; 3; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-28 08:24:00 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; ; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; ; 17/20; ; 10/11; 4/5; 4/5; 11/13; 5/6; 4/5; 93/100; 13/15; 5/6; ; ; 4/5; 4/5; 
Draw; 11/5; 21/10; ; 21/10; 11/5; 21/10; ; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; ; ; 2; 11/5; 
Sevilla B; 15/4; 15/4; ; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; ; 15/4; ; 7/2; 7/2; 39/10; 7/2; 7/2; 39/10; 4; 25/8; 39/10; ; ; 7/2; 3; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-28 12:25:22 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; ; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; ; 17/20; ; 10/11; 4/5; 5/6; 11/13; ; 5/6; 93/100; 13/15; ; ; ; 4/5; 4/5; 
Draw; 11/5; 21/10; ; 21/10; 11/5; 21/10; ; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 28/13; 11/5; ; 28/13; 11/5; 21/10; ; ; ; 2; 11/5; 
Sevilla B; 15/4; 15/4; ; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; ; 15/4; ; 7/2; 7/2; 50/13; 7/2; ; 50/13; 4; 25/8; ; ; ; 7/2; 3; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-28 16:26:08 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; ; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; ; 17/20; ; 10/11; 4/5; 5/6; 11/13; 5/6; 5/6; 93/100; 13/15; 5/6; ; ; 4/5; 4/5; 
Draw; 11/5; 21/10; ; 21/10; 11/5; 21/10; ; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; ; ; 2; 11/5; 
Sevilla B; 15/4; 15/4; ; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; ; 15/4; ; 7/2; 7/2; 50/13; 7/2; 7/2; 50/13; 4; 25/8; 39/10; ; ; 7/2; 3; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-28 20:25:41 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; ; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; ; 17/20; ; 10/11; 4/5; 4/5; 11/13; 5/6; 4/5; 93/100; 13/15; 5/6; ; ; 4/5; 4/5; 5/6
Draw; 11/5; 21/10; ; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; ; ; 2; 9/4; 9/4
Sevilla B; 15/4; 15/4; ; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; ; 15/4; ; 7/2; 7/2; 50/13; 7/2; 7/2; 50/13; 4; 25/8; 39/10; ; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-01 00:23:17 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; ; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; ; 17/20; ; 10/11; 4/5; 4/5; 11/13; 5/6; 4/5; 93/100; 13/15; 5/6; ; ; 4/5; 4/5; 5/6
Draw; 11/5; 21/10; ; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; ; ; 2; 9/4; 9/4
Sevilla B; 15/4; 15/4; ; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; ; 15/4; ; 7/2; 7/2; 39/10; 7/2; 7/2; 39/10; 4; 25/8; 39/10; ; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-01 04:23:01 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; ; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; ; 17/20; ; 10/11; 4/5; 4/5; 11/13; 5/6; 4/5; 93/100; 13/15; 5/6; ; ; 4/5; 4/5; 5/6
Draw; 11/5; 21/10; ; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; ; ; 2; 9/4; 23/10
Sevilla B; 15/4; 15/4; ; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; ; 15/4; ; 7/2; 7/2; 39/10; 7/2; 7/2; 39/10; 4; 25/8; 39/10; ; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-01 08:23:15 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; ; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; ; 17/20; ; 10/11; 4/5; 4/5; 11/13; ; 4/5; 93/100; 13/15; 5/6; ; ; 4/5; 4/5; 5/6
Draw; 11/5; 21/10; ; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 28/13; 11/5; ; 28/13; 11/5; 21/10; 39/19; ; ; 2; 9/4; 23/10
Sevilla B; 15/4; 15/4; ; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; ; 15/4; ; 7/2; 7/2; 39/10; 7/2; ; 39/10; 4; 25/8; 39/10; ; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-01 12:25:08 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; ; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; ; 17/20; ; 10/11; 4/5; 4/5; 11/13; 5/6; 4/5; 93/100; 16/19; 5/6; ; ; 4/5; 4/5; 5/6
Draw; 11/5; 21/10; ; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; ; ; 2; 9/4; 23/10
Sevilla B; 15/4; 15/4; ; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; ; 15/4; ; 7/2; 7/2; 50/13; 7/2; 7/2; 50/13; 4; 16/5; 39/10; ; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-01 16:23:19 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; ; 10/11; 4/5; 4/5; 11/13; 5/6; 4/5; 93/100; 16/19; 5/6; 4/5; ; 4/5; 4/5; 5/6
Draw; 11/5; 21/10; 43/20; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; ; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; 21/10; ; 2; 9/4; 23/10
Sevilla B; 15/4; 15/4; 18/5; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; 15/4; 15/4; ; 7/2; 7/2; 50/13; 7/2; 7/2; 50/13; 4; 16/5; 39/10; 7/2; ; 7/2; 14/5; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-01 20:25:06 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 5/6; 10/11; 4/5; 5/6; 11/13; 5/6; 5/6; 93/100; 16/19; 5/6; 5/6; ; 5/6; 4/5; 5/6
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 21/10; 39/19; 21/10; ; 2; 9/4; 23/10
Sevilla B; 15/4; 15/4; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; 15/4; 15/4; 16/5; 7/2; 7/2; 75/19; 7/2; 7/2; 75/19; 4; 16/5; 39/10; 7/2; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-02 00:23:14 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 5/6; 10/11; 4/5; 5/6; 11/13; 5/6; 5/6; 93/100; 16/19; 5/6; 5/6; ; 5/6; 4/5; 5/6
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 21/10; 39/19; 21/10; ; 2; 9/4; 23/10
Sevilla B; 15/4; 15/4; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; 15/4; 15/4; 16/5; 7/2; 7/2; 75/19; 7/2; 7/2; 75/19; 4; 16/5; 39/10; 7/2; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-02 04:23:30 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 5/6; 10/11; 4/5; 5/6; 11/13; 5/6; 5/6; 93/100; 16/19; 5/6; 5/6; ; 5/6; 4/5; 5/6
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 21/10; 39/19; 21/10; ; 21/10; 9/4; 23/10
Sevilla B; 15/4; 15/4; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; 15/4; 15/4; 16/5; 7/2; 7/2; 75/19; 7/2; 7/2; 75/19; 4; 16/5; 39/10; 7/2; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-02 08:23:04 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 5/6; 10/11; 4/5; 5/6; 11/13; 5/6; 5/6; 93/100; 16/19; 5/6; 5/6; ; 5/6; 4/5; 5/6
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 21/10; 39/19; 21/10; ; 21/10; 9/4; 23/10
Sevilla B; 15/4; 15/4; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; 15/4; 15/4; 16/5; 7/2; 7/2; 75/19; 7/2; 7/2; 75/19; 4; 16/5; 39/10; 7/2; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-02 12:24:08 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 5/6; 10/11; 4/5; 5/6; 11/13; 5/6; 5/6; 93/100; 16/19; 5/6; 5/6; ; 5/6; 4/5; 5/6
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 21/10; 39/19; 21/10; ; 21/10; 9/4; 23/10
Sevilla B; 15/4; 15/4; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; 15/4; 15/4; 16/5; 7/2; 7/2; 75/19; 7/2; 7/2; 75/19; 4; 16/5; 39/10; 7/2; ; 7/2; 10/3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-02 16:23:24 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 5/6; 10/11; 4/5; 5/6; 11/13; 5/6; 5/6; 93/100; 16/19; 5/6; 5/6; ; 5/6; 4/5; 5/6
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 21/10; 39/19; 21/10; ; 21/10; 9/4; 23/10
Sevilla B; 15/4; 15/4; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; 15/4; 15/4; 16/5; 7/2; 7/2; 75/19; 7/2; 7/2; 75/19; 4; 16/5; 39/10; 7/2; ; 7/2; 10/3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-02 20:26:38 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 17/20; 10/11; 4/5; 5/6; 11/13; 5/6; 5/6; 93/100; 16/19; 5/6; 5/6; ; 5/6; 4/5; 5/6
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 12/5; 21/10; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 21/10; 39/19; 21/10; ; 11/5; 9/4; 23/10
Sevilla B; 15/4; 15/4; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; 15/4; 15/4; 10/3; 7/2; 7/2; 75/19; 7/2; 7/2; 75/19; 4; 16/5; 39/10; 15/4; ; 7/2; 10/3; 21/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-03 00:23:36 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 17/20; 10/11; 5/6; 13/15; 11/13; 5/6; 13/15; 93/100; 16/19; 5/6; 17/20; ; 5/6; 5/6; 10/11
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 21/10; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 12/5; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; 21/10; ; 21/10; 21/10; 23/10
Sevilla B; 15/4; 15/4; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 15/4; 7/2; 15/4; 15/4; 10/3; 7/2; 7/2; 50/13; 7/2; 7/2; 50/13; 4; 16/5; 39/10; 7/2; ; 7/2; 10/3; 4
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-03 04:23:56 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 5/6; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 17/20; 10/11; 5/6; 13/15; 11/13; 5/6; 13/15; 93/100; 16/19; 5/6; 17/20; ; 5/6; 5/6; 10/11
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 21/10; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 12/5; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; 21/10; ; 21/10; 21/10; 23/10
Sevilla B; 15/4; 7/2; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 15/4; 7/2; 15/4; 15/4; 10/3; 7/2; 7/2; 50/13; 7/2; 7/2; 50/13; 4; 16/5; 39/10; 7/2; ; 7/2; 10/3; 4
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-03 08:23:21 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 5/6; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 17/20; 10/11; 5/6; 13/15; 11/13; 5/6; 13/15; 93/100; 16/19; 5/6; 17/20; ; 5/6; 5/6; 10/11
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 21/10; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 12/5; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; 21/10; ; 21/10; 21/10; 23/10
Sevilla B; 15/4; 7/2; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 15/4; 7/2; 15/4; 15/4; 10/3; 7/2; 7/2; 50/13; 7/2; 7/2; 50/13; 4; 16/5; 39/10; 7/2; ; 7/2; 10/3; 4
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-03 12:25:21 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 5/6; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 17/20; 10/11; 5/6; 13/15; 11/13; 5/6; 13/15; 93/100; 16/19; 5/6; 17/20; ; 5/6; 5/6; 10/11
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 21/10; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 12/5; 21/10; 11/5; 28/13; 11/5; 2; 28/13; 11/5; 21/10; 39/19; 21/10; ; 21/10; 21/10; 23/10
Sevilla B; 15/4; 7/2; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 15/4; 7/2; 15/4; 15/4; 10/3; 7/2; 7/2; 50/13; 7/2; 7/2; 50/13; 4; 16/5; 39/10; 7/2; ; 7/2; 10/3; 4
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-03 16:27:12 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 5/6; 17/20; 5/6; 4/5; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 17/20; 10/11; 5/6; 5/6; 13/15; 5/6; 5/6; 93/100; 16/19; 5/6; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 21/10; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 12/5; 21/10; 11/5; 28/13; 9/4; 2; 28/13; 11/5; 21/10; 39/19; 11/5; ; 21/10; 21/10; 23/10
