META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-12 04:25:03 GMT+2; 2017-02-19 11:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 4/9; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; 20/21; ; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-13 12:25:26 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 11/10; ; ; ; 11/10; ; ; ; ; 1; ; 11/10; ; ; ; ; 11/10; ; ; 11/10; 57/50; ; ; ; ; 21/20; ; 
Draw; 21/10; ; ; ; 11/5; ; ; ; ; 9/4; ; 9/4; ; ; ; ; 21/10; ; ; 21/10; 11/5; ; ; ; ; 11/8; ; 
Sevilla B; 11/4; ; ; ; 11/4; ; ; ; ; 5/2; ; 12/5; ; ; ; ; 45/17; ; ; 45/17; 3; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-13 16:25:53 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 21/20; 11/10; ; ; 23/20; 21/20; ; ; ; 23/20; 11/10; 11/10; 11/10; ; 23/20; ; 11/10; 11/10; ; 11/10; 57/50; 10/9; ; ; ; 11/10; 1; 
Draw; 11/5; 21/10; ; ; 11/5; 21/10; ; ; ; 21/10; 21/10; 21/10; 11/5; ; 21/10; ; 11/5; 21/10; ; 11/5; 11/5; 11/5; ; ; ; 2; 11/5; 
Sevilla B; 14/5; 5/2; ; ; 13/5; 23/10; ; ; ; 13/5; 12/5; 5/2; 13/5; ; 5/2; ; 13/5; 5/2; ; 13/5; 3; 11/5; ; ; ; 9/4; 23/10; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-13 20:27:23 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 17/20; 10/11; ; 19/20; 20/21; 9/10; ; ; ; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; ; 10/11; 10/11; ; 10/11; 53/50; 19/20; ; ; ; 10/11; 10/11; 
Draw; 11/5; 85/40; ; 11/5; 9/4; 11/5; ; ; ; 11/5; 21/10; 11/5; 23/10; 12/5; 9/4; ; 9/4; 11/5; ; 9/4; 11/5; 11/5; ; ; ; 9/4; 23/10; 
Sevilla B; 15/4; 3; ; 14/5; 10/3; 14/5; ; ; ; 16/5; 14/5; 14/5; 16/5; 13/5; 3; ; 13/4; 31/10; ; 13/4; 33/10; 45/17; ; ; ; 5/2; 5/2; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-14 00:24:55 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 17/20; 10/11; ; 19/20; 20/21; 9/10; ; ; ; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; ; 10/11; 10/11; ; 10/11; 51/50; 19/20; ; ; ; 10/11; 10/11; 
Draw; 11/5; 11/5; ; 11/5; 23/10; 11/5; ; ; ; 11/5; 21/10; 11/5; 23/10; 12/5; 9/4; ; 9/4; 11/5; ; 9/4; 11/5; 11/5; ; ; ; 9/4; 23/10; 
Sevilla B; 15/4; 3; ; 14/5; 3; 14/5; ; ; ; 16/5; 14/5; 14/5; 16/5; 13/5; 3; ; 13/4; 31/10; ; 13/4; 7/2; 45/17; ; ; ; 5/2; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-14 04:24:48 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; ; 19/20; 20/21; 9/10; ; 5/6; ; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; ; 10/11; 10/11; ; 10/11; 51/50; 19/20; ; ; ; 10/11; 10/11; 
Draw; 11/5; 11/5; ; 11/5; 23/10; 11/5; ; 11/5; ; 11/5; 21/10; 11/5; 23/10; 12/5; 9/4; ; 9/4; 11/5; ; 9/4; 11/5; 11/5; ; ; ; 9/4; 11/5; 
Sevilla B; 16/5; 3; ; 14/5; 3; 14/5; ; 3; ; 16/5; 14/5; 14/5; 16/5; 13/5; 3; ; 13/4; 31/10; ; 13/4; 7/2; 45/17; ; ; ; 5/2; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-14 08:24:52 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; ; 19/20; 20/21; 9/10; ; 5/6; ; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; ; 10/11; 10/11; ; 10/11; 51/50; 19/20; ; ; ; 10/11; 10/11; 
Draw; 11/5; 11/5; ; 11/5; 23/10; 11/5; ; 11/5; ; 11/5; 21/10; 11/5; 23/10; 12/5; 9/4; ; 9/4; 11/5; ; 9/4; 11/5; 11/5; ; ; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; ; 14/5; 3; 14/5; ; 3; ; 16/5; 14/5; 14/5; 16/5; 13/5; 3; ; 16/5; 31/10; ; 16/5; 7/2; 45/17; ; ; ; 5/2; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-14 12:27:37 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; ; 19/20; 20/21; 9/10; ; 5/6; ; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; ; 19/20; 10/11; ; 19/20; 51/50; 19/20; ; ; ; 10/11; 10/11; 
Draw; 11/5; 11/5; ; 11/5; 23/10; 11/5; ; 11/5; ; 21/10; 21/10; 11/5; 23/10; 12/5; 9/4; ; 11/5; 11/5; ; 11/5; 11/5; 11/5; ; ; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; ; 14/5; 3; 14/5; ; 3; ; 10/3; 14/5; 14/5; 16/5; 13/5; 3; ; 13/4; 31/10; ; 16/5; 7/2; 45/17; ; ; ; 5/2; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-14 16:26:19 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; ; 19/20; 20/21; 9/10; ; 5/6; ; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; ; 19/20; 10/11; 20/21; 19/20; 51/50; 19/20; 28/29; ; ; 10/11; 10/11; 
Draw; 11/5; 11/5; ; 11/5; 23/10; 11/5; ; 11/5; ; 21/10; 21/10; 11/5; 23/10; 12/5; 9/4; ; 11/5; 11/5; 2; 11/5; 11/5; 11/5; 39/19; ; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; ; 14/5; 3; 14/5; ; 3; ; 10/3; 14/5; 14/5; 16/5; 13/5; 3; ; 16/5; 31/10; 3; 16/5; 7/2; 45/17; 31/10; ; ; 11/4; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-14 20:27:17 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; ; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 19/20; 28/29; ; ; 10/11; 10/11; 
Draw; 11/5; 85/40; 11/5; 11/5; 9/4; 11/5; ; 11/5; ; 21/10; 21/10; 11/5; 23/10; 12/5; 9/4; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 11/5; 39/19; ; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; ; 10/3; 14/5; 14/5; 16/5; 13/5; 3; 3; 16/5; 31/10; 3; 16/5; 7/2; 45/17; 31/10; ; ; 11/4; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-15 00:26:08 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 19/20; 28/29; 10/11; ; 10/11; 10/11; 
Draw; 11/5; 85/40; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 21/10; 11/5; 23/10; 12/5; 9/4; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 11/5; 39/19; 23/10; ; 9/4; 9/4; 
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 14/5; 14/5; 16/5; 13/5; 3; 3; 16/5; 31/10; 3; 16/5; 7/2; 45/17; 31/10; 14/5; ; 11/4; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-15 04:23:24 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 19/20; 28/29; 10/11; ; 10/11; 10/11; 
Draw; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 21/10; 11/5; 23/10; 12/5; 9/4; 11/5; 11/5; 11/5; 2; 11/5; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 14/5; 14/5; 16/5; 13/5; 3; 3; 16/5; 31/10; 3; 16/5; 7/2; 45/17; 31/10; 14/5; ; 11/4; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-15 08:23:17 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 10/11; 19/20; 10/11; 20/21; 19/20; 51/50; 19/20; 28/29; 10/11; ; 10/11; 10/11; 
Draw; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 9/4; 11/5; 11/5; 2; 11/5; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 14/5; 14/5; 16/5; 13/5; 3; 3; 16/5; 31/10; 3; 16/5; 7/2; 45/17; 31/10; 14/5; ; 14/5; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-15 12:26:19 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 10/11; 19/20; 10/11; 20/21; 19/20; 51/50; 19/20; 28/29; 17/20; ; 10/11; 10/11; 
Draw; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 9/4; 11/5; 11/5; 2; 11/5; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 14/5; 14/5; 16/5; 13/5; 3; 3; 16/5; 31/10; 3; 16/5; 7/2; 45/17; 31/10; 14/5; ; 14/5; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-15 16:24:02 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 10/11; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 19/20; 28/29; 17/20; ; 10/11; 10/11; 
Draw; 11/5; 11/5; 41/20; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 27/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 14/5; 14/5; 16/5; 13/5; 3; 3; 13/4; 31/10; 3; 13/4; 7/2; 45/17; 31/10; 14/5; ; 11/4; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-15 20:26:01 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 10/11; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 10/11; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 13/14; 28/29; 10/11; ; 10/11; 10/11; 
Draw; 11/5; 11/5; 41/20; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 27/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 14/5; 3; 16/5; 13/5; 3; 3; 13/4; 31/10; 3; 13/4; 7/2; 27/10; 31/10; 14/5; ; 14/5; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-16 00:23:37 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 10/11; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 13/14; 28/29; 10/11; ; 10/11; 10/11; 
Draw; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 14/5; 3; 16/5; 13/5; 3; 3; 13/4; 31/10; 3; 13/4; 7/2; 27/10; 31/10; 14/5; ; 14/5; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-16 04:23:19 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 13/14; 28/29; 10/11; ; 10/11; 10/11; 
Draw; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 14/5; 14/5; 16/5; 13/5; 3; 3; 13/4; 31/10; 3; 13/4; 7/2; 27/10; 31/10; 14/5; ; 14/5; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-16 08:23:24 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 10/11; 19/20; 10/11; 20/21; 19/20; 51/50; 13/14; 28/29; 10/11; ; 10/11; 10/11; 
Draw; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 9/4; 9/4; 11/5; 2; 9/4; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 14/5; 14/5; 16/5; 13/5; 3; 3; 33/10; 31/10; 3; 33/10; 7/2; 27/10; 31/10; 14/5; ; 14/5; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-16 12:25:06 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 13/14; 28/29; 10/11; ; 10/11; 10/11; 
Draw; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 14/5; 14/5; 16/5; 13/5; 3; 3; 13/4; 31/10; 3; 13/4; 7/2; 27/10; 31/10; 14/5; ; 14/5; 13/5; 
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-16 16:24:44 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 13/14; 28/29; 10/11; ; 10/11; 10/11; 20/21
Draw; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 16/5; 14/5; 14/5; 16/5; 13/5; 3; 3; 13/4; 31/10; 3; 13/4; 7/2; 27/10; 31/10; 14/5; ; 14/5; 13/5; 10/3
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-16 20:25:20 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 13/14; 28/29; 10/11; ; 10/11; 10/11; 20/21
Draw; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 9/4
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 16/5; 14/5; 14/5; 16/5; 13/5; 3; 3; 13/4; 31/10; 3; 13/4; 7/2; 27/10; 31/10; 14/5; ; 14/5; 13/5; 10/3
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-17 00:24:16 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 9/10; ; 5/6; 9/10; 20/21; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 19/20; 10/11; 20/21; 19/20; 51/50; 13/14; 28/29; 10/11; ; 10/11; 10/11; 20/21
Draw; 11/5; 85/40; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 21/10; 11/5; 11/5; 23/10; 12/5; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 11/5; 11/5; 39/19; 23/10; ; 9/4; 23/10; 9/4
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 16/5; 14/5; 14/5; 16/5; 13/5; 3; 3; 13/4; 31/10; 3; 13/4; 7/2; 27/10; 31/10; 14/5; ; 14/5; 13/5; 10/3
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-17 04:23:45 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 17/20; ; 5/6; 9/10; 10/11; 10/11; 10/11; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 51/50; 13/14; 28/29; 17/20; ; 5/6; 5/6; 10/11
Draw; 11/5; 85/40; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 11/5; 11/5; 11/5; 47/20; 12/5; 9/4; 11/5; 23/10; 11/5; 2; 23/10; 11/5; 11/5; 39/19; 12/5; ; 23/10; 23/10; 23/10
Sevilla B; 16/5; 3; 29/10; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 29/10; 16/5; 16/5; 27/10; 16/5; 31/10; 17/5; 31/10; 3; 17/5; 7/2; 27/10; 31/10; 3; ; 14/5; 11/4; 7/2
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-17 08:24:00 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 17/20; ; 5/6; 9/10; 10/11; 10/11; 10/11; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 51/50; 13/14; 28/29; 17/20; ; 5/6; 5/6; 10/11
Draw; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; ; 11/5; 85/40; 11/5; 11/5; 11/5; 47/20; 12/5; 9/4; 11/5; 23/10; 23/10; 2; 23/10; 11/5; 11/5; 39/19; 12/5; ; 23/10; 23/10; 23/10
Sevilla B; 16/5; 3; 29/10; 14/5; 3; 14/5; ; 3; 14/5; 10/3; 29/10; 16/5; 16/5; 27/10; 16/5; 31/10; 17/5; 16/5; 3; 17/5; 7/2; 27/10; 31/10; 3; ; 14/5; 11/4; 7/2
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-17 12:25:31 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 19/20; 19/20; 20/21; 17/20; ; 5/6; 9/10; 10/11; 10/11; 10/11; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 51/50; 13/14; 28/29; 17/20; ; 5/6; 5/6; 10/11
Draw; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; ; 11/5; 85/40; 11/5; 11/5; 11/5; 47/20; 12/5; 9/4; 11/5; 23/10; 23/10; 2; 23/10; 11/5; 11/5; 39/19; 12/5; ; 23/10; 23/10; 23/10
Sevilla B; 16/5; 3; 29/10; 14/5; 3; 14/5; ; 3; 14/5; 10/3; 29/10; 16/5; 16/5; 27/10; 16/5; 31/10; 17/5; 16/5; 3; 17/5; 7/2; 27/10; 31/10; 3; ; 14/5; 11/4; 7/2
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-17 16:27:00 GMT+2; 2017-02-19 11:00; e70300-dr003
Huesca; 19/20; 10/11; 10/11; 19/20; 20/21; 17/20; ; 5/6; 9/10; 10/11; 10/11; 10/11; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11; 51/50; 13/14; 28/29; 17/20; ; 10/11; 5/6; 10/11
Draw; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; ; 11/5; 85/40; 11/5; 11/5; 11/5; 47/20; 23/10; 9/4; 9/4; 23/10; 23/10; 2; 23/10; 11/5; 11/5; 39/19; 12/5; ; 23/10; 23/10; 23/10
Sevilla B; 16/5; 3; 3; 14/5; 10/3; 14/5; ; 3; 14/5; 10/3; 29/10; 16/5; 16/5; 3; 16/5; 3; 17/5; 16/5; 3; 17/5; 7/2; 27/10; 31/10; 3; ; 3; 14/5; 7/2
META; spain/la-liga-segunda/huesca-v-sevilla-b; 2017-02-17 20:26:41 GMT+2; 2017-02-19 11:00; e70300-dr003
