META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-26 00:25:58 GMT+2; 2017-04-02 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Lugo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-26 04:24:41 GMT+2; 2017-04-02 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Lugo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-26 08:23:35 GMT+2; ; e70300-dr003
Sunderland; 1/12; 1/16; 1/25; 1/12; 1/12; 1/16; 1/25; 1/18; 1/16; 1/20; 1/20; 1/16; 1/20; 1/18; 1/16; 1/16; 1/16; 1/16; 1/14; 1/16; 7/100; 1/19; 1/14; ; 1/14; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Lugo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-26 16:25:05 GMT+2; ; e70300-dr003
Barcelona; 11/4; 5/2; 11/4; 13/5; 11/4; 5/2; 11/4; 11/4; 11/4; 5/2; 11/4; 13/5; 5/2; 11/4; 11/4; 5/2; 12/5; 37/13; 14/5; 12/5; 47/20; 5/2; 37/13; 11/4; 37/13; ; 14/5; ; 
Bayern Munich; 3; 3; 16/5; 10/3; 10/3; 10/3; 10/3; 3; 3; 3; 10/3; 3; 3; 3; 3; 10/3; 16/5; 41/13; 3; 16/5; 14/5; 16/5; 13/4; 3; 13/4; ; 3; ; 
Real Madrid; 11/2; 11/2; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 11/2; 5; 11/2; 5; 11/2; 11/2; 5; 5; 11/2; 26/5; 5; 28/5; 11/2; 21/4; 5; 21/4; ; 28/5; ; 
Atletico Madrid; 11/2; 6; 11/2; 11/2; 11/2; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 6; 11/2; 6; 6; 6; 23/5; 6; 11/2; 11/2; 19/4; 5; 19/4; ; 6; ; 
Borussia Dortmund; 10; 15/2; 9; 8; 9; 15/2; 9; 8; 10; 9; 17/2; 8; 9; 8; 9; 8; 10; 9; 9; 10; 9; 9; 9; 9; 9; ; 19/2; ; 
Juventus; 10; 10; 11; 11; 11; 12; 10; 12; 12; 11; 10; 10; 10; 12; 10; 10; 9; 9; 10; 9; 10; 10; 10; 10; 10; ; 10; ; 
Monaco; 16; 16; 14; 12; 16; 16; 14; 16; 12; 16; 14; 14; 14; 16; 16; 16; 16; 14; 14; 16; 14; 14; 14; 14; 14; ; 17; ; 
Leicester; 33; 33; 33; 25; 33; 33; 33; 33; 33; 33; 33; 33; 33; 33; 33; 33; 33; 40; 40; 33; 33; 40; 40; 40; 40; ; 41; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-26 20:23:14 GMT+2; 2017-03-25 15:00; e70300-dr003
Mansfield 1-0; 11/2; 11/2; 6; 6; 11/2; 5; 6; 11/2; 11/2; 11/2; 11/2; 11/2; 21/4; 6; 11/2; 11/2; 6; 21/4; 11/2; 6; ; 27/5; 11/2; 11/2; 11/2; ; 31/5; 31/5; 
Draw 1-1; 6; 11/2; 6; 13/2; 6; 11/2; 15/2; 6; 11/2; 6; 6; 6; 6; 13/2; 6; 6; 27/4; 6; 7; 27/4; ; 28/5; 7; 6; 7; ; 34/5; 33/5; 
Mansfield 2-0; 13/2; 13/2; 7; 7; 7; 6; 8; 7; 13/2; 13/2; 7; 13/2; 13/2; 7; 13/2; 13/2; 7; 13/2; 15/2; 7; ; 32/5; 15/2; 13/2; 15/2; ; 38/5; 36/5; 
Mansfield 2-1; 15/2; 7; 15/2; 15/2; 7; 13/2; 17/2; 15/2; 15/2; 7; 7; 7; 13/2; 15/2; 7; 7; 8; 15/2; 8; 8; ; 36/5; 8; 15/2; 8; ; 39/5; 39/5; 
Draw 0-0; 9; 10; 9; 10; 9; 17/2; 15/2; 17/2; 9; 9; 9; 9; 8; 10; 9; 8; 31/4; 25/4; 15/2; 31/4; ; 9; 15/2; ; 15/2; ; 52/5; 51/5; 
Mansfield 3-0; 12; 12; 12; 12; 12; 11; 13; 13; 11; 12; 12; 11; 12; 12; 11; 11; 25/2; 12; 12; 25/2; ; 12; 12; 11; 12; ; 69/5; 68/5; 
Morecambe 1-0; 12; 11; 11; 12; 12; 10; 13; 12; 11; 12; 12; 11; 12; 12; 11; 11; 47/4; 21/2; 11; 47/4; ; 11; 11; 11; 11; ; 76/5; 14; 
Mansfield 3-1; 14; 12; 13; 14; 14; 12; 15; 13; 12; 12; 14; 12; 14; 14; 12; 12; 55/4; 13; 14; 55/4; ; 13; 14; 12; 14; ; 76/5; 31/2; 
Morecambe 2-1; 14; 14; 14; 14; 14; 14; 16; 14; 14; 14; 14; 14; 14; 14; 12; 14; 15; 15; 15; 15; ; 15; 15; 14; 15; ; 88/5; 35/2; 
Draw 2-2; 16; 14; 14; 18; 14; 12; 19; 14; 16; 14; 14; 14; 16; 16; 12; 14; 69/4; 31/2; 18; 69/4; ; 16; 18; 16; 18; ; 18; 89/5; 
Morecambe 2-0; 25; 25; 25; 25; 25; 20; 28; 25; 28; 25; 25; 22; 25; 25; 22; 22; 97/4; 25; 23; 97/4; ; 26; 23; 25; 23; ; 33; 32; 
Mansfield 3-2; 28; 28; 22; 28; 25; 20; 30; 25; 28; 25; 25; 22; 28; 28; 25; 25; 53/2; 25; 29; 53/2; ; 29; 29; 28; 29; ; 33; 31; 
Mansfield 4-0; 25; 28; 25; 25; 25; 20; 30; 30; 28; 25; 28; 22; 30; 28; 22; 25; 51/2; 25; 24; 51/2; ; 27; 24; 25; 24; ; ; ; 
Mansfield 4-1; 28; 28; 25; 28; 28; 25; 30; 30; 28; 28; 28; 25; 33; 28; 22; 25; 111/4; 28; 28; 111/4; ; 30; 28; 28; 28; ; ; ; 
Any Other Score; ; ; 20; ; ; ; ; 22; 40; ; ; ; ; ; ; ; ; 20; ; ; ; 22; ; ; ; ; ; ; 
Morecambe 3-1; 40; 50; 40; 50; 40; 40; 50; 50; 50; 40; 45; 33; 40; 40; 40; 40; 159/4; 50; 45; 159/4; ; 49; 45; 50; 45; ; 61; 65; 
Morecambe 3-2; 40; 50; 40; 50; 40; 40; 60; 50; 50; 40; 45; 40; 45; 45; 40; 40; 87/2; 50; 55; 87/2; ; 50; 55; 50; 55; ; 70; 71; 
Mansfield 4-2; 50; 50; 45; 66; 50; 50; 66; 60; 66; 50; 55; 40; 60; 50; 50; 50; 99/2; 66; 60; 99/2; ; 60; 60; 66; 60; ; ; ; 
Morecambe 3-0; 50; 66; 60; 66; 66; 66; 75; 90; 80; 66; 70; 50; 70; 80; 66; 50; 111/2; 80; 60; 111/2; ; 80; 60; 80; 60; ; 94; 81; 
Draw 3-3; 50; 66; 55; 66; 66; 50; 90; 70; 100; 66; 66; 50; 66; 80; 50; 50; 241/4; 100; 90; 241/4; ; 80; 90; 80; 90; ; 94; 108; 
Mansfield 5-0; 50; 66; ; 66; 66; 50; 70; 80; 80; 50; 66; 50; 125; 70; 50; 50; 217/4; ; 60; 217/4; ; ; 60; 66; 60; ; ; ; 
Mansfield 5-1; 50; 66; ; 80; 66; 50; 70; 90; 80; 66; 70; 50; 125; 80; 50; 50; 227/4; ; 66; 227/4; ; ; 66; 66; 66; ; ; ; 
Mansfield 5-2; 100; 150; ; 150; 100; 80; 150; 150; ; 100; 100; 80; 150; 150; 80; 100; 323/4; ; 150; 323/4; ; ; 150; 150; 150; ; ; ; 
Mansfield 4-3; 100; 150; 100; 125; 100; 100; 175; 150; ; 125; 100; 80; 125; 150; 100; 100; 333/4; 200; 180; 333/4; ; 180; 180; 200; 180; ; ; ; 
Mansfield 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 4-1; 100; 150; 110; 125; 100; 100; 150; 225; 100; 125; 125; 80; 90; 150; 100; 100; 82; 200; 140; 82; ; 180; 140; 200; 140; ; ; ; 
Morecambe 4-2; 125; 150; 120; 125; 100; 100; 175; 225; 100; 125; 125; 80; 100; 150; 125; 100; 343/4; 250; 200; 343/4; ; 200; 200; 200; 200; ; ; ; 
Mansfield 6-0; 125; 150; ; 200; ; 150; 175; 275; 100; 150; 125; 100; 150; 200; 150; 125; 357/4; ; 160; 357/4; ; ; 160; 200; 160; ; ; ; 
Mansfield 6-1; 150; 200; ; 200; ; 150; 200; 275; ; 150; 125; 100; 150; 200; 150; 125; 181/2; ; 200; 181/2; ; ; 200; 200; 200; ; ; ; 
Mansfield 6-2; 300; 250; ; 300; ; ; 250; ; ; 250; 150; 100; 200; 300; ; 150; ; ; ; ; ; ; ; 250; ; ; ; ; 
Morecambe 4-3; 200; 200; 150; 150; ; 200; 350; 275; ; 175; 150; 100; 150; 200; 200; 150; ; 250; 350; ; ; 200; 350; 250; 350; ; ; ; 
Draw 4-4; 400; 250; 250; 200; ; ; 350; 350; ; 275; 150; 100; 175; 300; ; 200; ; 250; 400; ; ; 200; 400; ; 400; ; ; ; 
Mansfield 5-3; 300; 250; ; ; ; 250; 250; 400; ; 225; 150; 100; 175; 300; 250; 200; ; ; ; ; ; ; ; 250; ; ; ; ; 
Mansfield 6-3; ; ; ; ; ; ; ; ; ; 400; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 4-0; 150; 200; 175; 150; ; 200; 200; 425; 100; 200; 150; 100; 125; 200; 200; 125; ; 250; 200; ; ; 200; 200; 250; 200; ; ; ; 
Mansfield 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 5-4; ; ; ; ; ; ; ; 500; ; 425; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 7-0; 500; ; ; 500; ; ; 350; 500; ; 300; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 7-1; 500; ; ; 500; ; ; 350; 500; ; 325; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 8-0; ; ; ; 500; ; ; ; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mansfield 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 5-0; ; 250; ; 500; ; ; 350; 500; 100; 425; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 5-1; 500; 250; ; 500; ; ; 350; 500; 100; 350; 200; ; 175; 300; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 5-2; ; 250; ; 500; ; ; 350; 500; ; 350; 200; ; 175; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 5-3; ; 250; ; ; ; ; 350; 500; ; 425; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 5-4; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 6-0; ; 250; ; ; ; ; 225; 500; 100; ; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 6-1; ; 250; ; 500; ; ; 225; 500; ; ; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 6-2; ; 250; ; 500; ; ; 225; ; ; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 7-0; ; ; ; ; ; ; 225; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 7-1; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Morecambe 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-27 12:10:31 GMT+3; 2017-04-02 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Lugo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-27 16:24:01 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
Draw; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-27 20:23:29 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; 13/10; ; ; 11/10; ; ; ; 21/20; 11/10; ; 21/20; 61/50; ; ; ; ; ; 20/21; ; 
Draw; 21/10; 2; 39/20; ; 21/10; ; 85/40; ; ; 21/10; ; ; 2; ; ; ; 2; 21/10; ; 2; 2; ; ; ; ; ; 19/10; ; 
Reus Deportiu; 11/4; 11/4; 3; ; 11/4; ; 3; ; ; 2; ; ; 59/20; ; ; ; 56/19; 13/5; ; 56/19; 61/20; ; ; ; ; ; 27/10; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-28 04:23:31 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; 21/20; 1; 21/20; 1; 11/10; ; 21/20; 1; 1; 21/20; ; 21/20; 21/20; 21/20; ; ; 21/20; 21/20; 1; 21/20; 61/50; ; 42/41; ; 24/23; ; 1; ; 
Draw; 21/10; 2; 39/20; 19/10; 2; ; 21/10; 15/8; 15/8; 19/10; ; 19/10; 2; 21/10; ; ; 37/19; 21/10; 19/10; 37/19; 2; ; 37/19; ; 2; ; 19/10; ; 
Reus Deportiu; 3; 14/5; 29/10; 3; 3; ; 16/5; 11/4; 11/4; 3; ; 3; 59/20; 27/10; ; ; 3; 11/4; 3; 3; 61/20; ; 31/10; ; 16/5; ; 27/10; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-28 08:22:06 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; 21/20; 1; 21/20; 1; 11/10; 1; 21/20; 1; 1; 21/20; ; 21/20; 21/20; 21/20; ; ; 21/20; 21/20; 1; 21/20; 61/50; ; 42/41; ; 24/23; ; 1; ; 
Draw; 21/10; 2; 39/20; 19/10; 2; 2; 21/10; 15/8; 15/8; 19/10; ; 19/10; 2; 21/10; ; ; 2; 21/10; 19/10; 2; 2; ; 37/19; ; 2; ; 19/10; ; 
Reus Deportiu; 3; 14/5; 29/10; 3; 3; 11/4; 16/5; 11/4; 11/4; 3; ; 3; 59/20; 27/10; ; ; 3; 11/4; 3; 29/10; 61/20; ; 31/10; ; 16/5; ; 27/10; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-28 12:41:33 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; 21/20; 1; 21/20; 1; 11/10; 1; 21/20; 1; 1; 21/20; ; 21/20; 21/20; 21/20; 11/10; ; 21/20; 21/20; 1; 21/20; 61/50; ; 42/41; ; 24/23; ; 1; ; 
Draw; 21/10; 2; 39/20; 19/10; 2; 2; 21/10; 15/8; 15/8; 19/10; ; 19/10; 2; 21/10; 19/10; ; 37/19; 21/10; 19/10; 37/19; 2; ; 37/19; ; 2; ; 19/10; ; 
Reus Deportiu; 3; 14/5; 29/10; 3; 3; 11/4; 16/5; 11/4; 11/4; 3; ; 3; 59/20; 27/10; 3; ; 3; 11/4; 3; 3; 61/20; ; 31/10; ; 16/5; ; 27/10; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-28 16:28:35 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; 21/20; 1; 21/20; 1; 11/10; 1; 21/20; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; ; 21/20; 21/20; 1; 21/20; 61/50; 21/20; 42/41; ; 24/23; ; 1; 1; 
Draw; 21/10; 2; 39/20; 19/10; 2; 2; 21/10; 15/8; 15/8; 19/10; 2; 19/10; 2; 21/10; 19/10; ; 37/19; 21/10; 19/10; 37/19; 2; 19/10; 37/19; ; 2; ; 19/10; 2; 
Reus Deportiu; 3; 14/5; 29/10; 3; 3; 11/4; 16/5; 11/4; 11/4; 3; 14/5; 3; 59/20; 13/5; 3; ; 3; 11/4; 3; 3; 61/20; 27/10; 31/10; ; 16/5; ; 27/10; 11/4; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-28 20:25:08 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; 21/20; 1; 21/20; 1; 11/10; 1; 21/20; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 61/50; 21/20; 42/41; ; 24/23; ; 1; 1; 
Draw; 21/10; 2; 39/20; 19/10; 2; 2; 21/10; 15/8; 15/8; 19/10; 2; 19/10; 2; 21/10; 19/10; 2; 37/19; 21/10; 19/10; 37/19; 2; 19/10; 37/19; ; 2; ; 19/10; 2; 
Reus Deportiu; 3; 14/5; 29/10; 3; 3; 11/4; 16/5; 11/4; 11/4; 3; 14/5; 3; 59/20; 27/10; 3; 29/10; 3; 11/4; 3; 3; 61/20; 27/10; 31/10; ; 16/5; ; 14/5; 11/4; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-29 04:23:04 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; 21/20; 1; 21/20; 1; 11/10; 1; 21/20; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 61/50; 21/20; 42/41; ; 24/23; ; 1; 1; 
Draw; 21/10; 2; 39/20; 19/10; 2; 39/20; 21/10; 15/8; 15/8; 19/10; 2; 19/10; 2; 21/10; 19/10; 2; 37/19; 21/10; 19/10; 37/19; 2; 19/10; 37/19; ; 2; ; 19/10; 2; 
Reus Deportiu; 3; 14/5; 29/10; 3; 3; 11/4; 16/5; 11/4; 11/4; 3; 14/5; 3; 59/20; 27/10; 3; 29/10; 3; 11/4; 3; 3; 61/20; 27/10; 31/10; ; 16/5; ; 27/10; 11/4; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-29 08:23:07 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; 21/20; 1; 21/20; 1; 11/10; 1; 21/20; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 61/50; 21/20; 42/41; ; 24/23; ; 1; 1; 
Draw; 21/10; 2; 39/20; 19/10; 2; 39/20; 21/10; 15/8; 15/8; 19/10; 2; 19/10; 2; 21/10; 19/10; 2; 37/19; 21/10; 19/10; 37/19; 2; 19/10; 37/19; ; 2; ; 19/10; 2; 
Reus Deportiu; 3; 14/5; 29/10; 3; 3; 11/4; 16/5; 11/4; 11/4; 3; 14/5; 3; 59/20; 27/10; 3; 29/10; 3; 11/4; 3; 3; 61/20; 27/10; 31/10; ; 16/5; ; 27/10; 11/4; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-29 20:21:50 GMT+3; 2017-04-02 16:30; e70300-dr003
Slavia Prague; 19/20; ; 19/20; ; 10/11; ; 37/40; 10/11; 9/10; 20/21; 10/11; 10/11; 19/20; ; 10/11; ; 10/11; 19/20; 20/21; 10/11; 1; 19/20; 39/40; 10/11; ; ; 5/6; 5/6; 
Draw; 23/10; ; 43/20; ; 21/10; ; 23/10; 21/10; 2; 11/5; 21/10; 2; 9/4; ; 21/10; ; 28/13; 11/5; 11/5; 28/13; 47/20; 11/5; 11/5; 9/4; ; ; 2; 21/10; 
Sparta Prague; 3; ; 31/10; ; 11/4; ; 16/5; 3; 11/4; 16/5; 29/10; 3; 3; ; 16/5; ; 3; 13/5; 27/10; 3; 33/10; 45/17; 27/10; 14/5; ; ; 14/5; 14/5; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-30 20:23:19 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; 21/20; 21/20; 21/20; 1; 11/10; 1; 21/20; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 23/20; 11/10; 61/50; 21/20; 7/6; ; 6/5; ; 1; 1; 23/20
Draw; 21/10; 2; 39/20; 19/10; 2; 39/20; 21/10; 15/8; 15/8; 19/10; 2; 19/10; 2; 21/10; 19/10; 2; 37/19; 21/10; 19/10; 37/19; 2; 19/10; 19/10; ; 37/19; ; 19/10; 2; 2
Reus Deportiu; 3; 14/5; 29/10; 3; 3; 11/4; 16/5; 11/4; 11/4; 3; 14/5; 3; 59/20; 27/10; 3; 29/10; 3; 11/4; 27/10; 3; 61/20; 27/10; 27/10; ; 11/4; ; 27/10; 11/4; 3
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-31 00:21:47 GMT+3; 2017-04-02 15:00; e70300-dr003
Lugo; 21/20; 21/20; 21/20; 1; 11/10; 1; 21/20; 1; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 23/20; 11/10; 61/50; 21/20; 7/6; ; 6/5; ; 1; 1; 23/20
Draw; 21/10; 2; 39/20; 19/10; 2; 39/20; 21/10; 15/8; 15/8; 19/10; 2; 19/10; 2; 21/10; 19/10; 2; 37/19; 21/10; 19/10; 37/19; 2; 19/10; 19/10; ; 37/19; ; 19/10; 2; 2
Reus Deportiu; 3; 14/5; 29/10; 3; 3; 11/4; 16/5; 11/4; 11/4; 3; 14/5; 3; 59/20; 27/10; 3; 29/10; 3; 11/4; 27/10; 3; 61/20; 27/10; 27/10; ; 11/4; ; 27/10; 11/4; 3
