META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-12 16:24:21 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Sevilla Atletico; 11/5; ; 41/20; 21/10; 21/10; 2; ; ; 2; 2; 7/4; 2; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 44/19; 37/19; ; 13/10; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-15 20:24:28 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; ; 11/8; 11/8; 7/5; 13/10; ; ; 13/10; 6/4; 29/20; 11/8; 6/4; 7/5; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 19/13; 5/4; ; 10/11; ; 
Draw; 2; ; 2; 2; 21/10; 39/20; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; ; 
Sevilla Atletico; 11/5; ; 41/20; 21/10; 21/10; 2; ; ; 2; 2; 7/4; 2; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 44/19; 37/19; ; 5/4; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-16 00:23:47 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 11/8; 11/8; 11/8; 7/5; 13/10; ; ; 13/10; 6/4; 29/20; 11/8; 6/4; 7/5; 11/8; 7/5; ; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 10/11; ; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; 2; 2; ; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; ; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; ; 2; 2; 7/4; 2; 15/8; 21/10; 2; 2; ; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 13/10; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-16 04:23:47 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 7/5; 11/8; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 29/20; 11/8; 6/4; 7/5; 11/8; 7/5; ; 6/4; 7/5; 6/4; 23/17; 19/13; 5/4; ; 10/11; ; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 21/10; 2; 2; 21/10; 2; 2; ; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; ; 
Sevilla Atletico; 11/5; 19/10; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 7/4; 2; 15/8; 21/10; 2; 2; ; 2; 24/13; 2; 28/13; 44/19; 37/19; ; 5/4; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-16 08:24:04 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 7/5; 11/8; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 29/20; 11/8; 6/4; 7/5; 11/8; 7/5; ; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 10/11; ; 
Draw; 2; 19/10; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 21/10; 2; 2; 21/10; 2; 2; ; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; ; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 7/4; 2; 15/8; 21/10; 2; 2; ; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 5/4; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-16 12:25:39 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 11/8; 11/8; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 29/20; 11/8; 6/4; 7/5; 11/8; 7/5; ; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 10/11; ; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 21/10; 2; 2; 21/10; 2; 2; ; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; ; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 7/4; 2; 15/8; 21/10; 2; 2; ; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 5/4; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-16 16:26:37 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; ; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; ; 6/4; 7/5; ; 23/17; 19/13; 13/10; ; 10/11; 5/4; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; ; 2; 2; 2; 21/10; 2; 2; ; 39/19; 2; ; 2; 28/13; 28/13; ; 6/4; 15/8; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; ; 21/10; 2; 2; 21/10; 2; 2; ; 2; 24/13; ; 28/13; 44/19; 24/13; ; 13/10; 19/10; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-16 20:25:46 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; ; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 10/11; 5/4; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 2; 2; 2; 21/10; 2; 2; ; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; 15/8; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 2; ; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 13/10; 19/10; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-17 00:24:25 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; ; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 10/11; ; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 2; 2; 2; 21/10; 2; 2; ; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; ; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 2; ; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 13/10; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-17 04:22:31 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 7/5; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 10/11; ; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 2; 2; 2; 21/10; 2; 2; 2; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; ; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 2; 2; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 13/10; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-17 08:22:14 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 7/5; 6/4; 7/5; 6/4; 23/17; ; 13/10; ; 10/11; ; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 2; 2; 2; 21/10; 2; 2; 2; 39/19; 2; 2; 2; ; 28/13; ; 6/4; ; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 2; 2; 2; 24/13; 2; 28/13; ; 24/13; ; 13/10; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-17 12:23:18 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 7/5; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 20/21; 5/4; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 2; 2; 2; 21/10; 2; 2; 2; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; 15/8; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 2; 2; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 27/20; 19/10; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-17 16:24:08 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 7/5; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 5/4; 5/4; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 2; 2; 2; 21/10; 2; 2; 2; 39/19; 2; 2; 2; 28/13; 28/13; ; 9/5; 15/8; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 2; 2; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 9/5; 19/10; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-17 20:24:53 GMT+3; 2016-08-21 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 7/5; 6/4; 7/5; 6/4; ; 19/13; 13/10; ; 5/4; 5/4; 
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 2; 2; 2; 21/10; 2; 2; 2; 39/19; 2; 2; ; 28/13; 28/13; ; 9/5; 15/8; 
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 2; 2; 2; 24/13; 2; ; 44/19; 24/13; ; 9/5; 19/10; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-18 00:23:04 GMT+3; 2016-08-21 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 7/5; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 5/4; 5/4; 7/5
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 2; 2; 2; 21/10; 2; 2; 2; 39/19; 2; 2; 2; 28/13; 28/13; ; 9/5; 15/8; 21/10
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 2; 2; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 9/5; 19/10; 23/10
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-18 04:22:45 GMT+3; 2016-08-21 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 7/5; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 5/4; 5/4; 7/5
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 2; 2; 2; 21/10; 2; 2; 2; 39/19; 2; 2; 2; 28/13; 28/13; ; 9/5; 15/8; 21/10
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 2; 2; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 9/5; 19/10; 23/10
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-18 08:22:33 GMT+3; 2016-08-21 20:00; e70300-dr003
Girona; 7/5; 11/8; 7/5; 11/8; 7/5; 13/10; ; 11/8; 13/10; 6/4; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 7/5; 6/4; 7/5; 6/4; 23/17; 19/13; 13/10; ; 5/4; ; 7/5
Draw; 2; 2; 2; 2; 21/10; 39/20; ; 15/8; 15/8; 39/19; 2; 2; 2; 21/10; 2; 2; 2; 39/19; 2; 2; 2; 28/13; 28/13; ; 9/5; ; 21/10
Sevilla Atletico; 11/5; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 2; 2; 2; 24/13; 2; 28/13; 44/19; 24/13; ; 9/5; ; 23/10
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-18 12:29:14 GMT+3; 2016-08-21 20:00; e70300-dr003
