META; english/league-2/coventry-v-lincoln; 2018-02-27 18:18:35 GMT+2; 2018-03-03 15:00; e70300-dr003
Coventry; 13/10; 7/5; 7/5; 7/5; 29/20; 11/8; 11/8; 5/4; 23/17; 7/5; 13/10; 11/8; 11/8; 27/20; 13/10; 11/8; 23/17; 13/10; 17/14; 23/17; 11/8; 27/20; 23/17; ; 13/10; 11/8; 
Lincoln; 21/10; 21/10; 21/10; 21/10; 111/50; 21/10; 2; 2; 21/10; 21/10; 21/10; 11/5; 19/10; 41/20; 21/10; 21/10; 39/19; 21/10; 57/29; 21/10; 21/10; 2; 39/19; ; 19/10; 9/5; 
Draw; 9/4; 21/10; 21/10; 21/10; 113/50; 23/10; 21/10; 21/10; 28/13; 21/10; 23/10; 21/10; 9/4; 2; 23/10; 21/10; 21/10; 9/4; 11/5; 28/13; 23/10; 11/5; 28/13; ; 2; 2; 
META; english/league-2/coventry-v-lincoln; 2018-03-01 16:00:54 GMT+2; ; e70300-dr003
Coventry l l l l d w; 13/10; 7/5; 7/5; 7/5; 143/100; 6/4; 11/8; 7/5; 23/17; 7/5; 7/5; 11/8; 11/8; 11/8; 7/5; 11/8; 7/5; 13/10; 13/10; 23/17; 29/20; 27/20; 7/5; 11/8; 7/5; 7/5
META; english/league-2/coventry-v-lincoln; 2018-03-03 12:20:01 GMT+2; 2018-03-03 15:00; e70300-dr003
Coventry; 8/5; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 29/20; 7/5; 6/4; 16/11; 13/9; 8/5; 6/4; 6/4; 6/4; 6/4; 7/5
Lincoln; 15/8; 2; 19/10; 43/20; 21/10; 2; 15/8; 24/13; 2; 2; 2; 21/10; 2; 23/12; 24/13; 2; 2; 19/10; 21/10; ; ; ; 
Draw; 21/10; 2; 11/5; 9/4; 9/4; 21/10; 21/10; 21/10; 2; 21/10; 2; 21/10; 39/20; 21/10; 2; 39/19; 28/13; 21/10; 21/10; 21/10; 21/10; 2; 11/5
META; english/league-2/coventry-v-lincoln; 2018-04-23 10:18:11 GMT+3; 2018-04-24 19:45; e70300-dr003
Coventry; 6/4; 7/5; 29/20; 6/4; 37/25; 6/4; 7/5; 7/5; 29/20; 29/20; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 29/20; 7/5; 11/8; 5/4; 7/5; 7/5
Lincoln; 21/10; 21/10; 2; 19/10; 85/40; 2; 15/8; 2; 2; 21/10; 2; 39/20; 2; 2; 24/13; 31/16; 2; 2; 19/10; 13/8; 2; 21/10; ; ; 
Draw; 23/10; 21/10; 21/10; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 2; 11/5; 2; 9/4; 21/10; 28/13; 21/10; 11/5; 11/5; 23/10; 11/5; 21/10; 9/5; 9/4; 9/4; 
META; english/league-2/coventry-v-lincoln; 2018-04-24 08:18:12 GMT+3; 2018-04-24 19:45; e70300-dr003
Coventry; 8/5; 13/8; 33/20; 13/8; 171/00; 13/8; 13/8; 6/4; 6/4; 17/10; 8/5; 8/5; 13/8; 8/5; 8/5; 8/5; 17/11; 6/4; 8/5; 6/4; 17/10; 8/5; 13/8; 13/8; 8/5; 17/10
Lincoln; 2; 19/10; 9/5; 15/8; 93/50; 19/10; 15/8; 15/8; 37/19; 9/5; 15/8; 15/8; 9/5; 9/5; 15/8; 9/5; 19/10; 24/13; 9/5; 37/19; 9/5; 19/10; 9/5; 19/10; 6/4; 19/10
Draw; 9/4; 2; 2; 113/0; 11/5; 21/10; 21/10; 39/19; 2; 21/10; 21/10; 2; 39/20; 9/4; 2; 39/19; 21/10; 39/19; 39/19; 9/4; 39/19; 21/10; 2; 13/8; 21/10; 11/5
