META; english/league-2/stevenage-v-mansfield; 2018-02-27 18:18:51 GMT+2; 2018-03-03 15:00; e70300-dr003
Mansfield; 11/8; 7/5; 16/11; 29/20; 149/100; 6/4; 7/5; 7/5; 31/21; 29/20; ; 6/4; 13/10; 29/20; 6/4; 7/5; 7/5; 23/17; 15/11; 31/21; 6/4; 7/5; 7/5; ; 11/8; 5/4; 
Mansfield; 31/20; 7/5; 29/20; 29/20; 6/4; 6/4; 7/5; 7/5; 31/21; 29/20; 29/20; 29/20; 13/10; 29/20; 7/5; 7/5; 7/5; 23/17; 19/13; 31/21; 29/20; 6/4; 16/11; 7/5; 6/4; 7/5
Stevenage; 2; 2; 19/10; 43/20; 11/5; 2; 15/8; 21/10; 21/10; 21/10; 19/10; 39/20; 2; 2; 37/19; 21/11; 15/8; 21/10; 2; 39/19; 2; 21/10; ; ; ; 
Draw; 23/10; 9/4; 2; 9/4; 56/25; 9/4; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 23/10; 2; 11/5; 21/10; 21/10; 9/4; 21/10; 11/5; 23/10; 21/10; 28/13; 2; 21/10; 21/10
META; english/league-2/stevenage-v-mansfield; 2018-03-03 12:20:20 GMT+2; 2018-03-03 15:00; e70300-dr003
Mansfield; 23/17
Stevenage; 37/19
Draw; 9/4
META; english/league-2/stevenage-v-mansfield; 2018-04-09 10:26:41 GMT+3; 2018-04-10 19:45; e70300-dr003
Mansfield; 6/4; 7/5; 29/20; 11/8; 37/25; 29/20; 11/8; 13/10; 29/20; 7/5; 29/20; 7/5; 11/8; 13/10; 7/5; 7/5; 7/5; 25/19; 13/10; 29/20; 7/5; 7/5; 7/5; 11/8; 7/5
Stevenage; 2; 19/10; 19/10; 9/5; 103/50; 2; 15/8; 2; 19/10; 19/10; 19/10; 15/8; 19/10; 7/4; 19/10; 37/19; 19/10; 23/13; 2; 19/10; 37/19; 15/8; 19/10; 9/5; 2
Draw; 12/5; 23/10; 11/5; 11/5; 119/50; 12/5; 23/10; 40/17; 11/5; 12/5; 11/5; 23/10; 43/20; 21/10; 23/10; 9/4; 9/4; 9/4; 40/17; 12/5; 9/4; 11/5; 9/4; 19/10; 23/10
META; english/league-2/stevenage-v-mansfield; 2018-04-09 16:14:08 GMT+3; 2018-04-10 19:45; e70300-dr003
Mansfield; 6/4; 7/5; 29/20; 7/5; 37/25; 29/20; 7/5; 11/8; 13/10; 29/20; 29/20; 7/5; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 16/11; 13/10; 6/4; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5
Stevenage; 2; 19/10; 19/10; 21/10; 103/50; 2; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 15/8; 15/8; 7/4; 19/10; 37/19; 19/10; 7/4; 2; 37/19; 15/8; 19/10; 19/10; 2; ; 
Draw; 12/5; 23/10; 11/5; 21/10; 119/50; 12/5; 11/5; 23/10; 40/17; 11/5; 23/10; 23/10; 23/10; 43/20; 21/10; 9/4; 9/4; 9/4; 40/17; 40/17; 23/10; 9/4; 9/4; 21/10; 11/5; 23/10; 23/10
META; english/league-2/stevenage-v-mansfield; 2018-04-10 08:19:44 GMT+3; 2018-04-10 19:45; e70300-dr003
Mansfield; 31/20; 6/4; 31/20; 7/5; 159/100; 6/4; 6/4; 7/5; 13/10; 31/20; 6/4; 31/20; 6/4; 6/4; 7/5; 6/4; 6/4; 7/5; 52/35; 13/10; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4
Stevenage; 2; 9/5; 9/5; 21/10; 193/100; 19/10; 15/8; 15/8; 2; 9/5; 19/10; 9/5; 9/5; 7/4; 17/10; 15/8; 24/13; 19/10; 19/11; 2; 15/8; 24/13; 15/8; 19/10; 19/10; 19/10; 19/10
Draw; 23/10; 9/4; 11/5; 21/10; 47/20; 23/10; 11/5; 9/4; 40/17; 11/5; 11/5; 11/5; 9/4; 21/10; 2; 11/5; 9/4; 9/4; 23/10; 40/17; 23/10; 9/4; 9/4; 11/5; 21/10; 11/5; 11/5
