QPR; 8/5; 8/5; 8/5; ; ; 31/20; 13/8; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; 33/20; 13/8; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; 11/5; 12/5; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-10 12:28:05 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; 31/20; 13/8; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; 33/20; 8/5; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; 11/5; 12/5; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-10 16:29:41 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; 31/20; 13/8; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; 33/20; 13/8; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; 11/5; 12/5; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-10 20:30:23 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; 31/20; 13/8; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; 33/20; 8/5; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; 11/5; 12/5; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
