META; english/championship/aston-villa-v-qpr; 2018-02-27 18:17:12 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 8/11; 3/4; 4/5; 4/5; 83/100; 3/4; ; 4/6; 13/18; 4/5; 3/4; 3/4; ; 4/5; 4/5; 4/5; 14/19; 7/10; 10/13; 13/18; ; 3/4; 10/13; ; 4/6; 8/11; 4/5
Draw; 11/4; 5/2; 12/5; 12/5; 27/10; 13/5; ; 12/5; 27/10; 5/2; 13/5; 13/5; ; 5/2; 5/2; 5/2; 5/2; 27/10; 27/11; 45/17; 27/10; 13/5; 28/11; ; 12/5; 12/5; 13/5
QPR; 18/5; 19/5; 15/4; 15/4; 39/10; 4; ; 4; 39/10; 15/4; 19/5; 15/4; ; 19/5; 15/4; 15/4; 18/5; 15/4; 3; 19/5; 19/5; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/aston-villa-v-qpr; 2018-03-01 15:59:26 GMT+2; ; e70300-dr003
Aston Villa w w w l d w; 8/11; 3/4; 3/4; 8/11; 4/5; 3/4; 4/6; 13/18; 3/4; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 14/19; 7/10; 10/13; 13/18; 3/4; 14/19; 8/11; 8/11; 8/11; 
QPR; 17/4; 19/5; 15/4; 4; 41/10; 4; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 18/5; 4; 62/17; 19/5; 4; 15/4; 62/17; 4; ; ; 
META; english/championship/aston-villa-v-qpr; 2018-03-02 13:59:48 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 4/5; 3/4; 3/4; 8/11; 4/5; 4/5; 8/11; 3/4; 3/4; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 7/10; 7/9; 8/11; 4/5; 14/19; 8/11; 8/11; 4/5; 
Draw; 13/5; 13/5; 5/2; 13/5; 68/25; 11/4; 5/2; 45/17; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 27/10; 
QPR; 17/4; 19/5; 19/5; 4; 41/10; 4; 7/2; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 62/17; 4; 18/5; 19/5; 4; 37/10; 4; 21/5; 4
META; english/championship/aston-villa-v-qpr; 2018-03-02 16:19:26 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 3/4; 3/4; 3/4; 8/11; 4/5; 4/5; 8/11; 3/4; 3/4; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 7/10; 4/5; 8/11; 4/5; 3/4; 14/19; 8/11; 8/11; 4/5
Draw; 11/4; 13/5; 5/2; 13/5; 139/50; 11/4; 5/2; 45/17; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 11/4; 13/5; 28/11; 13/5; 13/5
QPR; 17/4; 19/5; 19/5; 4; 4; 7/2; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 37/10; 4; 18/5; 19/5; 4; 15/4; 37/10; 4; 21/5; 
META; english/championship/aston-villa-v-qpr; 2018-03-02 18:52:28 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 3/4; 3/4; 3/4; 8/11; 4/5; 4/5; 8/11; 3/4; 3/4; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 7/10; 4/5; 8/11; 4/5; 3/4; 10/13; 8/11; 8/11; 4/5
Draw; 11/4; 13/5; 5/2; 13/5; 139/50; 11/4; 5/2; 45/17; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 11/4; 13/5; 28/11; 13/5; 27/10
QPR; 17/4; 19/5; 19/5; 4; 4; 7/2; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 39/11; 4; 18/5; 19/5; 4; 15/4; 18/5; 4; 21/5; 4
META; english/championship/aston-villa-v-qpr; 2018-03-03 12:18:58 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 4/5; 8/11; 5/6; 3/4; 8/11; 5/6; 4/5; 10/13; 7/10; 8/11; 10/13; 8/11
Draw; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2
QPR; 4; 15/4; 4; 7/2; 19/5; 7/2; 41/10; 4; 19/5; 41/10; 7/2; 
META; english/championship/aston-villa-v-qpr; 2018-03-12 10:26:03 GMT+2; 2018-03-13 19:45; e70300-dr003
Aston Villa; 8/11; 7/10; 7/10; 8/13; 18/25; 3/4; 8/11; 7/10; 7/10; 4/6; 4/6; 7/10; 13/20; 4/6; 4/6; 8/13; 11/17; 11/17; 7/10; 8/11; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6
Draw; 11/4; 13/5; 13/5; 13/5; 71/25; 14/5; 13/5; 45/17; 13/5; 13/5; 11/4; 11/4; 13/5; 11/4; 13/5; 37/13; 27/10; 45/17; 13/5; 14/5; 37/13; 27/10; 27/10; 13/5; 14/5; 
QPR; 9/2; 4; 21/5; 4; 23/5; 4; 7/2; 39/10; 21/5; 4; 4; 17/4; 9/2; 9/2; 47/10; 17/4; 4; 39/10; 9/2; 17/4; 19/4; 9/2; 23/5; 4; 23/5; 
META; english/championship/aston-villa-v-qpr; 2018-03-12 20:18:05 GMT+2; 2018-03-13 19:45; e70300-dr003
Aston Villa; 8/11; 7/10; 4/6; 7/10; 4/6; 3/4; 8/11; 11/17; 4/6; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; 10/17; 11/17; 4/6; 8/13; 4/6; 13/20; 10/17; 4/6; 4/6; 4/6; 4/6
Draw; 11/4; 13/5; 27/10; 5/2; 147/0; 14/5; 13/5; 14/5; 27/10; 11/4; 11/4; 13/5; 11/4; 11/4; 13/5; 27/10; 45/17; 11/4; 29/10; 14/5; 29/10; 11/4; 14/5; 14/5; 14/5; 
QPR; 9/2; 17/4; 17/4; 9/2; 5; 7/2; 23/5; 9/2; 5; 17/4; 9/2; 9/2; 9/2; 96/19; 17/4; 23/5; 9/2; 19/4; 19/4; 67/13; 23/5; 5; 24/5; 24/5; ; 
META; english/championship/aston-villa-v-qpr; 2018-03-13 12:20:47 GMT+2; 2018-03-13 19:45; e70300-dr003
Aston Villa; 3/5; 4/7; 8/13; 8/13; 61/00; 8/13; 3/5; 4/7; 11/18; 8/13; 8/13; 8/13; 6/10; 8/13; 8/13; 8/13; 10/17; 3/5; 3/5; 7/12; 8/13; 3/5; 11/18; 4/7; 4/7; 4/7; 4/7
Draw; 3; 14/5; 29/10; 13/5; 61/20; 3; 14/5; 11/4; 14/5; 29/10; 11/4; 13/5; 14/5; 29/10; 14/5; 11/4; 37/13; 11/4; 29/10; 11/4; 3; 59/20; 37/13; 14/5; 14/5; 3; 14/5
QPR; 11/2; 5; 11/2; 28/5; 11/2; 5; 51/10; 5; 11/2; 5; 5; 5; 51/10; 19/4; 49/10; 5; 11/2; 21/4; 67/13; 26/5; 27/5; 27/5; 27/5; ; ; ; 
META; english/championship/aston-villa-v-qpr; 2018-03-13 20:18:38 GMT+2; 2018-03-13 19:45; e70300-dr003
Aston Villa; 3/5; 4/7; 4/7; 6/10; 61/00; 8/13; 3/5; 8/15; 7/12; 4/7; 4/7; 4/7; 4/7; 6/10; 4/7; 4/7; 4/7; 6/11; 6/11; 5/9; 3/5; 11/20; 4/7; 4/7; 4/7; 4/7; 4/7
Draw; 3; 29/10; 3; 11/4; 61/20; 3; 11/4; 14/5; 3; 14/5; 3; 3; 14/5; 56/19; 14/5; 56/19; 11/4; 3; 3; 14/5; 3; 3; ; ; ; ; 
QPR; 11/2; 5; 11/2; 5; 28/5; 11/2; 5; 11/2; 11/2; 11/2; 5; 11/2; 5; 67/13; 5; 27/5; 27/5; 11/2; 11/2; 26/5; 11/2; 28/5; 28/5; 28/5; ; ; 
